#Cont nu	incident	atten	VAR4	VAR5	nu dr	inci dr
2.771000000000000e+3	6.871999999999999e-7	6.871999999999999e-7			1.032000000000000e-1	2.357000000000000e-3
2.757000000000000e+3	6.975999999999999e-7	6.975999999999999e-7			1.027000000000000e-1	2.304000000000000e-3
2.743000000000000e+3	7.081999999999999e-7	7.081999999999999e-7			1.022000000000000e-1	2.252000000000000e-3
2.729000000000000e+3	7.188999999999999e-7	7.188999999999999e-7			1.017000000000000e-1	2.202000000000000e-3
2.716000000000000e+3	7.296999999999998e-7	7.296999999999998e-7			1.011000000000000e-1	2.152000000000000e-3
2.702000000000000e+3	7.406999999999998e-7	7.406999999999998e-7			1.006000000000000e-1	2.103000000000000e-3
2.689000000000000e+3	7.518999999999998e-7	7.518999999999998e-7			1.001000000000000e-1	2.056000000000000e-3
2.675000000000000e+3	7.632999999999998e-7	7.632999999999998e-7			9.964000000000000e-2	1.989000000000000e-3
2.662000000000000e+3	7.747999999999998e-7	7.747999999999998e-7			9.914000000000000e-2	1.911000000000000e-3
2.649000000000000e+3	7.865000000000000e-7	7.865000000000000e-7			9.865000000000000e-2	1.836000000000000e-3
2.636000000000000e+3	7.983999999999998e-7	7.983999999999998e-7			9.816000000000000e-2	1.764000000000000e-3
2.622000000000000e+3	8.105000000000000e-7	8.105000000000000e-7			9.767000000000000e-2	1.683000000000000e-3
2.609000000000000e+3	8.226999999999998e-7	8.226999999999998e-7			9.718000000000000e-2	1.594000000000000e-3
2.596000000000000e+3	8.351999999999998e-7	8.351999999999998e-7			9.670000000000000e-2	1.510000000000000e-3
2.583000000000000e+3	8.477999999999998e-7	8.477999999999998e-7			9.622000000000000e-2	1.431000000000000e-3
2.571000000000000e+3	8.605999999999998e-7	8.605999999999998e-7			9.574000000000000e-2	1.355000000000000e-3
2.558000000000000e+3	8.735999999999998e-7	8.735999999999998e-7			9.526000000000000e-2	1.284000000000000e-3
2.545000000000000e+3	8.868000000000000e-7	8.868000000000000e-7			9.478000000000000e-2	1.207000000000000e-3
2.532000000000000e+3	9.001999999999998e-7	9.001999999999998e-7			9.431000000000000e-2	1.116000000000000e-3
2.520000000000000e+3	9.138000000000000e-7	9.138000000000000e-7			9.384000000000000e-2	1.031000000000000e-3
2.507000000000000e+3	9.276000000000000e-7	9.276000000000000e-7			9.337000000000000e-2	9.528000000000000e-4
2.495000000000000e+3	9.416000000000000e-7	9.416000000000000e-7			9.291000000000000e-2	8.752000000000000e-4
2.482000000000000e+3	9.559000000000000e-7	9.559000000000000e-7			9.244000000000000e-2	7.804000000000000e-4
2.470000000000000e+3	9.703000000000000e-7	9.703000000000000e-7			9.198000000000000e-2	6.930000000000000e-4
2.457000000000000e+3	9.850000000000000e-7	9.850000000000000e-7			9.146000000000000e-2	6.058000000000000e-4
2.445000000000000e+3	9.997999999999998e-7	9.997999999999998e-7			9.101000000000000e-2	9.824000000000000e-5
2.433000000000000e+3	1.015000000000000e-6	1.015000000000000e-6				
2.421000000000000e+3	1.030000000000000e-6	1.030000000000000e-6				
2.409000000000000e+3	1.046000000000000e-6	1.046000000000000e-6				
2.397000000000000e+3	1.062000000000000e-6	1.062000000000000e-6				
2.385000000000000e+3	1.078000000000000e-6	1.078000000000000e-6				
2.373000000000000e+3	1.094000000000000e-6	1.094000000000000e-6				
2.361000000000000e+3	1.111000000000000e-6	1.111000000000000e-6				
2.349000000000000e+3	1.127000000000000e-6	1.127000000000000e-6				
2.338000000000000e+3	1.144000000000000e-6	1.144000000000000e-6				
2.326000000000000e+3	1.162000000000000e-6	1.162000000000000e-6				
2.314000000000000e+3	1.179000000000000e-6	1.179000000000000e-6				
2.303000000000000e+3	1.197000000000000e-6	1.197000000000000e-6				
2.291000000000000e+3	1.215000000000000e-6	1.215000000000000e-6				
2.280000000000000e+3	1.233000000000000e-6	1.233000000000000e-6				
2.269000000000000e+3	1.252000000000000e-6	1.252000000000000e-6				
2.257000000000000e+3	1.271000000000000e-6	1.271000000000000e-6				
2.246000000000000e+3	1.290000000000000e-6	1.290000000000000e-6				
2.235000000000000e+3	1.310000000000000e-6	1.310000000000000e-6				
2.224000000000000e+3	1.329000000000000e-6	1.329000000000000e-6				
2.213000000000000e+3	1.350000000000000e-6	1.350000000000000e-6				
2.202000000000000e+3	1.370000000000000e-6	1.370000000000000e-6				
2.191000000000000e+3	1.391000000000000e-6	1.391000000000000e-6				
2.180000000000000e+3	1.412000000000000e-6	1.412000000000000e-6				
2.169000000000000e+3	1.433000000000000e-6	1.433000000000000e-6				
2.158000000000000e+3	1.455000000000000e-6	1.455000000000000e-6				
2.147000000000000e+3	1.477000000000000e-6	1.477000000000000e-6				
2.136000000000000e+3	1.499000000000000e-6	1.499000000000000e-6				
2.126000000000000e+3	1.522000000000000e-6	1.522000000000000e-6				
2.115000000000000e+3	1.545000000000000e-6	1.545000000000000e-6				
2.105000000000000e+3	1.568000000000000e-6	1.568000000000000e-6				
2.094000000000000e+3	1.592000000000000e-6	1.592000000000000e-6				
2.084000000000000e+3	1.616000000000000e-6	1.616000000000000e-6				
2.073000000000000e+3	1.640000000000000e-6	1.640000000000000e-6				
2.063000000000000e+3	1.665000000000000e-6	1.665000000000000e-6				
2.053000000000000e+3	1.690000000000000e-6	1.690000000000000e-6				
2.042000000000000e+3	1.716000000000000e-6	1.716000000000000e-6				
2.032000000000000e+3	1.741000000000000e-6	1.741000000000000e-6				
2.022000000000000e+3	1.768000000000000e-6	1.768000000000000e-6				
2.012000000000000e+3	1.795000000000000e-6	1.795000000000000e-6				
2.002000000000000e+3	1.822000000000000e-6	1.822000000000000e-6				
1.992000000000000e+3	1.849000000000000e-6	1.849000000000000e-6				
1.982000000000000e+3	1.877000000000000e-6	1.877000000000000e-6				
1.972000000000000e+3	1.905000000000000e-6	1.905000000000000e-6				
1.962000000000000e+3	1.934000000000000e-6	1.934000000000000e-6				
1.953000000000000e+3	1.963000000000000e-6	1.963000000000000e-6				
1.943000000000000e+3	1.993000000000000e-6	1.993000000000000e-6				
1.933000000000000e+3	2.023000000000000e-6	2.023000000000000e-6				
1.924000000000000e+3	2.054000000000000e-6	2.054000000000000e-6				
1.914000000000000e+3	2.085000000000000e-6	2.085000000000000e-6				
1.904000000000000e+3	2.116000000000000e-6	2.116000000000000e-6				
1.895000000000000e+3	2.148000000000000e-6	2.148000000000000e-6				
1.885000000000000e+3	2.181000000000000e-6	2.181000000000000e-6				
1.876000000000000e+3	2.214000000000000e-6	2.214000000000000e-6				
1.867000000000000e+3	2.247000000000000e-6	2.247000000000000e-6				
1.857000000000000e+3	2.281000000000000e-6	2.281000000000000e-6				
1.848000000000000e+3	2.316000000000000e-6	2.316000000000000e-6				
1.839000000000000e+3	2.351000000000000e-6	2.351000000000000e-6				
1.830000000000000e+3	2.386000000000000e-6	2.386000000000000e-6				
1.821000000000000e+3	2.422000000000000e-6	2.422000000000000e-6				
1.812000000000000e+3	2.459000000000000e-6	2.459000000000000e-6				
1.803000000000000e+3	2.496000000000000e-6	2.496000000000000e-6				
1.794000000000000e+3	2.534000000000000e-6	2.534000000000000e-6				
1.785000000000000e+3	2.572000000000000e-6	2.572000000000000e-6				
1.776000000000000e+3	2.611000000000000e-6	2.611000000000000e-6				
1.767000000000000e+3	2.650000000000000e-6	2.650000000000000e-6				
1.758000000000000e+3	2.690000000000000e-6	2.690000000000000e-6				
1.749000000000000e+3	2.731000000000000e-6	2.731000000000000e-6				
1.741000000000000e+3	2.772000000000000e-6	2.772000000000000e-6				
1.732000000000000e+3	2.814000000000000e-6	2.814000000000000e-6				
1.723000000000000e+3	2.857000000000000e-6	2.857000000000000e-6				
1.715000000000000e+3	2.900000000000000e-6	2.900000000000000e-6				
1.706000000000000e+3	2.944000000000000e-6	2.944000000000000e-6				
1.698000000000000e+3	2.988000000000000e-6	2.988000000000000e-6				
1.689000000000000e+3	3.033000000000000e-6	3.033000000000000e-6				
1.681000000000000e+3	3.079000000000000e-6	3.079000000000000e-6				
1.672000000000000e+3	3.126000000000000e-6	3.126000000000000e-6				
1.664000000000000e+3	3.173000000000000e-6	3.173000000000000e-6				
1.656000000000000e+3	3.221000000000000e-6	3.221000000000000e-6				
1.647000000000000e+3	3.269000000000000e-6	3.269000000000000e-6				
1.639000000000000e+3	3.319000000000000e-6	3.319000000000000e-6				
1.631000000000000e+3	3.369000000000000e-6	3.369000000000000e-6				
1.623000000000000e+3	3.420000000000000e-6	3.420000000000000e-6				
