#Cont nu	total qheat	no qheat	qheat & PAHs
3.301000000000000e+3	1.821000000000000e-29	1.850000000000000e-29	1.850000000000000e-29
3.284000000000000e+3	1.849000000000000e-29	1.880000000000000e-29	1.880000000000000e-29
3.268000000000000e+3	1.879000000000000e-29	1.910000000000000e-29	1.910000000000000e-29
3.251000000000000e+3	1.909000000000000e-29	1.941000000000000e-29	1.941000000000000e-29
3.235000000000000e+3	1.940000000000000e-29	1.973000000000000e-29	1.973000000000000e-29
3.219000000000000e+3	1.972000000000000e-29	2.005000000000000e-29	2.005000000000000e-29
3.203000000000000e+3	2.004000000000000e-29	2.039000000000000e-29	2.039000000000000e-29
3.187000000000000e+3	2.037000000000000e-29	2.072000000000000e-29	2.072000000000000e-29
3.171000000000000e+3	2.071000000000000e-29	2.107000000000000e-29	2.107000000000000e-29
3.155000000000000e+3	2.105000000000000e-29	2.142000000000000e-29	2.142000000000000e-29
3.140000000000000e+3	2.140000000000000e-29	2.178000000000000e-29	2.178000000000000e-29
3.124000000000000e+3	2.176000000000000e-29	2.215000000000000e-29	2.215000000000000e-29
3.108000000000000e+3	2.212000000000000e-29	2.252000000000000e-29	2.252000000000000e-29
3.093000000000000e+3	2.249000000000000e-29	2.290000000000000e-29	2.290000000000000e-29
3.077000000000000e+3	2.288000000000000e-29	2.330000000000000e-29	2.330000000000000e-29
3.062000000000000e+3	2.328000000000000e-29	2.371000000000000e-29	2.371000000000000e-29
3.047000000000000e+3	2.368000000000000e-29	2.412000000000000e-29	2.412000000000000e-29
3.032000000000000e+3	2.409000000000000e-29	2.455000000000000e-29	2.455000000000000e-29
3.017000000000000e+3	2.451000000000000e-29	2.498000000000000e-29	2.498000000000000e-29
3.001000000000000e+3	2.494000000000000e-29	2.542000000000000e-29	2.542000000000000e-29
2.986000000000000e+3	2.538000000000000e-29	2.587000000000000e-29	2.587000000000000e-29
2.972000000000000e+3	2.583000000000000e-29	2.633000000000000e-29	2.633000000000000e-29
2.957000000000000e+3	2.629000000000000e-29	2.680000000000000e-29	2.680000000000000e-29
2.942000000000000e+3	2.675000000000000e-29	2.728000000000000e-29	2.728000000000000e-29
2.927000000000000e+3	2.723000000000000e-29	2.777000000000000e-29	2.777000000000000e-29
2.913000000000000e+3	2.772000000000000e-29	2.827000000000000e-29	2.827000000000000e-29
2.898000000000000e+3	2.823000000000000e-29	2.879000000000000e-29	2.879000000000000e-29
2.884000000000000e+3	2.874000000000000e-29	2.932000000000000e-29	2.932000000000000e-29
2.869000000000000e+3	2.927000000000000e-29	2.987000000000000e-29	2.987000000000000e-29
2.855000000000000e+3	2.981000000000000e-29	3.042000000000000e-29	3.042000000000000e-29
2.841000000000000e+3	3.036000000000000e-29	3.099000000000000e-29	3.099000000000000e-29
2.827000000000000e+3	3.093000000000000e-29	3.157000000000000e-29	3.157000000000000e-29
2.813000000000000e+3	3.150000000000000e-29	3.216000000000000e-29	3.216000000000000e-29
2.799000000000000e+3	3.209000000000000e-29	3.276000000000000e-29	3.276000000000000e-29
2.785000000000000e+3	3.268000000000000e-29	3.337000000000000e-29	3.337000000000000e-29
2.771000000000000e+3	3.329000000000000e-29	3.400000000000000e-29	3.400000000000000e-29
2.757000000000000e+3	3.392000000000000e-29	3.465000000000000e-29	3.465000000000000e-29
2.743000000000000e+3	3.457000000000000e-29	3.532000000000000e-29	3.532000000000000e-29
2.729000000000000e+3	3.524000000000000e-29	3.600000000000000e-29	3.600000000000000e-29
2.716000000000000e+3	3.592000000000000e-29	3.670000000000000e-29	3.670000000000000e-29
2.702000000000000e+3	3.661000000000000e-29	3.741000000000000e-29	3.741000000000000e-29
2.689000000000000e+3	3.732000000000000e-29	3.814000000000000e-29	3.814000000000000e-29
2.675000000000000e+3	3.804000000000000e-29	3.888000000000000e-29	3.888000000000000e-29
2.662000000000000e+3	3.877000000000000e-29	3.964000000000000e-29	3.964000000000000e-29
2.649000000000000e+3	3.952999999999999e-29	4.041000000000000e-29	4.041000000000000e-29
2.636000000000000e+3	4.030000000000000e-29	4.119999999999999e-29	4.119999999999999e-29
2.622000000000000e+3	4.108000000000000e-29	4.201000000000000e-29	4.201000000000000e-29
2.609000000000000e+3	4.188000000000000e-29	4.283000000000000e-29	4.283000000000000e-29
2.596000000000000e+3	4.272000000000000e-29	4.368999999999999e-29	4.368999999999999e-29
2.583000000000000e+3	4.357000000000000e-29	4.457000000000000e-29	4.457000000000000e-29
2.571000000000000e+3	4.445000000000000e-29	4.546999999999999e-29	4.546999999999999e-29
2.558000000000000e+3	4.534000000000000e-29	4.639000000000000e-29	4.639000000000000e-29
2.545000000000000e+3	4.625000000000000e-29	4.732000000000000e-29	4.732000000000000e-29
2.532000000000000e+3	4.717999999999999e-29	4.828000000000000e-29	4.828000000000000e-29
2.520000000000000e+3	4.812999999999999e-29	4.926000000000000e-29	4.926000000000000e-29
2.507000000000000e+3	4.910000000000000e-29	5.026000000000000e-29	5.026000000000000e-29
2.495000000000000e+3	5.008999999999999e-29	5.126999999999999e-29	5.126999999999999e-29
2.482000000000000e+3	5.109999999999999e-29	5.231000000000000e-29	5.231000000000000e-29
2.470000000000000e+3	5.213000000000000e-29	5.338000000000000e-29	5.338000000000000e-29
2.457000000000000e+3	5.320000000000000e-29	5.447999999999999e-29	5.447999999999999e-29
2.445000000000000e+3	5.429999999999999e-29	5.561000000000000e-29	5.561000000000000e-29
2.433000000000000e+3	5.542000000000000e-29	5.677000000000000e-29	5.677000000000000e-29
2.421000000000000e+3	5.656999999999999e-29	5.794999999999999e-29	5.794999999999999e-29
2.409000000000000e+3	5.774000000000000e-29	5.916000000000000e-29	5.916000000000000e-29
2.397000000000000e+3	5.894000000000000e-29	6.038999999999999e-29	6.038999999999999e-29
2.385000000000000e+3	6.016999999999999e-29	6.165000000000000e-29	6.165000000000000e-29
2.373000000000000e+3	6.141999999999999e-29	6.294000000000000e-29	6.294000000000000e-29
2.361000000000000e+3	6.268999999999999e-29	6.424999999999999e-29	6.424999999999999e-29
2.349000000000000e+3	6.398999999999999e-29	6.558999999999999e-29	6.558999999999999e-29
2.338000000000000e+3	6.531999999999999e-29	6.695999999999999e-29	6.695999999999999e-29
2.326000000000000e+3	6.668999999999999e-29	6.837000000000000e-29	6.837000000000000e-29
2.314000000000000e+3	6.810999999999999e-29	6.983000000000000e-29	6.983000000000000e-29
2.303000000000000e+3	6.956000000000000e-29	7.131999999999999e-29	7.131999999999999e-29
2.291000000000000e+3	7.104000000000000e-29	7.285000000000000e-29	7.285000000000000e-29
2.280000000000000e+3	7.256000000000000e-29	7.441000000000000e-29	7.441000000000000e-29
2.269000000000000e+3	7.410000000000000e-29	7.599999999999998e-29	7.599999999999998e-29
2.257000000000000e+3	7.568000000000000e-29	7.763000000000000e-29	7.763000000000000e-29
2.246000000000000e+3	7.728999999999998e-29	7.928999999999998e-29	7.928999999999998e-29
2.235000000000000e+3	7.894000000000000e-29	8.097999999999998e-29	8.097999999999998e-29
2.224000000000000e+3	8.061999999999998e-29	8.272000000000000e-29	8.272000000000000e-29
2.213000000000000e+3	8.234000000000000e-29	8.448000000000000e-29	8.448000000000000e-29
2.202000000000000e+3	8.408999999999998e-29	8.629000000000000e-29	8.629000000000000e-29
2.191000000000000e+3	8.592000000000000e-29	8.816999999999998e-29	8.816999999999998e-29
2.180000000000000e+3	8.779000000000000e-29	9.010000000000000e-29	9.010000000000000e-29
2.169000000000000e+3	8.970000000000000e-29	9.207000000000000e-29	9.207000000000000e-29
2.158000000000000e+3	9.164999999999998e-29	9.408999999999998e-29	9.408999999999998e-29
2.147000000000000e+3	9.364999999999998e-29	9.613999999999998e-29	9.613999999999998e-29
2.136000000000000e+3	9.568999999999998e-29	9.824000000000000e-29	9.824000000000000e-29
2.126000000000000e+3	9.777000000000000e-29	1.004000000000000e-28	1.004000000000000e-28
2.115000000000000e+3	9.990000000000000e-29	1.026000000000000e-28	1.026000000000000e-28
2.105000000000000e+3	1.021000000000000e-28	1.048000000000000e-28	1.048000000000000e-28
2.094000000000000e+3	1.043000000000000e-28	1.071000000000000e-28	1.071000000000000e-28
2.084000000000000e+3	1.065000000000000e-28	1.094000000000000e-28	1.094000000000000e-28
2.073000000000000e+3	1.089000000000000e-28	1.118000000000000e-28	1.118000000000000e-28
2.063000000000000e+3	1.113000000000000e-28	1.143000000000000e-28	1.143000000000000e-28
2.053000000000000e+3	1.138000000000000e-28	1.169000000000000e-28	1.169000000000000e-28
2.042000000000000e+3	1.163000000000000e-28	1.195000000000000e-28	1.195000000000000e-28
2.032000000000000e+3	1.189000000000000e-28	1.221000000000000e-28	1.221000000000000e-28
2.022000000000000e+3	1.215000000000000e-28	1.248000000000000e-28	1.248000000000000e-28
2.012000000000000e+3	1.242000000000000e-28	1.276000000000000e-28	1.276000000000000e-28
2.002000000000000e+3	1.269000000000000e-28	1.304000000000000e-28	1.304000000000000e-28
1.992000000000000e+3	1.297000000000000e-28	1.333000000000000e-28	1.333000000000000e-28
1.982000000000000e+3	1.326000000000000e-28	1.363000000000000e-28	1.363000000000000e-28
1.972000000000000e+3	1.355000000000000e-28	1.393000000000000e-28	1.393000000000000e-28
1.962000000000000e+3	1.385000000000000e-28	1.424000000000000e-28	1.424000000000000e-28
1.953000000000000e+3	1.416000000000000e-28	1.456000000000000e-28	1.456000000000000e-28
1.943000000000000e+3	1.448000000000000e-28	1.489000000000000e-28	1.489000000000000e-28
1.933000000000000e+3	1.481000000000000e-28	1.522000000000000e-28	1.522000000000000e-28
1.924000000000000e+3	1.514000000000000e-28	1.557000000000000e-28	1.557000000000000e-28
1.914000000000000e+3	1.548000000000000e-28	1.592000000000000e-28	1.592000000000000e-28
1.904000000000000e+3	1.583000000000000e-28	1.627000000000000e-28	1.627000000000000e-28
1.895000000000000e+3	1.618000000000000e-28	1.664000000000000e-28	1.664000000000000e-28
1.885000000000000e+3	1.654000000000000e-28	1.701000000000000e-28	1.701000000000000e-28
1.876000000000000e+3	1.691000000000000e-28	1.739000000000000e-28	1.739000000000000e-28
1.867000000000000e+3	1.729000000000000e-28	1.778000000000000e-28	1.778000000000000e-28
1.857000000000000e+3	1.767000000000000e-28	1.818000000000000e-28	1.818000000000000e-28
1.848000000000000e+3	1.807000000000000e-28	1.859000000000000e-28	1.859000000000000e-28
1.839000000000000e+3	1.848000000000000e-28	1.902000000000000e-28	1.902000000000000e-28
1.830000000000000e+3	1.890000000000000e-28	1.945000000000000e-28	1.945000000000000e-28
1.821000000000000e+3	1.933000000000000e-28	1.989000000000000e-28	1.989000000000000e-28
1.812000000000000e+3	1.977000000000000e-28	2.035000000000000e-28	2.035000000000000e-28
1.803000000000000e+3	2.022000000000000e-28	2.081000000000000e-28	2.081000000000000e-28
1.794000000000000e+3	2.067000000000000e-28	2.128000000000000e-28	2.128000000000000e-28
1.785000000000000e+3	2.114000000000000e-28	2.176000000000000e-28	2.176000000000000e-28
1.776000000000000e+3	2.162000000000000e-28	2.225000000000000e-28	2.225000000000000e-28
1.767000000000000e+3	2.210000000000000e-28	2.275000000000000e-28	2.275000000000000e-28
1.758000000000000e+3	2.260000000000000e-28	2.327000000000000e-28	2.327000000000000e-28
1.749000000000000e+3	2.311000000000000e-28	2.379000000000000e-28	2.379000000000000e-28
1.741000000000000e+3	2.364000000000000e-28	2.434000000000000e-28	2.434000000000000e-28
1.732000000000000e+3	2.418000000000000e-28	2.490000000000000e-28	2.490000000000000e-28
1.723000000000000e+3	2.474000000000000e-28	2.547000000000000e-28	2.547000000000000e-28
1.715000000000000e+3	2.530000000000000e-28	2.606000000000000e-28	2.606000000000000e-28
1.706000000000000e+3	2.588000000000000e-28	2.665000000000000e-28	2.665000000000000e-28
1.698000000000000e+3	2.647000000000000e-28	2.726000000000000e-28	2.726000000000000e-28
1.689000000000000e+3	2.707000000000000e-28	2.788000000000000e-28	2.788000000000000e-28
1.681000000000000e+3	2.768000000000000e-28	2.852000000000000e-28	2.852000000000000e-28
1.672000000000000e+3	2.831000000000000e-28	2.916000000000000e-28	2.916000000000000e-28
1.664000000000000e+3	2.895000000000000e-28	2.982000000000000e-28	2.982000000000000e-28
1.656000000000000e+3	2.961000000000000e-28	3.050000000000000e-28	3.050000000000000e-28
1.647000000000000e+3	3.029000000000000e-28	3.120000000000000e-28	3.120000000000000e-28
1.639000000000000e+3	3.099000000000000e-28	3.193000000000000e-28	3.193000000000000e-28
1.631000000000000e+3	3.170000000000000e-28	3.266000000000000e-28	3.266000000000000e-28
1.623000000000000e+3	3.243000000000000e-28	3.341000000000000e-28	3.341000000000000e-28
1.615000000000000e+3	3.317000000000000e-28	3.418000000000000e-28	3.418000000000000e-28
1.607000000000000e+3	3.393000000000000e-28	3.497000000000000e-28	3.497000000000000e-28
1.599000000000000e+3	3.471000000000000e-28	3.577000000000000e-28	3.577000000000000e-28
1.591000000000000e+3	3.550000000000000e-28	3.658000000000000e-28	3.658000000000000e-28
1.583000000000000e+3	3.631000000000000e-28	3.742000000000000e-28	3.742000000000000e-28
1.575000000000000e+3	3.713000000000000e-28	3.827000000000000e-28	3.827000000000000e-28
1.567000000000000e+3	3.797000000000001e-28	3.914000000000000e-28	3.914000000000000e-28
1.559000000000000e+3	3.884000000000000e-28	4.004000000000001e-28	4.004000000000001e-28
1.552000000000000e+3	3.974000000000001e-28	4.097000000000000e-28	4.097000000000000e-28
1.544000000000000e+3	4.066000000000001e-28	4.192000000000001e-28	4.192000000000001e-28
1.536000000000000e+3	4.160000000000001e-28	4.289000000000000e-28	4.289000000000000e-28
1.528000000000000e+3	4.256000000000001e-28	4.388000000000001e-28	4.388000000000001e-28
1.521000000000000e+3	4.353000000000000e-28	4.489000000000000e-28	4.489000000000000e-28
1.513000000000000e+3	4.453000000000000e-28	4.592000000000000e-28	4.592000000000000e-28
1.506000000000000e+3	4.555000000000000e-28	4.697000000000001e-28	4.697000000000001e-28
1.498000000000000e+3	4.659000000000001e-28	4.805000000000000e-28	4.805000000000000e-28
1.491000000000000e+3	4.765000000000001e-28	4.914000000000000e-28	4.914000000000000e-28
1.483000000000000e+3	4.873000000000000e-28	5.026000000000001e-28	5.026000000000001e-28
1.476000000000000e+3	4.985000000000001e-28	5.141000000000001e-28	5.141000000000001e-28
1.468000000000000e+3	5.100000000000001e-28	5.261000000000000e-28	5.261000000000000e-28
1.461000000000000e+3	5.218000000000001e-28	5.383000000000000e-28	5.383000000000000e-28
1.454000000000000e+3	5.339000000000001e-28	5.508000000000001e-28	5.508000000000001e-28
1.447000000000000e+3	5.462000000000000e-28	5.635000000000001e-28	5.635000000000001e-28
1.439000000000000e+3	5.588000000000000e-28	5.765000000000001e-28	5.765000000000001e-28
1.432000000000000e+3	5.716000000000001e-28	5.897000000000000e-28	5.897000000000000e-28
1.425000000000000e+3	5.847000000000001e-28	6.033000000000000e-28	6.033000000000000e-28
1.418000000000000e+3	5.981000000000001e-28	6.171000000000001e-28	6.171000000000001e-28
1.411000000000000e+3	6.117000000000001e-28	6.312000000000001e-28	6.312000000000001e-28
1.404000000000000e+3	6.256000000000001e-28	6.456000000000001e-28	6.456000000000001e-28
1.397000000000000e+3	6.398000000000000e-28	6.603000000000000e-28	6.603000000000000e-28
1.390000000000000e+3	6.546000000000001e-28	6.756000000000000e-28	6.756000000000000e-28
1.383000000000000e+3	6.698000000000001e-28	6.913000000000001e-28	6.913000000000001e-28
