#Species label	Database
HCTi+	
TiC2	
TiC2+	
TiN	
TiN+	
HNTi	
HNTi+	
TiNC	
TiNC+	
TiO	
TiO+	
TiOH+	
TiO2	
TiF+	
TiS	
TiS+	
HTiS	
HTiS+	
V	
V+	
V+10	Stout
V+11	Stout
V+12	Stout
V+13	
V+14	Stout
V+15	Stout
V+16	Stout
V+17	Stout
V+18	Stout
V+19	Stout
V+2	
V+20	Stout
V+21	He-like
V+22	H-like 
V+23	
V+3	Stout
V+4	
V+5	Stout
V+6	Stout
V+7	Stout
V+8	Stout
V+9	Stout
Cr	
Cr+	Stout
Cr+10	Stout
Cr+11	Stout
Cr+12	Chianti
Cr+13	Chianti
Cr+14	Stout
Cr+15	Chianti
Cr+16	Chianti
Cr+17	Chianti
Cr+18	Chianti
Cr+19	Chianti
Cr+2	
Cr+20	Chianti
Cr+21	Chianti
Cr+22	He-like
Cr+23	H-like 
Cr+24	
Cr+3	Stout
Cr+4	Stout
Cr+5	
Cr+6	Chianti
Cr+7	Chianti
Cr+8	Chianti
Cr+9	Stout
Mn	Stout
Mn+	
Mn+10	Stout
Mn+11	Stout
Mn+12	Stout
Mn+13	Stout
Mn+14	Chianti
Mn+15	Stout
Mn+16	Chianti
Mn+17	Chianti
Mn+18	Chianti
Mn+19	Chianti
Mn+2	
Mn+20	Chianti
Mn+21	Chianti
Mn+22	Chianti
Mn+23	He-like
Mn+24	H-like 
Mn+25	
Mn+3	
Mn+4	Stout
Mn+5	Stout
Mn+6	
Mn+7	Chianti
Mn+8	Chianti
Mn+9	Chianti
Fe	Stout
Fe+	Stout
Fe+10	Chianti
Fe+11	Chianti
Fe+12	Chianti
Fe+13	Chianti
Fe+14	Chianti
Fe+15	Chianti
Fe+16	Chianti
Fe+17	Chianti
Fe+18	Chianti
Fe+19	Chianti
Fe+2	Stout
Fe+20	Chianti
Fe+21	Chianti
Fe+22	Chianti
Fe+23	Chianti
Fe+24	He-like
Fe+25	H-like 
Fe+26	
Fe+3	Chianti
Fe+4	Chianti
Fe+5	Chianti
Fe+6	Stout
Fe+7	Chianti
Fe+8	Stout
Fe+9	Chianti
Co	
Co+	Stout
Co+10	Stout
Co+11	Stout
Co+12	Stout
Co+13	Stout
Co+14	Stout
Co+15	Stout
Co+16	Chianti
Co+17	Stout
Co+18	Chianti
Co+19	Chianti
Co+2	Stout
Co+20	Chianti
Co+21	Chianti
Co+22	Chianti
Co+23	Chianti
Co+24	Chianti
Co+25	He-like
Co+26	H-like 
Co+27	
Co+3	
Co+4	
Co+5	
Co+6	
Co+7	Stout
Co+8	
Co+9	Stout
Ni	Stout
Ni+	Chianti
Ni+10	Stout
Ni+11	Chianti
Ni+12	Chianti
Ni+13	Chianti
Ni+14	Stout
Ni+15	Chianti
Ni+16	Chianti
Ni+17	Chianti
Ni+18	Chianti
Ni+19	Chianti
Ni+2	Stout
Ni+20	Chianti
Ni+21	Chianti
Ni+22	Chianti
Ni+23	Chianti
Ni+24	Chianti
Ni+25	Chianti
Ni+26	He-like
Ni+27	H-like 
Ni+28	
Ni+3	Stout
Ni+4	Stout
Ni+5	
Ni+6	Stout
Ni+7	
Ni+8	Stout
Ni+9	
Cu	Stout
Cu+	
Cu+10	
Cu+11	
Cu+12	Stout
Cu+13	Stout
Cu+14	Stout
Cu+15	Stout
Cu+16	Stout
Cu+17	Stout
Cu+18	
Cu+19	
Cu+2	
Cu+20	Stout
Cu+21	Stout
Cu+22	Stout
Cu+23	Stout
Cu+24	Stout
Cu+25	
Cu+26	
Cu+27	He-like
Cu+28	H-like 
Cu+29	
Cu+3	
Cu+4	
Cu+5	
Cu+6	
Cu+7	
Cu+8	
Cu+9	
Zn	
Zn+	Stout
Zn+10	
Zn+11	
Zn+12	
Zn+13	
Zn+14	
Zn+15	
Zn+16	
Zn+17	
Zn+18	Stout
Zn+19	Chianti
Zn+2	
Zn+20	
Zn+21	
Zn+22	Chianti
Zn+23	Chianti
Zn+24	Chianti
Zn+25	
Zn+26	Chianti
Zn+27	Chianti
Zn+28	He-like
Zn+29	H-like 
Zn+3	Stout
Zn+30	
Zn+4	
Zn+5	
Zn+6	
Zn+7	
Zn+8	
Zn+9	
CRP	
CRPHOT	
PHOTON	
e-	
grn	
