Temperature	rate - actual	rate
1.000000000000000e+1	1.810000000000000e-9	1.810000000000000e+0
3.000000000000000e+1	1.860000000000000e-9	1.860000000000000e+0
1.000000000000000e+2	1.830000000000000e-9	1.830000000000000e+0
3.000000000000000e+2	1.740000000000000e-9	1.740000000000000e+0
1.000000000000000e+3	1.580000000000000e-9	1.580000000000000e+0
3.000000000000000e+3	1.330000000000000e-9	1.330000000000000e+0
1.000000000000000e+4	8.000000000000000e-10	8.000000000000000e-1
