VAR1	nFn/Hb=1448.8	nFn	VAR4	VAR5	VAR6	VAR7	VAR8
8.360000000000000e-5	4.530000000000000e-3	6.540000000000000e+0	6.540000000000000e+0	6.559000000000000e+0			
8.530000000000000e-5	4.600000000000000e-3	6.650000000000000e+0	6.650000000000000e+0	6.671000000000000e+0			
8.700000000000000e-5	4.680000000000000e-3	6.760000000000000e+0	6.760000000000000e+0	6.784000000000000e+0			
8.880000000000000e-5	4.760000000000000e-3	6.880000000000000e+0	6.880000000000000e+0	6.899000000000000e+0			
9.060000000000000e-5	4.840000000000000e-3	7.000000000000000e+0	7.000000000000000e+0	7.017000000000000e+0			
9.240000000000000e-5	4.920000000000000e-3	7.110000000000000e+0	7.110000000000000e+0	7.136000000000000e+0			
9.420000000000000e-5	5.010000000000000e-3	7.240000000000000e+0	7.240000000000000e+0	7.257000000000000e+0			
9.610000000000000e-5	5.090000000000000e-3	7.360000000000000e+0	7.360000000000000e+0	7.380000000000000e+0			
9.810000000000000e-5	5.180000000000000e-3	7.480000000000000e+0	7.480000000000000e+0	7.505000000000000e+0			
1.000000000000000e-4	5.270000000000000e-3	7.610000000000000e+0	7.610000000000000e+0	7.632000000000000e+0			
1.020000000000000e-4	5.360000000000000e-3	7.740000000000000e+0	7.740000000000000e+0	7.761000000000000e+0			
1.040000000000000e-4	5.450000000000000e-3	7.870000000000000e+0	7.870000000000000e+0	7.893000000000000e+0			
1.060000000000000e-4	5.540000000000000e-3	8.000000000000000e+0	8.000000000000000e+0	8.026000000000000e+0			
1.080000000000000e-4	5.629999999999999e-3	8.140000000000000e+0	8.140000000000000e+0	8.161000000000000e+0			
1.110000000000000e-4	5.730000000000000e-3	8.280000000000000e+0	8.280000000000000e+0	8.299000000000000e+0			
1.130000000000000e-4	5.820000000000000e-3	8.420000000000000e+0	8.420000000000000e+0	8.439000000000000e+0			
1.150000000000000e-4	5.920000000000000e-3	8.560000000000000e+0	8.560000000000000e+0	8.582000000000000e+0			
1.170000000000000e-4	6.020000000000000e-3	8.700000000000000e+0	8.700000000000000e+0	8.726000000000002e+0			
1.200000000000000e-4	6.119999999999999e-3	8.850000000000000e+0	8.850000000000000e+0	8.873000000000000e+0			
1.220000000000000e-4	6.230000000000000e-3	9.000000000000000e+0	9.000000000000000e+0	9.022000000000000e+0			
1.250000000000000e-4	6.330000000000000e-3	9.150000000000000e+0	9.150000000000000e+0	9.174000000000000e+0			
1.270000000000000e-4	6.440000000000001e-3	9.300000000000000e+0	9.300000000000000e+0	9.329000000000000e+0			
1.300000000000000e-4	6.550000000000000e-3	9.460000000000002e+0	9.460000000000002e+0	9.485000000000000e+0			
1.320000000000000e-4	6.660000000000000e-3	9.620000000000000e+0	9.620000000000000e+0	9.645000000000000e+0			
1.350000000000000e-4	7.580000000000000e-3	1.100000000000000e+1	1.100000000000000e+1	9.807000000000000e+0			
1.380000000000000e-4	6.880000000000000e-3	9.940000000000000e+0	9.940000000000000e+0	9.971000000000000e+0			
1.400000000000000e-4	7.000000000000000e-3	1.010000000000000e+1	1.010000000000000e+1	1.014000000000000e+1			
1.430000000000000e-4	7.110000000000000e-3	1.030000000000000e+1	1.030000000000000e+1	1.031000000000000e+1			
1.460000000000000e-4	7.230000000000000e-3	1.050000000000000e+1	1.050000000000000e+1	1.048000000000000e+1			
1.490000000000000e-4	7.360000000000000e-3	1.060000000000000e+1	1.060000000000000e+1	1.066000000000000e+1			
1.520000000000000e-4	7.470000000000000e-3	1.080000000000000e+1	1.080000000000000e+1	1.083000000000000e+1			
1.550000000000000e-4	8.660000000000000e-3	1.250000000000000e+1	1.250000000000000e+1	1.102000000000000e+1			
1.580000000000000e-4	7.730000000000000e-3	1.120000000000000e+1	1.120000000000000e+1	1.120000000000000e+1			
1.610000000000000e-4	7.860000000000000e-3	1.140000000000000e+1	1.140000000000000e+1	1.139000000000000e+1			
1.650000000000000e-4	7.990000000000000e-3	1.160000000000000e+1	1.160000000000000e+1	1.158000000000000e+1			
1.680000000000000e-4	8.120000000000000e-3	1.170000000000000e+1	1.170000000000000e+1	1.177000000000000e+1			
1.710000000000000e-4	8.260000000000000e-3	1.190000000000000e+1	1.190000000000000e+1	1.197000000000000e+1			
1.750000000000000e-4	9.750000000000000e-3	1.410000000000000e+1	1.410000000000000e+1	1.217000000000000e+1			
1.780000000000000e-4	8.540000000000000e-3	1.230000000000000e+1	1.230000000000000e+1	1.237000000000000e+1			
1.820000000000000e-4	8.680000000000000e-3	1.250000000000000e+1	1.250000000000000e+1	1.258000000000000e+1			
1.860000000000000e-4	8.820000000000000e-3	1.280000000000000e+1	1.280000000000000e+1	1.279000000000000e+1			
1.890000000000000e-4	8.970000000000000e-3	1.300000000000000e+1	1.300000000000000e+1	1.300000000000000e+1			
1.930000000000000e-4	9.120000000000000e-3	1.320000000000000e+1	1.320000000000000e+1	1.322000000000000e+1			
1.970000000000000e-4	9.270000000000000e-3	1.340000000000000e+1	1.340000000000000e+1	1.344000000000000e+1			
2.010000000000000e-4	1.120000000000000e-2	1.620000000000000e+1	1.620000000000000e+1	1.366000000000000e+1			
2.050000000000000e-4	9.580000000000000e-3	1.390000000000000e+1	1.390000000000000e+1	1.389000000000000e+1			
2.090000000000000e-4	9.740000000000000e-3	1.410000000000000e+1	1.410000000000000e+1	1.412000000000000e+1			
2.130000000000000e-4	9.900000000000002e-3	1.430000000000000e+1	1.430000000000000e+1	1.435000000000000e+1			
2.180000000000000e-4	1.010000000000000e-2	1.460000000000000e+1	1.460000000000000e+1	1.459000000000000e+1			
2.220000000000000e-4	1.020000000000000e-2	1.480000000000000e+1	1.480000000000000e+1	1.483000000000000e+1			
2.270000000000000e-4	1.040000000000000e-2	1.500000000000000e+1	1.500000000000000e+1	1.508000000000000e+1			
2.310000000000000e-4	1.290000000000000e-2	1.870000000000000e+1	1.870000000000000e+1	1.533000000000000e+1			
2.360000000000000e-4	1.080000000000000e-2	1.550000000000000e+1	1.550000000000000e+1	1.558000000000000e+1			
2.410000000000000e-4	1.090000000000000e-2	1.580000000000000e+1	1.580000000000000e+1	1.584000000000000e+1			
2.450000000000000e-4	1.110000000000000e-2	1.610000000000000e+1	1.610000000000000e+1	1.611000000000000e+1			
2.500000000000000e-4	1.130000000000000e-2	1.630000000000000e+1	1.630000000000000e+1	1.637000000000000e+1			
2.550000000000000e-4	1.150000000000000e-2	1.660000000000000e+1	1.660000000000000e+1	1.664000000000000e+1			
2.600000000000000e-4	1.170000000000000e-2	1.690000000000000e+1	1.690000000000000e+1	1.692000000000000e+1			
2.660000000000000e-4	1.190000000000000e-2	1.720000000000000e+1	1.720000000000000e+1	1.720000000000000e+1			
2.710000000000000e-4	1.520000000000000e-2	2.200000000000000e+1	2.200000000000000e+1	1.749000000000000e+1			
2.770000000000000e-4	1.230000000000000e-2	1.770000000000000e+1	1.770000000000000e+1	1.777000000000000e+1			
2.820000000000000e-4	1.250000000000000e-2	1.800000000000000e+1	1.800000000000000e+1	1.807000000000000e+1			
2.880000000000000e-4	1.370000000000000e-2	1.990000000000000e+1	1.990000000000000e+1	1.837000000000000e+1			
2.940000000000000e-4	1.290000000000000e-2	1.860000000000000e+1	1.860000000000000e+1	1.867000000000000e+1			
2.990000000000000e-4	1.310000000000000e-2	1.890000000000000e+1	1.890000000000000e+1	1.898000000000000e+1			
3.050000000000000e-4	1.330000000000000e-2	1.920000000000000e+1	1.920000000000000e+1	1.929000000000000e+1			
3.120000000000000e-4	1.350000000000000e-2	1.960000000000000e+1	1.960000000000000e+1	1.961000000000000e+1			
3.180000000000000e-4	1.810000000000000e-2	2.610000000000000e+1	2.610000000000000e+1	1.994000000000000e+1			
3.240000000000000e-4	1.400000000000000e-2	2.020000000000000e+1	2.020000000000000e+1	2.027000000000000e+1			
3.310000000000000e-4	1.560000000000000e-2	2.250000000000000e+1	2.250000000000000e+1	2.060000000000000e+1			
3.370000000000000e-4	1.440000000000000e-2	2.090000000000000e+1	2.090000000000000e+1	2.094000000000000e+1			
3.440000000000000e-4	1.470000000000000e-2	2.120000000000000e+1	2.120000000000000e+1	2.128000000000000e+1			
3.510000000000000e-4	1.490000000000000e-2	2.160000000000000e+1	2.160000000000000e+1	2.164000000000000e+1			
3.580000000000000e-4	1.520000000000000e-2	2.190000000000000e+1	2.190000000000000e+1	2.199000000000000e+1			
3.660000000000000e-4	1.540000000000000e-2	2.230000000000000e+1	2.230000000000000e+1	2.235000000000000e+1			
3.730000000000000e-4	2.160000000000000e-2	3.120000000000000e+1	3.120000000000000e+1	2.272000000000000e+1			
3.800000000000000e-4	1.770000000000000e-2	2.560000000000000e+1	2.560000000000000e+1	2.310000000000000e+1			
3.880000000000000e-4	1.620000000000000e-2	2.340000000000000e+1	2.340000000000000e+1	2.348000000000000e+1			
3.960000000000000e-4	1.650000000000000e-2	2.380000000000000e+1	2.380000000000000e+1	2.386000000000000e+1			
4.040000000000000e-4	1.670000000000000e-2	2.420000000000000e+1	2.420000000000000e+1	2.426000000000000e+1			
4.120000000000000e-4	1.700000000000000e-2	2.460000000000000e+1	2.460000000000000e+1	2.466000000000000e+1			
4.200000000000000e-4	1.730000000000000e-2	2.500000000000000e+1	2.500000000000000e+1	2.506000000000000e+1			
4.290000000000000e-4	1.760000000000000e-2	2.540000000000000e+1	2.540000000000000e+1	2.547000000000000e+1			
4.370000000000000e-4	2.020000000000000e-2	2.920000000000000e+1	2.920000000000000e+1	2.589000000000000e+1			
4.460000000000000e-4	2.650000000000000e-2	3.830000000000000e+1	3.830000000000000e+1	2.632000000000000e+1			
4.550000000000000e-4	1.850000000000000e-2	2.670000000000000e+1	2.670000000000000e+1	2.675000000000000e+1			
4.640000000000000e-4	2.010000000000000e-2	2.900000000000000e+1	2.900000000000000e+1	2.719000000000000e+1			
4.740000000000000e-4	1.910000000000000e-2	2.760000000000000e+1	2.760000000000000e+1	2.764000000000000e+1			
4.830000000000000e-4	1.940000000000000e-2	2.800000000000000e+1	2.800000000000000e+1	2.809000000000000e+1			
4.929999999999999e-4	1.970000000000000e-2	2.850000000000000e+1	2.850000000000000e+1	2.855000000000000e+1			
5.030000000000000e-4	2.310000000000000e-2	3.340000000000000e+1	3.340000000000000e+1	2.902000000000000e+1			
5.130000000000000e-4	2.040000000000000e-2	2.940000000000000e+1	2.940000000000000e+1	2.950000000000000e+1			
5.230000000000000e-4	2.230000000000000e-2	3.230000000000000e+1	3.230000000000000e+1	2.998000000000000e+1			
5.340000000000000e-4	3.300000000000000e-2	4.770000000000000e+1	4.770000000000000e+1	3.047000000000000e+1			
5.450000000000000e-4	2.140000000000000e-2	3.090000000000000e+1	3.090000000000000e+1	3.097000000000000e+1			
5.550000000000001e-4	2.180000000000000e-2	3.140000000000000e+1	3.140000000000000e+1	3.148000000000000e+1			
5.670000000000000e-4	2.210000000000000e-2	3.200000000000000e+1	3.200000000000000e+1	3.199000000000000e+1			
5.779999999999999e-4	2.250000000000000e-2	3.250000000000000e+1	3.250000000000000e+1	3.252000000000000e+1			
5.900000000000000e-4	2.700000000000000e-2	3.900000000000000e+1	3.900000000000000e+1	3.305000000000000e+1			
6.020000000000000e-4	2.320000000000000e-2	3.360000000000000e+1	3.360000000000000e+1	3.359000000000000e+1			
6.140000000000000e-4	2.580000000000000e-2	3.720000000000000e+1	3.720000000000000e+1	3.414000000000000e+1			
6.260000000000000e-4	2.400000000000000e-2	3.470000000000000e+1	3.470000000000000e+1	3.470000000000000e+1			
6.390000000000000e-4	2.440000000000000e-2	3.520000000000000e+1	3.520000000000000e+1	3.527000000000000e+1			
6.520000000000000e-4	4.440000000000000e-2	6.409999999999999e+1	6.409999999999999e+1	3.590000000000000e+1			
6.650000000000000e-4	2.670000000000000e-2	3.860000000000000e+1	3.860000000000000e+1	3.643000000000000e+1			
6.780000000000000e-4	2.560000000000000e-2	3.700000000000000e+1	3.700000000000000e+1	3.703000000000000e+1			
6.920000000000000e-4	3.170000000000000e-2	4.580000000000000e+1	4.580000000000000e+1	3.763000000000000e+1			
7.060000000000000e-4	2.930000000000000e-2	4.230000000000000e+1	4.230000000000000e+1	3.825000000000000e+1			
7.200000000000001e-4	2.690000000000000e-2	3.890000000000000e+1	3.890000000000000e+1	3.887000000000000e+1			
7.340000000000000e-4	2.730000000000000e-2	3.950000000000000e+1	3.950000000000000e+1	3.951000000000000e+1			
7.490000000000000e-4	2.780000000000000e-2	4.020000000000000e+1	4.020000000000000e+1	4.015000000000000e+1			
7.640000000000000e-4	3.020000000000000e-2	4.370000000000000e+1	4.370000000000000e+1	4.081000000000000e+1			
7.800000000000000e-4	2.870000000000000e-2	4.150000000000000e+1	4.150000000000000e+1	4.147000000000000e+1			
7.950000000000000e-4	3.290000000000000e-2	4.750000000000000e+1	4.750000000000000e+1	4.215000000000000e+1			
8.110000000000000e-4	5.990000000000000e-2	8.660000000000000e+1	8.660000000000000e+1	4.296000000000000e+1			
8.280000000000000e-4	3.810000000000000e-2	5.510000000000000e+1	5.510000000000000e+1	4.354000000000000e+1			
8.440000000000000e-4	3.060000000000000e-2	4.430000000000000e+1	4.430000000000000e+1	4.425000000000000e+1			
8.610000000000000e-4	3.110000000000000e-2	4.500000000000000e+1	4.500000000000000e+1	4.497000000000000e+1			
8.790000000000000e-4	3.420000000000000e-2	4.950000000000000e+1	4.950000000000000e+1	4.570000000000000e+1			
8.960000000000000e-4	3.400000000000000e-2	4.910000000000000e+1	4.910000000000000e+1	4.645000000000000e+1			
9.140000000000000e-4	3.270000000000000e-2	4.730000000000000e+1	4.730000000000000e+1	4.720000000000000e+1			
9.330000000000000e-4	3.330000000000000e-2	4.810000000000000e+1	4.810000000000000e+1	4.797000000000000e+1			
9.510000000000000e-4	3.890000000000000e-2	5.620000000000000e+1	5.620000000000000e+1	4.875000000000000e+1			
9.710000000000000e-4	3.440000000000000e-2	4.970000000000000e+1	4.970000000000000e+1	4.955000000000000e+1			
9.900000000000000e-4	4.620000000000000e-2	6.680000000000000e+1	6.680000000000000e+1	5.035000000000000e+1			
1.010000000000000e-3	3.530000000000000e-2	5.110000000000000e+1	5.110000000000000e+1	5.096000000000000e+1			
1.020000000000000e-3	3.900000000000000e-2	5.640000000000000e+1	5.640000000000000e+1	5.138000000000000e+1			
1.030000000000000e-3	8.390000000000000e-2	1.210000000000000e+2	1.210000000000000e+2	5.201000000000000e+1			
1.040000000000000e-3	3.850000000000000e-2	5.570000000000000e+1	5.570000000000000e+1	5.221000000000000e+1			
1.050000000000000e-3	3.650000000000000e-2	5.280000000000000e+1	5.280000000000000e+1	5.264000000000000e+1			
1.060000000000000e-3	3.680000000000000e-2	5.320000000000000e+1	5.320000000000000e+1	5.307000000000000e+1			
1.070000000000000e-3	3.710000000000000e-2	5.360000000000000e+1	5.360000000000000e+1	5.350000000000000e+1			
