freq	gra abs	gra scat	sil abs	sil scat
5.608200000000000e-1	3.290000000000000e-22	5.450000000000000e-23	3.300000000000000e-22	1.700000000000000e-22
5.625000000000000e-1	3.270000000000000e-22	5.450000000000000e-23	3.340000000000000e-22	1.700000000000000e-22
5.641900000000000e-1	3.260000000000000e-22	5.439999999999999e-23	3.370000000000000e-22	1.700000000000000e-22
5.658900000000000e-1	3.240000000000000e-22	5.439999999999999e-23	3.400000000000000e-22	1.700000000000000e-22
5.675900000000000e-1	3.230000000000000e-22	5.430000000000000e-23	3.440000000000000e-22	1.700000000000000e-22
5.692900000000000e-1	3.210000000000000e-22	5.430000000000000e-23	3.470000000000000e-22	1.700000000000000e-22
5.709999999999999e-1	3.200000000000000e-22	5.430000000000000e-23	3.510000000000000e-22	1.690000000000000e-22
5.727100000000001e-1	3.180000000000000e-22	5.419999999999999e-23	3.540000000000000e-22	1.690000000000000e-22
5.744300000000000e-1	3.160000000000000e-22	5.419999999999999e-23	3.580000000000000e-22	1.690000000000000e-22
5.761600000000000e-1	3.150000000000000e-22	5.410000000000000e-23	3.620000000000000e-22	1.690000000000000e-22
5.778900000000000e-1	3.130000000000000e-22	5.410000000000000e-23	3.650000000000000e-22	1.690000000000000e-22
5.796200000000000e-1	3.120000000000000e-22	5.410000000000000e-23	3.690000000000000e-22	1.690000000000000e-22
5.813600000000000e-1	3.110000000000000e-22	5.399999999999999e-23	3.730000000000000e-22	1.690000000000000e-22
5.831100000000000e-1	3.090000000000000e-22	5.399999999999999e-23	3.770000000000000e-22	1.690000000000000e-22
5.848600000000001e-1	3.080000000000000e-22	5.399999999999999e-23	3.800000000000000e-22	1.690000000000000e-22
5.866100000000000e-1	3.080000000000000e-22	5.460000000000000e-23	3.860000000000000e-22	1.690000000000000e-22
5.883699999999999e-1	3.080000000000000e-22	5.529999999999999e-23	3.930000000000000e-22	1.680000000000000e-22
5.901400000000000e-1	3.080000000000000e-22	5.590000000000000e-23	3.990000000000000e-22	1.680000000000000e-22
5.919100000000001e-1	3.080000000000000e-22	5.659999999999999e-23	4.050000000000000e-22	1.670000000000000e-22
5.936900000000001e-1	3.080000000000000e-22	5.720000000000000e-23	4.120000000000000e-22	1.670000000000000e-22
5.954700000000001e-1	3.080000000000000e-22	5.789999999999999e-23	4.180000000000000e-22	1.660000000000000e-22
5.972600000000000e-1	3.090000000000000e-22	5.859999999999999e-23	4.250000000000000e-22	1.660000000000000e-22
5.990500000000000e-1	3.090000000000000e-22	5.930000000000000e-23	4.320000000000000e-22	1.660000000000000e-22
6.008500000000000e-1	3.090000000000000e-22	6.000000000000000e-23	4.390000000000000e-22	1.650000000000000e-22
6.026500000000000e-1	3.090000000000000e-22	6.069999999999999e-23	4.460000000000000e-22	1.650000000000000e-22
6.044600000000000e-1	3.090000000000000e-22	6.139999999999999e-23	4.530000000000000e-22	1.640000000000000e-22
6.062800000000001e-1	3.090000000000000e-22	6.210000000000000e-23	4.599999999999999e-22	1.640000000000000e-22
6.081000000000000e-1	3.090000000000000e-22	6.280000000000000e-23	4.670000000000000e-22	1.640000000000000e-22
6.099200000000000e-1	3.090000000000000e-22	6.360000000000000e-23	4.749999999999999e-22	1.630000000000000e-22
6.117500000000000e-1	3.100000000000000e-22	6.430000000000000e-23	4.820000000000000e-22	1.630000000000000e-22
6.135900000000000e-1	3.100000000000000e-22	6.509999999999999e-23	4.900000000000000e-22	1.620000000000000e-22
6.154300000000000e-1	3.100000000000000e-22	6.580000000000000e-23	4.980000000000000e-22	1.620000000000000e-22
6.172800000000001e-1	3.100000000000000e-22	6.659999999999999e-23	5.059999999999999e-22	1.620000000000000e-22
6.191299999999999e-1	3.100000000000000e-22	6.739999999999999e-23	5.140000000000000e-22	1.610000000000000e-22
6.209900000000001e-1	3.100000000000000e-22	6.820000000000000e-23	5.160000000000000e-22	1.600000000000000e-22
6.228600000000000e-1	3.100000000000000e-22	6.899999999999999e-23	5.170000000000000e-22	1.590000000000000e-22
6.247300000000000e-1	3.100000000000000e-22	6.979999999999999e-23	5.179999999999999e-22	1.590000000000000e-22
6.266000000000001e-1	3.110000000000000e-22	7.060000000000000e-23	5.190000000000000e-22	1.580000000000000e-22
6.284800000000000e-1	3.110000000000000e-22	7.149999999999999e-23	5.200000000000000e-22	1.570000000000000e-22
6.303700000000000e-1	3.110000000000000e-22	7.230000000000000e-23	5.209999999999999e-22	1.560000000000000e-22
6.322600000000001e-1	3.110000000000000e-22	7.309999999999998e-23	5.220000000000000e-22	1.550000000000000e-22
