VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
2.863620220270315e+0				7.305000000000000e+2	Co27
-2.714027566165684e-1				5.353000000000000e-1	Ni 1
1.215598441875010e-1				1.323000000000000e+0	Ni 2
4.164740791002207e-1				2.609000000000000e+0	Ni 3
6.107665947732709e-1				4.080999999999999e+0	Ni 4
7.496590320948997e-1				5.619000000000000e+0	Ni 5
8.988896559265864e-1				7.922999999999998e+0	Ni 6
9.891382242157890e-1				9.752999999999998e+0	Ni 7
1.075911761482777e+0				1.191000000000000e+1	Ni 8
1.152288344383056e+0				1.420000000000000e+1	Ni 9
1.221674997070769e+0				1.666000000000000e+1	Ni10
1.374381698050882e+0				2.368000000000000e+1	Ni11
1.405687786672777e+0				2.545000000000000e+1	Ni12
1.447313108823568e+0				2.801000000000000e+1	Ni13
1.499412125672275e+0				3.158000000000000e+1	Ni14
1.534153074185062e+0				3.420999999999999e+1	Ni15
1.561816664318957e+0				3.645999999999999e+1	Ni16
1.624385241420265e+0				4.211000000000000e+1	Ni17
1.648652695131223e+0				4.452999999999999e+1	Ni18
2.050379756261458e+0				1.123000000000000e+2	Ni19
2.089198366805148e+0				1.228000000000000e+2	Ni20
2.097951070994150e+0				1.253000000000000e+2	Ni21
2.145196406114182e+0				1.397000000000000e+2	Ni22
2.171141151028382e+0				1.483000000000000e+2	Ni23
2.188365926063148e+0				1.543000000000000e+2	Ni24
2.222976449893391e+0				1.671000000000000e+2	Ni25
2.244524511570083e+0				1.756000000000000e+2	Ni26
2.880870732532424e+0				7.600999999999998e+2	Ni27
2.898121575541107e+0				7.909000000000000e+2	Ni28
-2.757241303992110e-1				5.299999999999999e-1	Cu 1
1.734776434529945e-1				1.491000000000000e+0	Cu 2
4.337698339248658e-1				2.715000000000000e+0	Cu 3
6.246945312720813e-1				4.213999999999999e+0	Cu 4
7.739326474676453e-1				5.941999999999999e+0	Cu 5
8.780619812900125e-1				7.552000000000000e+0	Cu 6
9.995654882259822e-1				9.989999999999998e+0	Cu 7
1.086359830674748e+0				1.220000000000000e+1	Cu 8
1.166133970305109e+0				1.466000000000000e+1	Cu 9
1.232233521114733e+0				1.707000000000000e+1	Cu10
1.301464073143300e+0				2.002000000000000e+1	Cu11
1.433449793761596e+0				2.713000000000000e+1	Cu12
1.454234895748265e+0				2.846000000000000e+1	Cu13
1.502836638621003e+0				3.183000000000000e+1	Cu14
1.558348508761620e+0				3.616999999999999e+1	Cu15
1.582744965691277e+0				3.826000000000000e+1	Cu16
1.610447221442121e+0				4.077999999999999e+1	Cu17
1.662568966933260e+0				4.598000000000000e+1	Cu18
1.693726948923647e+0				4.940000000000000e+1	Cu19
2.067814511161840e+0				1.169000000000000e+2	Cu20
2.123851640967086e+0				1.330000000000000e+2	Cu21
2.149527013754348e+0				1.411000000000000e+2	Cu22
2.179838928023186e+0				1.513000000000000e+2	Cu23
2.201397124320451e+0				1.590000000000000e+2	Cu24
2.231469590430681e+0				1.704000000000000e+2	Cu25
2.259593878885948e+0				1.818000000000000e+2	Cu26
2.276921132065774e+0				1.892000000000000e+2	Cu27
2.906765889540728e+0				8.068000000000000e+2	Cu28
2.932676658622400e+0				8.564000000000000e+2	Cu29
-1.672356950594686e-1				6.803999999999999e-1	Zn 1
1.179338350396415e-1				1.312000000000000e+0	Zn 2
4.614985267830186e-1				2.894000000000000e+0	Zn 3
6.385890832927169e-1				4.351000000000000e+0	Zn 4
7.808931086870789e-1				6.037999999999999e+0	Zn 5
8.954225460394078e-1				7.860000000000000e+0	Zn 6
9.960736544852754e-1				9.909999999999998e+0	Zn 7
1.113943352306837e+0				1.300000000000000e+1	Zn 8
1.173186268412274e+0				1.490000000000000e+1	Zn 9
1.242541428298384e+0				1.748000000000000e+1	Zn10
1.308564413561239e+0				2.035000000000000e+1	Zn11
1.360593413565249e+0				2.294000000000000e+1	Zn12
1.485437481076301e+0				3.058000000000000e+1	Zn13
1.520221435881960e+0				3.313000000000000e+1	Zn14
1.537567257152675e+0				3.448000000000000e+1	Zn15
1.599992177584098e+0				3.980999999999999e+1	Zn16
1.627775375229303e+0				4.244000000000000e+1	Zn17
1.655618583541222e+0				4.525000000000000e+1	Zn18
1.709778601848225e+0				5.126000000000000e+1	Zn19
1.731346975545955e+0				5.387000000000000e+1	Zn20
2.128076012668715e+0				1.343000000000000e+2	Zn21
2.166726055580051e+0				1.468000000000000e+2	Zn22
2.197004728023046e+0				1.574000000000000e+2	Zn23
2.210050849875137e+0				1.622000000000000e+2	Zn24
2.240299582002712e+0				1.739000000000000e+2	Zn25
2.268109729808478e+0				1.854000000000000e+2	Zn26
2.285557309007774e+0				1.930000000000000e+2	Zn27
2.311329952303793e+0				2.048000000000000e+2	Zn28
2.941262909318950e+0				8.735000000000000e+2	Zn29
2.964919294286642e+0				9.224000000000000e+2	Zn30
-8.686758342858078e-5				9.997999999999998e-1	H  1
2.567177459774870e-1				1.806000000000000e+0	He 1
6.004283257321311e-1				3.985000000000000e+0	He 2
-4.016472901307161e-1				3.965999999999999e-1	Li 1
7.461669643772853e-1				5.574000000000000e+0	Li 2
9.544354863284822e-1				9.004000000000000e+0	Li 3
-1.629168491768141e-1				6.871999999999999e-1	Be 1
1.248301494138592e-1				1.333000000000000e+0	Be 2
1.048053173115609e+0				1.117000000000000e+1	Be 3
1.204391331919300e+0				1.601000000000000e+1	Be 4
-2.106308464085182e-1				6.156999999999999e-1	B  1
2.671717284030138e-1				1.850000000000000e+0	B  2
4.442009888641595e-1				2.781000000000000e+0	B  3
1.277150613963797e+0				1.893000000000000e+1	B  4
1.398807730203264e+0				2.505000000000000e+1	B  5
-8.039897621588899e-2				8.310000000000000e-1	C  1
2.533380053261064e-1				1.792000000000000e+0	C  2
5.448119117577761e-1				3.506000000000000e+0	C  3
