u/u(T)	10,000K	40,000K	70,000K	100,000K	130,000K	VAR7	VAR8
1.000000000000000e-4	3.170000000000000e+0	2.790000000000000e+2	2.650000000000000e+3	3.070000000000000e+3	3.370000000000000e+3	1.000000000000000e+0	1.000000000000000e+4
1.000000000000000e-3	4.430000000000000e+1	4.160000000000000e+3	5.510000000000000e+3	6.150000000000000e+3	6.620000000000000e+3	1.000000000000000e+0	4.000000000000000e+4
1.000000000000000e-2	2.470000000000000e+3	6.810000000000000e+3	1.050000000000000e+4	1.340000000000000e+4	1.540000000000000e+4	1.000000000000000e+0	7.000000000000000e+4
1.000000000000000e-1	4.500000000000000e+3	1.170000000000000e+4	1.540000000000000e+4	1.870000000000000e+4	3.400000000000000e+4	1.000000000000000e+0	1.000000000000000e+5
1.000000000000000e+0	9.980000000000000e+3	4.030000000000000e+4	7.070000000000000e+4	1.010000000000000e+5	1.290000000000000e+5	1.000000000000000e+0	1.300000000000000e+5
