VAR1	VAR2	VAR3	VAR4	VAR5
6.471521035598706e-3	1.999700000000000e+16	1.950100000000000e+5		
6.856634304207120e-3	2.118700000000000e+16	2.006900000000000e+5		
7.264724919093851e-3	2.244800000000000e+16	2.065400000000000e+5		
7.697087378640776e-3	2.378400000000000e+16	2.125600000000000e+5		
8.155016181229773e-3	2.519900000000000e+16	2.187500000000000e+5		
8.640129449838187e-3	2.669800000000000e+16	2.251300000000000e+5		
9.153721682847896e-3	2.828500000000000e+16	2.316900000000000e+5		
9.698058252427184e-3	2.996700000000000e+16	2.384400000000000e+5		
1.027475728155340e-2	3.174900000000000e+16	2.453900000000000e+5		
1.088576051779935e-2	3.363700000000000e+16	2.525400000000000e+5		
1.153300970873786e-2	3.563700000000000e+16	2.599000000000000e+5		
1.221877022653722e-2	3.775600000000000e+16	2.674800000000000e+5		
1.294498381877023e-2	4.000000000000000e+16	2.752700000000000e+5		
1.371456310679612e-2	4.237800000000000e+16	2.833000000000000e+5		
1.452977346278317e-2	4.489700000000000e+16	2.915500000000000e+5		
1.539320388349515e-2	4.756500000000000e+16	3.000500000000000e+5		
1.630809061488673e-2	5.039200000000000e+16	3.087900000000000e+5		
1.727734627831715e-2	5.338700000000000e+16	3.177900000000000e+5		
1.830453074433657e-2	5.656100000000000e+16	3.270500000000000e+5		
1.939223300970874e-2	5.992200000000000e+16	3.365800000000000e+5		
2.054498381877023e-2	6.348400000000000e+16	3.463900000000000e+5		
2.176601941747573e-2	6.725700000000000e+16	3.564900000000000e+5		
2.305987055016181e-2	7.125500000000000e+16	3.668800000000000e+5		
2.443042071197411e-2	7.549000000000000e+16	3.775700000000000e+5		
2.588252427184466e-2	7.997700000000000e+16	3.885700000000000e+5		
2.742135922330097e-2	8.473200000000000e+16	3.998900000000000e+5		
2.905145631067961e-2	8.976900000000000e+16	4.115400000000000e+5		
3.077896440129450e-2	9.510700000000000e+16	4.235400000000000e+5		
3.260841423948220e-2	1.007600000000000e+17	4.358800000000000e+5		
3.454692556634304e-2	1.067500000000000e+17	4.485800000000000e+5		
3.660194174757282e-2	1.131000000000000e+17	4.616500000000000e+5		
3.877993527508090e-2	1.198300000000000e+17	4.751000000000000e+5		
4.108737864077670e-2	1.269600000000000e+17	4.889400000000000e+5		
4.353074433656958e-2	1.345100000000000e+17	5.031900000000000e+5		
4.612297734627831e-2	1.425200000000000e+17	5.178500000000000e+5		
4.886731391585761e-2	1.510000000000000e+17	5.329300000000000e+5		
5.177669902912621e-2	1.599900000000000e+17	5.484600000000000e+5		
5.486084142394822e-2	1.695200000000000e+17	5.644400000000000e+5		
5.812621359223301e-2	1.796100000000000e+17	5.808800000000000e+5		
6.158899676375405e-2	1.903100000000000e+17	5.978000000000000e+5		
6.526213592233010e-2	2.016600000000000e+17	6.152200000000000e+5		
6.915210355987054e-2	2.136800000000000e+17	6.331400000000000e+5		
7.327508090614886e-2	2.264200000000000e+17	6.515800000000000e+5		
7.764401294498382e-2	2.399200000000000e+17	6.705500000000000e+5		
8.227831715210355e-2	2.542400000000000e+17	6.900800000000000e+5		
8.719093851132686e-2	2.694200000000000e+17	7.101800000000000e+5		
9.239482200647250e-2	2.855000000000000e+17	7.308600000000000e+5		
9.791585760517800e-2	3.025600000000000e+17	7.521400000000000e+5		
9.987055016181230e-2	3.086000000000000e+17	7.595300000000000e+5		
