VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16	VAR17	VAR18	VAR19	VAR20	VAR21	VAR22
7.754000000000000e+2	1.204000000000000e-20	7.701000000000000e+1	1.095000000000000e-19	6.570000000000000e+1	8.311000000000000e-19	9.473000000000000e+0	3.185000000000000e-19	6.563000000000000e+0	6.273000000000000e-19	6.615000000000000e+0	5.419000000000000e-18	1.395000000000000e+0	9.522000000000000e-19								
7.909000000000000e+2	1.142000000000000e-20	7.778000000000000e+1	1.078000000000000e-19	6.634999999999999e+1	8.119000000000000e-19	9.549000000000000e+0	3.175000000000000e-19	6.615000000000000e+0	6.290000000000000e-19	6.668000000000000e+0	5.361999999999999e-18	1.407000000000000e+0	1.021000000000000e-18								
8.068000000000000e+2	1.083000000000000e-20	7.856000000000000e+1	1.062000000000000e-19	6.702000000000000e+1	7.930000000000000e-19	9.625000000000000e+0	3.164000000000000e-19	6.668000000000000e+0	6.313999999999999e-19	6.722000000000001e+0	5.303999999999999e-18	1.418000000000000e+0	1.094000000000000e-18								
8.230000000000000e+2	1.027000000000000e-20	7.934000000000000e+1	1.046000000000000e-19	6.769000000000000e+1	7.744000000000000e-19	9.702000000000000e+0	3.153000000000000e-19	6.722000000000001e+0	6.342999999999999e-19	6.776000000000000e+0	5.247000000000000e-18	1.429000000000000e+0	1.172000000000000e-18								
8.395000000000000e+2	9.743000000000000e-21	8.013000000000000e+1	1.031000000000000e-19	6.836000000000000e+1	7.563000000000000e-19	9.780000000000000e+0	3.142000000000000e-19	6.776000000000000e+0	6.379000000000000e-19	6.830000000000000e+0	5.190000000000000e-18	1.441000000000000e+0	1.253000000000000e-18								
8.564000000000000e+2	9.237999999999998e-21	8.093000000000000e+1	1.015000000000000e-19	6.904000000000001e+1	7.384000000000000e-19	9.858000000000000e+0	3.131000000000000e-19	6.830000000000000e+0	6.419000000000000e-19	6.885000000000000e+0	5.133000000000000e-18	1.452000000000000e+0	1.339000000000000e-18								
8.736000000000000e+2	8.757000000000000e-21	8.174000000000000e+1	9.996000000000000e-20	6.973000000000000e+1	7.210000000000000e-19	9.937000000000000e+0	3.119000000000000e-19	6.885000000000000e+0	6.465000000000000e-19	6.940000000000000e+0	5.075999999999999e-18	1.464000000000000e+0	1.428000000000000e-18								
8.911000000000000e+2	8.300999999999998e-21	8.256000000000000e+1	9.843000000000000e-20	7.043000000000001e+1	7.037999999999999e-19	1.002000000000000e+1	3.107000000000000e-19	6.940000000000000e+0	6.514999999999999e-19	6.995000000000000e+0	5.019000000000000e-18	1.476000000000000e+0	1.522000000000000e-18								
9.224000000000000e+2	7.559000000000000e-21	8.338000000000000e+1	9.692000000000000e-20	7.112999999999999e+1	6.871000000000000e-19	1.010000000000000e+1	3.095000000000000e-19	6.995000000000000e+0	6.569000000000000e-19	7.051000000000000e+0	4.962000000000000e-18	1.487000000000000e+0	1.620000000000000e-18								
9.692000000000000e+2	6.609000000000000e-21	8.421000000000000e+1	9.543000000000002e-20	7.184000000000000e+1	6.706000000000000e-19	1.018000000000000e+1	3.082000000000000e-19	7.051000000000000e+0	6.626000000000000e-19	7.108000000000000e+0	4.904999999999999e-18	1.499000000000000e+0	1.722000000000000e-18								
1.018000000000000e+3	5.773999999999999e-21	8.505000000000000e+1	9.396000000000000e-20	7.256000000000000e+1	6.544999999999999e-19	1.026000000000000e+1	3.070000000000000e-19	7.108000000000000e+0	6.686999999999999e-19	7.165000000000000e+0	4.849000000000000e-18	1.511000000000000e+0	1.828000000000000e-18								
1.070000000000000e+3	5.041000000000000e-21	8.590000000000000e+1	9.250000000000000e-20	7.328000000000000e+1	6.388000000000000e-19	1.034000000000000e+1	3.057000000000000e-19	7.165000000000000e+0	6.750999999999999e-19	7.222000000000000e+0	4.792999999999999e-18	1.523000000000000e+0	1.938000000000000e-18								
1.124000000000000e+3	4.398000000000000e-21	8.676000000000000e+1	9.106000000000000e-20	7.401000000000000e+1	6.233000000000000e-19	1.042000000000000e+1	3.043000000000000e-19	7.222000000000000e+0	6.818000000000000e-19	7.280000000000000e+0	4.737000000000000e-18	1.536000000000000e+0	2.052000000000000e-18								
1.181000000000000e+3	3.834999999999999e-21	8.762000000000000e+1	8.964000000000000e-20	7.475000000000000e+1	6.081999999999999e-19	1.051000000000000e+1	3.030000000000000e-19	7.280000000000000e+0	6.887000000000000e-19	7.338000000000000e+0	4.681000000000000e-18	1.548000000000000e+0	2.169000000000000e-18								
1.241000000000000e+3	3.341000000000000e-21	8.850000000000000e+1	8.823000000000000e-20	7.550000000000000e+1	5.933999999999999e-19	1.059000000000000e+1	3.016000000000000e-19	7.338000000000000e+0	6.958000000000000e-19	7.397000000000000e+0	4.624999999999999e-18	1.560000000000000e+0	2.291000000000000e-18								
1.304000000000000e+3	2.910000000000000e-21	8.938000000000000e+1	8.684000000000000e-20	7.625000000000000e+1	5.788999999999999e-19	1.068000000000000e+1	3.002000000000000e-19	7.397000000000000e+0	7.031000000000000e-19	7.456000000000000e+0	4.570000000000000e-18	1.573000000000000e+0	2.416000000000000e-18								
1.370000000000000e+3	2.532000000000000e-21	9.027000000000000e+1	8.547000000000000e-20	7.701000000000000e+1	5.646999999999999e-19	1.076000000000000e+1	2.987000000000000e-19	7.456000000000000e+0	7.106000000000000e-19	7.516000000000000e+0	4.515000000000000e-18	1.585000000000000e+0	2.544000000000000e-18								
1.440000000000000e+3	2.202000000000000e-21	9.117000000000000e+1	8.411000000000002e-20	7.778000000000000e+1	5.508000000000000e-19	1.085000000000000e+1	2.973000000000000e-19	7.516000000000000e+0	7.180999999999999e-19	7.576000000000000e+0	4.460000000000000e-18	1.598000000000000e+0	2.676000000000000e-18								
1.513000000000000e+3	1.914000000000000e-21	9.208000000000000e+1	8.277000000000000e-20	7.856000000000000e+1	5.372000000000000e-19	1.094000000000000e+1	2.958000000000000e-19	7.576000000000000e+0	7.258000000000000e-19	7.637000000000000e+0	4.405000000000000e-18	1.611000000000000e+0	2.812000000000000e-18								
1.590000000000000e+3	1.663000000000000e-21	9.300000000000000e+1	8.145000000000000e-20	7.934000000000000e+1	5.238999999999999e-19	1.102000000000000e+1	2.943000000000000e-19	7.637000000000000e+0	7.336000000000000e-19	7.698000000000000e+0	4.351000000000000e-18	1.624000000000000e+0	2.950000000000000e-18								
1.670000000000000e+3	1.444000000000000e-21	9.393000000000000e+1	8.014000000000000e-20	8.013000000000000e+1	5.109000000000000e-19	1.111000000000000e+1	2.928000000000000e-19	7.698000000000000e+0	7.414000000000000e-19	7.760000000000000e+0	4.297000000000000e-18	1.637000000000000e+0	3.092000000000000e-18								
1.755000000000000e+3	1.253000000000000e-21	9.487000000000000e+1	7.885000000000002e-20	8.093000000000000e+1	4.980999999999999e-19	1.120000000000000e+1	2.912000000000000e-19	7.760000000000000e+0	7.493000000000000e-19	7.822000000000000e+0	4.242999999999999e-18	1.650000000000000e+0	3.237000000000000e-18								
1.844000000000000e+3	1.086000000000000e-21	9.581000000000000e+1	7.758000000000000e-20	8.174000000000000e+1	4.857000000000000e-19	1.129000000000000e+1	2.897000000000000e-19	7.822000000000000e+0	7.571000000000000e-19	7.885000000000000e+0	4.190000000000000e-18	1.663000000000000e+0	3.385000000000000e-18								
1.937000000000000e+3	9.417000000000000e-22	9.677000000000000e+1	7.632000000000000e-20	8.256000000000000e+1	4.735000000000000e-19	1.138000000000000e+1	2.881000000000000e-19	7.885000000000000e+0	7.650000000000000e-19	7.948000000000000e+0	4.136000000000000e-18	1.677000000000000e+0	3.535000000000000e-18								
2.036000000000000e+3	8.158000000000000e-22	9.774000000000000e+1	7.508000000000000e-20	8.338000000000000e+1	4.616000000000000e-19	1.147000000000000e+1	2.865000000000000e-19	7.948000000000000e+0	7.729000000000000e-19	8.012000000000000e+0	4.082999999999999e-18	1.690000000000000e+0	3.689000000000000e-18								
2.139000000000000e+3	7.064000000000000e-22	9.871000000000000e+1	7.385000000000000e-20	8.421000000000000e+1	4.500000000000000e-19	1.156000000000000e+1	2.849000000000000e-19	8.012000000000000e+0	7.807000000000000e-19	8.076000000000000e+0	4.031000000000000e-18	1.704000000000000e+0	3.843999999999999e-18								
2.247000000000000e+3	6.114000000000000e-22	9.970000000000000e+1	7.264000000000000e-20	8.505000000000000e+1	4.386000000000000e-19	1.166000000000000e+1	2.833000000000000e-19	8.076000000000000e+0	7.885000000000000e-19	8.140000000000000e+0	3.978000000000000e-18	1.717000000000000e+0	4.002000000000000e-18								
2.361000000000000e+3	5.289000000000000e-22	1.007000000000000e+2	7.144000000000000e-20	8.590000000000000e+1	4.274000000000000e-19	1.175000000000000e+1	2.817000000000000e-19	8.140000000000000e+0	7.962000000000000e-19	8.206000000000000e+0	3.925999999999999e-18	1.731000000000000e+0	4.162000000000000e-18								
2.481000000000000e+3	4.573000000000000e-22	1.017000000000000e+2	7.026000000000001e-20	8.676000000000000e+1	4.166000000000000e-19	1.184000000000000e+1	2.800000000000000e-19	8.206000000000000e+0	8.039000000000000e-19	8.271000000000000e+0	3.874999999999999e-18	1.745000000000000e+0	4.324000000000000e-18								
2.607000000000000e+3	3.952000000000000e-22	1.027000000000000e+2	6.910000000000000e-20	8.762000000000000e+1	4.060000000000000e-19	1.194000000000000e+1	2.784000000000000e-19	8.271000000000000e+0	8.115000000000000e-19	8.337999999999998e+0	3.823000000000000e-18	1.759000000000000e+0	4.488999999999999e-18								
2.739000000000000e+3	3.413000000000000e-22	1.037000000000000e+2	6.795000000000001e-20	8.850000000000000e+1	3.956000000000000e-19	1.203000000000000e+1	2.767000000000000e-19	8.337999999999998e+0	8.189000000000000e-19	8.404000000000000e+0	3.771999999999999e-18	1.773000000000000e+0	4.654000000000000e-18								
2.878000000000000e+3	2.947000000000000e-22	1.048000000000000e+2	6.682000000000000e-20	8.938000000000000e+1	3.854000000000000e-19	1.213000000000000e+1	2.750000000000000e-19	8.404000000000000e+0	8.263000000000000e-19	8.472000000000000e+0	3.722000000000000e-18	1.782000000000000e+0	4.757000000000000e-18								
3.024000000000000e+3	2.543000000000000e-22	1.058000000000000e+2	6.570000000000001e-20	9.027000000000000e+1	3.755000000000000e-19	1.223000000000000e+1	2.733000000000000e-19	8.472000000000000e+0	8.335000000000000e-19	8.539999999999998e+0	3.671000000000000e-18	1.785000000000000e+0	4.795999999999999e-18								
3.178000000000000e+3	2.194000000000000e-22	1.069000000000000e+2	6.460000000000001e-20	9.117000000000000e+1	3.658000000000000e-19	1.233000000000000e+1	2.716000000000000e-19	8.539999999999998e+0	8.406000000000000e-19	8.608000000000000e+0	3.621999999999999e-18	1.788000000000000e+0	4.835000000000000e-18								
3.339000000000000e+3	1.892000000000000e-22	1.079000000000000e+2	6.351000000000000e-20	9.208000000000000e+1	3.564000000000000e-19	1.243000000000000e+1	2.699000000000000e-19	8.608000000000000e+0	8.476000000000000e-19	8.677000000000000e+0	3.572000000000000e-18	1.792000000000000e+0	4.873999999999999e-18								
3.508000000000000e+3	1.630000000000000e-22	1.090000000000000e+2	6.244000000000000e-20	9.300000000000000e+1	3.471000000000000e-19	1.252000000000000e+1	2.681000000000000e-19	8.677000000000000e+0	8.544000000000000e-19	8.746000000000000e+0	3.523000000000000e-18	1.795000000000000e+0	4.913000000000000e-18								
3.686000000000000e+3	1.405000000000000e-22	1.101000000000000e+2	6.138000000000001e-20	9.393000000000000e+1	3.381000000000000e-19	1.262000000000000e+1	2.664000000000000e-19	8.746000000000000e+0	8.611000000000000e-19	8.817000000000000e+0	3.474000000000000e-18	1.798000000000000e+0	4.952000000000000e-18								
3.873000000000000e+3	1.209000000000000e-22	1.112000000000000e+2	6.033000000000000e-20	9.487000000000000e+1	3.293000000000000e-19	1.273000000000000e+1	2.646000000000000e-19	8.817000000000000e+0	8.675999999999998e-19	8.887000000000000e+0	3.425000000000000e-18	1.802000000000000e+0	4.990999999999999e-18								
4.069000000000000e+3	1.041000000000000e-22	1.123000000000000e+2	5.930000000000000e-20	9.581000000000000e+1	3.207000000000000e-19	1.283000000000000e+1	2.629000000000000e-19	8.887000000000000e+0	8.739000000000000e-19	8.958000000000000e+0	3.377000000000000e-18	1.805000000000000e+0	5.034000000000000e-18								
4.276000000000000e+3	8.957000000000000e-23	1.134000000000000e+2	5.829000000000001e-20	9.677000000000000e+1	3.123000000000000e-19	1.293000000000000e+1	2.611000000000000e-19	8.958000000000000e+0	8.801000000000000e-19	9.030000000000000e+0	3.330000000000000e-18	1.809000000000000e+0	5.074000000000000e-18								
4.493000000000000e+3	7.704000000000000e-23	1.146000000000000e+2	5.729000000000000e-20	9.774000000000000e+1	3.041000000000000e-19	1.303000000000000e+1	2.594000000000000e-19	9.030000000000000e+0	8.861000000000000e-19	9.102000000000000e+0	3.282000000000000e-18	1.812000000000000e+0	5.109000000000000e-18								
4.721000000000000e+3	6.623000000000000e-23	1.157000000000000e+2	5.630000000000001e-20	9.871000000000000e+1	2.961000000000000e-19	1.314000000000000e+1	2.576000000000000e-19	9.102000000000000e+0	8.919000000000000e-19	9.175000000000000e+0	3.235000000000000e-18	1.815000000000000e+0	5.149000000000000e-18								
4.960000000000000e+3	5.691999999999999e-23	1.169000000000000e+2	5.533000000000000e-20	9.970000000000000e+1	2.883000000000000e-19	1.324000000000000e+1	2.558000000000000e-19	9.175000000000000e+0	8.975000000000000e-19	9.249000000000000e+0	3.189000000000000e-18	1.818000000000000e+0	5.187999999999999e-18								
5.212000000000000e+3	4.889999999999999e-23	1.180000000000000e+2	5.437000000000000e-20	1.007000000000000e+2	2.807000000000000e-19	1.335000000000000e+1	2.540000000000000e-19	9.249000000000000e+0	9.029000000000000e-19	9.323000000000000e+0	3.143000000000000e-18	1.827000000000000e+0	5.293000000000000e-18								
5.476000000000000e+3	4.199000000000000e-23	1.192000000000000e+2	5.342000000000000e-20	1.017000000000000e+2	2.733000000000000e-19	1.346000000000000e+1	2.522000000000000e-19	9.323000000000000e+0	9.081000000000000e-19	9.398000000000000e+0	3.097000000000000e-18	1.842000000000000e+0	5.464000000000000e-18								
5.754000000000000e+3	3.605000000000000e-23	1.204000000000000e+2	5.249000000000000e-20	1.027000000000000e+2	2.660000000000000e-19	1.356000000000000e+1	2.504000000000000e-19	9.398000000000000e+0	9.131000000000000e-19	9.473000000000000e+0	3.052000000000000e-18	1.857000000000000e+0	5.634999999999999e-18								
6.045000000000000e+3	3.093000000000000e-23	1.216000000000000e+2	5.157000000000000e-20	1.037000000000000e+2	2.590000000000000e-19	1.367000000000000e+1	2.486000000000000e-19	9.473000000000000e+0	9.178999999999998e-19	9.549000000000000e+0	3.007000000000000e-18	1.871000000000000e+0	5.807000000000000e-18								
6.352000000000000e+3	2.653000000000000e-23	1.228000000000000e+2	5.067000000000000e-20	1.048000000000000e+2	2.521000000000000e-19	1.378000000000000e+1	2.468000000000000e-19	9.549000000000000e+0	9.224999999999998e-19	9.625000000000000e+0	2.962000000000000e-18	1.886000000000000e+0	5.979000000000000e-18								
6.674000000000000e+3	2.275000000000000e-23	1.240000000000000e+2	4.978000000000000e-20	1.058000000000000e+2	2.453000000000000e-19	1.389000000000000e+1	2.450000000000000e-19	9.625000000000000e+0	9.269000000000000e-19	9.702000000000000e+0	2.918000000000000e-18	1.901000000000000e+0	6.150999999999999e-18								
7.013000000000000e+3	1.950000000000000e-23	1.253000000000000e+2	4.890000000000000e-20	1.069000000000000e+2	2.388000000000000e-19	1.400000000000000e+1	2.432000000000000e-19	9.702000000000000e+0	9.310000000000000e-19	9.780000000000000e+0	2.875000000000000e-18	1.917000000000000e+0	6.323000000000000e-18								
7.368000000000000e+3	1.671000000000000e-23	1.265000000000000e+2	4.804000000000000e-20	1.079000000000000e+2	2.324000000000000e-19	1.412000000000000e+1	2.414000000000000e-19	9.780000000000000e+0	9.350000000000000e-19	9.858000000000000e+0	2.831000000000000e-18	1.932000000000000e+0	6.494999999999999e-18								
7.741000000000000e+3	1.431000000000000e-23	1.278000000000000e+2	4.718000000000000e-20	1.090000000000000e+2	2.261000000000000e-19	1.423000000000000e+1	2.396000000000000e-19	9.858000000000000e+0	9.387000000000000e-19	9.937000000000000e+0	2.788000000000000e-18	1.947000000000000e+0	6.665999999999999e-18								
8.133000000000000e+3	1.226000000000000e-23	1.291000000000000e+2	4.634000000000000e-20	1.101000000000000e+2	2.200000000000000e-19	1.434000000000000e+1	2.377000000000000e-19	9.937000000000000e+0	9.423000000000000e-19	1.002000000000000e+1	2.746000000000000e-18	1.963000000000000e+0	6.836999999999999e-18								
8.546000000000000e+3	1.049000000000000e-23	1.304000000000000e+2	4.552000000000000e-20	1.112000000000000e+2	2.141000000000000e-19	1.446000000000000e+1	2.359000000000000e-19	1.002000000000000e+1	9.456000000000000e-19	1.010000000000000e+1	2.704000000000000e-18	1.979000000000000e+0	7.005999999999999e-18								
8.979000000000000e+3	8.978000000000000e-24	1.317000000000000e+2	4.470000000000000e-20	1.123000000000000e+2	2.083000000000000e-19	1.457000000000000e+1	2.341000000000000e-19	1.010000000000000e+1	9.487000000000000e-19	1.018000000000000e+1	2.662000000000000e-18	1.994000000000000e+0	7.175000000000000e-18								
9.435000000000000e+3	7.681000000000000e-24	1.330000000000000e+2	4.390000000000000e-20	1.134000000000000e+2	2.027000000000000e-19	1.469000000000000e+1	2.323000000000000e-19	1.018000000000000e+1	9.516000000000000e-19	1.026000000000000e+1	2.621000000000000e-18	2.010000000000000e+0	7.342000000000000e-18								
9.913000000000000e+3	6.568000000000000e-24	1.343000000000000e+2	4.311000000000000e-20	1.146000000000000e+2	1.972000000000000e-19	1.481000000000000e+1	2.305000000000000e-19	1.026000000000000e+1	9.542000000000000e-19	1.034000000000000e+1	2.581000000000000e-18	2.026000000000000e+0	7.508000000000000e-18								
1.042000000000000e+4	5.615000000000000e-24	1.356000000000000e+2	4.233000000000000e-20	1.157000000000000e+2	1.918000000000000e-19	1.493000000000000e+1	2.286000000000000e-19	1.034000000000000e+1	9.567000000000000e-19	1.042000000000000e+1	2.540000000000000e-18	2.043000000000000e+0	7.673000000000000e-18								
1.094000000000000e+4	4.799000000000000e-24	1.370000000000000e+2	4.156000000000000e-20	1.169000000000000e+2	1.866000000000000e-19	1.505000000000000e+1	2.268000000000000e-19	1.042000000000000e+1	9.589000000000000e-19	1.051000000000000e+1	2.500000000000000e-18	2.059000000000000e+0	7.836000000000000e-18								
1.150000000000000e+4	4.100000000000000e-24	1.384000000000000e+2	4.081000000000000e-20	1.180000000000000e+2	1.815000000000000e-19	1.517000000000000e+1	2.250000000000000e-19	1.051000000000000e+1	9.609999999999998e-19	1.059000000000000e+1	2.461000000000000e-18	2.075000000000000e+0	7.996000000000000e-18								
1.208000000000000e+4	3.502000000000000e-24	1.397000000000000e+2	4.007000000000000e-20	1.192000000000000e+2	1.765000000000000e-19	1.529000000000000e+1	2.232000000000000e-19	1.059000000000000e+1	9.628000000000000e-19	1.068000000000000e+1	2.422000000000000e-18	2.092000000000000e+0	8.155000000000000e-18								
1.270000000000000e+4	2.990000000000000e-24	1.411000000000000e+2	3.934000000000000e-20	1.204000000000000e+2	1.717000000000000e-19	1.541000000000000e+1	2.214000000000000e-19	1.068000000000000e+1	9.644000000000000e-19	1.076000000000000e+1	2.383000000000000e-18	2.109000000000000e+0	8.311000000000000e-18								
1.334000000000000e+4	2.553000000000000e-24	1.425000000000000e+2	3.862000000000000e-20	1.216000000000000e+2	1.669000000000000e-19	1.554000000000000e+1	2.196000000000000e-19	1.076000000000000e+1	9.658000000000000e-19	1.085000000000000e+1	2.345000000000000e-18	2.126000000000000e+0	8.465999999999998e-18								
1.402000000000000e+4	2.178000000000000e-24	1.440000000000000e+2	3.791000000000000e-20	1.228000000000000e+2	1.624000000000000e-19	1.566000000000000e+1	2.177000000000000e-19	1.085000000000000e+1	9.669999999999998e-19	1.094000000000000e+1	2.307000000000000e-18	2.143000000000000e+0	8.617000000000000e-18								
1.473000000000000e+4	1.858000000000000e-24	1.454000000000000e+2	3.721000000000000e-20	1.240000000000000e+2	1.579000000000000e-19	1.579000000000000e+1	2.159000000000000e-19	1.094000000000000e+1	9.680000000000000e-19	1.102000000000000e+1	2.270000000000000e-18	2.160000000000000e+0	8.765999999999998e-18								
