Tu/Tbb	5000k	10,000k	20,000k	VAR5	VAR6
1.000000000000000e+0	9.954000000000000e-1	9.982000000000000e-1	9.907000000000000e-1	1.000000000000000e+0	1.000000000000000e+0
3.162277660168380e-1	9.500000000000000e+1	8.720000000000000e+1	7.800000000000000e+1		
1.000000000000000e-1	9.500000000000000e+3	8.650000000000000e+3	7.563000000000000e+3		
3.162277660168379e-2	9.520000000000000e+5	8.240000000000000e+5	2.180000000000000e+5		
1.000000000000000e-2	9.430000000000000e+7	4.650000000000000e+7	2.800000000000000e+6		
