Te	heat	VAR3	VAR4	VAR5	VAR6
1.814500000000000e+5	3.264300000000000e-25	3.879200000000000e-22	2.083200000000000e+5	1.982800000000000e-25	7.653100000000000e-22
2.083200000000000e+5	2.761500000000000e-25	4.564400000000000e-22	2.391800000000000e+5	1.330900000000000e-25	7.921400000000000e-22
2.391800000000000e+5	2.355300000000000e-25	5.317099999999999e-22	2.746000000000000e+5	7.998800000000002e-26	7.085000000000000e-22
2.746000000000000e+5	1.770300000000000e-25	5.110799999999999e-22	3.152700000000000e+5	4.455000000000000e-26	5.093899999999999e-22
3.152700000000000e+5	9.966500000000000e-26	3.383100000000000e-22	3.619700000000000e+5	2.830500000000000e-26	3.693100000000000e-22
3.619700000000000e+5	4.820300000000000e-26	1.840600000000000e-22	4.155800000000000e+5	2.093100000000000e-26	3.128500000000000e-22
4.155800000000000e+5	2.852200000000000e-26	1.047000000000000e-22	4.771300000000000e+5	1.677400000000000e-26	2.948900000000000e-22
4.771300000000000e+5	2.130000000000000e-26	6.912699999999999e-23	5.477900000000000e+5	1.366400000000000e-26	2.775600000000000e-22
5.477900000000000e+5	1.710000000000000e-26	5.706799999999999e-23	6.289200000000000e+5	1.086800000000000e-26	2.415000000000000e-22
6.289200000000000e+5	1.390900000000000e-26	5.559399999999999e-23	7.220700000000000e+5	8.872600000000000e-27	2.139700000000000e-22
7.220700000000000e+5	1.158700000000000e-26	5.617599999999998e-23	8.290200000000000e+5	7.609000000000000e-27	2.061400000000000e-22
8.290200000000000e+5	1.000200000000000e-26	6.260199999999999e-23	9.518000000000000e+5	6.641900000000000e-27	1.994500000000000e-22
9.518000000000000e+5	8.699300000000000e-27	7.289800000000000e-23	1.092800000000000e+6	5.810600000000000e-27	1.859300000000000e-22
1.092800000000000e+6	7.485400000000000e-27	7.753100000000000e-23	1.254600000000000e+6	5.113600000000000e-27	1.715100000000000e-22
1.254600000000000e+6	6.412600000000000e-27	7.221700000000000e-23	1.440400000000000e+6	4.491900000000000e-27	1.573800000000000e-22
1.440400000000000e+6	5.468700000000000e-27	6.366699999999999e-23	1.653800000000000e+6	3.863600000000000e-27	1.380300000000000e-22
1.653800000000000e+6	4.660500000000000e-27	5.877799999999999e-23	1.898700000000000e+6	3.195700000000000e-27	1.110700000000000e-22
1.898700000000000e+6	4.011700000000000e-27	5.911299999999998e-23	2.179900000000000e+6	2.522100000000000e-27	8.247900000000000e-23
2.179900000000000e+6	3.426600000000000e-27	6.231199999999999e-23	2.502800000000000e+6	1.924700000000000e-27	6.035899999999999e-23
2.502800000000000e+6	2.874000000000000e-27	6.525599999999999e-23	2.873500000000000e+6	1.464000000000000e-27	4.612200000000000e-23
2.873500000000000e+6	2.389900000000000e-27	6.538799999999999e-23	3.299000000000000e+6	1.142100000000000e-27	3.795300000000000e-23
3.299000000000000e+6	1.993300000000000e-27	6.231399999999998e-23	3.787700000000000e+6	9.223500000000000e-28	3.348400000000000e-23
3.787700000000000e+6	1.654400000000000e-27	5.645400000000000e-23	4.348600000000000e+6	7.698200000000000e-28	3.137900000000000e-23
4.348600000000000e+6	1.334400000000000e-27	4.802299999999999e-23	4.992700000000000e+6	6.582900000000001e-28	3.074100000000000e-23
4.992700000000000e+6	1.022700000000000e-27	3.803299999999999e-23	5.732200000000000e+6	5.716900000000001e-28	3.094200000000000e-23
5.732200000000000e+6	7.670100000000000e-28	2.929400000000000e-23	6.581100000000000e+6	4.993500000000000e-28	3.145400000000000e-23
6.581100000000000e+6	6.019000000000001e-28	2.402800000000000e-23	7.555800000000000e+6	4.346500000000001e-28	3.181700000000000e-23
7.555800000000000e+6	5.009900000000000e-28	2.175400000000000e-23	8.674900000000000e+6	3.767800000000000e-28	3.177300000000000e-23
8.674900000000000e+6	4.287599999999999e-28	2.110000000000000e-23	9.959700000000000e+6	3.267000000000000e-28	3.112600000000000e-23
9.959700000000000e+6	3.653800000000000e-28	2.098900000000000e-23	1.143500000000000e+7	2.832000000000000e-28	2.955900000000000e-23
1.143500000000000e+7	3.057700000000000e-28	2.049900000000000e-23	1.312800000000000e+7	2.438000000000000e-28	2.704800000000000e-23
1.312800000000000e+7	2.550100000000000e-28	1.952000000000000e-23	1.507300000000000e+7	2.092700000000000e-28	2.435100000000000e-23
1.507300000000000e+7	2.184800000000000e-28	1.869900000000000e-23	1.730500000000000e+7	1.817800000000000e-28	2.232000000000000e-23
1.730500000000000e+7	1.930300000000000e-28	1.832600000000000e-23	1.986800000000000e+7	1.614300000000000e-28	2.117300000000000e-23
1.986800000000000e+7	1.746300000000000e-28	1.836700000000000e-23	2.281100000000000e+7	1.466300000000000e-28	2.073200000000000e-23
2.281100000000000e+7	1.611500000000000e-28	1.874100000000000e-23	2.618900000000000e+7	1.357600000000000e-28	2.079200000000000e-23
2.618900000000000e+7	1.503300000000000e-28	1.937900000000000e-23	3.006800000000000e+7	1.275600000000000e-28	2.121200000000000e-23
3.006800000000000e+7	1.419400000000000e-28	2.023600000000000e-23	3.452200000000000e+7	1.211800000000000e-28	2.190500000000000e-23
3.452200000000000e+7	1.351600000000000e-28	2.127900000000000e-23	3.963400000000000e+7	1.160500000000000e-28	2.281800000000000e-23
3.963400000000000e+7	1.295100000000000e-28	2.247900000000000e-23	4.550500000000000e+7	1.117800000000000e-28	2.391400000000000e-23
4.550500000000000e+7	1.246200000000000e-28	2.381100000000000e-23	5.224400000000000e+7	1.081000000000000e-28	2.516700000000000e-23
5.224400000000000e+7	1.202300000000000e-28	2.525200000000000e-23	5.998200000000000e+7	1.048300000000000e-28	2.655500000000000e-23
5.998200000000000e+7	1.161600000000000e-28	2.677800000000000e-23	6.886600000000000e+7	1.018300000000000e-28	2.805900000000000e-23
6.886600000000000e+7	1.122800000000000e-28	2.837000000000000e-23	7.906500000000000e+7	9.908699999999998e-29	2.967100000000000e-23
7.906500000000000e+7	1.085600000000000e-28	3.001800000000000e-23	9.077500000000000e+7	9.656900000000000e-29	3.138700000000000e-23
9.077500000000000e+7	1.050100000000000e-28	3.172799999999999e-23	1.042200000000000e+8	9.428200000000000e-29	3.321500000000000e-23
1.042200000000000e+8	1.017100000000000e-28	3.351900000000000e-23	1.196600000000000e+8	9.224800000000000e-29	3.516900000000000e-23
1.196600000000000e+8	9.873099999999998e-29	3.542500000000000e-23	1.373800000000000e+8	9.046700000000000e-29	3.726900000000000e-23
1.373800000000000e+8	9.612299999999998e-29	3.747699999999999e-23	1.577200000000000e+8	8.893500000000000e-29	3.953500000000000e-23
1.577200000000000e+8	9.388899999999998e-29	3.970599999999999e-23	1.810800000000000e+8	8.762800000000000e-29	4.198700000000000e-23
1.810800000000000e+8	9.200199999999998e-29	4.213500000000000e-23	2.079000000000000e+8	8.651900000000000e-29	4.464399999999999e-23
2.079000000000000e+8	9.041699999999998e-29	4.478299999999999e-23	2.387000000000000e+8	8.558000000000000e-29	4.752600000000000e-23
2.387000000000000e+8	8.908499999999998e-29	4.766699999999999e-23	2.740500000000000e+8	8.478299999999998e-29	5.065200000000000e-23
2.740500000000000e+8	8.796299999999998e-29	5.080399999999999e-23	3.146400000000000e+8	8.410499999999998e-29	5.404199999999999e-23
3.146400000000000e+8	8.701199999999998e-29	5.421199999999998e-23	3.612400000000000e+8	8.352499999999998e-29	5.772099999999999e-23
3.612400000000000e+8	8.620099999999998e-29	5.791299999999999e-23	4.147400000000000e+8	8.302799999999998e-29	6.171499999999999e-23
4.147400000000000e+8	8.550299999999998e-29	6.193299999999999e-23	4.761600000000000e+8	8.258699999999998e-29	6.605500000000000e-23
4.761600000000000e+8	8.490099999999998e-29	6.630199999999999e-23	5.466900000000000e+8	8.221099999999998e-29	7.078300000000000e-23
5.466900000000000e+8	8.437799999999998e-29	7.105999999999998e-23	6.276600000000000e+8	8.188599999999998e-29	7.594400000000000e-23
6.276600000000000e+8	8.392099999999998e-29	7.625199999999998e-23	7.206200000000000e+8	8.160300000000000e-29	8.159600000000000e-23
7.206200000000000e+8	8.352099999999998e-29	8.193500000000000e-23	8.273500000000000e+8	8.135600000000000e-29	8.780800000000000e-23
8.273500000000000e+8	8.316899999999998e-29	8.817900000000000e-23	9.498800000000000e+8	8.113900000000000e-29	9.466699999999998e-23
9.498800000000000e+8	8.285899999999998e-29	9.506999999999998e-23	1.090600000000000e+9	8.094599999999998e-29	1.022800000000000e-22
1.090600000000000e+9	8.258600000000000e-29	1.027200000000000e-22	1.252100000000000e+9	8.077599999999998e-29	1.107900000000000e-22
1.252100000000000e+9	8.234599999999998e-29	1.112600000000000e-22	1.437500000000000e+9	8.062400000000000e-29	1.203700000000000e-22
1.437500000000000e+9	8.213499999999998e-29	1.208700000000000e-22	1.650400000000000e+9	8.048899999999998e-29	1.312400000000000e-22
1.650400000000000e+9	8.194999999999998e-29	1.317700000000000e-22	1.894900000000000e+9	8.036900000000000e-29	1.436800000000000e-22
1.894900000000000e+9	8.178799999999998e-29	1.442400000000000e-22	2.175500000000000e+9	8.025999999999998e-29	1.580700000000000e-22
2.175500000000000e+9	8.164799999999998e-29	1.586600000000000e-22	2.497700000000000e+9	8.016399999999998e-29	1.748800000000000e-22
2.497700000000000e+9	8.152799999999998e-29	1.754900000000000e-22	2.867700000000000e+9	8.007600000000000e-29	1.947400000000000e-22
2.867700000000000e+9	8.142600000000000e-29	1.953500000000000e-22	3.292400000000000e+9	7.999800000000000e-29	2.184300000000000e-22
3.292400000000000e+9	8.134199999999998e-29	2.190500000000000e-22	3.780000000000000e+9	7.992699999999998e-29	2.470200000000000e-22
3.780000000000000e+9	8.127399999999998e-29	2.476300000000000e-22	4.339900000000000e+9	7.986400000000000e-29	2.818700000000000e-22
4.339900000000000e+9	8.122200000000000e-29	2.824500000000000e-22	4.982600000000000e+9	7.980600000000000e-29	3.247700000000000e-22
4.982600000000000e+9	8.118499999999998e-29	3.253000000000000e-22	5.720600000000000e+9	7.975399999999998e-29	3.780800000000000e-22
5.720600000000000e+9	8.116199999999998e-29	3.785199999999999e-22	6.567900000000000e+9	7.970599999999998e-29	4.448800000000000e-22
6.567900000000000e+9	8.115299999999998e-29	4.451699999999999e-22	7.540600000000000e+9	7.966300000000000e-29	5.292100000000000e-22
7.540600000000000e+9	8.115799999999998e-29	5.292999999999999e-22	8.657400000000000e+9	7.962399999999998e-29	6.363900000000000e-22
8.657400000000000e+9	8.117599999999998e-29	6.361999999999999e-22			
