#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	AV(point)	AV(extend)
179466000000000000.00	3.1562	-16.572	5.1173	2.3622	-6.8426	-0.0006	-2.8568	-0.0002	-3.4416	-7.7985	-9.9481	-4.9909	0	-4.6771	-35.9298	-0.0004	-3.0015	-8.869	-35.9298	-35.9298	-35.9298	1.02E+00	7.42E-01
179467000000000000.00	3.1462	-16.561	5.1302	2.3563	-6.8158	-0.0006	-2.8772	-0.0002	-3.4463	-7.8076	-9.9247	-4.9917	0	-4.6902	-35.9298	-0.0004	-3.0232	-8.8831	-35.9298	-35.9298	-35.9298	1.02E+00	7.42E-01
179467000000000000.00	3.1368	-16.558	5.1368	2.3487	-6.7969	-0.0005	-2.8992	-0.0002	-3.4476	-7.8115	-9.9154	-4.9943	0	-4.6972	-35.9298	-0.0004	-3.0463	-8.8909	-35.9298	-35.9298	-35.9298	1.02E+00	7.42E-01
179467000000000000.00	3.1249	-16.548	5.1496	2.341	-6.7694	-0.0005	-2.9216	-0.0002	-3.4523	-7.8204	-9.8936	-4.9958	0	-4.7104	-35.9298	-0.0004	-3.0703	-8.9053	-35.9298	-35.9298	-35.9298	1.02E+00	7.42E-01
179468000000000000.00	3.1161	-16.545	5.1575	2.3327	-6.7514	-0.0005	-2.9418	-0.0002	-3.4536	-7.8231	-9.8812	-4.9996	0	-4.7186	-35.9298	-0.0004	-3.0915	-8.914	-35.9298	-35.9298	-35.9298	1.02E+00	7.42E-01
179468000000000000.00	3.1056	-16.532	5.1703	2.328	-6.7267	-0.0005	-2.9661	-0.0002	-3.4596	-7.8362	-9.8586	-4.9987	0	-4.7317	-35.9298	-0.0003	-3.1177	-8.9283	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179469000000000000.00	3.0966	-16.528	5.1771	2.3212	-6.7101	-0.0004	-2.987	-0.0002	-3.4615	-7.8407	-9.8488	-5.0007	0	-4.7389	-35.9298	-0.0003	-3.1393	-8.9357	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179469000000000000.00	3.0847	-16.518	5.1899	2.3138	-6.6849	-0.0004	-3.0106	-0.0001	-3.4667	-7.8505	-9.8271	-5.0018	0	-4.752	-35.9298	-0.0003	-3.1647	-8.9498	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179469000000000000.00	3.0747	-16.513	5.199	2.3056	-6.6659	-0.0004	-3.0339	-0.0001	-3.4694	-7.8561	-9.8128	-5.0046	0	-4.7614	-35.9298	-0.0003	-3.1891	-8.9596	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179470000000000000.00	3.0639	-16.503	5.2098	2.3002	-6.6445	-0.0004	-3.0566	-0.0001	-3.4746	-7.8669	-9.7952	-5.0043	0	-4.7725	-35.9298	-0.0003	-3.2134	-8.9714	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179470000000000000.00	3.0577	-16.5	5.2161	2.2943	-6.6323	-0.0004	-3.0757	-0.0001	-3.4758	-7.8703	-9.7848	-5.0068	0	-4.7791	-35.9298	-0.0003	-3.2334	-8.9782	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179471000000000000.00	3.0462	-16.489	5.2289	2.2871	-6.6086	-0.0003	-3.1015	-0.0001	-3.4813	-7.8808	-9.7627	-5.0079	0	-4.7923	-35.9298	-0.0002	-3.2609	-8.9919	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179471000000000000.00	3.0366	-16.479	5.2403	2.2817	-6.5882	-0.0003	-3.126	-0.0001	-3.4866	-7.8922	-9.7427	-5.008	0	-4.8041	-35.9298	-0.0002	-3.2873	-9.0042	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179472000000000000.00	3.0283	-16.479	5.2454	2.2727	-6.5756	-0.0003	-3.1444	-0.0001	-3.4867	-7.8921	-9.7358	-5.0125	0	-4.8095	-35.9298	-0.0002	-3.3065	-9.0097	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179472000000000000.00	3.0206	-16.474	5.2532	2.2675	-6.5608	-0.0003	-3.1681	-0.0001	-3.4898	-7.8994	-9.7228	-5.0136	0	-4.8176	-35.9298	-0.0002	-3.3314	-9.0179	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179473000000000000.00	3.005	-16.461	5.266	2.2596	-6.5337	-0.0003	-3.199	-0.0001	-3.4968	-7.9135	-9.7027	-5.0129	0	-4.8308	-35.9298	-0.0002	-3.3646	-9.0316	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179474000000000000.00	2.9962	-16.452	5.2776	2.2537	-6.5143	-0.0003	-3.225	-0.0001	-3.5018	-7.9239	-9.6813	-5.014	0	-4.8428	-35.9298	-0.0002	-3.3922	-9.0436	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179474000000000000.00	2.9891	-16.448	5.2847	2.2476	-6.5009	-0.0002	-3.2443	-0.0001	-3.5041	-7.9286	-9.669	-5.0162	0	-4.8502	-35.9298	-0.0002	-3.4122	-9.051	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179475000000000000.00	2.9801	-16.44	5.2938	2.242	-6.4839	-0.0002	-3.2672	-0.0001	-3.5084	-7.9372	-9.6535	-5.0168	0	-4.8596	-35.9298	-0.0002	-3.437	-9.0605	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179476000000000000.00	2.972	-16.435	5.3018	2.2362	-6.4687	-0.0002	-3.2908	-0.0001	-3.5118	-7.9445	-9.6393	-5.0181	0	-4.8681	-35.9298	-0.0002	-3.4614	-9.0688	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179477000000000000.00	2.9632	-16.426	5.3113	2.2316	-6.4515	-0.0002	-3.3168	-0.0001	-3.5168	-7.9552	-9.6225	-5.0178	0	-4.878	-35.9298	-0.0001	-3.4895	-9.0787	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179478000000000000.00	2.9586	-16.427	5.3153	2.2247	-6.4436	-0.0002	-3.3369	-0.0001	-3.5166	-7.9555	-9.6155	-5.0221	0	-4.8824	-35.9298	-0.0001	-3.5108	-9.0829	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179480000000000000.00	2.9472	-16.414	5.3273	2.2205	-6.4216	-0.0002	-3.3635	-0.0001	-3.5243	-7.9709	-9.5941	-5.0199	0	-4.895	-35.9298	-0.0001	-3.539	-9.0952	-35.9298	-35.9298	-35.9298	1.02E+00	7.43E-01
179482000000000000.00	2.9441	-16.419	5.3273	2.2141	-6.4189	-0.0002	-3.3763	-0.0001	-3.5223	-7.9675	-9.5951	-5.0245	0	-4.8955	-35.9298	-0.0001	-3.5518	-9.0953	-35.9298	-35.9298	-35.9298	1.02E+00	7.44E-01
179484000000000000.00	2.9374	-16.414	5.3323	2.2111	-6.4081	-0.0002	-3.3906	-0.0001	-3.5257	-7.9742	-9.5868	-5.0237	0	-4.901	-35.9298	-0.0001	-3.5678	-9.1006	-35.9298	-35.9298	-35.9298	1.02E+00	7.44E-01
179487000000000000.00	2.9347	-16.406	5.3392	2.2108	-6.3987	-0.0002	-3.4021	-0.0001	-3.5304	-7.9835	-9.5724	-5.0223	0	-4.9085	-35.9298	-0.0001	-3.5792	-9.1077	-35.9298	-35.9298	-35.9298	1.02E+00	7.44E-01
179491000000000000.00	2.9347	-16.407	5.3392	2.2093	-6.3985	-0.0002	-3.406	-0.0001	-3.5302	-7.9834	-9.5718	-5.0236	0	-4.9092	-35.9298	-0.0001	-3.5832	-9.1079	-35.9298	-35.9298	-35.9298	1.03E+00	7.44E-01
179496000000000000.00	2.9347	-16.409	5.3392	2.208	-6.3983	-0.0002	-3.4085	-0.0001	-3.5304	-7.9838	-9.571	-5.0246	0	-4.91	-35.9298	-0.0001	-3.5857	-9.1081	-35.9298	-35.9298	-35.9298	1.03E+00	7.45E-01
179502000000000000.00	2.9347	-16.41	5.3392	2.2072	-6.3979	-0.0002	-3.4103	-0.0001	-3.531	-7.9852	-9.5701	-5.025	0	-4.9109	-35.9298	-0.0001	-3.5875	-9.1085	-35.9298	-35.9298	-35.9298	1.03E+00	7.45E-01
179511000000000000.00	2.9332	-16.41	5.3392	2.2061	-6.3961	-0.0002	-3.4126	-0.0001	-3.5328	-7.9887	-9.5696	-5.0249	0	-4.9122	-35.9298	-0.0001	-3.5898	-9.109	-35.9298	-35.9298	-35.9298	1.03E+00	7.46E-01
179522000000000000.00	2.9317	-16.411	5.3392	2.2046	-6.3943	-0.0002	-3.415	-0.0001	-3.5348	-7.9931	-9.5688	-5.0249	0	-4.9137	-35.9298	-0.0001	-3.5932	-9.1096	-35.9298	-35.9298	-35.9298	1.03E+00	7.47E-01
179536000000000000.00	2.9297	-16.404	5.3442	2.2054	-6.3867	-0.0002	-3.4215	-0.0001	-3.5418	-8.0063	-9.5567	-5.0222	0	-4.9208	-35.9298	-0.0001	-3.5997	-9.1154	-35.9298	-35.9298	-35.9298	1.03E+00	7.48E-01
179555000000000000.00	2.9297	-16.404	5.3442	2.2048	-6.3857	-0.0002	-3.4232	-0.0001	-3.5446	-8.0118	-9.5542	-5.0218	0	-4.9234	-35.9298	-0.0001	-3.6014	-9.1164	-35.9298	-35.9298	-35.9298	1.03E+00	7.50E-01
179579000000000000.00	2.9297	-16.406	5.3442	2.2029	-6.3843	-0.0002	-3.4259	-0.0001	-3.5485	-8.0195	-9.5508	-5.0223	0	-4.9269	-35.9298	-0.0001	-3.6041	-9.1177	-35.9298	-35.9298	-35.9298	1.04E+00	7.52E-01
179611000000000000.00	2.9242	-16.399	5.3497	2.2018	-6.3725	-0.0002	-3.4372	-0.0001	-3.5605	-8.0433	-9.537	-5.0186	0	-4.9369	-35.9298	-0.0001	-3.6168	-9.1249	-35.9298	-35.9298	-35.9298	1.04E+00	7.55E-01
179652000000000000.00	2.9275	-16.402	5.3497	2.2003	-6.3729	-0.0002	-3.4402	-0.0001	-3.5664	-8.0548	-9.5298	-5.0196	0	-4.9428	-35.9298	-0.0001	-3.6197	-9.1272	-35.9298	-35.9298	-35.9298	1.05E+00	7.59E-01
179693000000000000.00	2.9275	-16.404	5.3497	2.1984	-6.37	-0.0002	-3.444	-0.0001	-3.5738	-8.0696	-9.5233	-5.0189	0	-4.9492	-35.9298	-0.0001	-3.6235	-9.1296	-35.9298	-35.9298	-35.9298	1.05E+00	7.63E-01
179735000000000000.00	2.9256	-16.407	5.3497	2.1949	-6.3655	-0.0002	-3.4511	-0.0001	-3.5824	-8.0869	-9.5176	-5.0188	0	-4.9556	-35.9298	-0.0001	-3.6306	-9.1321	-35.9298	-35.9298	-35.9298	1.06E+00	7.67E-01
179776000000000000.00	2.9196	-16.4	5.3555	2.1927	-6.3516	-0.0002	-3.4647	-0.0001	-3.5971	-8.1159	-9.5011	-5.0151	0	-4.9679	-35.9298	-0.0001	-3.6453	-9.1404	-35.9298	-35.9298	-35.9298	1.06E+00	7.71E-01
179817000000000000.00	2.9196	-16.401	5.3555	2.192	-6.3486	-0.0001	-3.4676	-0.0001	-3.6036	-8.1291	-9.4946	-5.0131	0	-4.9743	-35.9298	-0.0001	-3.6482	-9.1428	-35.9298	-35.9298	-35.9298	1.07E+00	7.74E-01
179858000000000000.00	2.9196	-16.403	5.3555	2.1897	-6.3457	-0.0001	-3.4711	-0.0001	-3.6101	-8.1416	-9.4881	-5.0129	0	-4.9806	-35.9298	-0.0001	-3.6517	-9.1453	-35.9298	-35.9298	-35.9298	1.07E+00	7.78E-01
179899000000000000.00	2.9115	-16.395	5.3633	2.1854	-6.3282	-0.0001	-3.4927	-0.0001	-3.6291	-8.1794	-9.4682	-5.01	0	-4.995	-35.9298	-0.0001	-3.6748	-9.1555	-35.9298	-35.9298	-35.9298	1.08E+00	7.82E-01
179940000000000000.00	2.9132	-16.397	5.3633	2.1847	-6.3267	-0.0001	-3.4952	-0.0001	-3.6352	-8.1918	-9.4608	-5.009	0	-5.0014	-35.9298	-0.0001	-3.6773	-9.158	-35.9298	-35.9298	-35.9298	1.08E+00	7.86E-01
179982000000000000.00	2.9132	-16.4	5.3633	2.1818	-6.3237	-0.0001	-3.5001	-0.0001	-3.6423	-8.2056	-9.4542	-5.0092	0	-5.0079	-35.9298	-0.0001	-3.6822	-9.1606	-35.9298	-35.9298	-35.9298	1.09E+00	7.90E-01
180023000000000000.00	2.9132	-16.401	5.3633	2.1802	-6.3206	-0.0001	-3.5041	-0.0001	-3.6491	-8.2195	-9.4477	-5.0082	0	-5.0142	-35.9298	-0.0001	-3.6861	-9.1631	-35.9298	-35.9298	-35.9298	1.09E+00	7.94E-01
180064000000000000.00	2.9038	-16.394	5.3701	2.1755	-6.303	-0.0001	-3.5256	-0.0001	-3.6679	-8.2565	-9.4304	-5.005	0	-5.0277	-35.9298	-0.0001	-3.7089	-9.1724	-35.9298	-35.9298	-35.9298	1.10E+00	7.98E-01
180105000000000000.00	2.9038	-16.395	5.3701	2.1749	-6.2999	-0.0001	-3.5275	-0.0001	-3.6736	-8.2678	-9.4238	-5.0029	0	-5.0341	-35.9298	-0.0001	-3.7108	-9.1749	-35.9298	-35.9298	-35.9298	1.10E+00	8.02E-01
180146000000000000.00	2.9038	-16.397	5.3701	2.1731	-6.2968	-0.0001	-3.5313	-0.0001	-3.6803	-8.2813	-9.4172	-5.0019	0	-5.0406	-35.9298	-0.0001	-3.7146	-9.1775	-35.9298	-35.9298	-35.9298	1.11E+00	8.06E-01
180187000000000000.00	2.9038	-16.399	5.3701	2.1707	-6.2938	-0.0001	-3.5359	-0.0001	-3.6873	-8.295	-9.4106	-5.0016	0	-5.047	-35.9298	-0.0001	-3.7192	-9.18	-35.9298	-35.9298	-35.9298	1.11E+00	8.10E-01
180229000000000000.00	2.8958	-16.39	5.3782	2.1674	-6.276	-0.0001	-3.5585	-0.0001	-3.7078	-8.3358	-9.3898	-4.9976	0	-5.0618	-35.9298	-0.0001	-3.7428	-9.1906	-35.9298	-35.9298	-35.9298	1.12E+00	8.14E-01
180270000000000000.00	2.8958	-16.391	5.3782	2.1665	-6.2728	-0.0001	-3.5606	-0.0001	-3.7133	-8.3466	-9.383	-4.9957	0	-5.0683	-35.9298	-0.0001	-3.745	-9.1932	-35.9298	-35.9298	-35.9298	1.13E+00	8.18E-01
180323000000000000.00	2.8958	-16.392	5.3782	2.1649	-6.2695	-0.0001	-3.5646	-0.0001	-3.7213	-8.3626	-9.3756	-4.9942	0	-5.0761	-35.9298	-0.0001	-3.7489	-9.1963	-35.9298	-35.9298	-35.9298	1.13E+00	8.23E-01
180393000000000000.00	2.8958	-16.395	5.3782	2.1621	-6.2653	-0.0001	-3.5701	-0.0001	-3.7314	-8.3827	-9.3658	-4.9928	0	-5.0861	-35.9298	-0.0001	-3.7545	-9.2004	-35.9298	-35.9298	-35.9298	1.14E+00	8.30E-01
180483000000000000.00	2.8845	-16.381	5.391	2.1573	-6.2378	-0.0001	-3.6075	-0.0001	-3.7674	-8.4543	-9.3297	-4.9858	0	-5.1125	-35.9298	-0.0001	-3.7953	-9.2183	-35.9298	-35.9298	-35.9298	1.15E+00	8.39E-01
180571000000000000.00	2.8845	-16.384	5.391	2.1548	-6.2306	-0.0001	-3.6131	-0.0001	-3.7805	-8.4801	-9.3146	-4.9822	0	-5.1266	-35.9298	-0.0001	-3.8009	-9.224	-35.9298	-35.9298	-35.9298	1.17E+00	8.48E-01
180684000000000000.00	2.8845	-16.387	5.391	2.1513	-6.2233	-0.0001	-3.6215	-0.0001	-3.7967	-8.5123	-9.2982	-4.9787	0	-5.1432	-35.9298	-0.0001	-3.8092	-9.2308	-35.9298	-35.9298	-35.9298	1.18E+00	8.59E-01
180832000000000000.00	2.8717	-16.376	5.4039	2.1431	-6.191	-0.0001	-3.6689	-0.0001	-3.8441	-8.6065	-9.254	-4.9707	0	-5.1781	-35.9298	-0.0001	-3.8593	-9.2522	-35.9298	-35.9298	-35.9298	1.20E+00	8.75E-01
180951000000000000.00	2.8717	-16.378	5.4039	2.1407	-6.1788	-0.0001	-3.6757	-0.0001	-3.8621	-8.6421	-9.23	-4.9634	0	-5.1988	-35.9298	-0.0001	-3.8661	-9.2607	-35.9298	-35.9298	-35.9298	1.22E+00	8.87E-01
181105000000000000.00	2.8621	-16.373	5.4119	2.1319	-6.1529	-0.0001	-3.7163	-0.0001	-3.9039	-8.7253	-9.1933	-4.9571	0	-5.23	-35.9298	-0.0001	-3.9079	-9.2781	-35.9298	-35.9298	-35.9298	1.24E+00	9.04E-01
181262000000000000.00	2.8621	-16.375	5.4119	2.1288	-6.1394	-0.0001	-3.7253	-0.0001	-3.9252	-8.7674	-9.1653	-4.9487	0	-5.2549	-35.9298	-0.0001	-3.9168	-9.2886	-35.9298	-35.9298	-35.9298	1.27E+00	9.20E-01
181465000000000000.00	2.8532	-16.366	5.4247	2.1199	-6.1057	-0.0001	-3.7806	0	-3.9819	-8.8792	-9.109	-4.9395	0	-5.2982	-35.9298	0	-3.974	-9.3139	-35.9298	-35.9298	-35.9298	1.30E+00	9.43E-01
181623000000000000.00	2.8532	-16.367	5.4247	2.118	-6.0874	-0.0001	-3.7895	0	-4.0053	-8.9267	-9.0737	-4.9278	0	-5.3262	-35.9298	0	-3.9829	-9.3259	-35.9298	-35.9298	-35.9298	1.32E+00	9.60E-01
181829000000000000.00	2.8424	-16.366	5.4321	2.1063	-6.057	-0.0001	-3.8431	0	-4.0583	-9.0315	-9.0295	-4.9198	0	-5.3645	-35.9298	0	-4.0389	-9.3461	-35.9298	-35.9298	-35.9298	1.35E+00	9.83E-01
182013000000000000.00	2.8433	-16.37	5.4321	2.1018	-6.0383	-0.0001	-3.8581	0	-4.0858	-9.086	-8.9905	-4.9098	0	-5.3951	-35.9298	0	-4.0539	-9.3595	-35.9298	-35.9298	-35.9298	1.38E+00	1.00E+00
182196000000000000.00	2.8433	-16.373	5.4321	2.0979	-6.0207	-0.0001	-3.872	0	-4.1112	-9.1366	-8.9547	-4.8998	0	-5.4239	-35.9298	0	-4.0677	-9.3725	-35.9298	-35.9298	-35.9298	1.41E+00	1.02E+00
182380000000000000.00	2.8316	-16.361	5.4449	2.0906	-5.9814	-0.0001	-3.9375	0	-4.1722	-9.2572	-8.8955	-4.8865	0	-5.4662	-35.9298	0	-4.1362	-9.3976	-35.9298	-35.9298	-35.9298	1.44E+00	1.04E+00
182535000000000000.00	2.8333	-16.364	5.4449	2.0874	-5.9643	0	-3.9499	0	-4.1951	-9.3027	-8.8586	-4.8772	0	-5.4925	-35.9298	0	-4.1475	-9.4097	-35.9298	-35.9298	-35.9298	1.46E+00	1.06E+00
182690000000000000.00	2.8333	-16.367	5.4449	2.0847	-5.9484	0	-3.9615	0	-4.216	-9.3447	-8.8267	-4.8678	0	-5.5167	-35.9298	0	-4.1591	-9.4209	-35.9298	-35.9298	-35.9298	1.49E+00	1.08E+00
182845000000000000.00	2.8257	-16.373	5.4449	2.0743	-5.9268	0	-4.0003	0	-4.2527	-9.4173	-8.7996	-4.8619	0	-5.5412	-35.9298	0	-4.1991	-9.4318	-35.9298	-35.9298	-35.9298	1.51E+00	1.10E+00
183000000000000000.00	2.8226	-16.365	5.4514	2.074	-5.9018	0	-4.0287	0	-4.2857	-9.4829	-8.7537	-4.8482	0	-5.5717	-35.9298	0	-4.2286	-9.4492	-35.9298	-35.9298	-35.9298	1.53E+00	1.12E+00
183155000000000000.00	2.8226	-16.367	5.4514	2.0716	-5.8851	0	-4.039	0	-4.3047	-9.5204	-8.7204	-4.8381	0	-5.5955	-35.9298	0	-4.239	-9.4605	-35.9298	-35.9298	-35.9298	1.56E+00	1.13E+00
183310000000000000.00	2.8226	-16.37	5.4514	2.0685	-5.8683	0	-4.0533	0	-4.3261	-9.5629	-8.687	-4.829	0	-5.6191	-35.9298	0	-4.2533	-9.4718	-35.9298	-35.9298	-35.9298	1.58E+00	1.15E+00
183465000000000000.00	2.8159	-16.364	5.4581	2.0643	-5.8396	0	-4.1021	0	-4.3715	-9.6531	-8.6418	-4.817	0	-5.6499	-35.9298	0	-4.3031	-9.4896	-35.9298	-35.9298	-35.9298	1.61E+00	1.17E+00
183620000000000000.00	2.8159	-16.366	5.4581	2.0623	-5.8221	0	-4.1122	0	-4.3911	-9.69	-8.6071	-4.8063	0	-5.6733	-35.9298	0	-4.3132	-9.5009	-35.9298	-35.9298	-35.9298	1.63E+00	1.19E+00
183775000000000000.00	2.8159	-16.368	5.4581	2.0597	-5.8043	0	-4.1259	0	-4.4115	-9.7305	-8.5723	-4.7964	0	-5.6965	-35.9298	0	-4.3269	-9.5124	-35.9298	-35.9298	-35.9298	1.66E+00	1.21E+00
183977000000000000.00	2.8159	-16.372	5.4581	2.0564	-5.7859	0	-4.1433	0	-4.4361	-9.7796	-8.5334	-4.7852	0	-5.7241	-35.9298	0	-4.3443	-9.526	-35.9298	-35.9298	-35.9298	1.69E+00	1.23E+00
184239000000000000.00	2.8083	-16.364	5.4658	2.0519	-5.7486	0	-4.2082	0	-4.4975	-9.9015	-8.4699	-4.7666	0	-5.7678	-35.9298	0	-4.4108	-9.551	-35.9298	-35.9298	-35.9298	1.73E+00	1.26E+00
184506000000000000.00	2.8088	-16.367	5.4658	2.048	-5.717	0	-4.2317	0	-4.5299	-8.644	-8.4068	-4.7486	0	-5.8067	-35.9298	0	-4.4343	-9.5706	-35.9298	-35.9298	-35.9298	1.78E+00	1.29E+00
184852000000000000.00	2.8093	-16.371	5.4658	2.0429	-5.6834	0	-4.2652	0	-4.5715	-8.1782	-8.3359	-4.7282	0	-5.8525	-35.9298	0	-4.4678	-9.5944	-35.9298	-35.9298	-35.9298	1.84E+00	1.34E+00
185302000000000000.00	2.8097	-16.375	5.4658	2.0365	-5.6387	0	-4.3097	0	-4.6245	-7.9424	-8.2424	-4.7012	0	-5.9107	-35.9298	0	-4.5123	-9.625	-35.9298	-35.9298	-35.9298	1.91E+00	1.39E+00
185762000000000000.00	2.8097	-16.376	5.4658	2.0323	-5.5798	0	-4.3471	0	-4.6725	-7.777	-8.1292	-4.6669	0	-5.9727	-35.9298	0	-4.5497	-9.6585	-35.9298	-35.9298	-35.9298	1.99E+00	1.45E+00
186125000000000000.00	2.8097	-16.381	5.4658	2.0254	-5.5184	0	-4.402	0	-4.729	-7.7082	-8.019	-4.6392	0	-6.0259	-35.9298	0	-4.6046	-9.6874	-35.9298	-35.9298	-35.9298	2.05E+00	1.49E+00
186400000000000000.00	2.8097	-16.385	5.4658	2.0212	-5.4678	0	-4.4389	0	-4.7682	-7.6639	-7.9305	-4.6164	0	-6.0659	-35.9298	0	-4.6415	-9.7096	-35.9298	-35.9298	-35.9298	2.09E+00	1.52E+00
186650000000000000.00	2.8097	-16.388	5.4658	2.0174	-5.4274	0	-4.4745	0	-4.8038	-7.64	-7.8581	-4.5979	0	-6.0995	-35.9298	0	-4.6771	-9.7283	-35.9298	-35.9298	-35.9298	2.13E+00	1.55E+00
186933000000000000.00	2.8097	-16.391	5.4658	2.014	-5.389	0	-4.5095	0	-4.8393	-7.6199	-7.7863	-4.5786	0	-6.134	-35.9298	0	-4.7121	-9.748	-35.9298	-35.9298	-35.9298	2.18E+00	1.59E+00
187265000000000000.00	2.8097	-16.393	5.4658	2.0108	-5.3442	0	-4.5458	0	-4.877	-7.5986	-7.7027	-4.5554	0	-6.1735	-35.9298	0	-4.7484	-9.7707	-35.9298	-35.9298	-35.9298	2.23E+00	1.63E+00
187605000000000000.00	2.8097	-16.395	5.4658	2.0074	-5.2902	0	-4.5871	0	-4.9168	-7.5425	-7.6066	-4.5294	0	-6.215	-35.9298	0	-4.7897	-9.795	-35.9298	-35.9298	-35.9298	2.29E+00	1.67E+00
187896000000000000.00	2.8097	-16.396	5.4658	2.0042	-5.2335	0	-4.6291	0	-4.9551	-7.4953	-7.511	-4.5047	0	-6.2524	-35.9298	0	-4.8317	-9.817	-35.9298	-35.9298	-35.9298	2.34E+00	1.70E+00
188133000000000000.00	2.8102	-16.398	5.4658	2.0001	-5.1831	0	-4.6819	0	-4.9996	-7.4794	-7.4275	-4.4856	0	-6.2835	-35.9298	0	-4.8845	-9.8352	-35.9298	-35.9298	-35.9298	2.38E+00	1.73E+00
188350000000000000.00	2.8109	-16.4	5.4658	1.9975	-5.1402	0	-4.7218	0	-5.0316	-7.4628	-7.3551	-4.4684	0	-6.3102	-35.9298	0	-4.9244	-9.8511	-35.9298	-35.9298	-35.9298	2.41E+00	1.76E+00
188581000000000000.00	2.8123	-16.401	5.4658	1.9956	-5.0998	0	-4.7534	0	-5.0608	-7.449	-7.2841	-4.4509	0	-6.3367	-35.9298	0	-4.956	-9.8672	-35.9298	-35.9298	-35.9298	2.45E+00	1.79E+00
188840000000000000.00	2.8124	-16.404	5.4649	1.9922	-5.055	0	-4.8062	0	-5.1028	-7.4464	-7.2103	-4.4324	0	-6.3653	-35.9298	0	-5.0088	-9.8841	-35.9298	-35.9298	-35.9298	2.49E+00	1.82E+00
189110000000000000.00	2.8142	-16.416	5.4595	1.9859	-5.0091	0	-4.8251	0	-5.122	-7.4316	-7.138	-4.4163	0	-6.39	-35.9298	0	-5.0276	-9.8974	-35.9298	-35.9298	-35.9298	2.54E+00	1.85E+00
189413000000000000.00	2.8142	-16.416	5.4595	1.9849	-4.953	0	-4.8445	0	-5.1435	-7.4083	-7.0483	-4.3916	0	-6.422	-35.9298	0	-5.0471	-9.9176	-35.9298	-35.9298	-35.9298	2.59E+00	1.88E+00
189663000000000000.00	2.8142	-16.416	5.4595	1.9839	-4.8883	0	-4.8698	0	-5.1671	-7.3908	-6.9535	-4.3676	0	-6.4512	-35.9298	0	-5.0724	-9.9361	-35.9298	-35.9298	-35.9298	2.63E+00	1.91E+00
189844000000000000.00	2.8168	-16.417	5.4595	1.9823	-4.8344	0	-4.9045	0	-5.1942	-7.3767	-6.872	-4.3505	0	-6.4737	-35.9298	0	-5.1057	-9.9504	-35.9298	-35.9298	-35.9298	2.66E+00	1.94E+00
189998000000000000.00	2.819	-16.426	5.455	1.9771	-4.7979	0	-4.9298	0	-5.2138	-7.3751	-6.8217	-4.3418	0	-6.4872	-35.9298	0	-5.1311	-9.9572	-35.9298	-35.9298	-35.9298	2.68E+00	1.95E+00
190199000000000000.00	2.819	-16.425	5.455	1.9762	-4.7597	0	-4.9489	0	-5.2309	-7.3613	-6.7652	-4.3259	0	-6.5068	-35.9298	0	-5.1502	-9.9698	-35.9298	-35.9298	-35.9298	2.71E+00	1.98E+00
190438000000000000.00	2.821	-16.425	5.455	1.9754	-4.7105	0	-4.9803	0	-5.2557	-7.3486	-6.6903	-4.3071	0	-6.5307	-35.9298	0	-5.1816	-9.9852	-35.9298	-35.9298	-35.9298	2.75E+00	2.01E+00
190661000000000000.00	2.8236	-16.434	5.4505	1.9698	-4.6557	0	-5.0071	0	-5.2771	-7.3427	-6.6186	-4.2929	0	-6.5501	-35.9298	0	-5.2068	-9.9963	-35.9298	-35.9298	-35.9298	2.79E+00	2.03E+00
190866000000000000.00	2.8236	-16.433	5.4505	1.9691	-4.5967	0	-5.0254	0	-5.2954	-7.3325	-6.5448	-4.2733	0	-6.5715	-35.9298	0	-5.2251	-10.0104	-35.9298	-35.9298	-35.9298	2.82E+00	2.05E+00
191027000000000000.00	2.8268	-16.432	5.4505	1.9685	-4.5426	0	-5.0551	0	-5.3166	-7.3267	-6.4746	-4.2584	0	-6.5895	-35.9298	0	-5.2549	-10.022	-35.9298	-35.9298	-35.9298	2.84E+00	2.07E+00
