#
# this is a list of the lowest and strongest He-like transitions
# of the first 30 elements
# the entry El n  0 is the two-photon continuum
#
#>>chng 06 jul 21 add third n=2 line as per Ryan's LOC run
#>>chng 06 aug 17, further lines added for Ryan's loc run
#>>chng 06 aug 18, use mean wl of 2S - 2P multiplet
#
# helium lines are
# 2s 1S  - ground - two-photon
## >>chng 18 feb 20, updated spectral label from "TOTL" 1272.81A to "Blnd" 1259.54A, update He-like triplet labels and wl
Blnd	1259.54A
Ne 9	1277.70A
Ne 9	1272.81A
Ne 9	1248.28A
Ne 9	1855.98A
#
Na10	22.1533A	# two-photon singlet
Na10	22.3830A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 11.0829A to "Blnd" 11.0829A, update He-like triplet labels and wl
Blnd	11.0829A
Na10	11.08A
Na10	11.1915A
Na10	11.0027A
# >>chng 13 aug 01, wl from 1134.43A to 1142.35A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 1142.35A to "Blnd" 1125.50A, update He-like triplet labels and wl
Blnd	1125.50A
Na10	1149.20A
Na10	1142.35A
Na10	1111.76A
Na10	1646.93A
#
Mg11	18.4523A	# two-photon singlet
Mg11	18.6287A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 9.23121A to "Blnd" 9.23121A, update He-like triplet labels and wl
Blnd	9.23121A
Mg11	9.22816A
Mg11	9.31434A
Mg11	9.16875A
# >>chng 13 aug 01, wl from 1025.02A to 1034.31A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 1034.31A to "Blnd" 1013.82A, update He-like triplet labels and wl
Blnd	1013.82A
Mg11	1043.30A
Mg11	1034.31A
Mg11	997.455A
Mg11	1474.19A
#
Al12	15.6058A	# two-photon singlet
Al12	15.7442A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 7.80696A to "Blnd" 7.80696A, update He-like triplet labels and wl
Blnd	7.80696A
Al12	7.80383A
Al12	7.87212A
Al12	7.75730A
# >>chng 13 aug 01, wl from 932.384A to 943.156A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 943.156A to "Blnd" 918.554A, update He-like triplet labels and wl
Blnd	918.554A
Al12	954.326A
Al12	943.156A
Al12	899.669A
Al12	1327.65A
#
Si13	13.3701A	# two-photon singlet
Si13	13.4808A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 6.68828A to "Blnd" 6.68828A, update He-like triplet labels and wl
Blnd	6.68828A
Si13	6.68508A
Si13	6.74039A
Si13	6.64803A
# >>chng 13 aug 01, wl from 852.828A to 865.144A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 865.144A to "Blnd" 836.734A, update He-like triplet labels and wl
Blnd	836.734A
Si13	878.646A
Si13	865.144A
Si13	814.693A
Si13	1200.67A
#
P 14	11.5816A	# two-photon singlet
P 14	11.6715A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 5.79335A to "Blnd" 5.79335A, update He-like triplet labels and wl
Blnd	5.79335A
P 14	5.79008A
P 14	5.83575A
P 14	5.76019A
# >>chng 13 aug 01, wl from 783.534A to 797.474A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 797.474A to "Blnd" 763.183A, update He-like triplet labels and wl
Blnd	763.183A
P 14	813.154A
P 14	797.474A
P 14	739.973A
P 14	1090.30A
#
S 15	10.1289A	# two-photon singlet
S 15	10.2030A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 5.06649A to "Blnd" 5.06649A, update He-like triplet labels and wl
Blnd	5.06649A
S 15	5.06314A
S 15	5.10150A
S 15	5.03873A
# >>chng 13 aug 01, wl from 722.675A to 738.319A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 738.319A to "Blnd" 698.311A, update He-like triplet labels and wl
Blnd	698.311A
S 15	756.306A
S 15	738.319A
S 15	673.4A
S 15	991.945A
#
Cl16	8.93256A	# two-photon singlet
Cl16	8.99435A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 4.46789A to "Blnd" 4.46789A, update He-like triplet labels and wl
Blnd	4.46789A
Cl16	4.46447A
Cl16	4.49718A
Cl16	4.44431A
# >>chng 13 aug 01, wl from 668.624A to 686.059A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 686.059A to "Blnd" 639.901A, update He-like triplet labels and wl
Blnd	639.901A
Cl16	706.015A
Cl16	686.059A
Cl16	613.798A
Cl16	903.506A
#
Ar17	7.93573A	# two-photon singlet
Ar17	7.98778A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 3.96911A to "Blnd" 3.96911A, update He-like triplet labels and wl
Blnd	3.96911A
Ar17	3.96561A
Ar17	3.99389A
Ar17	3.94883A
# >>chng 13 aug 01, wl from 620.361A to 639.554A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 639.554A to "Blnd" 589.841A, update He-like triplet labels and wl
Blnd	589.841A
Ar17	661.559A
Ar17	639.554A
Ar17	559.971A
Ar17	823.249A
#
K 18	7.09711A	# two-photon singlet
K 18	7.14159A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 3.54954A to "Blnd" 3.54954A, update He-like triplet labels and wl
Blnd	3.54954A
K 18	3.546A
K 18	3.57079A
K 18	3.53196A
# >>chng 13 aug 01, wl from 576.172A to 596.338A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 596.338A to "Blnd" 537.498A, update He-like triplet labels and wl
Blnd	537.498A
K 18	621.504A
K 18	596.338A
K 18	510.673A
K 18	755.116A
#
Ca19	6.38397A	# two-photon singlet
Ca19	6.42216A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 3.19280A to "Blnd" 3.19280A, update He-like triplet labels and wl
Blnd	3.19280A
Ca19	3.18915A
Ca19	3.21108A
Ca19	3.17724A
# >>chng 13 aug 01, wl from 537.858A to 560.739A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 560.739A to "Blnd" 493.676A, update He-like triplet labels and wl
Blnd	493.676A
Ca19	585.931A
Ca19	560.739A
Ca19	466.904A
Ca19	687.947A
#
Sc20	5.77278A	# two-photon singlet
Sc20	5.80583A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 2.88696A to "Blnd" 2.88696A, update He-like triplet labels and wl
Blnd	2.88696A
Sc20	2.88327A
Sc20	2.90292A
Sc20	2.87315A
# >>chng 13 aug 01, wl from 501.593A to 525.127A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 525.127A to "Blnd" 451.899A, update He-like triplet labels and wl
Blnd	451.899A
Sc20	553.557A
Sc20	525.127A
Sc20	426.094A
Sc20	626.409A
#
Ti21	5.24499A	# two-photon singlet
Ti21	5.27372A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 2.62293A to "Blnd" 2.62293A, update He-like triplet labels and wl
Blnd	2.62293A
Ti21	2.61913A
Ti21	2.63686A
Ti21	2.61040A
# >>chng 13 aug 01, wl from 469.987A to 496.574A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 496.574A to "Blnd" 414.426A, update He-like triplet labels and wl
Blnd	414.426A
Ti21	523.889A
Ti21	496.574A
Ti21	389.499A
Ti21	565.931A
#
V 22	4.78608A	# two-photon singlet
V 22	4.81129A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 2.39337A to "Blnd" 2.39337A, update He-like triplet labels and wl
Blnd	2.39337A
V 22	2.38949A
V 22	2.40565A
V 22	2.38195A
# >>chng 13 aug 01, wl from 440.559A to 468.999A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 468.999A to "Blnd" 379.274A, update He-like triplet labels and wl
Blnd	379.274A
V 22	496.894A
V 22	468.999A
V 22	355.783A
V 22	514.007A
#
Cr23	4.38458A	# two-photon singlet
Cr23	4.40683A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 2.19253A to "Blnd" 2.19253A, update He-like triplet labels and wl
Blnd	2.19253A
Cr23	2.18858A
Cr23	2.20341A
Cr23	2.18203A
# >>chng 13 aug 01, wl from 413.692A to 443.951A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 443.951A to "Blnd" 346.795A, update He-like triplet labels and wl
Blnd	346.795A
## >>chng 18 feb 20, updated spectral label from "TOTL" 443.951A to "Blnd" 346.795A, update He-like triplet labels and wl
Blnd	346.795A
Cr23	472.144A
Cr23	443.951A
Cr23	324.981A
Cr23	466.374A
#
Mn24	4.03128A	# two-photon singlet
Mn24	4.05102A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 2.01582A to "Blnd" 2.01582A, update He-like triplet labels and wl
Blnd	2.01582A
Mn24	2.01178A
Mn24	2.02551A
Mn24	2.00607A
# >>chng 13 aug 01, wl from 389.091A to 421.124A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 421.124A to "Blnd" 316.809A, update He-like triplet labels and wl
Blnd	316.809A
Mn24	449.317A
Mn24	421.124A
Mn24	296.833A
Mn24	422.690A
#
Fe25	3.71877A	# two-photon singlet
Fe25	3.73638A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 1.85951A to "Blnd" 1.85951A, update He-like triplet labels and wl
Blnd	1.85951A
Fe25	1.85541A
Fe25	1.86819A
Fe25	1.85040A
# >>chng 13 aug 01, wl from 366.563A to 400.304A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 400.304A to "Blnd" 289.213A, update He-like triplet labels and wl
Blnd	289.213A
Fe25	428.229A
Fe25	400.304A
Fe25	271.157A
Fe25	382.760A
#
Co26	3.44100A	# two-photon singlet
Co26	3.45678A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 1.72059A to "Blnd" 1.72059A, update He-like triplet labels and wl
Blnd	1.72059A
Co26	1.71641A
Co26	1.72839A
Co26	1.71199A
# >>chng 13 aug 01, wl from 345.846A to 381.243A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 381.243A to "Blnd" 263.774A, update He-like triplet labels and wl
Blnd	263.774A
Co26	408.647A
Co26	381.243A
Co26	247.647A
