# 				indicated temperatures (in K)
#
##########################################################################################
TDATA: 1e5 1.5e5 2.5e5 4e5 6e5 1e6 1.5e6 2.5e6 4e6 6e6 1e7 1.5e7 2.5e7 4e7 6e7 1e8
##########################################################################################
#			 H-LIKE ISOTOPES
#								___________________________________________________________________________________________________________________________COLLISION STRENGTH_____________________________________________________________________________________________________________
# A	Z	Stage   Wlng		Prob		Ref	T=1e5		1.5e5		2.5e5		4e5		6e5		1e6		1.5e6		2.5e6		4e6		6e6		1e7		1.5e7		2.5e7		4e7		6e7		1e8	
# (1)	(2)	 (3)	 (4)		 (5)		(6)	 (7)		 (8)		 (9)		(10)		(11)		(12)		 (13)		 (14)		 (15)		(16)		(17)		 (18)		 (19)		(20)		(21)		(22)
19	 9	 9	3.05000e-02	9.6000e-07	 1	2.4859e-02	2.4728e-02	2.4395e-02	2.4025e-02	2.3580e-02	2.2791e-02	2.2097e-02	2.1042e-02	1.9735e-02	1.8549e-02	1.6370e-02	1.2931e-02	8.5830e-03	6.1549e-03	4.4926e-03	2.8343e-03
21	10	10	1.32000e-01	2.8000e-08	 1	4.9836e-02	4.9613e-02	4.9029e-02	4.8396e-02	4.7657e-02	4.6280e-02	4.5054e-02	4.3707e-02	4.1957e-02	4.0243e-02	3.7564e-02	3.1551e-02	2.0305e-02	1.4137e-02	1.0476e-02	6.7525e-03
23	11	11	2.96000e-02	1.6000e-06	 1	4.3221e-02	4.3055e-02	4.2607e-02	4.2127e-02	4.1589e-02	4.0555e-02	3.9442e-02	3.8192e-02	3.7002e-02	3.5577e-02	3.3817e-02	3.0765e-02	2.1496e-02	1.4045e-02	1.0382e-02	6.8286e-03
25	12	12	6.54000e-02	2.2000e-07	 1	5.5284e-02	5.5101e-02	5.4589e-02	5.4041e-02	5.3453e-02	5.2326e-02	5.0986e-02	4.9067e-02	4.7645e-02	4.6146e-02	4.3936e-02	4.1961e-02	3.3973e-02	2.1865e-02	1.5116e-02	1.0014e-02
27	13	13	1.21000e-02	2.5000e-05	 1	4.9201e-02	4.9060e-02	4.8648e-02	4.8206e-02	4.7751e-02	4.6892e-02	4.5837e-02	4.4000e-02	4.2352e-02	4.1123e-02	3.9157e-02	3.7664e-02	3.4363e-02	2.5405e-02	1.6441e-02	1.0113e-02
29	14	14	3.79000e-02	1.5000e-06	 1	1.1007e-02	1.0980e-02	1.0896e-02	1.0805e-02	1.0715e-02	1.0548e-02	1.0342e-02	9.9494e-03	9.4608e-03	8.9915e-03	8.3245e-03	7.7037e-03	6.9037e-03	5.8302e-03	4.3616e-03	2.6271e-03
31	15	15	1.51000e-02	7.8000e-06	 1	9.5677e-03	9.5470e-03	9.4794e-03	9.4059e-03	9.3350e-03	9.2079e-03	9.0504e-03	8.7438e-03	8.3314e-03	7.8918e-03	7.2798e-03	6.7371e-03	5.9940e-03	5.3004e-03	4.4455e-03	2.9016e-03
33	16	16	3.27000e-02	1.2000e-06	 1	2.3659e-02	2.3614e-02	2.3459e-02	2.3287e-02	2.3125e-02	2.2845e-02	2.2498e-02	2.1816e-02	2.0870e-02	1.9816e-02	1.8395e-02	1.7368e-02	1.6113e-02	1.5119e-02	1.4295e-02	1.1456e-02
35	17	17	2.13000e-02	4.2000e-06	 1	2.1309e-02	2.1275e-02	2.1142e-02	2.0994e-02	2.0857e-02	2.0626e-02	2.0345e-02	1.9785e-02	1.8993e-02	1.8061e-02	1.6623e-02	1.5447e-02	1.4118e-02	1.3017e-02	1.2314e-02	1.1406e-02
37	17	17	2.55000e-02	2.4000e-06	 1	2.1309e-02	2.1275e-02	2.1142e-02	2.0994e-02	2.0857e-02	2.0626e-02	2.0345e-02	1.9785e-02	1.8993e-02	1.8061e-02	1.6623e-02	1.5447e-02	1.4118e-02	1.3017e-02	1.2314e-02	1.1406e-02
