  20190923 # magic number
########################################################################
#
# Ionization potentials of all ions of all natural elements.
#
# Description of the columns:
#
# column 1 : element number (H = 1, He = 2, etc.)
# column 2 : charge before ionization (neutral = 0, etc)
# column 3 : ionization potential in cm^-1
# column 4 : uncertainty in ionization potential in cm^-1; 0, if unknown
# column 5 : literature reference, see bottom of file
# column 6 : spectrum of the ion before ionization
# column 7 : configuration of the ion after ionization
#
########################################################################
 11   9 11817106.7      0.2             # L13237               Na X       	'Na XI (1s 2S<1/2>)'
 11  10 13297680        1               # L7188                Na XI      	''
 12   0 61671.05        0.03            # L10635,L6969         Mg I       	'Mg II (3s 2S<1/2>)'
 12   1 121267.64       0.05            # L10635               Mg II      	'Mg III (2p6 1S<0>)'
 12   2 646402          5               # L4995,L1434          Mg III     	'Mg IV (2p5 2P*<3/2>)'
 12   3 881285          10              # L4995,L2720          Mg IV      	'Mg V (2p4 3P<2>)'
 12   4 1139940         260             # L11770               Mg V       	'Mg VI (2p3 4S*<3/2>)'
 12   5 1506300         500             # L10635               Mg VI      	'Mg VII (2p2 3P<0>)'
 12   6 1814870         470             # L11770               Mg VII     	'Mg VIII (2p 2P*<1/2>)'
 12   7 2144820         150             # L11770               Mg VIII    	'Mg IX (2s2 1S<0>)'
 12   8 2645380         300             # L11770               Mg IX      	'Mg X (2s 2S<1/2>)'
 12   9 2964000         60              # L16264c99            Mg X       	'Mg XI (1s2 1S<0>)'
 12  10 14209914.7      1.6             # L12128               Mg XI      	'Mg XII (1s 2S<1/2>)'
 12  11 15829950        1               # L7188                Mg XII     	''
 13   0 48278.480       0.025           # L7215,L10321         Al I       	'Al II (3s2 1S<0>)'
 13   1 151862.5        0.4             # L7215                Al II      	'Al III (3s 2S<1/2>)'
 13   2 229445.71       0.2             # L4714,L277           Al III     	'Al IV (2p6 1S<0>)'
 13   3 967804          15              # L4714,L2829          Al IV      	'Al V (2p5 2P*<3/2>)'
 13   4 1240684         20              # L4714,L3565          Al V       	'Al VI (2p4 3P<2>)'
 13   5 1536400         400             # L7215                Al VI      	'Al VII (2p3 4S*<3/2>)'
 13   6 1949900         700             # L7215                Al VII     	'Al VIII (2p2 3P<0>)'
 13   7 2295760         560             # L11770               Al VIII    	'Al IX (2p 2P*<1/2>)'
 13   8 2663340         290             # L11770               Al IX      	'Al X (2s2 1S<0>)'
 13   9 3215300         450             # L11770               Al X       	'Al XI (2s 2S<1/2>)'
 13  10 3565010         60              # L16264c99            Al XI      	'Al XII (1s2 1S<0>)'
 13  11 16824539.3      1.6             # L12128               Al XII     	'Al XIII (1s 2S<1/2>)'
 13  12 18584143        2               # L7188                Al XIII    	''
 14   0 65747.76        0.25            # L5815                Si I       	'Si II (3p 2P*<1/2>)'
 14   1 131838.14       0.30            # L5815                Si II      	'Si III (3s2 1S<0>)'
 14   2 270139.3        0.7             # L5815                Si III     	'Si IV (3s 2S<1/2>)'
 14   3 364093.1        0.6             # L5815,L6098          Si IV      	'Si V (2p6 1S<0>)'
 14   4 1345070         25              # L3934                Si V       	'Si VI (2p5 2P*<3/2>)'
 14   5 1655690         40              # c192                 Si VI      	'Si VII (2p4 3P<2>)'
 14   6 1988730         400             # c193                 Si VII     	'Si VIII (2p3 4S*<3/2>)'
 14   7 2448640         420             # c193                 Si VIII    	'Si IX (2p2 3P<0>)'
 14   8 2833300         500             # c193                 Si IX      	'Si X (2p 2P*<1/2>)'
 14   9 3237350         340             # L11770               Si X       	'Si XI (2s2 1S<0>)'
 14  10 3841400         150             # c192                 Si XI      	'Si XII (2s 2S<1/2>)'
 14  11 4221630         60              # L16264c99            Si XII     	'Si XIII (1s2 1S<0>)'
 14  12 19661038.9      1.6             # L12128               Si XIII    	'Si XIV (1s 2S<1/2>)'
 14  13 21560631        2               # L7188                Si XIV     	''
 15   0 84580.83        0.12            # L5148                P  I       	'P II (3p2 3P<0>)'
 15   1 159451.7        0.3             # L11770               P  II      	'P III (3p 2P*<1/2>)'
 15   2 243600.7        0.7             # L7147                P  III     	'P IV (3s2 1S<0>)'
 15   3 414922.8        1.0             # L7147                P  IV      	'P V (3s 2S<1/2>)'
 15   4 524462.9        1.0             # L7147,L2613          P  V       	'P VI (2p6 1S<0>)'
 15   5 1777891         38              # L11770               P  VI      	'P VII (2p5 2P*<3/2>)'
 15   6 2125800         500             # L7147                P  VII     	'P VIII (2p4 3P<2>)'
 15   7 2497100         800             # L7147                P  VIII    	'P IX (2p3 4S*<3/2>)'
 15   8 3002900         1700            # L11770               P  IX      	'P X (2p2 3P<0>)'
 15   9 3423000         750             # L11770               P  X       	'P XI (2p 2P*<1/2>)'
 15  10 3866950         390             # L11770               P  XI      	'P XII (2s2 1S<0>)'
 15  11 4521700         800             # L11770               P  XII     	'P XIII (2s 2S<1/2>)'
 15  12 4934020         60              # L16264c99            P  XIII    	'P XIV (1s2 1S<0>)'
 15  13 22719901.6      1.6             # L12128               P  XIV     	'P XV (1s 2S<1/2>)'
 15  14 24759942        3               # L7188                P  XV      	''
 16   0 83559.1         1.0             # L7237                S  I       	'S II (3p3 4S*<3/2>)'
 16   1 188232.7        2.0             # L7237,L5883          S  II      	'S III (3p2 3P<0>)'
 16   2 281130          310             # L11770               S  III     	'S IV (3p 2P*<1/2>)'
 16   3 380870          100             # L7237                S  IV      	'S V (3s2 1S<0>)'
 16   4 585514.1        3.0             # L7237                S  V       	'S VI (3s 2S<1/2>)'
 16   5 710194.7        3.0             # L7237,L4882          S  VI      	'S VII (2p6 1S<0>)'
 16   6 2266050         60              # L9896                S  VII     	'S VIII (2p5 2P*<3/2>)'
 16   7 2651900         60              # L11242               S  VIII    	'S IX (2p4 3P<2>)'
 16   8 3063600         1700            # L11770               S  IX      	'S X (2p3 4S*<3/2>)'
 16   9 3611300         2100            # L11770               S  X       	'S XI (2p2 3P<0>)'
 16  10 4069500         1000            # L11770               S  XI      	'S XII (2p 2P*<1/2>)'
 16  11 4552250         440             # L11770               S  XII     	'S XIII (2s2 1S<0>)'
 16  12 5258400         1000            # L11770               S  XIII    	'S XIV (2s 2S<1/2>)'
 16  13 5702290         60              # L16264c99            S  XIV     	'S XV (1s2 1S<0>)'
 16  14 26001545.1      2.4             # L12128               S  XV      	'S XVI (1s 2S<1/2>)'
 16  15 28182526        4               # L7188                S  XVI     	''
 17   0 104591.01       0.13            # L19191               Cl I       	'Cl II (3p4 3P<2>)'
 17   1 192070.0        1.0             # L1617                Cl II      	'Cl III (3p3 4S*<3/2>)'
 17   2 320970          850             # L11770               Cl III     	'Cl IV (3p2 3P<0>)'
 17   3 429430          980             # L11770               Cl IV      	'Cl V (3p 2P*<1/2>)'
 17   4 545840          820             # L11770               Cl V       	'Cl VI (3s2 1S<0>)'
 17   5 781900          300             # L11770               Cl VI      	'Cl VII (3s 2S<1/2>)'
 17   6 921096          5               # L6356                Cl VII     	'Cl VIII (2p6 1S<0>)'
 17   7 2809280         60              # L6972                Cl VIII    	'Cl IX (2p5 2P*<3/2>)'
 17   8 3233080         100             # L9369                Cl IX      	'Cl X (2p4 3P<2>)'
 17   9 3683400         3300            # L11770               Cl X       	'Cl XI (2p3 4S*<3/2>)'
 17  10 4274500         2900            # L11770               Cl XI      	'Cl XII (2p2 3P<0>)'
 17  11 4771400         1500            # L11770               Cl XII     	'Cl XIII (2p 2P*<1/2>)'
 17  12 5293400         1000            # L11770               Cl XIII    	'Cl XIV (2s2 1S<0>)'
 17  13 6051000         1500            # L11770               Cl XIV     	'Cl XV (2s 2S<1/2>)'
 17  14 6526620         60              # L16264c99            Cl XV      	'Cl XVI (1s2 1S<0>)'
 17  15 29506532.5      2.4             # L12128               Cl XVI     	'Cl XVII (1s 2S<1/2>)'
 17  16 31828983        5               # L7188                Cl XVII    	''
 18   0 127109.842      0.004           # L9217                Ar I       	'Ar II (3p5 2P*<3/2>)'
 18   1 222848.3        1.0             # L8844                Ar II      	'Ar III (3p4 3P<2>)'
 18   2 328550          100             # L8114                Ar III     	'Ar IV (3p3 4S*<3/2>)'
 18   3 480560          1440            # L11770               Ar IV      	'Ar V (3p2 3P<0>)'
 18   4 603660          1390            # L11770               Ar V       	'Ar VI (3p 2P*<1/2>)'
 18   5 736300          80              # L12277               Ar VI      	'Ar VII (3s2 1S<0>)'
 18   6 1003450         450             # L11770               Ar VII     	'Ar VIII (3s 2S<1/2>)'
 18   7 1157056         10              # L4344                Ar VIII    	'Ar IX (2p6 1S<0>)'
 18   8 3408480         470             # L11770               Ar IX      	'Ar X (2p5 2P*<3/2>)'
 18   9 3869500         1000            # L11242c99            Ar X       	'Ar XI (2p4 3P<2>)'
 18  10 4358900         5200            # L11770               Ar XI      	'Ar XII (2p3 4S*<3/2>)'
 18  11 4992200         3600            # L11770               Ar XII     	'Ar XIII (2p2 3P<0>)'
 18  12 5528700         2200            # L11770               Ar XIII    	'Ar XIV (2p 2P*<1/2>)'
 18  13 6090500         1800            # L11770               Ar XIV     	'Ar XV (2s2 1S<0>)'
 18  14 6899800         2200            # L11770               Ar XV      	'Ar XVI (2s 2S<1/2>)'
 18  15 7407190         60              # L16264c99            Ar XVI     	'Ar XVII (1s2 1S<0>)'
 18  16 33235410.       3               # L12128               Ar XVII    	'Ar XVIII (1s 2S<1/2>)'
 18  17 35699895.       6               # L7188                Ar XVIII   	''
 19   0 35009.8140      0.0007          # L5451,L5783,L7185    K  I       	'K II (3p6 1S<0>)'
