190101   # magic number for this file 
#
# 19 07 27, Giulio Dell-Zanna found problem in splitting of 2 ^P_J collision strenghts.  Fixed by Fran Guzman.
#
# this file contains atomic data from
# >>refer He 1	cs	Bray, I., Burgess, A., Fursa, D.V., & Tully, J.A.,
# >>refercon 2000, A&AS, 146, 481-498
# for transitions from ground and n=2 levels, except that, since they include no data from 2 1P, we use the work of
# >>refer He 1	cs	Sawey, P.M.J., & Berrington, K.A. 1993, ADNDT 55, 81
#
# format is upper and lower index, for atom stacked in increasing energy level (except for the 2 3P levels, which are inverted, i.e. 3 -> 2 3P0, 4 -> 2 3P1, 5 -> 2 3P2),
# spectroscopic designation of lower and upper levels (n SL J),
# cs at following temperatures
3.75	4.00	4.25	4.50	4.75	5.0	5.25	5.5	5.75
# values of -1 are sentinels for "no value"...code will default to other method for these
# point for logT = 5.00 changed from 5.320e-2 to 5.392e-2 as per John Tully email, Feb 23, 01
0	29	1 1S 0	5 1G 4	1.938E-04	1.551E-04	1.158E-04	8.143E-05	5.484E-05	3.640E-05	2.473E-05	1.742E-05	1.244E-05
0	30	1 1S 0	5 1P 1	6.597E-04	9.203E-04	1.223E-03	1.701E-03	2.673E-03	4.706E-03	8.605E-03	1.521E-02	2.515E-02
1	2	2 3S 1	2 1S 0	2.389E+00	2.456E+00	2.275E+00	1.916E+00	1.496E+00	1.111E+00	8.003E-01	5.660E-01	3.944E-01
1	3	2 3S 1	2 3P 0	1.676e+00	2.867e+00	4.650e+00	7.172e+00	1.058e+01	1.501e+01	2.047e+01	2.668e+01	3.307e+01	
1	4	2 3S 1	2 3P 1	5.027e+00	8.600e+00	1.395e+01	2.152e+01	3.175e+01	4.503e+01	6.140e+01	8.003e+01	9.920e+01	
1	5	2 3S 1	2 3P 2	8.378e+00	1.433e+01	2.325e+01	3.586e+01	5.292e+01	7.506e+01	1.023e+02	1.334e+02	1.653e+02	
1	6	2 3S 1	2 1P 1	7.965E-01	9.579E-01	1.042E+00	1.015E+00	8.950E-01	7.265E-01	5.516E-01	3.948E-01	2.677E-01
1	7	2 3S 1	3 3S 1	2.410E+00	2.286E+00	2.235E+00	2.370E+00	2.761E+00	3.397E+00	4.187E+00	5.013E+00	5.755E+00
1	8	2 3S 1	3 1S 0	3.544E-01	3.295E-01	2.832E-01	2.280E-01	1.730E-01	1.247E-01	8.624E-02	5.765E-02	3.747E-02
1	9	2 3S 1	3 3P -1	1.606E+00	1.611E+00	1.576E+00	1.552E+00	1.615E+00	1.868E+00	2.410E+00	3.274E+00	4.382E+00
