#
# RATE05 - February 17 2006 - non-dipole - www.udfa.net
#
# REFERENCE: 
# Woodall, Ag\'undez, Markwick-Kemper, Millar, 2006, A\&A submitted.
#
# We strongly recommend you read the paper before attempting implementation of this data.
#
# *** NOTE: Exercise caution with use of the rate coefficients of the following reactions ***
# *** You need to do something about them, otherwise at 10 K you will get garbage results ***
# 93,172,267,283,289,311,314,353,355,379,421,433,445,448,450,459,468,490,492,493,495,503,
# 504,522,535,542,660,2938,2940,3527-8,3530-1,3546,3547,3549,3550,3552,3553,3575-3580,4001,4002,
# 4007,4008,4105,4109,4133,4551,4578,4586,4588,4589,4590,4594,4597,4598
#
# FORMAT:
# ix,reactant1,reactant2,reactant3,product1,product2,product3,product4,alpha,beta,gamma,clem,tmin,tmax,accuracy,source
#
1085,He+,C2S,,S+,C2,He,,2.50E-10,0.00,0.0,L,10,41000,C,MH90
1086,He+,C2S,,S,C2+,He,,2.50E-10,0.00,0.0,L,10,41000,C,MH90
1087,He+,C2S,,CS,C+,He,,2.50E-10,0.00,0.0,L,10,41000,C,MH90
1088,He+,C2S,,CS+,C,He,,2.50E-10,0.00,0.0,L,10,41000,C,MH90
1089,He+,CH3COCH3,,CH3CO+,CH3,He,,3.00E-09,0.00,0.0,L,10,41000,C,MH91
1090,He+,HCOOCH3,,HCO2+,CH3,He,,3.00E-09,0.00,0.0,L,10,41000,C,MH91
1091,He+,C5,,C3+,C2,He,,1.00E-09,0.00,0.0,L,10,41000,C,
1092,He+,C5,,C4+,C,He,,1.00E-09,0.00,0.0,L,10,41000,C,
1093,He+,OCS,,S+,CO,He,,7.60E-10,0.00,0.0,L,10,41000,C,
1094,He+,OCS,,S,CO+,He,,7.60E-10,0.00,0.0,L,10,41000,C,
1095,He+,OCS,,CS+,O,He,,7.60E-10,0.00,0.0,L,10,41000,C,
1096,He+,OCS,,CS,O+,He,,7.60E-10,0.00,0.0,L,10,41000,C,
1097,He+,SiO2,,O2,Si+,He,,2.00E-09,0.00,0.0,L,10,41000,C,HM89
1098,He+,SiS,,S,Si+,He,,3.80E-09,0.00,0.0,L,10,41000,C,
1099,He+,SiS,,S+,Si,He,,3.80E-09,0.00,0.0,L,10,41000,C,
1100,He+,C5H,,C3H+,C2,He,,1.50E-09,0.00,0.0,L,10,41000,C,
1101,He+,C5H,,C5+,He,H,,1.50E-09,0.00,0.0,L,10,41000,C,
1102,He+,C5H2,,C3H+,C2H,He,,1.00E-09,0.00,0.0,L,10,41000,C,
1103,He+,C5H2,,C5+,He,H2,,1.00E-09,0.00,0.0,L,10,41000,C,
1104,He+,C5H2,,C5H+,He,H,,1.00E-09,0.00,0.0,L,10,41000,C,
1105,He+,SO2,,S+,O2,He,,9.00E-10,0.00,0.0,M,10,41000,A,7302
1106,He+,SO2,,SO+,O,He,,2.97E-09,0.00,0.0,M,10,41000,A,7302
1107,He+,CH3C4H,,C5H2+,He,H2,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1108,He+,CH3C4H,,C5H3+,He,H,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1109,He+,SiC3,,SiC2+,C,He,,2.00E-09,0.00,0.0,L,10,41000,C,HM89
1110,He+,S2,,S+,S,He,,2.00E-09,0.00,0.0,L,10,41000,C,
1111,He+,CH3C3N,,C3N,CH3+,He,,7.00E-08,0.00,0.0,L,10,41000,C,HL89
1112,He+,SiC3H,,C3H,Si+,He,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1113,He+,SiC3H,,SiC3+,He,H,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1114,He+,HS2,,HS,S+,He,,1.00E-09,0.00,0.0,L,10,41000,C,MH90
1115,He+,HS2,,S2+,He,H,,1.00E-09,0.00,0.0,L,10,41000,C,MH90
1116,He+,H2S2,,HS+,HS,He,,2.00E-09,0.00,0.0,L,10,41000,C,MH90
1117,He+,H2S2,,HS2+,He,H,,2.00E-09,0.00,0.0,L,10,41000,C,MH90
1118,He+,C3P,,C3,P+,He,,5.00E-10,0.00,0.0,L,10,41000,C,
1119,He+,C3P,,C3+,P,He,,5.00E-10,0.00,0.0,L,10,41000,C,
1120,He+,C3S,,CS,C2+,He,,5.00E-10,0.00,0.0,L,10,41000,C,MH90
1121,He+,C3S,,CS+,C2,He,,5.00E-10,0.00,0.0,L,10,41000,C,MH90
1122,He+,C6,,C4+,C2,He,,1.40E-09,0.00,0.0,L,10,41000,C,
1123,He+,C6,,C5+,C,He,,1.40E-09,0.00,0.0,L,10,41000,C,
1124,He+,C6H,,C4H+,C2,He,,1.40E-09,0.00,0.0,L,10,41000,C,
1125,He+,C6H,,C6+,He,H,,1.40E-09,0.00,0.0,L,10,41000,C,
1126,He+,C5N,,C4+,CN,He,,3.00E-09,0.00,0.0,L,10,41000,C,HL89
1127,He+,C6H2,,C4H+,C2H,He,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1128,He+,C6H2,,C6+,He,H2,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1129,He+,C6H2,,C6H+,He,H,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1130,He+,HC5N,,C4H+,CN,He,,1.00E-09,0.00,0.0,L,10,41000,C,
1131,He+,HC5N,,C3N,C2H+,He,,1.00E-09,0.00,0.0,L,10,41000,C,
1132,He+,SiC4,,SiC3+,C,He,,2.00E-09,0.00,0.0,L,10,41000,C,HM89
1133,He+,C6H6,,C5H5+,CH,He,,7.00E-10,0.00,0.0,C,10,300,B,9905
1134,He+,C6H6,,C6H5+,He,H,,7.00E-10,0.00,0.0,C,10,300,B,9905
1135,He+,C4P,,CCP+,C2,He,,5.00E-10,0.00,0.0,L,10,41000,C,
1136,He+,C4P,,CCP,C2+,He,,5.00E-10,0.00,0.0,L,10,41000,C,
1137,He+,C4S,,CS,C3+,He,,5.00E-10,0.00,0.0,L,10,41000,C,MH90
1138,He+,C4S,,CS+,C3,He,,5.00E-10,0.00,0.0,L,10,41000,C,MH90
1139,He+,C7,,C5+,C2,He,,1.40E-09,0.00,0.0,L,10,41000,C,HL89
1140,He+,C7,,C6+,C,He,,1.40E-09,0.00,0.0,L,10,41000,C,HL89
1141,He+,C7H,,C5H+,C2,He,,2.00E-09,0.00,0.0,L,10,41000,C,HL89
1142,He+,C7H,,C7+,He,H,,2.00E-09,0.00,0.0,L,10,41000,C,HL89
1143,He+,C7H2,,C5H+,C2H,He,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1144,He+,C7H2,,C7+,He,H2,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1145,He+,C7H2,,C7H+,He,H,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1146,He+,C7H4,,C7H2+,He,H2,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1147,He+,C7H4,,C7H3+,He,H,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1148,He+,CH3C5N,,C5N,CH3+,He,,7.00E-08,0.00,0.0,L,10,41000,C,HL89
1149,He+,C8,,C6+,C2,He,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1150,He+,C8,,C7+,C,He,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1151,He+,C8H,,C6H+,C2,He,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1152,He+,C8H,,C8+,He,H,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1153,He+,C7N,,C6+,CN,He,,3.00E-09,0.00,0.0,L,10,41000,C,HL89
1154,He+,C8H2,,C6H+,C2H,He,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1155,He+,C8H2,,C8+,He,H2,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1156,He+,C8H2,,C8H+,He,H,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1157,He+,HC7N,,C6H+,CN,He,,7.00E-09,0.00,0.0,L,10,41000,C,HL89
1158,He+,C9,,C7+,C2,He,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1159,He+,C9,,C8+,C,He,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
1160,He+,C9H,,C7H+,C2,He,,2.50E-09,0.00,0.0,L,10,41000,C,HL89
1161,He+,C9H,,C9+,He,H,,2.50E-09,0.00,0.0,L,10,41000,C,HL89
1162,He+,C9H2,,C7H+,C2H,He,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1163,He+,C9H2,,C9+,He,H2,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1164,He+,C9H2,,C9H+,He,H,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1165,He+,CH3C7N,,C7N,CH3+,He,,7.00E-08,0.00,0.0,L,10,41000,C,HL89
1166,He+,C9N,,C8+,CN,He,,4.00E-09,0.00,0.0,L,10,41000,C,HL89
1167,He+,HC9N,,C8H+,CN,He,,7.00E-09,0.00,0.0,L,10,41000,C,HL89
1168,C+,CH,,C2+,H,,,3.80E-10,0.00,0.0,L,10,41000,C,
1169,C,CH+,,C2+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,
1170,C+,CH2,,C2H+,H,,,5.20E-10,0.00,0.0,L,10,41000,C,
1171,C,CH2+,,C2H+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,
1172,C,NH+,,N,CH+,,,1.60E-09,0.00,0.0,L,10,41000,C,
1173,C+,NH,,CN+,H,,,7.80E-10,0.00,0.0,L,10,41000,C,
1174,C+,CH3,,C2H+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1175,C+,CH3,,C2H2+,H,,,1.30E-09,0.00,0.0,L,10,41000,C,
1176,C,CH3+,,C2H+,H2,,,1.20E-09,0.00,0.0,L,10,41000,C,
1177,C+,NH2,,HCN+,H,,,1.10E-09,0.00,0.0,L,10,41000,C,
1178,C+,CH4,,C2H2+,H2,,,4.00E-10,0.00,0.0,M,10,41000,A,8012
1179,C+,CH4,,C2H3+,H,,,1.10E-09,0.00,0.0,M,10,41000,A,8012
1180,C,OH+,,O,CH+,,,1.20E-09,0.00,0.0,L,10,41000,C,
1181,C+,OH,,CO+,H,,,7.70E-10,0.00,0.0,L,10,41000,C,
1182,C+,NH3,,HCN+,H2,,,7.00E-11,0.00,0.0,M,10,41000,A,7707
1183,C+,NH3,,H2NC+,H,,,1.75E-09,0.00,0.0,M,10,41000,A,7707
1184,C,CH5+,,CH4,CH+,,,1.20E-09,0.00,0.0,L,10,41000,C,
1185,C,H2O+,,OH,CH+,,,1.10E-09,0.00,0.0,L,10,41000,C,
1186,C+,H2O,,HCO+,H,,,9.00E-10,0.00,0.0,M,10,41000,A,7601
1187,C+,H2O,,HOC+,H,,,1.80E-09,0.00,0.0,M,10,41000,A,7601
1188,C,NH4+,,H2NC+,H2,,,1.00E-11,0.00,0.0,L,10,41000,C,
1189,C,H3O+,,HCO+,H2,,,1.00E-11,0.00,0.0,L,10,41000,C,
1190,C+,HF,,CF+,H,,,7.20E-09,0.00,0.0,L,10,41000,A,NW05
1191,C+,C2H,,C3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1192,C,C2H+,,C3+,H,,,1.10E-09,0.00,0.0,L,10,41000,C,
1193,C+,C2H2,,C3H+,H,,,2.20E-09,0.00,0.0,M,10,41000,A,8207
1194,C,C2H2+,,C3H+,H,,,1.10E-09,0.00,0.0,L,10,41000,C,
1195,C,HCN+,,CN,CH+,,,1.10E-09,0.00,0.0,L,10,41000,C,
1196,C+,HCN,,CNC+,H,,,3.10E-09,0.00,0.0,M,10,41000,A,8512
1197,C+,HNC,,C2N+,H,,,3.10E-09,0.00,0.0,L,10,41000,C,
1198,C,C2H3+,,C3H+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1199,C+,C2H3,,C3H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1200,C,C2H3+,,C3H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1201,C+,C2H4,,C3H+,H2,H,,8.50E-11,0.00,0.0,M,10,41000,A,8309
1202,C+,C2H4,,H2C3H+,H,,,1.02E-09,0.00,0.0,M,10,41000,A,8309
1203,C,C2H4+,,H2C3H+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1204,C+,C2H4,,C2H3+,CH,,,8.50E-11,0.00,0.0,M,10,41000,A,8309
1205,C+,C2H4,,C3H2+,H2,,,3.40E-10,0.00,0.0,M,10,41000,A,8309
1206,C,C2H4+,,C3H2+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1207,C+,HCO,,CO,CH+,,,4.80E-10,0.00,0.0,L,10,41000,C,
1208,C,HCO+,,CO,CH+,,,1.10E-09,0.00,0.0,L,10,41000,C,
1209,C,HN2+,,N2,CH+,,,1.10E-09,0.00,0.0,L,10,41000,C,
1210,C+,C2H5,,H2C3H+,H2,,,5.00E-10,0.00,0.0,L,10,41000,C,
1211,C+,SiH,,SiC+,H,,,1.10E-09,0.00,0.0,L,10,41000,C,HM89
1212,C,SiH+,,SiC+,H,,,2.00E-10,0.00,0.0,L,10,41000,C,HM89
1213,C+,CH3CH3,,C2H2+,CH4,,,8.25E-11,0.00,0.0,M,10,41000,B,9399
1214,C+,CH3CH3,,C2H3+,CH3,,,4.95E-10,0.00,0.0,M,10,41000,B,9399
1215,C+,CH3CH3,,C2H4+,CH2,,,1.16E-10,0.00,0.0,M,10,41000,B,9399
1216,C+,CH3CH3,,C2H5+,CH,,,2.31E-10,0.00,0.0,M,10,41000,B,9399
1217,C+,CH3CH3,,C3H2+,H2,H2,,1.65E-11,0.00,0.0,M,10,41000,B,9399
1218,C+,CH3CH3,,C3H3+,H2,H,,7.10E-10,0.00,0.0,M,10,41000,B,9399
1219,C-,NO,,CN-,O,,,1.00E-09,0.00,0.0,L,10,41000,C,
1220,C+,H2CO,,CO,CH2+,,,2.34E-09,0.00,0.0,M,10,41000,A,7803
1221,C+,H2CO,,HCO+,CH,,,7.80E-10,0.00,0.0,M,10,41000,A,7803
1222,C+,SiH2,,SiC+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1223,C+,SiH2,,HCSi+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1224,C,SiH2+,,HCSi+,H,,,1.10E-09,0.00,0.0,L,10,41000,C,HM89
1225,C,HNO+,,NO,CH+,,,1.00E-09,0.00,0.0,L,10,41000,C,
1226,C+,SiH3,,SiCH2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1227,C,SiH3+,,SiCH2+,H,,,2.00E-10,0.00,0.0,L,10,300,C,HM89
1228,C+,SiH3,,HCSi+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1229,C+,O2,,CO+,O,,,3.80E-10,0.00,0.0,M,10,41000,A,7705
1230,C+,O2,,CO,O+,,,6.20E-10,0.00,0.0,M,10,41000,A,7705
1231,C-,O2,,CO,O-,,,4.00E-10,0.00,0.0,L,10,41000,C,
1232,C,O2+,,CO+,O,,,5.20E-11,0.00,0.0,L,10,41000,C,
1233,C+,CH3OH,,HCO,CH3+,,,2.08E-09,0.00,0.0,M,10,41000,A,7803
1234,C+,CH3OH,,H3CO+,CH,,,5.20E-10,0.00,0.0,M,10,41000,A,7803
1235,C+,SiH4,,SiCH2+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1236,C+,SiH4,,SiCH3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1237,C,SiH4+,,SiCH2+,H2,,,3.00E-10,0.00,0.0,L,10,41000,C,HM89
1238,C,O2H+,,O2,CH+,,,1.00E-09,0.00,0.0,L,10,41000,C,
1239,C+,HS,,CS+,H,,,1.10E-09,0.00,0.0,L,10,41000,C,
1240,C,HS+,,CS+,H,,,9.90E-10,0.00,0.0,L,10,41000,C,
1241,C,SiH5+,,SiCH4+,H,,,2.00E-10,0.00,0.0,L,10,41000,C,HM89
1242,C+,H2S,,HCS+,H,,,1.40E-09,0.00,0.0,M,10,41000,A,7601
1243,C,H2S+,,HCS+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1244,C+,HCl,,CCl+,H,,,1.10E-09,0.00,0.0,M,10,41000,A,8502
1245,C+,C3H,,C4+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1246,C+,C3H2,,C4H+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1247,C+,H2CCC,,C4H+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1248,C,C3H2+,,C4H+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1249,C+,C3H2,,C4+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1250,C+,H2CCC,,C4+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1251,C,C3H2+,,C4+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1252,C+,C3H3,,C4H+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1253,C,C3H3+,,C4H+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1254,C,H2C3H+,,C4H+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1255,C+,C3H3,,H2C3H+,C,,,1.00E-09,0.00,0.0,L,10,300,C,HL89
1256,C+,C3H3,,C4H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1257,C,C3H3+,,C4H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1258,C,H2C3H+,,C4H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1259,C+,CH3CCH,,C2H2+,C2H2,,,1.90E-10,0.00,0.0,M,10,41000,A,8207
1260,C+,CH3CCH,,H2C3H+,CH,,,3.80E-10,0.00,0.0,M,10,41000,A,8207
1261,C,CH3CCH+,,C4H3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1262,C+,CH3CCH,,C2H3+,C2H,,,1.90E-10,0.00,0.0,M,10,41000,A,8207
1263,C+,CH3CCH,,C4H2+,H2,,,5.70E-10,0.00,0.0,M,10,41000,A,8207
1264,C,CH3CCH+,,C4H2+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1265,C+,SiC,,Si+,C2,,,2.50E-09,0.00,0.0,L,10,41000,C,HM89
1266,C+,CH3CN,,C2H3+,CN,,,5.60E-09,0.00,0.0,M,10,41000,A,9015
1267,C,C3H5+,,C4H3+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1268,C+,HCSi,,SiC2+,H,,,2.00E-09,0.00,0.0,L,10,41000,C,HM89
1269,C+,OCN,,CO+,CN,,,3.80E-09,0.00,0.0,L,10,41000,C,
1270,C+,SiN,,SiC+,N,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1271,C+,SiCH2,,SiC2H+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1272,C,SiCH2+,,Si+,C2H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1273,C,SiCH2+,,SiC2H+,H,,,1.00E-10,0.00,0.0,L,10,300,C,HM89
1274,C+,SiCH2,,SiC2+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1275,C,SiCH2+,,SiC2+,H2,,,1.00E-10,0.00,0.0,L,10,300,C,HM89
1276,C+,HNSi,,SiNC+,H,,,2.00E-09,0.00,0.0,L,10,41000,C,HM89
1277,C+,SiCH3,,SiC2H+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1278,C+,SiCH3,,SiC2H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1279,C,SiCH3+,,SiC2H2+,H,,,2.00E-10,0.00,0.0,L,10,300,C,HM89
1280,C+,HCP,,CCP+,H,,,5.00E-10,0.00,0.0,L,10,41000,C,
1281,C,HCP+,,CCP+,H,,,2.00E-10,0.00,0.0,L,10,41000,C,
1282,C+,CO2,,CO+,CO,,,1.10E-09,0.00,0.0,M,10,41000,A,8112
1283,C-,CO2,,CO,CO,e-,,4.70E-10,0.00,0.0,L,10,41000,C,
1284,C+,CH3CHO,,CH3CO+,CH,,,1.50E-09,0.00,0.0,L,10,41000,C,MH91
1285,C+,SiO,,Si+,CO,,,5.40E-10,0.00,0.0,L,10,41000,C,HM89
1286,C,SiO+,,Si+,CO,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1287,C+,N2O,,NO+,CN,,,9.10E-10,0.00,0.0,M,10,41000,B,9399
1288,C,SiNH2+,,SiNC+,H2,,,1.00E-10,0.00,0.0,L,10,300,C,HM89
1289,C,SiNH2+,,SiNCH+,H,,,1.00E-10,0.00,0.0,L,10,300,C,HM89
1290,C,SiCH4+,,SiC2H3+,H,,,2.00E-10,0.00,0.0,L,10,300,C,HM89
1291,C,HCO2+,,CO2,CH+,,,1.00E-09,0.00,0.0,L,10,41000,C,
1292,C+,CH2PH,,HC2P+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,
1293,C+,C2H5OH,,H3CO+,C2H3,,,1.50E-09,0.00,0.0,L,10,41000,C,MH91
1294,C+,NS,,CS+,N,,,7.60E-10,0.00,0.0,L,10,41000,C,
1295,C+,H2CS,,CS,CH2+,,,1.50E-09,0.00,0.0,L,10,41000,C,
1296,C+,SO,,S+,CO,,,2.60E-10,0.00,0.0,L,10,41000,C,
1297,C+,SO,,S,CO+,,,2.60E-10,0.00,0.0,L,10,41000,C,
1298,C+,SO,,CS+,O,,,2.60E-10,0.00,0.0,L,10,41000,C,
1299,C+,C4H,,C5+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,
1300,C,C4H+,,C5+,H,,,1.00E-09,0.00,0.0,L,10,300,C,HL89
1301,C+,H2CCCC,,C3H+,C2H,,,1.45E-10,0.00,0.0,M,10,41000,A,8645
1302,C+,H2CCCC,,C5H+,H,,,1.45E-09,0.00,0.0,M,10,41000,A,8645
1303,C,C4H2+,,C5+,H2,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1304,C,C4H2+,,C5H+,H,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1305,C+,HC3N,,C3+,HCN,,,2.50E-10,0.00,0.0,M,10,41000,A,8518
1306,C+,HC3N,,C3H+,CN,,,3.25E-09,0.00,0.0,M,10,41000,A,8518
1307,C+,HC3N,,C2N+,C2H,,,1.00E-10,0.00,0.0,M,10,41000,A,8518
1308,C+,HC3N,,C4N+,H,,,1.40E-09,0.00,0.0,M,10,41000,A,8518
1309,C,C4H3+,,C5H+,H2,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1310,C+,C4H3,,C3H2+,C2H,,,3.10E-10,0.00,0.0,C,10,300,B,9905
1311,C+,C4H3,,C5H+,H2,,,3.10E-10,0.00,0.0,C,10,300,B,9905
1312,C,C4H3+,,C5H2+,H,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1313,C+,C4H3,,C5H2+,H,,,3.10E-10,0.00,0.0,C,10,300,B,9905
1314,C+,C3O,,C3+,CO,,,3.33E-10,0.00,0.0,L,10,41000,C,
1315,C+,C3O,,C4+,O,,,3.33E-10,0.00,0.0,L,10,41000,C,
1316,C+,CH2CHCN,,C3H2+,HCN,,,9.84E-10,0.00,0.0,M,10,41000,A,9117
1317,C+,CH2CHCN,,C3H2+,CN,,,1.80E-09,0.00,0.0,M,10,41000,A,9117
1318,C+,CH2CHCN,,H2C4N+,H,,,1.19E-09,0.00,0.0,M,10,41000,A,9117
1319,C+,SiC2H,,SiC3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
1320,C,SiC2H+,,SiC3+,H,,,3.00E-10,0.00,0.0,L,10,300,C,HM89
1321,C+,SiC2H2,,SiC3H+,H,,,2.00E-09,0.00,0.0,L,10,41000,C,HM89
1322,C,SiC2H2+,,SiC3H+,H,,,2.00E-10,0.00,0.0,L,10,300,C,HM89
1323,C+,CCP,,CP+,C2,,,5.00E-10,0.00,0.0,L,10,41000,C,
1324,C,SiC2H3+,,SiC3H2+,H,,,2.00E-10,0.00,0.0,L,10,300,C,HM89
1325,C+,HC2P,,CP+,C2H,,,5.00E-10,0.00,0.0,L,10,41000,C,
1326,C+,HC2P,,CCP+,CH,,,5.00E-10,0.00,0.0,L,10,41000,C,
1327,C+,C2S,,C3+,S,,,5.00E-10,0.00,0.0,L,10,41000,C,MH90
1328,C,HC2S+,,C3S+,H,,,1.00E-09,0.00,0.0,L,10,300,C,SY92
1329,C+,CH3COCH3,,CH3CO+,C2H3,,,4.15E-09,0.00,0.0,M,10,41000,B,7919
1330,C+,OCS,,CS+,CO,,,1.60E-09,0.00,0.0,M,10,41000,A,7803
1331,C+,SiS,,SiC+,S,,,2.30E-09,0.00,0.0,L,10,41000,C,
1332,C+,C5H,,C6+,H,,,3.00E-09,0.00,0.0,L,10,41000,C,
1333,C,C5H+,,C6+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
1334,C+,C5H2,,C6+,H2,,,1.20E-09,0.00,0.0,L,10,41000,C,
1335,C,C5H2+,,C6+,H2,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1336,C+,C5H2,,C6H+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,
1337,C,C5H2+,,C6H+,H,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1338,C,C5H3+,,C6H+,H2,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1339,C,C5H3+,,C6H2+,H,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1340,C+,SO2,,SO+,CO,,,2.30E-09,0.00,0.0,M,10,41000,A,7507
1341,C+,CH3C4H,,C5H3+,CH,,,7.50E-10,0.00,0.0,L,10,41000,C,HL89
1342,C+,CH3C4H,,C6H2+,H2,,,7.50E-10,0.00,0.0,L,10,41000,C,HL89
1343,C+,CH3C4H,,C6H3+,H,,,2.00E-09,0.00,0.0,L,10,41000,C,
1344,C+,CH3C3N,,C3N,C2H3+,,,2.00E-09,0.00,0.0,L,10,41000,C,
1345,C+,CH3C3N,,C4H3+,CN,,,5.00E-09,0.00,0.0,L,10,41000,C,HL89
1346,C+,SiC3H,,SiC4+,H,,,2.00E-09,0.00,0.0,L,10,41000,C,HM89
1347,C,SiC3H+,,SiC4+,H,,,2.00E-10,0.00,0.0,L,10,300,C,HM89
1348,C,CH3C3NH+,,H3C5N+,H,,,1.00E-09,0.00,0.0,L,10,300,C,HL89
1349,C,SiC3H2+,,SiC4H+,H,,,2.00E-10,0.00,0.0,L,10,300,C,HM89
1350,C+,C3P,,C4+,P,,,1.00E-11,0.00,0.0,L,10,41000,C,
1351,C+,C3S,,C4+,S,,,5.00E-10,0.00,0.0,L,10,41000,C,MH90
1352,C+,C6H,,C7+,H,,,2.00E-10,0.00,0.0,L,10,41000,C,
1353,C+,C6H2,,C7+,H2,,,1.20E-09,0.00,0.0,L,10,41000,C,HL89
1354,C,C6H2+,,C7+,H2,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1355,C+,C6H2,,C7H+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,HL89
1356,C,C6H2+,,C7H+,H,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1357,C+,HC5N,,C5H+,CN,,,6.00E-09,0.00,0.0,L,10,41000,C,
1358,C,C6H3+,,C7H+,H2,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1359,C,C6H3+,,C7H2+,H,,,5.00E-10,0.00,0.0,L,10,300,C,HL89
1360,C+,C6H6,,C5H3+,C2H3,,,4.08E-10,0.00,0.0,M,10,41000,A,8207
1361,C+,C6H6,,C7H5+,H,,,2.40E-10,0.00,0.0,M,10,41000,A,8207
1362,C+,C6H6,,C3H3+,C4H3,,,1.44E-10,0.00,0.0,M,10,41000,A,8207
1363,C+,C4P,,C5+,P,,,1.00E-09,0.00,0.0,L,10,41000,C,
1364,C+,C4S,,C5+,S,,,5.00E-10,0.00,0.0,L,10,41000,C,MH90
1365,C+,C7H,,C8+,H,,,3.00E-09,0.00,0.0,L,10,41000,C,HL89
