#
# RATE05 - February 17 2006 - non-dipole - www.udfa.net
#
# REFERENCE: 
# Woodall, Ag\'undez, Markwick-Kemper, Millar, 2006, A\&A submitted.
#
# We strongly recommend you read the paper before attempting implementation of this data.
#
# *** NOTE: Exercise caution with use of the rate coefficients of the following reactions ***
# *** You need to do something about them, otherwise at 10 K you will get garbage results ***
# 93,172,267,283,289,311,314,353,355,379,421,433,445,448,450,459,468,490,492,493,495,503,
# 504,522,535,542,660,2938,2940,3527-8,3530-1,3546,3547,3549,3550,3552,3553,3575-3580,4001,4002,
# 4007,4008,4105,4109,4133,4551,4578,4586,4588,4589,4590,4594,4597,4598
#
# FORMAT:
# ix,reactant1,reactant2,reactant3,product1,product2,product3,product4,alpha,beta,gamma,clem,tmin,tmax,accuracy,source
#
62,H2,HS,,H2S,H,,,6.52E-12,0.09,8050.0,L,268,300,C,LG88
63,C,CH,,C2,H,,,6.59E-11,0.00,0.0,L,10,300,C,SH04
64,C,CH2,,CH,CH,,,2.69E-12,0.00,23550.0,C,1000,4000,B,NIST
65,C,CH2,,C2H,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
66,C,NH,,N,CH,,,1.73E-11,0.50,4000.0,L,133,300,C,
67,C,NH,,CN,H,,,1.20E-10,0.00,0.0,L,10,300,C,SH04
68,C,CH3,,C2H2,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
69,C,NH2,,HCN,H,,,3.26E-11,-0.10,-9.0,C,10,300,B,HT00
70,C,NH2,,HNC,H,,,3.26E-11,-0.10,-9.0,C,10,300,B,HT00
71,C,NH2,,NH,CH,,,9.62E-13,0.00,10517.0,C,1000,4000,B,NIST
72,C,OH,,O,CH,,,2.25E-11,0.50,14800.0,L,493,41000,C,
73,C,OH,,CO,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
74,C,C2H,,C3,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
75,C,CN,,C2,N,,,4.98E-10,0.00,18116.0,L,603,41000,A,
76,C,C2H2,,C3,H2,,,1.45E-10,-0.12,0.0,L,10,300,C,SH04
77,C,C2H2,,C3H,H,,,2.90E-10,-0.12,0.0,M,15,300,A,CA01
78,C,C2H3,,C3H2,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
79,C,CO,,C2,O,,,2.94E-11,0.50,58025.0,L,1934,41000,C,
80,C,N2,,CN,N,,,8.69E-11,0.00,22600.0,L,2000,5000,A,NIST
81,C,H2CN,,C2N,H2,,,2.00E-10,0.00,0.0,L,10,300,C,SH04
82,C,C2H4,,C3H3,H,,,3.00E-10,-0.11,0.0,M,15,300,A,CA01
83,C,HCO,,CO,CH,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
84,C,HCO,,C2O,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
85,C,SiH,,SiC,H,,,6.59E-11,0.00,0.0,L,10,300,C,SH04
86,C,C2H5,,CH3CCH,H,,,2.00E-10,0.00,0.0,L,10,300,C,SH04
87,C,NO,,CN,O,,,6.00E-11,-0.16,0.0,M,10,41000,A,SH04
88,C,NO,,CO,N,,,9.00E-11,0.00,0.0,L,300,41000,A,SH04
89,C,SiH2,,HCSi,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
90,C,SiH3,,SiCH2,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
91,C,PH,,CP,H,,,7.50E-11,0.00,0.0,L,10,300,C,SH04
92,C,O2,,CO,O,,,4.70E-11,-0.34,0.0,M,10,300,A,SH04
93,C,O2,,CO,O,,,2.48E-12,1.54,-613.0,L,295,8000,A,NIST
94,C,HS,,S,CH,,,1.20E-11,0.58,5880.0,L,196,300,C,LG88
95,C,HS,,CS,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
96,C,C3H,,C4,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
97,C,C3H2,,C4H,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
98,C,H2CCC,,C4H,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
99,C,C2N,,C2,CN,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
100,C,C3H3,,H2CCCC,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
101,C,C2O,,C2,CO,,,2.00E-10,0.00,0.0,L,10,300,C,SH04
102,C,CH2CN,,HC3N,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
103,C,CH3CCH,,H2CCCC,H2,,,4.00E-10,0.00,0.0,M,10,300,A,HH93
104,C,CH3CCH,,C4H3,H,,,2.70E-10,-0.11,0.0,L,10,300,C,SH04
105,C,OCN,,CO,CN,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
106,C,CS,,S,C2,,,1.44E-11,0.50,20435.0,L,681,41000,C,MI84
107,C,NS,,S,CN,,,1.50E-10,-0.16,0.0,L,10,300,C,SH04
108,C,NS,,CS,N,,,1.73E-11,0.50,4000.0,L,133,300,C,MI84
109,C,HPO,,PH,CO,,,4.00E-11,0.00,0.0,L,10,300,C,MI91
110,C,SO,,S,CO,,,3.50E-11,0.00,0.0,L,10,300,C,SH04
111,C,SO,,CS,O,,,3.50E-11,0.00,0.0,L,10,300,C,SH04
112,C,C4,,C2,C3,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
113,C,C4H,,C5,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
114,C,C3N,,C3,CN,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
115,C,H2CCCC,,C5H,H,,,6.50E-10,0.00,0.0,M,10,300,A,SH04
116,C,C3O,,C3,CO,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
117,C,C4H3,,C5H2,H,,,3.00E-10,0.00,0.0,L,10,300,C,SH04
118,C,NCCN,,CN,C2N,,,3.00E-11,0.00,0.0,M,300,300,C,NIST
119,C,C5H,,C6,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
120,C,C5H2,,C6H,H,,,5.30E-10,0.00,0.0,M,10,300,A,SH04
