#			
# this is the "table1.dat" from the A&A web site, that goes with the paper			
# >>refer	all	dr	Mazzotta, P., Mazzitelli, G., Colafrancesco, S.,
# >>refercon	& Vittorio, N. 1998, A&AS, 113, 403-409		
#			
# anything starting with a # is a comment and is ignored			
#			
#   1-  8  A8    ---     Ion       Ion's label			
#  10- 20  E11.5 cm3/s   c1        c1 coefficient			
#  22- 32  E11.5 cm3/s   c2        ? c2 coefficient			
#  34- 44  E11.5 cm3/s   c3        ? c3 coefficient			
#  46- 56  E11.5 cm3/s   c4        ? c4 coefficient			
#  58- 64  F7.2  cm3/s   E1        E1 coefficient			
#  66- 72  F7.2  cm3/s   E2        ? E2 coefficient			
#  74- 79  F6.2  cm3/s   E3        ? E3 coefficient			
#  81- 86  F6.2  cm3/s   E4        ? E4 coefficient
#
# NB - this file is tab delimited, so formatting info not needed
#			
Na11	7.55E-08	0.00E+00	0.00E+00	0.00E+00	1096.3	0	0	0
Mg 2	3.65E-10	0.00E+00	0.00E+00	0.00E+00	4.34	0	0	0
Mg 3	2.52E-11	2.09E-09	0.00E+00	0.00E+00	37.94	52.77	0	0
Mg 4	4.72E-09	0.00E+00	0.00E+00	0.00E+00	42.93	0	0	0
Mg 5	3.94E-09	6.19E-09	0.00E+00	0.00E+00	100.13	32.23	0	0
Mg 6	9.36E-09	7.55E-09	0.00E+00	0.00E+00	28.26	166.16	0	0
Mg 7	1.80E-08	4.92E-08	5.20E-10	0.00E+00	136.77	43.12	15.14	0
Mg 8	1.83E-08	3.30E-08	2.17E-10	0.00E+00	32.35	121.28	2.03	0
Mg 9	2.19E-08	2.40E-09	9.64E-09	0.00E+00	35.75	4.94	172.59	0
Mg10	5.27E-09	5.51E-09	3.68E-08	0.00E+00	16.16	22.13	317.8	0
Mg11	1.46E-07	0.00E+00	0.00E+00	0.00E+00	1185.5	0	0	0
Mg12	7.42E-08	0.00E+00	0.00E+00	0.00E+00	1249.5	0	0	0
Al 2	2.83E-09	0.00E+00	0.00E+00	0.00E+00	7.42	0	0	0
Al 3	1.27E-09	0.00E+00	0.00E+00	0.00E+00	5.79	0	0	0
Al 4	5.07E-10	2.56E-09	2.51E-09	0.00E+00	60.79	75.28	95.2	0
Al 5	5.44E-09	2.71E-09	0.00E+00	0.00E+00	65.83	156.31	0	0
Al 6	9.12E-09	9.76E-09	0.00E+00	0.00E+00	36.7	144.33	0	0
Al 7	7.06E-08	1.20E-08	0.00E+00	0.00E+00	154.77	32.83	0	0
Al 8	1.52E-07	5.64E-08	0.00E+00	0.00E+00	168.98	36.54	0	0
Al 9	7.27E-11	5.55E-10	1.98E-08	6.80E-08	0.52	3.61	28.71	122.65
Al10	2.34E-08	1.80E-08	1.04E-08	0.00E+00	57.44	379.3	16.58	0
Al11	4.74E-09	5.58E-08	9.13E-09	0.00E+00	12.2	419.18	31.14	0
Al12	1.76E-07	0.00E+00	0.00E+00	0.00E+00	1386.1	0	0	0
Al13	1.02E-07	0.00E+00	0.00E+00	0.00E+00	1489.6	0	0	0
Si 2	4.90E-12	6.08E-10	0.00E+00	0.00E+00	2.05	9.68	0	0
Si 3	2.26E-11	5.61E-09	0.00E+00	0.00E+00	2.76	10.13	0	0
Si 4	4.70E-09	0.00E+00	0.00E+00	0.00E+00	8.21	0	0	0
Si 5	1.20E-09	4.35E-09	6.97E-09	0.00E+00	81.6	102.41	122.94	0
Si 6	7.09E-09	0.00E+00	0.00E+00	0.00E+00	98.23	0	0	0
Si 7	2.42E-08	1.34E-08	0.00E+00	0.00E+00	130.55	41.79	0	0
Si 8	1.99E-08	3.74E-08	0.00E+00	0.00E+00	35.76	200.34	0	0
Si 9	3.76E-08	6.87E-08	0.00E+00	0.00E+00	30.67	159.86	0	0
Si10	7.96E-08	2.36E-09	2.25E-08	5.84E-10	143.31	4.22	30.16	0.75
Si11	2.64E-08	7.11E-09	3.00E-08	0.00E+00	47.69	14.06	242.59	0
Si12	2.83E-08	4.32E-08	1.16E-08	0.00E+00	178.96	586.57	17.65	0
Si13	2.07E-07	0.00E+00	0.00E+00	0.00E+00	1601.8	0	0	0
Si14	1.15E-07	0.00E+00	0.00E+00	0.00E+00	1773.5	0	0	0
P  2	3.12E-09	0.00E+00	0.00E+00	0.00E+00	14.16	0	0	0
P  3	6.36E-09	0.00E+00	0.00E+00	0.00E+00	11.2	0	0	0
P  4	1.36E-08	0.00E+00	0.00E+00	0.00E+00	11.68	0	0	0
P  5	8.37E-09	0.00E+00	0.00E+00	0.00E+00	10.14	0	0	0
P  6	3.72E-08	0.00E+00	0.00E+00	0.00E+00	126.47	0	0	0
P  7	7.06E-09	8.54E-09	0.00E+00	0.00E+00	234.24	81.37	0	0
P  8	1.63E-08	2.44E-08	0.00E+00	0.00E+00	45.8	183.76	0	0
P  9	4.10E-08	2.31E-08	0.00E+00	0.00E+00	245.22	39.97	0	0
P 10	6.00E-08	9.91E-08	0.00E+00	0.00E+00	40.84	240.15	0	0
P 11	5.38E-09	6.44E-08	0.00E+00	0.00E+00	254.05	39.1	0	0
P 12	4.22E-08	1.45E-08	0.00E+00	0.00E+00	92.62	17.96	0	0
P 13	9.66E-09	6.20E-08	8.65E-09	9.07E-08	40.34	4134.9	14.92	483.94
P 14	2.39E-07	0.00E+00	0.00E+00	0.00E+00	1832.4	0	0	0
P 15	1.30E-07	0.00E+00	0.00E+00	0.00E+00	1976.5	0	0	0
S  2	1.37E-09	0.00E+00	0.00E+00	0.00E+00	14.95	0	0	0
S  3	8.07E-09	1.10E-10	0.00E+00	0.00E+00	17.56	7.07	0	0
S  4	1.82E-08	5.92E-11	0.00E+00	0.00E+00	16.62	2.4	0	0
S  5	1.77E-08	0.00E+00	0.00E+00	0.00E+00	13.46	0	0	0
S  6	1.49E-08	0.00E+00	0.00E+00	0.00E+00	12.11	0	0	0
S  7	3.31E-09	1.92E-08	5.17E-08	0.00E+00	119.68	163.2	197.2	0
S  8	1.07E-08	1.11E-08	0.00E+00	0.00E+00	59.55	244.72	0	0
S  9	2.13E-08	1.90E-08	0.00E+00	0.00E+00	273.5	50.32	0	0
S 10	2.55E-08	1.79E-08	0.00E+00	0.00E+00	44.58	295.3	0	0
S 11	1.24E-09	9.51E-08	8.83E-08	0.00E+00	13.22	61.67	240.37	0
S 12	3.57E-08	2.38E-07	1.51E-09	0.00E+00	49.1	273.17	11.09	0
S 13	3.35E-08	9.44E-09	7.30E-08	0.00E+00	55.34	17.29	305.05	0
S 14	7.90E-09	1.16E-07	1.27E-08	0.00E+00	13.61	529.25	39.33	0
S 15	2.72E-07	0.00E+00	0.00E+00	0.00E+00	2078	0	0	0
S 16	1.47E-07	0.00E+00	0.00E+00	0.00E+00	2262	0	0	0
Cl 2	1.43E-09	0.00E+00	0.00E+00	0.00E+00	20.87	0	0	0
Cl 3	2.55E-09	0.00E+00	0.00E+00	0.00E+00	15.15	0	0	0
Cl 4	2.52E-08	0.00E+00	0.00E+00	0.00E+00	19.48	0	0	0
Cl 5	5.71E-08	0.00E+00	0.00E+00	0.00E+00	19.89	0	0	0
Cl 6	4.14E-08	0.00E+00	0.00E+00	0.00E+00	16.95	0	0	0
Cl 7	1.58E-08	0.00E+00	0.00E+00	0.00E+00	14.09	0	0	0
Cl 8	1.35E-08	0.00E+00	0.00E+00	0.00E+00	197.04	0	0	0
Cl 9	1.37E-08	1.95E-08	0.00E+00	0.00E+00	60.22	296.76	0	0
Cl10	2.31E-08	2.88E-08	0.00E+00	0.00E+00	55.1	337.99	0	0
Cl11	2.95E-08	4.21E-08	0.00E+00	0.00E+00	48.65	341.46	0	0
Cl12	1.05E-07	1.08E-07	0.00E+00	0.00E+00	61.84	282.43	0	0
Cl13	1.05E-07	8.94E-08	0.00E+00	0.00E+00	58.55	331.71	0	0
Cl14	1.08E-08	4.88E-08	8.97E-08	0.00E+00	11.35	74.52	398.2	0
Cl15	1.46E-08	1.39E-07	8.47E-09	0.00E+00	41.24	561.41	13.49	0
Cl16	3.05E-07	0.00E+00	0.00E+00	0.00E+00	2338.6	0	0	0
Cl17	1.61E-07	0.00E+00	0.00E+00	0.00E+00	2493.9	0	0	0
Ar 2	6.17E-10	0.00E+00	0.00E+00	0.00E+00	27.61	0	0	0
Ar 3	5.99E-09	0.00E+00	0.00E+00	0.00E+00	25.22	0	0	0
Ar 4	2.38E-08	0.00E+00	0.00E+00	0.00E+00	26.93	0	0	0
Ar 5	3.42E-08	2.48E-08	0.00E+00	0.00E+00	27.42	18.6	0	0
Ar 6	7.56E-08	0.00E+00	0.00E+00	0.00E+00	22.02	0	0	0
Ar 7	5.64E-08	0.00E+00	0.00E+00	0.00E+00	18.95	0	0	0
Ar 8	1.43E-08	3.36E-08	0.00E+00	0.00E+00	130.87	16.46	0	0
Ar 9	1.19E-07	0.00E+00	0.00E+00	0.00E+00	249.9	0	0	0
