09 11 18 # a magic number to identify the version of this file
# chng 09 nov 18, update Fe XVII data using CHIANTI
# chng 09 sep 11, update n1 3d 4P multiplet since one line moved to level1.dat
# chng 06 aug 10, update fe12 cs
# magic number is parsed in routine atmdat_readin.c - 
# do search on "level2.dat magic number"
#
# Any line starting with a # is a comment and ignored
# comments may occur anywhere in the file
#
# This is the large atomic data file for Dima Verner's
# set of Opacity Project transitions.  
# The file is read into cloudy by createdata.c
#
# The energies or wavelenghts
# of these lines are not great since the original OP data are used,
# The resulting wavelengths are generally uncertain by 10 - 15 percent.
#
# all of the lines set up by Dima are contained in this file.
# Lines of ions that are treated by one of the unified isoelectronic 
# model atoms are ignored by the code.  Currently (early 2003) all H-like
# and He-like species are computed with the unified scheme
# and data in this file are not used.
#
# The order of numbers is atomic number, ion stage,
# statistical weights of lower and upper levels,
# gf of transition if positive, transition probability if negative
# energy in wavenumbers,
# last is flag for collision strength, cs1
# Either gf or A can be entered since this allows orginal data from 
# papers to be used rather than having to convert to either gf or A
# 
# if last number is negative then it is a hand-set collision 
# strength, and a comment should cite a reference
#
#A ion gl gu gf or A  energy        CS
 5  1  6  2  8.94E-02 6.42550E+04   1.0
 5  1  6 10  7.55E-02 6.37959E+04   1.0
 5  1  6  2  6.06E-02 6.48176E+04   1.0
 5  1  6  2  5.92E-02 6.37682E+04   1.0
 5  1  6 10  5.01E-02 6.43252E+04   1.0
 5  1  6  2  4.91E-02 5.93166E+04   1.0
 5  1  6  2  4.34E-02 6.29941E+04   1.0
 5  1  6  2  4.00E-02 6.16991E+04   1.0
 5  1  6 10  3.49E-02 6.46881E+04   1.0
 5  1  6 10  2.53E-02 6.49477E+04   1.0
 5  1  6  6  2.06E-02 9.43512E+04   1.0
 5  1  6  6  2.96E-03 9.78914E+04   1.0
 5  1  6  6  7.28E-04 9.97079E+04   1.0
 5  1  6  6  2.48E-04 1.00754E+05   1.0
 5  1  6  6  1.05E-04 1.01410E+05   1.0
 5  1  6  6  5.15E-05 1.01848E+05   1.0
 5  1  6  6  2.83E-05 1.02154E+05   1.0
 5  2  1  3  1.03E+00 7.46135E+04   3.0
 5  2  1  3  9.91E-02 1.43707E+05   2.0
 5  2  1  3  5.12E-02 1.69958E+05   2.0
 5  2  1  3  2.40E-02 1.81182E+05   2.0
 5  2  1  3  4.22E-03 1.92838E+05   2.0
 5  2  1  3  3.58E-03 1.94985E+05   2.0
 5  2  1  3  2.77E-03 1.96487E+05   2.0
 5  2  1  3  2.50E-03 1.89804E+05   2.0
 5  2  1  3  2.13E-03 1.97566E+05   2.0
 5  2  1  3  2.02E-03 1.86230E+05   2.0
 5  3  2  6  7.29E-01 4.83426E+04  14.0
 5  3  2  6  3.06E-01 1.92630E+05  15.0
 5  3  2  6  9.94E-02 2.42412E+05  17.0
 5  3  2  6  4.50E-02 2.65266E+05  17.0
 5  3  2  6  2.44E-02 2.77616E+05  17.0
 5  3  2  6  1.48E-02 2.85038E+05  17.0
 5  3  2  6  9.64E-03 2.89847E+05  17.0
 5  3  2  6  6.65E-03 2.93126E+05  17.0
 5  3  2  6  4.79E-03 2.95473E+05  17.0
 5  4  1  3 -2.90E+05 1.60154E+06  24.0
 5  4  1  3  7.08E-06 1.63694E+06  25.0
 5  4  1  3  6.10E-01 1.65317E+06  11.0
 5  4  1  3  1.35E-01 1.89322E+06  12.0
 5  4  1  3  5.20E-02 1.97785E+06  13.0
 5  4  1  3  2.55E-02 2.01694E+06  13.0
 5  4  1  3  1.44E-02 2.03832E+06  13.0
 5  4  1  3  8.94E-03 2.05128E+06  13.0
 5  4  1  3  5.94E-03 2.05931E+06  13.0
 5  4  1  3  4.15E-03 2.06526E+06  13.0
 5  4  1  3  3.01E-03 2.06911E+06  13.0
 5  5  2  2 -5.14E+03 2.05797E+06  23.0
 5  5  2  6  8.32E-01 2.05634E+06   4.0
 5  5  2  6  1.58E-01 2.43724E+06   5.0
 5  5  2  6  5.80E-02 2.57069E+06   6.0
 5  5  2  6  2.79E-02 2.63227E+06   7.0
 5  5  2  6  1.56E-02 2.66596E+06   8.0
 5  5  2  6  9.63E-03 2.68601E+06   9.0
 5  5  2  6  6.37E-03 2.69906E+06   9.0
 5  5  2  6  4.43E-03 2.70783E+06   9.0
 5  5  2  6  3.21E-03 2.71444E+06   9.0
 6  1  9  3  1.37E+00 1.05939E+05   0.1
 6  1  9 15  9.88E-01 8.01603E+04   1.0
 6  1  9  3  8.43E-01 1.18903E+05   1.0
 6  1  9 15  6.43E-01 6.40480E+04   0.1
 6  1  9  9  5.54E-01 7.60589E+04   0.1
 6  1  9 15  4.38E-01 8.57648E+04   1.0
 6  1  9  9  3.56E-01 8.10839E+04   1.0
 6  1  9 15  2.25E-01 8.83345E+04   1.0
 6  1  9  9  1.95E-01 7.99565E+04   1.0
 6  1  9  3  1.56E-01 1.25233E+05   1.0
 6  1  9 15  1.45E-01 8.99256E+04   1.0
 6  1  9 15  1.30E-01 8.97223E+04   1.0
 6  1  9  9  1.19E-01 8.60319E+04   1.0
 6  1  9  9  9.72E-02 8.57038E+04   1.0
 6  1  9 15  8.12E-02 9.05559E+04   1.0
 6  1  9 15  8.02E-02 9.01713E+04   1.0
 6  1  9  9  5.57E-02 8.84596E+04   1.0
 6  1  9 15  5.42E-02 9.10946E+04   1.0
 6  1  9  9  5.13E-02 8.83143E+04   1.0
 6  1  9 15  4.61E-02 9.03906E+04   1.0
 6  1  9 15  3.80E-02 9.14629E+04   1.0
 6  1  9  3  3.49E-02 1.28756E+05   1.0
 6  1  9 15  3.19E-02 9.00544E+04   1.0
 6  1  9  9  3.08E-02 8.97924E+04   1.0
 6  1  9  9  3.02E-02 8.97143E+04   1.0
 6  1  9 15  2.76E-02 9.17255E+04   1.0
 6  1  9  9  1.92E-02 9.05518E+04   1.0
 6  1  9  9  1.88E-02 9.05986E+04   1.0
 6  1  9  9  1.29E-02 9.10921E+04   1.0
 6  1  9  3  1.25E-02 1.30630E+05   1.0
 6  1  9  9  1.24E-02 9.11228E+04   1.0
 6  1  9  9  9.12E-03 9.14620E+04   1.0
 6  1  9  9  8.56E-03 9.14829E+04   1.0
 6  1  9  9  6.67E-03 9.17255E+04   1.0
 6  1  9  9  6.18E-03 9.17398E+04   1.0
 6  1  9  3  5.88E-03 1.31714E+05   1.0
 6  1  9  3  3.26E-03 1.32392E+05   1.0
 6  1  9  3  2.01E-03 1.32843E+05   1.0
 6  1  9  3  1.34E-03 1.33159E+05   1.0
