20061204 # magic number
# columns 1 thru 4 contain quantum numbers nHi, lHi, nLo, lLo
# the remaining columns are collision strengths
5	0	4	1	1.10e+01	1.81e+01	2.95e+01	3.45e+01	4.46e+01	5.37e+01	6.19e+01	6.93e+01
5	0	4	2	1.27e+01	1.60e+01	1.90e+01	2.02e+01	2.18e+01	2.26e+01	2.31e+01	2.34e+01
5	0	4	3	1.01e+01	1.08e+01	9.56e+00	8.72e+00	7.69e+00	7.15e+00	6.80e+00	6.54e+00
5	1	1	0	2.69e-02	3.15e-02	4.04e-02	4.77e-02	6.34e-02	7.59e-02	8.65e-02	9.57e-02
5	1	2	0	4.20e-01	5.18e-01	7.14e-01	8.68e-01	1.21e+00	1.49e+00	1.73e+00	1.93e+00
5	1	2	1	1.32e+00	1.40e+00	1.37e+00	1.40e+00	1.53e+00	1.65e+00	1.74e+00	1.81e+00
5	1	3	0	2.61e+00	3.46e+00	5.57e+00	7.36e+00	1.12e+01	1.42e+01	1.67e+01	1.87e+01
5	1	3	1	7.47e+00	9.77e+00	1.40e+01	1.59e+01	1.88e+01	2.06e+01	2.18e+01	2.27e+01
5	1	3	2	8.21e+00	8.88e+00	8.76e+00	8.51e+00	8.32e+00	8.34e+00	8.42e+00	8.51e+00
5	1	4	0	9.81e+00	1.73e+01	4.25e+01	6.30e+01	1.06e+02	1.42e+02	1.73e+02	2.01e+02
5	1	4	1	3.92e+01	7.54e+01	1.75e+02	2.27e+02	2.89e+02	3.21e+02	3.42e+02	3.57e+02
5	1	4	2	4.19e+01	6.05e+01	8.41e+01	9.00e+01	9.77e+01	1.05e+02	1.11e+02	1.17e+02
5	1	4	3	3.48e+01	4.05e+01	3.97e+01	3.70e+01	3.32e+01	3.11e+01	2.98e+01	2.89e+01
5	2	1	0	2.08e-02	2.22e-02	2.47e-02	2.75e-02	3.13e-02	3.30e-02	3.39e-02	3.44e-02
5	2	2	0	4.35e-01	4.87e-01	5.56e-01	6.09e-01	7.18e-01	7.96e-01	8.55e-01	9.01e-01
5	2	2	1	2.07e+00	2.48e+00	3.44e+00	4.27e+00	5.90e+00	7.08e+00	8.01e+00	8.77e+00
5	2	3	0	3.38e+00	4.26e+00	6.14e+00	7.14e+00	8.66e+00	9.61e+00	1.03e+01	1.08e+01
5	2	3	1	1.15e+01	1.53e+01	2.67e+01	3.56e+01	5.21e+01	6.41e+01	7.36e+01	8.13e+01
5	2	3	2	1.69e+01	2.10e+01	2.73e+01	2.94e+01	3.20e+01	3.33e+01	3.42e+01	3.48e+01
5	2	4	0	1.43e+01	2.54e+01	6.16e+01	8.43e+01	1.15e+02	1.32e+02	1.42e+02	1.50e+02
5	2	4	1	4.12e+01	7.05e+01	1.86e+02	2.79e+02	4.55e+02	5.92e+02	7.05e+02	8.01e+02
5	2	4	2	8.97e+01	1.59e+02	3.35e+02	4.18e+02	5.10e+02	5.53e+02	5.78e+02	5.96e+02
5	2	4	3	7.51e+01	1.03e+02	1.32e+02	1.32e+02	1.26e+02	1.22e+02	1.22e+02	1.22e+02
5	3	1	0	9.19e-03	9.14e-03	9.52e-03	9.92e-03	1.03e-02	1.02e-02	9.96e-03	9.66e-03
5	3	2	0	3.91e-01	4.61e-01	6.76e-01	8.14e-01	9.77e-01	1.04e+00	1.07e+00	1.09e+00
5	3	2	1	1.71e+00	2.02e+00	2.90e+00	3.47e+00	4.17e+00	4.46e+00	4.60e+00	4.68e+00
5	3	3	0	2.94e+00	3.41e+00	4.12e+00	4.45e+00	4.73e+00	4.79e+00	4.78e+00	4.76e+00
5	3	3	1	1.04e+01	1.25e+01	1.65e+01	1.83e+01	2.04e+01	2.14e+01	2.20e+01	2.24e+01
5	3	3	2	2.85e+01	4.01e+01	7.81e+01	1.06e+02	1.50e+02	1.79e+02	2.00e+02	2.17e+02
5	3	4	0	2.22e+01	3.48e+01	6.30e+01	7.63e+01	9.08e+01	9.69e+01	1.00e+02	1.02e+02
5	3	4	1	6.91e+01	1.15e+02	2.41e+02	3.15e+02	4.14e+02	4.65e+02	4.98e+02	5.21e+02
5	3	4	2	1.07e+02	1.95e+02	5.37e+02	8.10e+02	1.30e+03	1.67e+03	1.96e+03	2.21e+03
5	3	4	3	1.67e+02	2.71e+02	5.28e+02	6.50e+02	7.64e+02	8.01e+02	8.15e+02	8.21e+02
5	4	1	0	4.66e-03	4.03e-03	2.85e-03	2.35e-03	1.76e-03	1.47e-03	1.29e-03	1.15e-03
5	4	2	0	2.35e-01	2.54e-01	2.52e-01	2.47e-01	2.36e-01	2.24e-01	2.14e-01	2.05e-01
5	4	2	1	8.44e-01	9.09e-01	9.15e-01	8.88e-01	8.14e-01	7.51e-01	7.01e-01	6.61e-01
5	4	3	0	3.77e+00	4.82e+00	6.71e+00	7.83e+00	9.16e+00	9.67e+00	9.89e+00	9.99e+00
5	4	3	1	1.47e+01	1.86e+01	2.47e+01	2.86e+01	3.36e+01	3.57e+01	3.67e+01	3.72e+01
5	4	3	2	2.98e+01	3.87e+01	5.32e+01	6.18e+01	7.43e+01	8.06e+01	8.42e+01	8.66e+01
5	4	4	0	2.03e+01	2.76e+01	4.12e+01	4.74e+01	5.40e+01	5.65e+01	5.77e+01	5.83e+01
5	4	4	1	6.96e+01	9.94e+01	1.63e+02	1.95e+02	2.32e+02	2.47e+02	2.55e+02	2.60e+02
5	4	4	2	1.70e+02	2.61e+02	4.79e+02	6.11e+02	7.92e+02	8.88e+02	9.50e+02	9.93e+02
5	4	4	3	3.87e+02	7.33e+02	1.76e+03	2.46e+03	3.64e+03	4.48e+03	5.14e+03	5.69e+03
-1
