# Chemistry relevant to early universe.  Taken from Table 1 of Puy & Signore 1998
HD+,H=>H2D+,PHOTON:hmrate:1.20e-17:1.80e+00:-2.00e+01  		# Gay et al. 2011, reaction 90 (a)
H2+,D-=>H2D+,e-:hmrate_exo:2.24e-10:-4.90e-01:-4.36e+04  		# Gay et al. 2011, reaction 91 ()
H2D+,e-=>H,H,D:hmrate:4.38e-08:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 92 (a)
H2D+,e-=>H2,D:hmrate:4.20e-09:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 93 (a)
H2D+,e-=>H,HD:hmrate:1.20e-08:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 94 (a)
HD+,H2=>H2D+,H:hmrate:1.05e-09:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 95 (a)
H3+,D=>H2D+,H:hmrate:1.00e-09:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 96 (a)
H2+,D=>H2,D+:hmrate:6.40e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 97 (a)
HD,H2+=>H2D+,H:hmrate:1.05e-09:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 98 (a)
HD,H2+=>H3+,D:hmrate:1.05e-09:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 99 (a)
H2D+,H=>H3+,D:hmrate:1.00e-09:0.00e+00:5.98e+02  		# Gay et al. 2011, reaction 100 (a)
H2D+,H2=>H3+,HD:hmrate:2.46e-10:0.00e+00:2.26e+02  		# Gay et al. 2011, reaction 101 (a)
HeD+,H2=>H2D+,He:hmrate_exo:1.24e-09:0.24e+00:1.48e+04  		# Gay et al. 2011, reaction 102 ()
HeH+,HD=>H2D+,He:hmrate_exo:1.20e-09:0.24e+00:1.48e+04  		# Gay et al. 2011, reaction 103 ()
He+,HD=>He,H+,D:hmrate:5.50e-14:-0.24e+00:0.00e+00  		# Gay et al. 2011, reaction 104 (a)
He+,HD=>He,H,D+:hmrate:5.50e-14:-0.24e+00:0.00e+00  		# Gay et al. 2011, reaction 105 (a)
He,HD+=>HeH+,D:hmrate:3.00e-10:0.00e+00:6.72e+03  		# Gay et al. 2011, reaction 106 (a)
He,HD+=>HeD+,H:hmrate:3.00e-10:0.00e+00:6.72e+03  		# Gay et al. 2011, reaction 107 (a)
D+,D2=>D2+,D:hmrate:2.46e-09:-4.39e-01:3.05e+04  		# Gay et al. 2011, reaction 147 (a)
D+,HD=>H+,D2:hmrate_exo:3.30e-10:1.75e-02:1.17e+04  		# Gay et al. 2011, reaction 148 ()
D+,HD=>H+,D,D:hmrate:1.04e-09:-2.86e-01:9.92e+04  		# Gay et al. 2011, reaction 149 (a)
D+,HD=>D2+,H:hmrate:1.93e-08:-1.10e+00:4.43e+04  		# Gay et al. 2011, reaction 150 (a)
H+,D2=>HD+,D:hmrate:1.78e-08:-1.05e+00:4.20e+04  		# Gay et al. 2011, reaction 151 (a)
H+,D2=>D2+,H:hmrate:4.19e-09:-4.92e-01:4.04e+04  		# Gay et al. 2011, reaction 152 (a)
H+,D2=>D+,HD:hmrate:1.32e-08:-7.24e-01:1.49e+03  		# Gay et al. 2011, reaction 153 (a)
H+,D2=>D+,H,D:hmrate:4.51e-10:-1.59e-01:7.95e+04  		# Gay et al. 2011, reaction 154 (a)
HD+,D2=>HD2+,D:hmrate_exo:1.12e-09:2.11e-01:1.61e+04  		# Gay et al. 2011, reaction 155 ()
HD+,D2=>D3+,H:hmrate_exo:5.65e-10:1.05e-01:1.60e+04  		# Gay et al. 2011, reaction 156 ()
D2+,HD=>HD2+,D:hmrate_exo:9.34e-10:2.26e-01:1.44e+04  		# Gay et al. 2011, reaction 157 ()
D2+,HD=>D3+,H:hmrate_exo:4.06e-10:1.58e-01:1.08e+04  		# Gay et al. 2011, reaction 158 ()
D3+,H2=>H2D+,D2:hmrate:1.65e-10:0.00e+00:3.45e+02  		# Gay et al. 2011, reaction 159 (a)
H3+,D2=>HD2+,H2:hmrate:1.02e-09:8.13e-05:-1.89e-01  		# Gay et al. 2011, reaction 160 (a)
D,D+=>D2+,PHOTON:hmrate:1.22e-19:1.80e+00:-2.00e+01  		# Gay et al. 2011, reaction 161 (a)
D+,D-=>D2+,e-:hmrate:9.33e-10:-0.40e+00:0.00e+00  		# Gay et al. 2011, reaction 163 (a)
D2+,e-=>D,D:hmrate:1.20e-08:-0.40e+00:0.00e+00  		# Gay et al. 2011, reaction 164 (a)
D2+,H=>D2,H+:hmrate:5.84e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 165 (a)
D2+,H=>HD,D+:hmrate:5.84e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 166 (a)
D2+,D=>D2,D+:hmrate:4.53e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 167 (a)
HD+,H=>H2,D+:hmrate:6.03e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 168 (a)
HD+,D=>D2,H+:hmrate:4.77e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 169 (a)
HD+,D=>HD,D+:hmrate:4.77e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 170 (a)
D2+,H-=>D2,H:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 171 (a)
D2+,H-=>HD,D:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 172 (a)
H2+,D-=>HD,H:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 173 (a)
H2+,D-=>H2,D:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 174 (a)
D2+,D-=>D2,D:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 175 (a)
HD+,H-=>HD,H:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 176 (a)
HD+,H-=>H2,D:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 177 (a)
HD+,D-=>D2,H:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 178 (a)
HD+,D-=>HD,D:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 179 (a)
D2+,D-=>D,D,D:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 180 (a)
D2+,H-=>D,D,H:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 181 (a)
HD+,H-=>D,H,H:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 182 (a)
H2+,D-=>D,H,H:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 183 (a)
HD+,D-=>D,D,H:hmrate:1.40e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 184 (a)
D2,He+=>D2+,He,PHOTON:hmrate:5.88e-15:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 185 (a)
D2,He+=>He,D,D+:hmrate:3.31e-14:-0.24e+00:0.00e+00  		# Gay et al. 2011, reaction 186 (a)
