# >>chng 16 dec 28, wl from 1.71419m to 1.71427m, energies updated to Komasa+2011
H2   1.71427m # 1-0 S(8)
# >>chng 16 dec 28, wl from 1.71901m to 1.71905m, energies updated to Komasa+2011
H2   1.71905m # 1-0 S(21)
# >>chng 16 dec 28, wl from 1.74720m to 1.74723m, energies updated to Komasa+2011
H2   1.74723m # 1-0 S(22)
# >>chng 16 dec 28, wl from 1.74760m to 1.74750m, energies updated to Komasa+2011
H2   1.74750m # 1-0 S(7)
# >>chng 16 dec 28, wl from 1.77967m to 1.77977m, energies updated to Komasa+2011
H2   1.77977m # 1-0 S(23)
# >>chng 16 dec 28, wl from 1.78746m to 1.78756m, energies updated to Komasa+2011
H2   1.78756m # 1-0 S(6)
# >>chng 16 dec 28, wl from 1.83529m to 1.83526m, energies updated to Komasa+2011
H2   1.83526m # 1-0 S(5)
# >>chng 16 dec 28, wl from 1.89145m to 1.89142m, energies updated to Komasa+2011
H2   1.89142m # 1-0 S(4)
H2   1.95702m # 1-0 S(3)
H2   2.03320m # 1-0 S(2)
H2   2.12125m # 1-0 S(1), THE H2 line in the 2 micron window
# >>chng 16 dec 28, wl from 2.22269m to 2.22268m, energies updated to Komasa+2011
H2   2.22268m # 1-0 S(0)
# >>chng 16 dec 28, wl from 2.41307m to 2.41289m, energies updated to Komasa+2011
H2   2.41289m # 1-0 Q(2)
H2   2.42307m # 1-0 Q(3)
# >>chng 16 dec 28, wl from 2.43683m to 2.43682m, energies updated to Komasa+2011
H2   2.43682m # 1-0 Q(4)
H2   2.45408m # 1-0 Q(5)
H2   2.47510m # 1-0 Q(6)
# >>chng 16 dec 28, wl from 2.49929m to 2.49928m, energies updated to Komasa+2011
H2   2.49928m # 1-0 Q(7)
# >>chng 16 dec 28, wl from 2.52709m to 2.52735m, energies updated to Komasa+2011
H2   2.52735m # 1-0 Q(8)
# >>chng 16 dec 28, wl from 2.55983m to 2.55951m, energies updated to Komasa+2011
H2   2.55951m # 8-6 Q(15)
# >>chng 16 dec 28, wl from 2.59469m to 2.59480m, energies updated to Komasa+2011
H2   2.59480m # 1-0 Q(10)
# >>chng 16 dec 28, wl from 2.63426m to 2.63439m, energies updated to Komasa+2011
H2   2.63439m # 1-0 Q(11)
# >>chng 16 dec 28, wl from 2.67820m to 2.67807m, energies updated to Komasa+2011
H2   2.67807m # 1-0 Q(12)
# >>chng 16 dec 28, wl from 2.72610m to 2.72601m, energies updated to Komasa+2011
H2   2.72601m # 1-0 Q(13)
# >>chng 16 dec 28, wl from 2.77819m to 2.77840m, energies updated to Komasa+2011
H2   2.77840m # 1-0 Q(14)
# >>chng 16 dec 28, wl from 2.83537m to 2.83548m, energies updated to Komasa+2011
H2   2.83548m # 1-0 Q(15)
# >>chng 16 dec 28, wl from 2.89689m to 2.89688m, energies updated to Komasa+2011
H2   2.89688m # 4-3 Q(2)
