#Title: Inner-shell Absorption Lines of Fe VI- Fe XVI: A Many-body Perturbation 
#       Theory Approach  
#Authors: Gu M.F., Holczer T., Behar E., Kahn S.M. 
#Table: Wavelengths, oscillator strengths, radiatvie decay rates, and 
#       autoionization rates of 2-3 transitions from the ground states of 
#       Fe I-XVI
#================================================================================
#Byte-by-byte Description of file: datafile1.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units Label    Explanations
#--------------------------------------------------------------------------------
#   1-  4 A4     ---   Ion      Ionization state (1)
#   6-  9 I4     ---   Upper    Upper Level Index
#  11- 17 F7.4   0.1nm Wave     Transition wavelengths in Angstroms
#  19- 30 E12.5  s-1   Ar       Radiative rate
#  32- 43 E12.5  s-1   Aa       Autoionization rate
#  45- 53 E9.2   s-1   AHULLAC  ? Total HULLAC autoioization rate (2)
#  55- 66 E12.5  ---   fij      Oscillator strength
#  67-131 A65    ---   Config   Upper Level Configuration (3)
#--------------------------------------------------------------------------------
#Note (1): For Fe VI-XVI, the MBPT method is used and for Fe I-VI, the standard
#          configuration interaction method is used.
#Note (2): From Behar et al. (2001). This column is only included here to 
#          illustrated the difference between the present and HULLAC results
#         for the three strongest absorption lines per ion from Fe VI-XVI.
#Note (3): The configurations are given in the jj coupling notation, and closed
#          subshells are omitted to save space.
#--------------------------------------------------------------------------------
# gjf created magic number
2007 1 23
  16   35 13.8580  1.97396E+09  1.73860E+11            1.13665E-04 2p_1/2_3d_5/2_^2^(J=3/2)
  16   24 15.3263  1.56922E+09  3.11140E+14            1.10522E-04 2p_3/2_^3^3p_3/2_^2^(J=3/2)
  16    7 15.8470  9.15480E+08  3.62270E+11            6.89335E-05 2p_3/2_^3^3p_1/2_3p_3/2_(J=3/2)
  16   32 13.9076  5.77496E+08  1.66790E+13            3.34921E-05 2p_1/2_3d_5/2_^2^(J=3/2)
  15   16 15.3588  1.78431E+13  3.76433E+13  4.27E+13  1.89307E+00 2p_1/2_3d_3/2_(J=1)
  15   14 15.5965  7.63886E+12  4.57444E+13  6.93E+13  8.35718E-01 2p_3/2_^3^3d_5/2_(J=1)
  15   18 14.1828  3.06300E+12  1.10353E+14  3.24E+14  2.77108E-01 2s_1/2_3p_3/2_(J=1)
  15   15 15.5031  8.44993E+11  6.31553E+14            9.13418E-02 2p_1/2_3s_1/2_3p_1/2_3p_3/2_(J=1)
  15   13 15.6539  6.04172E+11  2.45560E+13            6.65865E-02 2p_1/2_3s_1/2_3p_3/2_^2^(J=1)
  15   11 15.7613  5.17074E+11  1.23027E+14            5.77722E-02 2p_1/2_3s_1/2_3p_1/2_3p_3/2_(J=1)
  15    4 16.1426  2.83471E+11  7.33537E+13            3.32226E-02 2p_3/2_^3^3s_1/2_3p_1/2_3p_3/2_(J=1)
  15    9 15.8884  1.97839E+11  1.72230E+14            2.24623E-02 2p_3/2_^3^3s_1/2_3p_1/2_3p_3/2_(J=1)
  15   17 14.2599  2.41861E+11  1.46040E+14            2.21197E-02 2s_1/2_3p_1/2_(J=1)
  15   10 15.8552  1.48605E+11  1.59062E+14            1.68019E-02 2p_3/2_^3^3s_1/2_3p_1/2_3p_3/2_(J=1)
  15   12 15.7436  1.48514E+11  2.37779E+14            1.65560E-02 2p_3/2_^3^3d_3/2_(J=1)
