SEQ='MG'     NUCCHG=13                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  52978290.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    51982.8 
     3          2S2 2P6 3P1         (2)1( 1.5)    52223.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   112940.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   112953.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  53126022.0 NLVL=   922
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   654    2S2 2P5 3S2 3D1     (1)1( 1.0)   669896.9*
    77   655    2S2 2P5 3S2 3D1     (1)2( 2.0)   670824.1*
    78    27    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   672160.9*
    79    28    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   672670.1*
    80    29    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   672969.4*
    81    32    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)   675378.8*
    82    33    2S2 2P5 3P3         (3)3( 3.0)   675666.2*
    83    34    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)   675674.1*
    84    35    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)   676135.7*
    85    36    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)   676787.0*
    86    37    2S2 2P5 3P3         (1)1( 1.0)   677008.8*
    87    38    2S2 2P5 3P3         (3)3( 2.0)   677218.3*
    88    39    2S2 2P5 3P3         (3)1( 0.0)   677596.9*
    89    40    2S2 2P5 3P3         (3)1( 1.0)   679011.4*
    90    42    2S2 2P5 3P3         (3)1( 2.0)   679551.4*
    91    43    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)   679671.2*
    92    44    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)   680207.6*
    93    45    2S2 2P5 3P3         (1)3( 3.0)   680504.5*
    94    46    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)   680752.2*
    95    47    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)   681284.3*
    96   656    2S2 2P5 3S1 3P2     (3)1( 0.0)   681433.5*
    97   657    2S2 2P5 3S1 3P2     (3)1( 1.0)   681703.3*
    98   658    2S2 2P5 3S1 3P2     (3)1( 2.0)   682300.7*
    99    48    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)   684277.2*
   100    49    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)   684705.8*
   101    50    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)   684838.8*
   102    51    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)   684937.1*
   103    52    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)   684991.7*
   104    54    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)   687164.3*
   105    55    2S2 2P5 3P3         (5)1( 2.0)   687483.3*
   106    56    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)   688081.5*
   107    57    2S2 2P5 3P3         (5)1( 1.0)   688698.7*
   108    58    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)   689132.2*
   109    59    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   690253.2*
   110    60    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   690452.6*
   111    61    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)   690576.4*
   112    62    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)   690718.2*
   113    63    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   690775.3*
   114    64    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)   691111.6*
   115    65    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)   691423.5*
   116    66    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)   692147.0*
   117    67    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)   692614.1*
   118    68    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)   692892.1*
   119    69    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)   693294.0*
   120    70    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)   693601.2*
   121    71    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)   693774.4*
   122    72    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   693984.3*
   123    73    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   694485.3*
   124    74    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)   694523.0*
   125    75    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   694745.2*
   126    76    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)   694860.1*
   127    77    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)   695227.4*
   128    78    2S2 2P5 3P3         (3)0( 1.0)   695495.0*
   129    80    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)   695866.3*
   130    81    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)   696254.8*
   131    82    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)   696344.4*
   132    83    2S2 2P5 3P3         (3)2( 3.0)   696364.3*
   133    84    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)   696571.6*
   134    85    2S2 2P5 3P3         (3)1( 0.0)   696712.9*
   135    86    2S2 2P5 3P3         (3)1( 2.0)   696853.0*
   136    87    2S2 2P5 3P3         (3)1( 1.0)   697048.9*
   137    88    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)   697114.3*
   138    89    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)   697390.3*
   139    90    2S2 2P5 3P3         (3)2( 2.0)   697917.7*
   140    91    2S2 2P5 3P3         (3)2( 1.0)   698528.3*
   141    92    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)   699193.5*
   142    93    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)   699334.8*
   143    94    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)   699703.4*
   144    95    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   700912.1*
   145    96    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   701353.4*
   146    97    2S2 2P5 3P3         (1)1( 1.0)   701585.5*
   147    98    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   701723.7*
   148   659    2S2 2P5 3S1 3P2     (1)1( 1.0)   701798.0*
   149    99    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   702131.9*
   150   100    2S2 2P5 3P3         (3)2( 1.0)   702180.0*
   151   101    2S2 2P5 3P3         (3)2( 2.0)   702664.2*
   152   102    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   702821.1*
   153   103    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   702893.0*
   154   104    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   703547.5*
   155   105    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   703559.8*
   156   106    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)   703736.5*
   157   107    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   703869.2*
   158   108    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   704273.4*
   159   109    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   704509.2*
   160   110    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   704630.8*
   161   111    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   704744.3*
   162   112    2S2 2P5 3P3         (1)2( 2.0)   707215.6*
   163   113    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   707505.6*
   164   114    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   707824.5*
   165   115    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   708090.4*
   166   116    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   708181.0*
   167   117    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   708704.3*
   168   118    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   710113.4*
   169   119    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   710381.6*
   170   120    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   710536.3*
   171   121    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)   710733.0*
   172   122    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   711237.5*
