SEQ='MG'     NUCCHG=21                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 159388039.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   190259.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   196766.7 
     4          2S2 2P6 3D1         (2)2( 1.5)   463272.1 
     5          2S2 2P6 3D1         (2)2( 2.5)   464451.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 161190454.1 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   637    2S2 2P5 3S1 3P2     (1)2( 2.0)  3523489.5*
    77   638    2S2 2P5 3S1 3P2     (3)1( 0.0)  3529923.6*
    78   639    2S2 2P5 3S1 3P2     (1)1( 1.0)  3533086.0*
    79   640    2S2 2P5 3S1 3P2     (3)2( 1.0)  3548924.0*
    80   641    2S2 2P5 3S2 3D1     (3)1( 2.0)  3549101.9*
    81   642    2S2 2P5 3S2 3D1     (3)1( 0.0)  3551062.9*
    82   643    2S2 2P5 3S2 3D1     (3)1( 1.0)  3554420.3*
    83   644    2S2 2P5 3S1 3P2     (1)0( 0.0)  3559679.4*
    84   645    2S2 2P5 3S1 3P2     (3)2( 2.0)  3563170.5*
    85   646    2S2 2P5 3S1 3P2     (3)0( 1.0)  3564441.5*
    86   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  3576054.3*
    87   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  3579863.0*
    88   649    2S2 2P5 3S2 3D1     (3)2( 2.0)  3587503.8*
    89   650    2S2 2P5 3S1 3P2     (3)1( 0.0)  3590433.4*
    90   651    2S2 2P5 3S2 3D1     (3)2( 3.0)  3590774.7*
    91   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  3591315.5*
    92   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  3594614.4*
    93   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  3606492.0*
    94   655    2S2 2P5 3S2 3D1     (3)3( 2.0)  3618074.3*
