SEQ='NE'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 329256543.4  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)   206193.5 
     3          1S2 2S1 2P6         (2)0( 0.5)  1356236.2 
    85          1S2 2S1 2P5 3D1     (4)3( 3.5) 10894520.1 
    86          1S2 2S1 2P5 3P1     (2)2( 1.5) 10919235.4 
    87          1S2 2S1 2P5 3D1     (4)3( 2.5) 10927704.4 
    88          1S2 2S1 2P5 3D1     (2)3( 3.5) 10939955.9 
    89          1S2 2S1 2P5 3D1     (4)2( 1.5) 10954158.8 
    90          1S2 2S1 2P5 3P1     (2)1( 0.5) 10967627.1 
    91          1S2 2S1 2P5 3P1     (2)2( 2.5) 10968498.7 
    92          1S2 2S1 2P5 3P1     (2)1( 1.5) 10988175.1 
    93          1S2 2S1 2P5 3D1     (4)2( 0.5) 10998499.0 
    94          1S2 2S1 2P5 3D1     (2)2( 2.5) 11021103.4 
    95          1S2 2S1 2P5 3D1     (2)3( 2.5) 11028042.7 
    96          1S2 2S1 2P5 3D1     (4)2( 3.5) 11029184.9 
    97          1S2 2S1 2P5 3D1     (2)2( 1.5) 11031096.6 
    98          1S2 2S1 2P5 3D1     (2)1( 0.5) 11046401.8 
    99          1S2 2S1 2P5 3P1     (2)0( 0.5) 11048471.3 
   100          1S2 2S1 2P5 3D1     (4)3( 1.5) 11057885.4 
   101          1S2 2S1 2P5 3D1     (4)2( 2.5) 11133408.9 
   102          1S2 2S1 2P5 3D1     (2)1( 1.5) 11171063.2 
   103          1S2 2S1 2P5 3D1     (2)3( 2.5) 11360191.2 
   104          1S2 2S1 2P5 3D1     (2)3( 3.5) 11366724.4 
   105          1S2 2S1 2P5 3D1     (2)1( 1.5) 11380367.1 
   106          1S2 2S1 2P5 3D1     (2)1( 0.5) 11398013.6 
   107          1S2 2S1 2P5 3D1     (2)2( 2.5) 11399532.8 
   108          1S2 2S1 2P5 3D1     (2)2( 1.5) 11400250.1 
   109          1S2 2P6 3S1         (2)0( 0.5) 11745605.2 
   110          1S2 2P6 3P1         (2)1( 0.5) 12018055.2 
