SEQ='MG'     NUCCHG=19                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 127272625.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   156241.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   159921.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   377904.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   378493.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 128510439.4 NLVL=  1111
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   637    2S2 2P5 3S1 3P2     (1)2( 2.0)  2629325.9*
    77   638    2S2 2P5 3S1 3P2     (3)1( 0.0)  2630530.5*
    78   639    2S2 2P5 3S1 3P2     (1)1( 1.0)  2634894.5*
    79   640    2S2 2P5 3S1 3P2     (3)2( 1.0)  2646326.5*
    80   641    2S2 2P5 3S1 3P2     (3)2( 2.0)  2646979.1*
    81   642    2S2 2P5 3S1 3P2     (1)0( 0.0)  2647235.0*
    82   643    2S2 2P5 3S2 3D1     (3)1( 1.0)  2649029.6*
    83   644    2S2 2P5 3S2 3D1     (3)1( 0.0)  2655559.5*
    84   645    2S2 2P5 3S2 3D1     (3)1( 2.0)  2656063.4*
    85   646    2S2 2P5 3S1 3P2     (3)0( 1.0)  2658445.4*
    86   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  2672952.3*
    87   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  2675928.3*
    88   649    2S2 2P5 3S2 3D1     (3)3( 2.0)  2681570.7*
    89   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  2684100.5*
    90   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  2685265.2*
    91   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  2685676.4*
    92   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  2687438.0*
    93   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  2694653.4*
    94   655    2S2 2P5 3S2 3D1     (3)2( 2.0)  2700738.8*
    95   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  2702944.8*
    96    27    2S2 2P5 3P3         (3)2( 3.0)  2706008.1*
    97    28    2S2 2P5 3P3         (1)1( 1.0)  2706187.0*
    98   657    2S2 2P5 3S2 3D1     (1)2( 2.0)  2706796.0*
    99    29    2S2 2P5 3P3         (3)2( 2.0)  2708557.9*
   100   658    2S2 2P5 3S1 3P2     (1)1( 1.0)  2711424.2*
   101    30    2S2 2P5 3P3         (3)3( 4.0)  2711651.2*
   102    31    2S2 2P5 3P3         (3)1( 1.0)  2712966.4*
   103    32    2S2 2P5 3P3         (3)1( 0.0)  2713313.1*
