SEQ='MG'     NUCCHG=25                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 234755892.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   258025.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   274528.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   635227.7 
     5          2S2 2P6 3D1         (2)2( 2.5)   638717.5 

   IC RESOLVED LEVEL INDEXING           BWNR= 237987604.9 NLVL=  1120
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    75   635    2S2 2P5 3S1 3P2     (3)2( 3.0)  5677754.8*
    76   636    2S2 2P5 3S1 3P2     (1)2( 2.0)  5678051.4*
    77   637    2S2 2P5 3S1 3P2     (1)1( 1.0)  5678178.3*
    78   638    2S2 2P5 3S1 3P2     (1)0( 0.0)  5693954.7*
    79   639    2S2 2P5 3S2 3D1     (3)1( 1.0)  5696076.7*
    80   640    2S2 2P5 3S2 3D1     (3)1( 2.0)  5723035.1*
    81   641    2S2 2P5 3S1 3P2     (3)2( 1.0)  5726454.2*
    82   642    2S2 2P5 3S2 3D1     (3)1( 0.0)  5736413.6*
    83   643    2S2 2P5 3S2 3D1     (3)3( 4.0)  5744797.3*
    84   644    2S2 2P5 3S1 3P2     (3)1( 0.0)  5745517.1*
    85   645    2S2 2P5 3S1 3P2     (3)0( 1.0)  5749011.2*
    86   646    2S2 2P5 3S2 3D1     (3)3( 3.0)  5749631.7*
    87   647    2S2 2P5 3S1 3P2     (3)2( 1.0)  5753143.8*
    88   648    2S2 2P5 3S1 3P2     (3)2( 2.0)  5758532.6*
    89   649    2S2 2P5 3S2 3D1     (1)2( 2.0)  5762361.3*
    90   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  5766880.1*
    91   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  5772785.2*
    92   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  5773873.5*
    93   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  5780178.3*
    94   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  5797031.5*
    95    27    2S2 2P5 3P3         (1)1( 1.0)  5817741.5*
    96    28    2S2 2P5 3P3         (3)2( 3.0)  5818665.3*
    97    29    2S2 2P5 3P3         (3)2( 2.0)  5825599.9*
    98    30    2S2 2P5 3P3         (5)1( 3.0)  5829161.9*
    99    31    2S2 2P5 3P3         (3)3( 4.0)  5830128.0*
   100    32    2S2 2P5 3P3         (3)1( 0.0)  5830176.2*
   101    33    2S2 2P5 3P3         (3)1( 1.0)  5830643.7*
   102   655    2S2 2P5 3S2 3D1     (3)3( 2.0)  5832047.0*
   103    34    2S2 2P5 3P3         (1)3( 3.0)  5835894.0*
   104    35    2S2 2P5 3P3         (5)1( 2.0)  5837771.6*
   105   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  5839859.8*
   106   657    2S2 2P5 3S1 3P2     (1)1( 1.0)  5841160.9*
   107   658    2S2 2P5 3S2 3D1     (3)2( 2.0)  5842748.4*
   108    36    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  5851840.8*
   109    37    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  5854903.5*
   110    38    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  5861156.6*
   111    39    2S2 2P5 3P3         (3)2( 1.0)  5868629.2*
   112    40    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  5870445.4*
   113    41    2S2 2P5 3P3         (1)2( 2.0)  5872807.4*
   114    42    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  5881536.8*
   115   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  5886203.9*
   116    43    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  5886206.5*
   117    45    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  5889162.9*
   118    46    2S2 2P5 3P3         (3)0( 1.0)  5889176.7*
   119    47    2S2 2P5 3P3         (3)2( 3.0)  5891448.6*
   120    48    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  5893175.2*
   121    49    2S2 2P5 3P3         (3)2( 2.0)  5895332.7*
   122    50    2S2 2P5 3P3         (5)1( 1.0)  5896421.5*
   123    51    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  5901527.7*
   124    52    2S2 2P5 3P3         (3)3( 2.0)  5911651.8*
   125    53    2S2 2P5 3P3         (3)1( 0.0)  5912227.2*
   126    54    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  5913321.8*
   127    55    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  5914801.5*
   128    56    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  5916432.9*
   129    57    2S2 2P5 3P3         (3)3( 3.0)  5917368.7*
   130    58    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  5918694.3*
   131    59    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  5919748.8*
   132    60    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  5922177.6*
   133    61    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  5922652.4*
   134    62    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  5923531.4*
   135    63    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  5925323.8*
   136    64    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  5926090.7*
   137    65    2S2 2P5 3P3         (1)1( 1.0)  5926708.6*
   138    66    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  5928941.7*
   139    67    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  5930566.7*
   140    68    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  5937449.9*
   141    69    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  5938090.1*
   142    70    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  5938247.4*
   143    71    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  5940535.2*
   144    72    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  5944991.0*
   145    73    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  5945583.6*
   146    74    2S2 2P5 3P3         (3)1( 2.0)  5946734.3*
   147    75    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  5947249.5*
   148    76    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  5950575.5*
   149    77    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  5951827.6*
   150    78    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  5953139.4*
   151    79    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  5953605.8*
   152    80    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  5957382.6*
   153    81    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  5957826.2*
   154    82    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  5960515.1*
   155    83    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  5961795.8*
   156    84    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  5961963.7*
   157    85    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  5962628.5*
   158    86    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  5964304.0*
   159    87    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  5969966.2*
   160    88    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  5971072.1*
   161    89    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  5972567.3*
   162    90    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  5973576.8*
   163    91    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  5974969.3*
   164    92    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  5978321.3*
   165    93    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  5978625.2*
   166    94    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  5981767.7*
   167    95    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  5982323.8*
   168    96    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  5982640.6*
   169    97    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  5982654.6*
   170    98    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  5984175.6*
   171    99    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  5985752.8*
   172   100    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  5986499.7*
   173   101    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  5987712.1*
   174   102    2S2 2P5 3P3         (3)1( 2.0)  5990467.8*
   175   103    2S2 2P5 3P3         (3)1( 1.0)  5991318.8*
   176   104    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  5992501.7*
   177   105    2S2 2P5 3P3         (3)1( 1.0)  5995588.8*
   178   106    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  5996794.7*
   179   107    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  5997550.1*
   180   108    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  5997863.8*
   181   109    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  6001468.1*
   182   110    2S2 2P5 3P3         (3)1( 2.0)  6003385.3*
   183   111    2S2 2P5 3P3         (1)2( 2.0)  6007762.7*
   184   112    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  6008680.1*
   185   113    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  6021402.2*
   186   114    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  6022906.3*
   187   115    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  6024134.5*
   188   116    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  6024923.2*
   189   117    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6028603.1*
   190   118    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  6029250.6*
   191   119    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  6030795.8*
   192   120    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  6032317.3*
   193   121    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  6032954.8*
   194   122    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  6034885.2*
   195   123    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6037030.3*
   196   124    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6037234.3*
   197   125    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6038209.1*
   198   126    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  6041038.5*
   199   127    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  6042237.1*
   200   128    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  6046976.6*
   201   129    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6048634.2*
   202   130    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  6052237.5*
   203   131    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6056177.6*
   204   132    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  6057288.8*
   205   133    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6060187.5*
   206   134    2S2 2P5 3P3         (3)1( 0.0)  6065028.0*
   207   135    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6065968.5*
   208   136    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  6066016.6*
   209   137    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  6067945.2*
   210   138    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  6070492.4*
   211   139    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  6073153.2*
   212   140    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  6077714.7*
   213   141    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  6078129.0*
   214   142    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  6079019.7*
   215   143    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  6081949.3*
   216   144    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  6082481.1*
   217   145    2S2 2P5 3P3         (3)2( 1.0)  6083367.4*
   218   146    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  6084926.6*
   219   147    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  6089964.6*
   220   148    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6091405.2*
   221   149    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  6091641.1*
   222   150    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  6092247.4*
   223   151    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6094074.4*
   224   152    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  6094234.6*
   225   153    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  6096344.1*
   226   154    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  6096634.1*
   227   155    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  6101207.3*
   228   156    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  6104334.9*
   229   157    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6104797.3*
   230   158    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  6107408.2*
   231   159    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6107873.8*
   232   160    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6110659.0*
   233   161    2S2 2P5 3P3         (1)0( 0.0)  6114761.0*
   234   162    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  6128273.3*
   235   163    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  6135428.8*
   236   164    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6139866.7*
   237   165    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  6145240.8*
   238   166    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  6145315.2*
   239   167    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6146484.5*
   240   660    2S2 2P5 3P2 3D1     (5)2( 0.0)  6154507.6*
   241   661    2S2 2P5 3P2 3D1     (5)2( 1.0)  6157285.7*
   242   168    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  6157580.4*
   243   662    2S2 2P5 3P2 3D1     (3)2( 1.0)  6158961.4*
   244   169    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  6159139.9*
   245   170    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  6159367.2*
   246   171    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  6160903.8*
   247   663    2S2 2P5 3P2 3D1     (3)2( 2.0)  6161448.2*
   248   172    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  6161518.6*
   249   664    2S2 2P5 3P2 3D1     (5)2( 2.0)  6164300.4*
   250   665    2S2 2P5 3P2 3D1     (3)2( 3.0)  6166988.8*
   251   666    2S2 2P5 3P2 3D1     (5)2( 3.0)  6171081.0*
   252   173    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6171218.9*
   253   667    2S2 2P5 3P2 3D1     (5)3( 4.0)  6174169.0*
   254   174    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  6174414.1*
   255   175    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  6175067.3*
   256   668    2S2 2P5 3P2 3D1     (5)3( 5.0)  6175093.6*
   257   669    2S2 2P5 3P2 3D1     (5)1( 1.0)  6177204.4*
   258   670    2S2 2P5 3P2 3D1     (5)3( 3.0)  6177306.1*
   259   176    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6179046.4*
   260   671    2S2 2P5 3P2 3D1     (3)4( 4.0)  6179903.8*
   261   177    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6180456.2*
   262   672    2S2 2P5 3P2 3D1     (3)4( 5.0)  6181206.3*
   263   673    2S2 2P5 3P2 3D1     (3)3( 2.0)  6182069.2*
   264   674    2S2 2P5 3P2 3D1     (5)2( 4.0)  6183280.4*
   265   675    2S2 2P5 3P2 3D1     (3)4( 3.0)  6184605.8*
   266   676    2S2 2P5 3P2 3D1     (5)1( 2.0)  6187053.8*
   267   678    2S2 2P5 3P2 3D1     (3)3( 4.0)  6193388.5*
   268   178    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  6195535.7*
   269   679    2S2 2P5 3P2 3D1     (3)1( 2.0)  6196319.7*
   270   680    2S2 2P5 3P2 3D1     (5)4( 5.0)  6196983.3*
   271   681    2S2 2P5 3P2 3D1     (5)3( 1.0)  6197521.9*
   272   682    2S2 2P5 3P2 3D1     (5)4( 4.0)  6199210.3*
   273   683    2S2 2P5 3P2 3D1     (3)4( 3.0)  6199606.0*
   274   684    2S2 2P5 3P2 3D1     (5)1( 3.0)  6202782.6*
   275   685    2S2 2P5 3P2 3D1     (1)0( 0.0)  6204100.5*
   276   179    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  6205261.6*
   277   686    2S2 2P5 3P2 3D1     (3)3( 2.0)  6205588.2*
   278   687    2S2 2P5 3P2 3D1     (3)2( 3.0)  6207091.9*
   279   688    2S2 2P5 3P2 3D1     (3)3( 2.0)  6207953.0*
   280   689    2S2 2P5 3P2 3D1     (3)1( 1.0)  6209636.9*
   281   180    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6210910.3*
   282   690    2S2 2P5 3P2 3D1     (3)0( 1.0)  6212323.4*
   283   691    2S2 2P5 3P2 3D1     (3)3( 2.0)  6213520.1*
   284   692    2S2 2P5 3P2 3D1     (3)3( 3.0)  6214358.2*
   285   181    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  6215310.8*
   286   182    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6216406.5*
   287   693    2S2 2P5 3P2 3D1     (3)3( 3.0)  6217239.9*
   288   694    2S2 2P5 3P2 3D1     (5)3( 4.0)  6218761.0*
   289   695    2S2 2P5 3P2 3D1     (5)3( 5.0)  6219852.0*
   290   696    2S2 2P5 3P2 3D1     (3)3( 4.0)  6221551.9*
   291   698    2S2 2P5 3P2 3D1     (3)5( 5.0)  6232341.2*
   292   699    2S2 2P5 3P2 3D1     (3)2( 2.0)  6232385.8*
   293   183    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  6232559.5*
   294   700    2S2 2P5 3P2 3D1     (3)2( 3.0)  6232785.4*
   295   701    2S2 2P5 3P2 3D1     (5)0( 2.0)  6233985.6*
   296   702    2S2 2P5 3P2 3D1     (3)2( 1.0)  6234947.5*
   297   703    2S2 2P5 3P2 3D1     (5)2( 0.0)  6243768.7*
   298   704    2S2 2P5 3P2 3D1     (5)2( 4.0)  6243932.9*
   299   705    2S2 2P5 3P2 3D1     (1)2( 2.0)  6244558.9*
   300   706    2S2 2P5 3P2 3D1     (5)2( 1.0)  6247483.6*
   301   707    2S2 2P5 3P2 3D1     (5)3( 2.0)  6248482.2*
   302   708    2S2 2P5 3P2 3D1     (1)3( 3.0)  6249611.6*
   303   709    2S2 2P5 3P2 3D1     (3)5( 4.0)  6250367.2*
   304   710    2S2 2P5 3P2 3D1     (5)2( 3.0)  6251585.4*
   305   711    2S2 2P5 3P2 3D1     (3)2( 1.0)  6251734.1*
   306   712    2S2 2P5 3S1 3D2     (3)2( 2.0)  6252240.2*
   307   713    2S2 2P5 3P2 3D1     (3)2( 3.0)  6255023.7*
   308   714    2S2 2P5 3P2 3D1     (3)4( 5.0)  6258314.2*
   309   715    2S2 2P5 3P2 3D1     (5)4( 2.0)  6258662.2*
   310   716    2S2 2P5 3P2 3D1     (3)3( 4.0)  6258835.6*
   311   717    2S2 2P5 3P2 3D1     (3)1( 0.0)  6260503.4*
   312   718    2S2 2P5 3P2 3D1     (5)1( 3.0)  6261082.2*
   313   184    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  6262785.1*
   314   719    2S2 2P5 3P2 3D1     (5)4( 3.0)  6263542.6*
   315   720    2S2 2P5 3P2 3D1     (5)2( 1.0)  6265591.0*
   316   721    2S2 2P5 3P2 3D1     (5)2( 2.0)  6266367.4*
   317   722    2S2 2P5 3S1 3D2     (1)4( 4.0)  6269062.1*
   318   723    2S2 2P5 3P2 3D1     (1)3( 3.0)  6269135.0*
   319   724    2S2 2P5 3P2 3D1     (3)1( 1.0)  6271998.2*
   320   725    2S2 2P5 3P2 3D1     (5)2( 4.0)  6274472.7*
   321   726    2S2 2P5 3P2 3D1     (3)2( 2.0)  6275606.1*
   322   727    2S2 2P5 3P2 3D1     (5)1( 2.0)  6277362.2*
   323   728    2S2 2P5 3P2 3D1     (5)2( 3.0)  6278442.3*
   324   729    2S2 2P5 3P2 3D1     (3)2( 1.0)  6280524.6*
   325   730    2S2 2P5 3P2 3D1     (3)1( 0.0)  6281590.2*
   326   731    2S2 2P5 3P2 3D1     (3)1( 0.0)  6282443.1*
   327   732    2S2 2P5 3P2 3D1     (3)4( 4.0)  6282553.8*
   328   733    2S2 2P5 3P2 3D1     (3)1( 1.0)  6283919.1*
   329   734    2S2 2P5 3P2 3D1     (5)2( 2.0)  6283981.7*
   330   735    2S2 2P5 3P2 3D1     (3)2( 1.0)  6288312.6*
