SEQ='NE'     NUCCHG=12                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  43072608.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    87          1S2 2S1 2P5 3S1     (2)1( 0.5)   960711.1 
    88          1S2 2S1 2P5 3D1     (2)3( 3.5)   961506.3 
    89          1S2 2S1 2P5 3D1     (2)3( 2.5)   962999.6 
    90          1S2 2S1 2P5 3D1     (4)2( 3.5)   963297.8 
    91          1S2 2S1 2P5 3D1     (4)2( 0.5)   963656.4 
    92          1S2 2S1 2P5 3D1     (4)2( 2.5)   963687.0 
    93          1S2 2S1 2P5 3D1     (4)2( 1.5)   963724.0 
    94          1S2 2S1 2P5 3D1     (2)2( 1.5)   965477.1 
    95          1S2 2S1 2P5 3D1     (2)2( 2.5)   965581.1 
    96          1S2 2S1 2P5 3D1     (2)1( 0.5)   967545.1 
    97          1S2 2S1 2P5 3D1     (2)1( 1.5)   968931.6 
    98          1S2 2S1 2P5 3P1     (2)2( 1.5)  1012219.2 
    99          1S2 2S1 2P5 3P1     (2)2( 2.5)  1012527.8 
   100          1S2 2S1 2P5 3P1     (2)1( 0.5)  1016659.9 
   101          1S2 2S1 2P5 3P1     (2)1( 1.5)  1016810.3 
   102          1S2 2S1 2P5 3P1     (2)0( 0.5)  1032796.3 
   103          1S2 2S1 2P5 3D1     (2)1( 1.5)  1083293.5 
   104          1S2 2S1 2P5 3D1     (2)1( 0.5)  1083321.3 
   105          1S2 2S1 2P5 3D1     (2)3( 2.5)  1084448.9 
   106          1S2 2S1 2P5 3D1     (2)3( 3.5)  1084471.5 
   107          1S2 2S1 2P5 3D1     (2)2( 1.5)  1087647.3 
   108          1S2 2S1 2P5 3D1     (2)2( 2.5)  1087666.1 
   109          1S2 2P6 3S1         (2)0( 0.5)  1257710.9 
   110          1S2 2P6 3P1         (2)1( 0.5)  1306390.5 
   111          1S2 2P6 3P1         (2)1( 1.5)  1306756.4 
   112          1S2 2P6 3D1         (2)2( 1.5)  1375029.6 
   113          1S2 2P6 3D1         (2)2( 2.5)  1375065.4 
   114          1S1 2S2 2P6         (2)0( 0.5) 10150270.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  43667176.9 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)   380752.9 
     3     3    1S2 2S2 2P5 3S1     (3)1( 1.0)   382385.7 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)   383855.1 
     5     5    1S2 2S2 2P5 3S1     (1)1( 1.0)   387730.1 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)   422780.1 
     7     7    1S2 2S2 2P5 3P1     (3)2( 3.0)   427728.1 
     8     8    1S2 2S2 2P5 3P1     (3)2( 2.0)   428501.0 
     9     9    1S2 2S2 2P5 3P1     (3)2( 1.0)   429564.4 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)   431422.8 
    11    11    1S2 2S2 2P5 3P1     (1)1( 1.0)   432436.0 
    12    12    1S2 2S2 2P5 3P1     (3)1( 0.0)   433388.0 
    13    13    1S2 2S2 2P5 3P1     (1)2( 2.0)   433431.8 
    14    14    1S2 2S2 2P5 3P1     (3)1( 1.0)   433747.2 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)   479473.4 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)   484803.9 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)   485083.6 
    18    18    1S2 2S2 2P5 3D1     (3)1( 2.0)   485692.0 
    19    19    1S2 2S2 2P5 3D1     (3)3( 4.0)   485828.3 
    20    20    1S2 2S2 2P5 3D1     (3)3( 3.0)   486102.0 
    21    21    1S2 2S2 2P5 3D1     (3)3( 2.0)   487017.0 
    22    22    1S2 2S2 2P5 3D1     (3)2( 3.0)   487198.0 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)   488229.0 
    24    24    1S2 2S2 2P5 3D1     (1)2( 2.0)   489601.3 
    25    25    1S2 2S2 2P5 3D1     (1)3( 3.0)   489753.1 
