SEQ='MG'     NUCCHG=23                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 195209007.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   224166.7 
     3          2S2 2P6 3P1         (2)1( 1.5)   234829.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   548787.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   550898.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 197676032.0 NLVL=  1119
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   636    2S2 2P5 3S1 3P2     (3)2( 3.0)  4538548.3*
    77   637    2S2 2P5 3S1 3P2     (1)2( 2.0)  4539473.1*
    78   638    2S2 2P5 3S1 3P2     (3)1( 0.0)  4551016.5*
    79   639    2S2 2P5 3S2 3D1     (3)1( 1.0)  4553196.3*
    80   640    2S2 2P5 3S2 3D1     (3)1( 2.0)  4574188.2*
    81   641    2S2 2P5 3S1 3P2     (3)2( 1.0)  4574911.6*
    82   642    2S2 2P5 3S1 3P2     (3)1( 0.0)  4582158.8*
    83   643    2S2 2P5 3S1 3P2     (1)0( 0.0)  4587692.1*
    84   644    2S2 2P5 3S1 3P2     (1)1( 1.0)  4588380.9*
    85   645    2S2 2P5 3S1 3P2     (3)0( 1.0)  4595163.4*
    86   646    2S2 2P5 3S1 3P2     (3)2( 2.0)  4597252.3*
    87   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  4599721.1*
    88   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  4604190.3*
    89   649    2S2 2P5 3S2 3D1     (1)2( 2.0)  4613999.8*
    90   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  4618102.1*
    91   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  4618530.4*
    92   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  4619502.7*
    93   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  4624489.9*
    94   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  4640362.5*
    95    27    2S2 2P5 3P3         (1)1( 1.0)  4658091.8*
    96    28    2S2 2P5 3P3         (3)2( 3.0)  4658635.7*
    97   655    2S2 2P5 3S2 3D1     (3)3( 2.0)  4661139.4*
    98    29    2S2 2P5 3P3         (3)2( 2.0)  4663599.3*
    99   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  4666738.4*
   100    30    2S2 2P5 3P3         (3)3( 4.0)  4667646.8*
   101    31    2S2 2P5 3P3         (5)1( 3.0)  4667810.5*
   102    32    2S2 2P5 3P3         (3)1( 0.0)  4668202.1*
   103    33    2S2 2P5 3P3         (3)1( 1.0)  4668370.2*
   104   657    2S2 2P5 3S2 3D1     (3)2( 2.0)  4670095.7*
   105   658    2S2 2P5 3S1 3P2     (1)1( 1.0)  4672665.8*
   106    34    2S2 2P5 3P3         (1)3( 3.0)  4672913.3*
   107    35    2S2 2P5 3P3         (5)1( 2.0)  4675052.0*
   108    36    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  4689940.3*
   109    37    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  4692128.7*
   110    38    2S2 2P5 3P3         (3)2( 1.0)  4696477.0*
   111    39    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  4696572.6*
   112    40    2S2 2P5 3P3         (3)3( 2.0)  4700838.9*
   113    41    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  4703302.5*
   114   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  4708645.2*
   115    42    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  4711847.4*
   116    43    2S2 2P5 3P3         (5)1( 1.0)  4715868.2*
   117    45    2S2 2P5 3P3         (3)1( 2.0)  4717192.7*
   118    46    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  4717419.6*
   119    47    2S2 2P5 3P3         (3)3( 3.0)  4719100.0*
   120    48    2S2 2P5 3P3         (3)0( 1.0)  4719470.0*
   121    49    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  4720215.9*
   122    50    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  4723905.9*
   123    51    2S2 2P5 3P3         (3)2( 3.0)  4729945.1*
   124    52    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  4730394.1*
   125    53    2S2 2P5 3P3         (3)2( 2.0)  4732244.2*
   126    54    2S2 2P5 3P3         (3)1( 0.0)  4739268.4*
   127    55    2S2 2P5 3P3         (1)1( 1.0)  4743169.2*
   128    56    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  4743590.3*
   129    57    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  4743816.3*
   130    58    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  4744264.6*
   131    59    2S2 2P5 3P3         (3)1( 2.0)  4745071.7*
   132    60    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  4746190.2*
   133    61    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  4747094.8*
   134    62    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  4748247.9*
   135    63    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  4750077.6*
