SEQ='MG'     NUCCHG=29                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 325119064.1  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   325693.6 
     3          2S2 2P6 3P1         (2)1( 1.5)   360557.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   813451.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   821532.7 

   IC RESOLVED LEVEL INDEXING           BWNR= 330181359.8 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    75   635    2S2 2P5 3S1 3P2     (1)0( 0.0)  8348827.6*
    76   636    2S2 2P5 3S1 3P2     (3)1( 2.0)  8357096.4*
    77   637    2S2 2P5 3S2 3D1     (3)1( 1.0)  8365343.1*
    78   638    2S2 2P5 3S1 3P2     (3)3( 2.0)  8366900.7*
    79   639    2S2 2P5 3S1 3P2     (1)3( 3.0)  8376657.1*
    80   640    2S2 2P5 3S2 3D1     (3)1( 2.0)  8393546.6*
    81   641    2S2 2P5 3S2 3D1     (3)3( 4.0)  8401427.7*
    82   642    2S2 2P5 3S2 3D1     (3)1( 0.0)  8402841.7*
    83   643    2S2 2P5 3S2 3D1     (3)3( 3.0)  8405673.3*
    84   644    2S2 2P5 3S1 3P2     (3)2( 1.0)  8407101.8*
    85   645    2S2 2P5 3S2 3D1     (1)2( 2.0)  8422719.3*
    86   646    2S2 2P5 3S1 3P2     (3)1( 1.0)  8430671.7*
    87   647    2S2 2P5 3S2 3D1     (3)2( 3.0)  8430952.3*
    88   648    2S2 2P5 3S1 3P2     (3)1( 2.0)  8459930.6*
    89   649    2S2 2P5 3S1 3P2     (3)1( 0.0)  8462089.4*
    90   650    2S2 2P5 3S1 3P2     (1)1( 1.0)  8473575.8*
    91   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  8477767.6*
    92   652    2S2 2P5 3S2 3D1     (3)2( 1.0)  8479447.7*
    93   653    2S2 2P5 3S1 3P2     (3)2( 1.0)  8486034.0*
    94   654    2S2 2P5 3S1 3P2     (3)2( 2.0)  8495174.1*
    95    27    2S2 2P5 3P3         (1)1( 1.0)  8505903.6*
    96    28    2S2 2P5 3P3         (3)2( 3.0)  8507575.0*
    97    29    2S2 2P5 3P3         (3)2( 2.0)  8521868.8*
