SEQ='MG'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  98844258.0  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   122001.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   123868.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   291707.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   291954.8 

   IC RESOLVED LEVEL INDEXING           BWNR=  99617610.3 NLVL=  1109
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   637    2S2 2P5 3S1 3P2     (3)2( 3.0)  1854666.3*
    77   638    2S2 2P5 3S1 3P2     (3)2( 2.0)  1855999.5*
    78   639    2S2 2P5 3S1 3P2     (1)1( 1.0)  1858195.8*
    79   640    2S2 2P5 3S1 3P2     (3)2( 1.0)  1865562.1*
    80   641    2S2 2P5 3S1 3P2     (1)2( 2.0)  1867009.1*
    81   642    2S2 2P5 3S1 3P2     (1)0( 0.0)  1867661.3*
    82   643    2S2 2P5 3S1 3P2     (3)0( 1.0)  1869563.8*
    83   644    2S2 2P5 3S2 3D1     (3)1( 2.0)  1873407.9*
    84   645    2S2 2P5 3S2 3D1     (3)1( 0.0)  1873858.2*
    85   646    2S2 2P5 3S2 3D1     (3)1( 1.0)  1875659.9*
    86   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  1888927.4*
    87   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  1891028.9*
    88   649    2S2 2P5 3S2 3D1     (3)3( 2.0)  1894863.6*
    89   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  1896692.3*
    90   651    2S2 2P5 3S2 3D1     (3)2( 1.0)  1899921.6*
    91   652    2S2 2P5 3S1 3P2     (3)1( 2.0)  1900578.2*
    92   653    2S2 2P5 3S1 3P2     (3)1( 0.0)  1900660.3*
    93   654    2S2 2P5 3S1 3P2     (3)1( 1.0)  1903756.8*
    94   655    2S2 2P5 3S2 3D1     (1)2( 2.0)  1906538.1*
    95   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  1907490.5*
    96   657    2S2 2P5 3S2 3D1     (3)2( 2.0)  1911708.5*
    97    27    2S2 2P5 3P3         (3)2( 3.0)  1911726.1*
    98    28    2S2 2P5 3P3         (3)2( 1.0)  1912272.1*
    99    29    2S2 2P5 3P3         (3)2( 2.0)  1913431.5*
   100   658    2S2 2P5 3S2 3D1     (1)1( 1.0)  1913735.2*
   101    30    2S2 2P5 3P3         (3)3( 4.0)  1916054.7*
   102    31    2S2 2P5 3P3         (3)1( 1.0)  1917699.2*
   103    32    2S2 2P5 3P3         (3)1( 0.0)  1918372.4*
   104    33    2S2 2P5 3P3         (3)3( 3.0)  1918980.2*
   105    35    2S2 2P5 3P3         (3)1( 2.0)  1921864.3*
   106    36    2S2 2P5 3P3         (1)1( 1.0)  1924244.8*
   107    37    2S2 2P5 3P3         (3)3( 2.0)  1926908.0*
   108    38    2S2 2P5 3P3         (5)1( 2.0)  1930403.8*
   109    40    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1931099.6*
   110    41    2S2 2P5 3P3         (1)3( 3.0)  1931640.7*
   111    42    2S2 2P5 3P3         (5)1( 1.0)  1932221.1*
   112    43    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1932276.7*
   113    44    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1934059.7*
   114    45    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1936549.3*
   115   659    2S2 2P5 3S1 3P2     (1)1( 1.0)  1936770.0*
   116    47    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  1942177.4*
   117    48    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  1943675.5*
   118    49    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  1945379.7*
   119    50    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  1947378.8*
   120    51    2S2 2P5 3P3         (3)0( 1.0)  1948000.0*
   121    52    2S2 2P5 3P3         (3)2( 3.0)  1950366.8*
   122    53    2S2 2P5 3P3         (1)2( 2.0)  1951202.5*
   123    54    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  1955528.4*
   124    55    2S2 2P5 3P3         (3)1( 0.0)  1955554.4*
   125    56    2S2 2P5 3P3         (3)1( 1.0)  1955660.7*
   126    57    2S2 2P5 3P3         (3)1( 2.0)  1955972.4*
   127    58    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  1956330.0*
   128    59    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  1956606.4*
   129    60    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  1957310.6*
   130    61    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  1958040.1*
   131    62    2S2 2P5 3P3         (3)2( 2.0)  1959350.2*
   132    63    2S2 2P5 3P3         (3)2( 1.0)  1959983.4*
   133    64    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  1961270.0*
   134    65    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  1961416.7*
   135    66    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  1962555.0*
   136    67    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  1963135.7*
   137    68    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  1964397.7*
   138    69    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  1965488.5*
   139    70    2S2 2P5 3P3         (1)1( 1.0)  1965669.9*
   140    71    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1967068.6*
   141    72    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1968195.5*
   142    73    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1968478.0*
   143    74    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  1968628.7*
   144    75    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1969514.6*
   145    76    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1970208.7*
   146    77    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1971559.2*
   147    78    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1972053.3*
   148    79    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  1972261.6*
   149    80    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  1972275.2*
   150    81    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  1974065.5*
   151    82    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1974529.0*
   152    83    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1975160.0*
   153    84    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  1975945.4*
   154    85    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1976664.1*
   155    86    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1976797.1*
   156    87    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1977252.0*
   157    88    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  1977708.0*
   158    89    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1978587.0*
   159    90    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1978589.8*
   160    91    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1978673.4*
   161    92    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  1979986.3*
   162    93    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1980836.1*
   163    94    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  1982000.7*
   164    95    2S2 2P5 3P3         (1)2( 2.0)  1982302.0*
   165    96    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1982340.8*
   166    97    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  1984452.8*
   167    98    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1985104.2*
   168    99    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1985479.6*
   169   100    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1985987.5*
   170   101    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  1987648.0*
   171   102    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1988552.4*
   172   103    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1989041.7*
   173   104    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  1990156.8*
   174   105    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1990437.1*
   175   106    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1991475.5*
   176   107    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1993057.1*
   177   108    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1993226.8*
   178   109    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1994338.9*
   179   110    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1994474.4*
   180   111    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1995764.3*
   181   112    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1996645.1*
   182   113    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1996681.1*
   183   114    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1997547.8*
   184   115    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1997672.3*
   185   116    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1999098.8*
   186   117    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2001042.9*
   187   118    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2001597.2*
   188   119    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2002452.8*
   189   120    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2002837.8*
   190   121    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2003095.3*
   191   122    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  2003464.8*
   192   123    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  2004464.2*
   193   124    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2005192.6*
   194   125    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2005246.6*
   195   126    2S2 2P5 3P3         (1)0( 0.0)  2005498.0*
   196   127    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2008463.4*
   197   128    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  2008610.2*
   198   129    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2009528.7*
