SEQ='NE'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  61398233.7  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    85          1S2 2S1 2P5 3D1     (4)3( 3.5)  1562691.9 
    86          1S2 2S1 2P5 3D1     (4)3( 2.5)  1564337.6 
    87          1S2 2S1 2P5 3D1     (4)3( 1.5)  1565793.3 
    88          1S2 2S1 2P5 3D1     (2)3( 3.5)  1569851.1 
    89          1S2 2S1 2P5 3D1     (4)2( 2.5)  1572447.3 
    90          1S2 2S1 2P5 3D1     (4)2( 3.5)  1572504.1 
    91          1S2 2S1 2P5 3D1     (4)2( 0.5)  1572724.3 
    92          1S2 2S1 2P5 3D1     (4)2( 1.5)  1572884.8 
    93          1S2 2S1 2P5 3D1     (2)3( 2.5)  1573700.3 
    94          1S2 2S1 2P5 3D1     (2)2( 1.5)  1577759.3 
    95          1S2 2S1 2P5 3D1     (2)2( 2.5)  1577964.2 
    96          1S2 2S1 2P5 3D1     (2)1( 0.5)  1584830.1 
    97          1S2 2S1 2P5 3D1     (2)1( 1.5)  1587757.0 
    98          1S2 2S1 2P5 3P1     (2)2( 1.5)  1605435.6 
    99          1S2 2S1 2P5 3P1     (2)2( 2.5)  1606301.0 
   100          1S2 2S1 2P5 3P1     (2)1( 0.5)  1612597.4 
   101          1S2 2S1 2P5 3P1     (2)1( 1.5)  1613024.3 
   102          1S2 2S1 2P5 3P1     (2)0( 0.5)  1637289.0 
   103          1S2 2S1 2P5 3D1     (2)1( 1.5)  1716540.4 
   104          1S2 2S1 2P5 3D1     (2)1( 0.5)  1716677.5 
   105          1S2 2S1 2P5 3D1     (2)3( 2.5)  1717041.4 
   106          1S2 2S1 2P5 3D1     (2)3( 3.5)  1717118.8 
   107          1S2 2S1 2P5 3D1     (2)2( 1.5)  1723351.1 
   108          1S2 2S1 2P5 3D1     (2)2( 2.5)  1723416.9 
   109          1S2 2P6 3S1         (2)0( 0.5)  1904234.2 
   110          1S2 2P6 3P1         (2)1( 0.5)  1978053.9 
   111          1S2 2P6 3P1         (2)1( 1.5)  1979054.0 
   112          1S2 2P6 3D1         (2)2( 1.5)  2084442.8 
   113          1S2 2P6 3D1         (2)2( 2.5)  2084585.0 
   114          1S1 2S2 2P6         (2)0( 0.5) 14089338.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  62715901.1 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)   821200.2 
     3     3    1S2 2S2 2P5 3S1     (3)1( 1.0)   824330.9 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)   827639.6 
     5     5    1S2 2S2 2P5 3S1     (1)1( 1.0)   833412.3 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)   891425.8 
     7     7    1S2 2S2 2P5 3P1     (3)2( 3.0)   900251.7 
     8     8    1S2 2S2 2P5 3P1     (3)2( 2.0)   901450.9 
     9     9    1S2 2S2 2P5 3P1     (3)2( 1.0)   903630.4 
