SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112598657.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   139159.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   141824.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   334980.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   335372.8 

   IC RESOLVED LEVEL INDEXING           BWNR= 113591701.4 NLVL=  1113
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   637    2S2 2P5 3S1 3P2     (3)1( 0.0)  2226621.5*
    77   638    2S2 2P5 3S1 3P2     (1)2( 2.0)  2227640.1*
    78   639    2S2 2P5 3S1 3P2     (1)1( 1.0)  2231405.9*
    79   640    2S2 2P5 3S1 3P2     (3)2( 1.0)  2240589.6*
    80   641    2S2 2P5 3S1 3P2     (3)2( 2.0)  2241779.3*
    81   642    2S2 2P5 3S1 3P2     (1)0( 0.0)  2242134.9*
    82   643    2S2 2P5 3S1 3P2     (3)0( 1.0)  2243996.6*
    83   644    2S2 2P5 3S2 3D1     (3)1( 2.0)  2249397.1*
    84   645    2S2 2P5 3S2 3D1     (3)1( 0.0)  2249537.0*
    85   646    2S2 2P5 3S2 3D1     (3)1( 1.0)  2251786.1*
    86   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  2266188.0*
    87   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  2268723.5*
    88   649    2S2 2P5 3S2 3D1     (3)3( 2.0)  2273433.2*
    89   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  2275611.1*
    90   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  2278036.6*
    91   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  2278041.8*
    92   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  2279148.5*
    93   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  2284139.9*
    94   655    2S2 2P5 3S2 3D1     (3)2( 2.0)  2288437.8*
    95   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  2289986.7*
    96    27    2S2 2P5 3P3         (3)2( 3.0)  2293851.0*
    97   657    2S2 2P5 3S2 3D1     (1)2( 2.0)  2293960.2*
    98    28    2S2 2P5 3P3         (3)2( 1.0)  2294213.8*
    99    29    2S2 2P5 3P3         (3)2( 2.0)  2295958.1*
   100   658    2S2 2P5 3S2 3D1     (1)1( 1.0)  2297589.9*
   101    30    2S2 2P5 3P3         (3)3( 4.0)  2298817.5*
   102    31    2S2 2P5 3P3         (3)1( 1.0)  2300302.9*
   103    32    2S2 2P5 3P3         (3)1( 0.0)  2300798.5*
   104    33    2S2 2P5 3P3         (3)3( 3.0)  2302176.0*
   105    34    2S2 2P5 3P3         (5)1( 3.0)  2302431.4*
   106    35    2S2 2P5 3P3         (5)1( 2.0)  2304722.9*
   107    36    2S2 2P5 3P3         (1)1( 1.0)  2309141.8*
   108    37    2S2 2P5 3P3         (3)3( 2.0)  2312491.3*
