SEQ='NA'     NUCCHG=27                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 273652705.5  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 278051021.8 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    78    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  7344555.9*
    73    79    1S2 2S2 2P5 3P1 3D1 (4)4( 2.5)  7355881.1*
    74    81    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  7359545.3*
    75    82    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  7369116.1*
    76    84    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  7375137.3*
    77    86    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  7384736.8*
    78    87    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  7385397.5*
    79    88    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  7385995.1*
    80    90    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  7394392.3*
    81    91    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  7402537.6*
    82    93    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  7408155.9*
    83    95    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  7413051.1*
    84    97    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  7417990.7*
    85    98    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  7427755.0*
    86    99    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  7430678.6*
    87   100    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  7434381.6*
    88   101    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  7445094.1*
    89   102    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  7448983.7*
    90   103    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  7453878.2*
    91   104    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  7457509.6*
    92   105    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  7461810.8*
    93   108    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  7483414.8*
    94   109    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  7490282.9*
    95   111    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  7499621.7*
    96   113    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  7501419.4*
    97   115    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  7510376.3*
    98   116    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  7519745.1*
    99   117    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  7527540.2*
   100   118    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  7527942.8*
   101   119    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  7531273.8*
   102   120    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  7539251.8*
   103   121    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  7539921.8*
