SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83052192.2  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    85          1S2 2S1 2P5 3D1     (4)3( 3.5)  2283671.3 
    86          1S2 2S1 2P5 3D1     (4)3( 2.5)  2286668.8 
    87          1S2 2S1 2P5 3D1     (4)3( 1.5)  2289391.5 
    88          1S2 2S1 2P5 3D1     (4)2( 3.5)  2295234.0 
    89          1S2 2S1 2P5 3D1     (4)2( 2.5)  2299572.2 
    90          1S2 2S1 2P5 3D1     (4)2( 0.5)  2299620.4 
    91          1S2 2S1 2P5 3D1     (4)2( 1.5)  2300156.3 
    92          1S2 2S1 2P5 3D1     (2)3( 3.5)  2300250.1 
    93          1S2 2S1 2P5 3D1     (2)3( 2.5)  2302570.2 
    94          1S2 2S1 2P5 3D1     (2)2( 1.5)  2308339.3 
    95          1S2 2S1 2P5 3D1     (2)2( 2.5)  2309335.7 
    96          1S2 2S1 2P5 3P1     (2)2( 1.5)  2318027.6 
    97          1S2 2S1 2P5 3P1     (2)2( 2.5)  2319945.0 
    98          1S2 2S1 2P5 3D1     (2)1( 0.5)  2321190.7 
    99          1S2 2S1 2P5 3D1     (2)1( 1.5)  2326899.0 
   100          1S2 2S1 2P5 3P1     (2)1( 0.5)  2327996.1 
   101          1S2 2S1 2P5 3P1     (2)1( 1.5)  2328946.1 
   102          1S2 2S1 2P5 3P1     (2)0( 0.5)  2360563.8 
   103          1S2 2S1 2P5 3D1     (2)3( 2.5)  2467414.5 
   104          1S2 2S1 2P5 3D1     (2)3( 3.5)  2467603.2 
   105          1S2 2S1 2P5 3D1     (2)1( 1.5)  2468566.3 
   106          1S2 2S1 2P5 3D1     (2)1( 0.5)  2468968.8 
   107          1S2 2S1 2P5 3D1     (2)2( 1.5)  2477035.7 
   108          1S2 2S1 2P5 3D1     (2)2( 2.5)  2477194.2 
   109          1S2 2P6 3S1         (2)0( 0.5)  2672439.4 
   110          1S2 2P6 3P1         (2)1( 0.5)  2771326.9 
   111          1S2 2P6 3P1         (2)1( 1.5)  2773498.1 
   112          1S2 2P6 3D1         (2)2( 1.5)  2914286.1 
   113          1S2 2P6 3D1         (2)2( 2.5)  2914664.8 
   114          1S1 2S2 2P6         (2)0( 0.5) 18704140.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  85298272.7 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)  1365649.0 
     3     3    1S2 2S2 2P5 3S1     (3)1( 1.0)  1370726.4 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)  1377707.6 
     5     5    1S2 2S2 2P5 3S1     (1)1( 1.0)  1384581.6 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)  1464046.2 
     7     7    1S2 2S2 2P5 3P1     (3)2( 3.0)  1476441.7 
     8     8    1S2 2S2 2P5 3P1     (3)2( 2.0)  1477791.1 
     9     9    1S2 2S2 2P5 3P1     (3)2( 1.0)  1481598.4 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)  1485851.3 
    11    11    1S2 2S2 2P5 3P1     (1)1( 1.0)  1490375.9 
    12    12    1S2 2S2 2P5 3P1     (3)1( 0.0)  1492720.2 
    13    13    1S2 2S2 2P5 3P1     (1)2( 2.0)  1494453.7 
