SEQ='NA'     NUCCHG=26                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 251996423.1  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 255933418.0 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    78    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6675837.0*
    73    79    1S2 2S2 2P5 3P1 3D1 (4)4( 2.5)  6685639.0*
    74    81    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  6690199.2*
    75    83    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  6699290.6*
    76    84    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  6704365.7*
    77    86    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  6713711.1*
    78    87    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  6713731.4*
    79    89    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  6715339.7*
    80    90    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  6722350.6*
    81    91    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  6729370.6*
    82    93    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  6735958.7*
    83    95    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  6739699.0*
    84    96    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  6743467.4*
    85    98    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  6753217.3*
    86    99    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  6755750.8*
    87   100    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6758436.5*
    88   101    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  6767156.9*
    89   102    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  6769572.6*
    90   103    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  6774395.0*
    91   104    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  6777864.0*
    92   105    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  6780484.5*
    93   107    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  6794455.5*
    94   109    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6804110.2*
    95   112    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  6815339.2*
    96   113    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  6819671.9*
    97   114    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  6828444.4*
    98   116    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  6833988.3*
    99   117    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  6839951.6*
   100   118    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  6840344.6*
   101   119    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  6845579.5*
   102   120    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  6846895.0*
   103   121    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  6848319.8*
   104   123    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  6851536.7*
   105   124    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6868035.8*
   106   125    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  6875450.5*
   107   126    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  6876266.5*
   108   127    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  6895985.1*
   109   128    1S2 2S1 2P6 3S2     (2)0( 0.5)  6897515.2*
   110   129    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  6922057.9*
   111   131    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  6936892.5*
   112   132    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6942335.7*
   113   133    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  6958351.7*
   114   134    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6996220.1*
   115   135    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  7004281.9*
   116   136    1S2 2S2 2P5 3D2     (4)2( 0.5)  7070081.5*
   117   137    1S2 2S2 2P5 3D2     (4)2( 1.5)  7072753.4*
   118   138    1S2 2S2 2P5 3D2     (4)2( 2.5)  7077227.0*
   119   139    1S2 2S1 2P6 3S1 3P1 (4)1( 0.5)  7084354.1*
   120   140    1S2 2S2 2P5 3D2     (4)2( 3.5)  7084899.7*
   121   141    1S2 2S1 2P6 3S1 3P1 (4)1( 1.5)  7091047.6*
   122   144    1S2 2S2 2P5 3D2     (4)4( 3.5)  7098610.2*
   123   145    1S2 2S2 2P5 3D2     (2)3( 2.5)  7099471.0*
   124   148    1S2 2S2 2P5 3D2     (4)1( 2.5)  7109839.0*
   125   149    1S2 2S2 2P5 3D2     (2)4( 3.5)  7110936.8*
   126   150    1S2 2S2 2P5 3D2     (4)3( 1.5)  7113154.2*
   127   151    1S2 2S2 2P5 3D2     (2)2( 2.5)  7120163.3*
   128   152    1S2 2S2 2P5 3D2     (4)1( 1.5)  7121354.2*
   129   153    1S2 2S2 2P5 3D2     (2)1( 0.5)  7128600.1*
   130   155    1S2 2S2 2P5 3D2     (4)2( 3.5)  7137583.1*
   131   156    1S2 2S2 2P5 3D2     (4)3( 2.5)  7137890.3*
   132   157    1S2 2S2 2P5 3D2     (2)2( 1.5)  7139989.6*
   133   158    1S2 2S2 2P5 3D2     (2)3( 3.5)  7140135.5*
   134   159    1S2 2S2 2P5 3D2     (4)1( 0.5)  7141245.7*
   135   160    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  7157600.4*
   136   162    1S2 2S2 2P5 3D2     (4)2( 2.5)  7160982.9*
   137   163    1S2 2S2 2P5 3D2     (2)2( 1.5)  7164143.9*
   138   164    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  7167070.0*
   139   165    1S2 2S2 2P5 3D2     (2)4( 3.5)  7173522.7*
   140   166    1S2 2S2 2P5 3D2     (4)4( 2.5)  7180835.6*
   141   167    1S2 2S2 2P5 3D2     (4)0( 1.5)  7186446.3*
   142   168    1S2 2S2 2P5 3D2     (4)2( 0.5)  7200395.4*
   143   169    1S2 2S2 2P5 3D2     (4)3( 3.5)  7207621.9*
   144   171    1S2 2S2 2P5 3D2     (2)1( 1.5)  7225520.4*
   145   172    1S2 2S2 2P5 3D2     (2)3( 2.5)  7227036.4*
   146   173    1S2 2S2 2P5 3D2     (2)3( 3.5)  7228814.1*
   147   174    1S2 2S2 2P5 3D2     (2)3( 2.5)  7234505.1*
   148   175    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  7235419.7*
   149   176    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  7242380.5*
   150   177    1S2 2S2 2P5 3D2     (4)2( 1.5)  7244705.9*
   151   178    1S2 2S2 2P5 3D2     (2)0( 0.5)  7245312.0*
   152   179    1S2 2S2 2P5 3D2     (2)2( 2.5)  7256580.5*
   153   180    1S2 2S2 2P5 3D2     (2)1( 1.5)  7257233.5*
   154   182    1S2 2S2 2P5 3D2     (2)1( 0.5)  7280561.1*
   155   183    1S2 2S2 2P5 3D2     (2)3( 3.5)  7288682.3*
   156   184    1S2 2S2 2P5 3D2     (2)2( 2.5)  7292181.5*
   157   185    1S2 2S2 2P5 3D2     (2)2( 1.5)  7299154.2*
   158   186    1S2 2S2 2P5 3D2     (2)1( 1.5)  7311761.9*
   159   187    1S2 2S2 2P5 3D2     (2)1( 0.5)  7354504.5*
   160   188    1S2 2S1 2P6 3P2     (4)1( 0.5)  7401206.2*
   161   189    1S2 2S1 2P6 3P2     (4)1( 1.5)  7409808.3*
   162   190    1S2 2S1 2P6 3P2     (2)2( 2.5)  7410040.9*
   163   191    1S2 2S1 2P6 3P2     (2)2( 1.5)  7415494.8*
   164   192    1S2 2S1 2P6 3P2     (4)1( 2.5)  7430959.7*
   165   193    1S2 2S1 2P6 3P2     (2)1( 0.5)  7435189.6*
   166   194    1S2 2S1 2P6 3P2     (2)1( 1.5)  7453985.6*
