SEQ='NE'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  95132401.6  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    85          1S2 2S1 2P5 3D1     (4)3( 3.5)  2690010.7 
    86          1S2 2S1 2P5 3D1     (4)3( 2.5)  2693918.5 
    87          1S2 2S1 2P5 3D1     (4)3( 1.5)  2697514.3 
    88          1S2 2S1 2P5 3D1     (4)2( 3.5)  2703743.7 
    89          1S2 2S1 2P5 3D1     (4)2( 0.5)  2709293.3 
    90          1S2 2S1 2P5 3D1     (4)2( 2.5)  2709526.0 
    91          1S2 2S1 2P5 3D1     (4)2( 1.5)  2710223.6 
    92          1S2 2S1 2P5 3D1     (2)3( 3.5)  2710536.8 
    93          1S2 2S1 2P5 3D1     (2)3( 2.5)  2713261.6 
    94          1S2 2S1 2P5 3D1     (2)2( 1.5)  2719874.3 
    95          1S2 2S1 2P5 3P1     (2)2( 1.5)  2720723.0 
    96          1S2 2S1 2P5 3D1     (2)2( 2.5)  2721728.0 
    97          1S2 2S1 2P5 3P1     (2)2( 2.5)  2723423.4 
    98          1S2 2S1 2P5 3P1     (2)1( 0.5)  2732163.6 
    99          1S2 2S1 2P5 3P1     (2)1( 1.5)  2733502.1 
   100          1S2 2S1 2P5 3D1     (2)1( 0.5)  2735436.5 
   101          1S2 2S1 2P5 3D1     (2)1( 1.5)  2743185.4 
   102          1S2 2S1 2P5 3P1     (2)0( 0.5)  2768541.0 
   103          1S2 2S1 2P5 3D1     (2)3( 2.5)  2888793.5 
   104          1S2 2S1 2P5 3D1     (2)3( 3.5)  2889066.9 
   105          1S2 2S1 2P5 3D1     (2)1( 1.5)  2891038.9 
   106          1S2 2S1 2P5 3D1     (2)1( 0.5)  2891663.3 
   107          1S2 2S1 2P5 3D1     (2)2( 1.5)  2900104.9 
   108          1S2 2S1 2P5 3D1     (2)2( 2.5)  2900329.5 
   109          1S2 2P6 3S1         (2)0( 0.5)  3103816.9 
   110          1S2 2P6 3P1         (2)1( 0.5)  3215217.9 
   111          1S2 2P6 3P1         (2)1( 1.5)  3218247.2 
   112          1S2 2P6 3D1         (2)2( 1.5)  3376364.6 
   113          1S2 2P6 3D1         (2)2( 2.5)  3376931.5 
   114          1S1 2S2 2P6         (2)0( 0.5) 21264693.5 

   IC RESOLVED LEVEL INDEXING           BWNR=  97923329.2 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)  1680966.5 
     3     3    1S2 2S2 2P5 3S1     (3)1( 1.0)  1687117.7 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)  1696955.4 
     5     5    1S2 2S2 2P5 3S1     (1)1( 1.0)  1704206.2 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)  1793604.8 
     7     7    1S2 2S2 2P5 3P1     (3)2( 3.0)  1807724.0 
     8     8    1S2 2S2 2P5 3P1     (3)2( 2.0)  1808943.5 
     9     9    1S2 2S2 2P5 3P1     (3)2( 1.0)  1813739.8 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)  1818514.9 
    11    11    1S2 2S2 2P5 3P1     (1)1( 1.0)  1825019.4 
    12    12    1S2 2S2 2P5 3P1     (3)1( 0.0)  1827404.1 
    13    13    1S2 2S2 2P5 3P1     (1)2( 2.0)  1830333.0 
