SEQ='NA'     NUCCHG=25                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 231254972.0  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 234755856.1 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    78    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6038048.5*
    73    79    1S2 2S2 2P5 3P1 3D1 (4)4( 2.5)  6046435.1*
    74    81    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  6051566.9*
    75    83    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  6060673.8*
    76    84    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  6064666.5*
    77    86    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  6072772.6*
    78    87    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  6073635.5*
    79    89    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  6075881.5*
    80    90    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  6080973.1*
    81    91    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  6087590.7*
    82    93    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  6094243.8*
    83    95    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  6097787.0*
    84    96    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  6100154.2*
    85    98    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  6109885.1*
    86    99    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  6111801.7*
    87   100    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6113583.3*
    88   101    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  6116080.4*
    89   102    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  6125057.4*
    90   103    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  6125521.1*
    91   104    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  6130410.6*
    92   105    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  6133061.2*
    93   107    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  6138664.5*
    94   110    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6151358.4*
    95   112    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  6162960.0*
    96   113    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  6169225.0*
    97   114    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  6177691.8*
    98   115    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  6177844.4*
    99   116    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  6183045.0*
   100   118    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  6186322.8*
   101   119    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  6188101.7*
   102   120    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  6188273.4*
   103   123    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  6195823.0*
   104   124    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6213661.1*
   105   125    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  6217661.4*
   106   126    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  6218536.1*
   107   127    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  6234366.4*
   108   128    1S2 2S1 2P6 3S2     (2)0( 0.5)  6245920.2*
   109   129    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  6263968.4*
   110   131    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  6273990.9*
   111   132    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6279454.8*
   112   133    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  6294061.0*
   113   134    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  6334806.5*
   114   135    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  6341575.2*
   115   136    1S2 2S2 2P5 3D2     (4)2( 0.5)  6408493.3*
   116   137    1S2 2S2 2P5 3D2     (4)2( 1.5)  6410854.4*
   117   138    1S2 2S2 2P5 3D2     (4)2( 2.5)  6414801.8*
   118   139    1S2 2S2 2P5 3D2     (4)2( 3.5)  6421637.1*
   119   140    1S2 2S1 2P6 3S1 3P1 (4)1( 0.5)  6426164.2*
   120   143    1S2 2S1 2P6 3S1 3P1 (4)1( 1.5)  6431761.1*
   121   144    1S2 2S2 2P5 3D2     (4)4( 3.5)  6434824.9*
   122   145    1S2 2S2 2P5 3D2     (2)3( 2.5)  6436022.7*
   123   146    1S2 2S1 2P6 3S1 3P1 (4)1( 2.5)  6442874.1*
   124   148    1S2 2S2 2P5 3D2     (4)1( 2.5)  6445532.4*
   125   149    1S2 2S2 2P5 3D2     (2)4( 3.5)  6446052.9*
   126   150    1S2 2S2 2P5 3D2     (4)3( 1.5)  6448550.5*
   127   151    1S2 2S2 2P5 3D2     (2)2( 2.5)  6454550.5*
   128   152    1S2 2S2 2P5 3D2     (4)1( 1.5)  6455829.8*
   129   153    1S2 2S2 2P5 3D2     (4)1( 0.5)  6462657.7*
   130   155    1S2 2S2 2P5 3D2     (4)2( 2.5)  6470345.5*
   131   156    1S2 2S2 2P5 3D2     (4)2( 3.5)  6470362.2*
   132   157    1S2 2S2 2P5 3D2     (2)2( 1.5)  6472560.0*
   133   158    1S2 2S2 2P5 3D2     (2)1( 0.5)  6473696.4*
   134   159    1S2 2S2 2P5 3D2     (2)3( 3.5)  6473811.1*
   135   160    1S2 2S2 2P5 3D2     (4)4( 2.5)  6490858.2*
   136   162    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  6494079.7*
   137   163    1S2 2S2 2P5 3D2     (2)2( 1.5)  6495260.2*
   138   164    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  6501794.2*
   139   165    1S2 2S2 2P5 3D2     (2)4( 3.5)  6502803.4*
   140   166    1S2 2S2 2P5 3D2     (4)3( 2.5)  6506903.1*
   141   167    1S2 2S2 2P5 3D2     (4)0( 1.5)  6514266.4*
   142   168    1S2 2S2 2P5 3D2     (4)3( 3.5)  6526511.0*
   143   169    1S2 2S2 2P5 3D2     (4)2( 0.5)  6527834.1*
   144   171    1S2 2S2 2P5 3D2     (2)1( 1.5)  6547070.8*
   145   172    1S2 2S2 2P5 3D2     (2)3( 3.5)  6547645.3*
   146   173    1S2 2S2 2P5 3D2     (2)3( 2.5)  6547999.2*
   147   174    1S2 2S2 2P5 3D2     (2)3( 2.5)  6552955.0*
   148   175    1S2 2S2 2P5 3D2     (2)0( 0.5)  6562848.4*
   149   176    1S2 2S2 2P5 3D2     (4)2( 1.5)  6563699.2*
   150   177    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  6567292.2*
   151   178    1S2 2S2 2P5 3D2     (2)2( 2.5)  6572206.5*
   152   179    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  6573064.0*
   153   181    1S2 2S2 2P5 3D2     (2)1( 1.5)  6578272.8*
   154   182    1S2 2S2 2P5 3D2     (2)1( 0.5)  6596577.8*
   155   183    1S2 2S2 2P5 3D2     (2)3( 3.5)  6601976.2*
   156   184    1S2 2S2 2P5 3D2     (2)2( 2.5)  6606186.8*
   157   185    1S2 2S2 2P5 3D2     (2)2( 1.5)  6612978.0*
   158   186    1S2 2S2 2P5 3D2     (2)1( 1.5)  6624767.0*
   159   187    1S2 2S2 2P5 3D2     (2)1( 0.5)  6664840.1*
   160   188    1S2 2S1 2P6 3P2     (4)1( 0.5)  6723299.0*
   161   189    1S2 2S1 2P6 3P2     (4)1( 1.5)  6729933.5*
   162   190    1S2 2S1 2P6 3P2     (2)2( 2.5)  6729965.2*
