SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86007551.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)   104032.6 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)   105523.2 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   247698.8 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   247865.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  86588438.9 NLVL=   167
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    69   902   +1S1 3S1 3P1 3D1     (1)2( 2.0) 20310557.5*
    70   903   +1S1 3S1 3P1 3D1     (3)3( 2.0) 20314042.0*
    71   904   +1S1 3S1 3P1 3D1     (3)3( 3.0) 20314544.0*
    72   905   +1S1 3S1 3P1 3D1     (3)3( 4.0) 20315381.8*
    73   906   +1S1 3S1 3P1 3D1     (1)3( 3.0) 20320992.8*
    74   907   +1S1 3S1 3P1 3D1     (3)1( 2.0) 20342189.4*
    75   908   +1S1 3S1 3P1 3D1     (3)1( 1.0) 20342393.7*
    76   909   +1S1 3S1 3P1 3D1     (3)1( 0.0) 20342500.1*
    77   910   +1S1 3S1 3P1 3D1     (3)3( 4.0) 20352528.1*
    78   911   +1S1 3S1 3P1 3D1     (3)3( 3.0) 20352708.3*
    79   912   +1S1 3S1 3P1 3D1     (3)3( 2.0) 20352849.0*
    80   913   +1S1 3S1 3P1 3D1     (1)1( 1.0) 20356956.0*
    81   914   +1S1 3S1 3P1 3D1     (1)3( 3.0) 20361395.8*
    82   915   +1S1 3S1 3P1 3D1     (3)2( 1.0) 20371339.8*
    83   916   +1S1 3S1 3P1 3D1     (3)2( 2.0) 20371425.0*
    84   917   +1S1 3S1 3P1 3D1     (3)2( 3.0) 20371715.7*
    85   918   +1S1 3S1 3P1 3D1     (1)2( 2.0) 20372748.2*
    86   919   +1S1 3S1 3P1 3D1     (3)1( 0.0) 20372767.0*
    87   920   +1S1 3S1 3P1 3D1     (3)1( 1.0) 20372814.8*
    88   921   +1S1 3S1 3P1 3D1     (3)1( 2.0) 20373110.1*
    89   922   +1S1 3S1 3P1 3D1     (1)1( 1.0) 20373635.1*
    90   489    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 20374653.1*
    91   490    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 20374881.3*
    92   491    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 20375319.3*
    93   492    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 20377163.1*
    94   494    1S1 2S2 2P6 3P2 3D1 (5)3( 2.0) 20378668.6*
    95   495    1S1 2S2 2P6 3P2 3D1 (5)3( 3.0) 20378997.2*
    96   496    1S1 2S2 2P6 3P2 3D1 (5)3( 4.0) 20379434.6*
    97   498    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 20385921.4*
    98   499    1S1 2S2 2P6 3P2 3D1 (5)2( 0.0) 20386078.0*
    99   500    1S1 2S2 2P6 3P2 3D1 (5)2( 1.0) 20386085.6*
   100   501    1S1 2S2 2P6 3P2 3D1 (5)2( 2.0) 20386736.1*
   101   502    1S1 2S2 2P6 3P2 3D1 (5)2( 3.0) 20386757.7*
   102   503    1S1 2S2 2P6 3P2 3D1 (5)2( 4.0) 20387054.7*
   103   504    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 20387142.1*
   104   505    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 20387509.7*
   105   506    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 20390022.2*
   106   507    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 20390604.2*
   107   508    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 20391373.4*
   108   509    1S1 2S2 2P6 3P2 3D1 (1)1( 1.0) 20392558.2*
   109   510    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 20397601.4*
   110   511    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 20397776.9*
   111   512    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 20398138.9*
   112   513    1S1 2S2 2P6 3P2 3D1 (3)4( 3.0) 20401900.3*
   113   514    1S1 2S2 2P6 3P2 3D1 (3)4( 4.0) 20401975.4*
   114   515    1S1 2S2 2P6 3P2 3D1 (3)4( 5.0) 20402073.6*
   115   516    1S1 2S2 2P6 3P2 3D1 (1)4( 4.0) 20403803.4*
   116   517    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 20414309.2*
   117   518    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 20414547.0*
   118   519    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 20414656.9*
   119   520    1S1 2S2 2P6 3P2 3D1 (5)1( 3.0) 20415388.0*
   120   521    1S1 2S2 2P6 3P2 3D1 (5)1( 2.0) 20415564.4*
   121   522    1S1 2S2 2P6 3P2 3D1 (5)1( 1.0) 20415729.1*
   122   523    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 20417374.1*
   123   524    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 20426149.1*
   124   525    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 20426624.5*
   125   526    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 20426862.7*
   126   527    1S1 2S2 2P6 3P2 3D1 (3)0( 1.0) 20434611.2*
   127   528    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 20435816.0*
   128   529    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 20436063.4*
   129   530    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 20436433.3*
   130   531    1S1 2S2 2P6 3P2 3D1 (1)0( 0.0) 20436459.1*
   131   532    1S1 2S2 2P6 3P2 3D1 (1)1( 1.0) 20439427.1*
   132   533    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 20441324.4*
   133   534    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 20441701.5*
   134   535    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 20442613.9*
   135   536    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 20446530.8*
   136   537    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 20447728.6*
   137   538    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 20447850.8*
   138   539    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 20448042.3*
   139   545    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 20455923.2*
   140   546    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 20461608.9*
   141   547    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 20461705.8*
   142   548    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 20461835.5*
   143   552    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 20475500.9*
   144   553    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 20475536.8*
   145   554    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 20475608.1*
   146   555    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 20480791.4*
   147   556    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 20481123.8*
   148   557    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 20481357.6*
   149   558    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 20488000.8*
   150   559    1S1 2S2 2P6 3S1 3D2 (3)4( 3.0) 20492131.2*
   151   560    1S1 2S2 2P6 3S1 3D2 (3)4( 4.0) 20492141.4*
   152   561    1S1 2S2 2P6 3S1 3D2 (3)4( 5.0) 20492154.4*
   153   562    1S1 2S2 2P6 3S1 3D2 (3)2( 3.0) 20494213.4*
   154   563    1S1 2S2 2P6 3S1 3D2 (3)2( 2.0) 20494302.9*
   155   564    1S1 2S2 2P6 3S1 3D2 (3)2( 1.0) 20494355.6*
   156   565    1S1 2S2 2P6 3S1 3D2 (1)4( 4.0) 20505327.6*
   157   566    1S1 2S2 2P6 3S1 3D2 (1)2( 2.0) 20506178.9*
   158   567    1S1 2S2 2P6 3S1 3D2 (1)3( 3.0) 20522440.2*
   159   568    1S1 2S2 2P6 3S1 3D2 (3)0( 1.0) 20525525.6*
   160   569    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 20525791.5*
   161   570    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 20525833.7*
   162   571    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 20525889.7*
   163   572    1S1 2S2 2P6 3S1 3D2 (1)0( 0.0) 20538717.7*
   164   573    1S1 2S2 2P6 3S1 3D2 (1)1( 1.0) 20543096.0*
   165   574    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 20546265.7*
   166   575    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 20546339.0*
   167   576    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 20546479.9*
  
S  5     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5
     2   472  3  -1    1.824953E+02   2.244E+12   7.359E+13   7.961E+14   1.439E+08   1.545E+11   6.492E+10   3.654E+06   1.046E+06
    10   472  3  -1    1.800728E+02   6.086E+09
    12   472  3  -1    1.800548E+02   5.219E+09
     1   473  3  -1    1.825037E+02   6.995E+12   7.360E+13   7.960E+14   3.431E+08   1.048E+11   1.118E+11   3.235E+07   2.639E+06
     2   473  3  -1    1.824997E+02   1.661E+12
     3   473  3  -1    1.824914E+02   1.649E+12
     9   473  3  -1    1.800806E+02   5.126E+09
    11   473  3  -1    1.800748E+02   1.221E+10
    12   473  3  -1    1.800591E+02   6.819E+09
    13   473  3  -1    1.800570E+02   7.633E+09
     2   474  3  -1    1.825080E+02   2.981E+12   7.361E+13   7.958E+14   1.007E+09   3.721E+10   1.757E+11   7.214E+06   9.668E+07
     3   474  3  -1    1.824997E+02   4.964E+12
     9   474  3  -1    1.800889E+02   6.331E+09
    10   474  3  -1    1.800855E+02   4.464E+09
    13   474  3  -1    1.800653E+02   5.366E+09
    14   474  3  -1    1.800635E+02   1.308E+10
     1   475  3  -1    1.826373E+02   3.372E+12   6.876E+13   7.857E+14   6.806E+11   8.697E+10   1.348E+10   1.046E+11   1.995E+06
     2   475  3  -1    1.826333E+02   9.308E+11
     3   475  3  -1    1.826250E+02   4.456E+10
     5   475  3  -1    1.804273E+02   1.341E+10
    11   475  3  -1    1.802084E+02   8.830E+09
     2   476  3  -1    1.826335E+02   2.516E+12   6.876E+13   7.857E+14   6.805E+11   5.529E+10   4.541E+10   6.315E+10   4.117E+10
     3   476  3  -1    1.826253E+02   6.210E+11
     6   476  3  -1    1.804226E+02   1.419E+10
    10   476  3  -1    1.802111E+02   6.777E+09
     3   477  3  -1    1.826256E+02   2.980E+12   6.876E+13   7.857E+14   6.813E+11   4.005E+07   1.002E+11   1.168E+05   1.040E+11
     7   477  3  -1    1.804166E+02   1.585E+10
     9   477  3  -1    1.802147E+02   8.020E+09
     3   478  3  -1    1.827424E+02   3.577E+09   6.881E+13   8.075E+14   7.372E+11   2.564E+11   5.127E+11   5.601E+10   8.438E+10
     4   478  3  -1    1.823240E+02   3.625E+12
     8   478  3  -1    1.805026E+02   3.224E+10
    15   478  3  -1    1.799950E+02   2.440E+10
     1   479  3  -1    1.829513E+02   8.052E+11   6.902E+13   7.866E+14   3.543E+11   5.776E+10   5.920E+10   2.982E+06   2.525E+08
     2   479  3  -1    1.829472E+02   7.964E+11
     3   479  3  -1    1.829389E+02   7.726E+11
     4   479  3  -1    1.825205E+02   3.893E+09
     9   479  3  -1    1.805281E+02   7.383E+09
    10   479  3  -1    1.805247E+02   5.881E+09
     2   480  3  -1    1.830597E+02   1.834E+11   6.747E+13   8.013E+14   4.119E+10   8.224E+11   6.127E+10   1.979E+10   1.192E+10
     4   480  3  -1    1.826329E+02   9.230E+10
    10   480  3  -1    1.806372E+02   1.145E+10
    12   480  3  -1    1.806191E+02   1.832E+10
    16   480  3  -1    1.802446E+02   4.103E+09
     1   481  3  -1    1.830704E+02   4.985E+11   6.727E+13   7.998E+14   1.167E+09   4.455E+11   4.392E+11   1.875E+10   1.709E+10
     2   481  3  -1    1.830664E+02   1.171E+11
     3   481  3  -1    1.830581E+02   1.899E+11
     4   481  3  -1    1.826396E+02   3.785E+10
     9   481  3  -1    1.806473E+02   1.055E+10
    11   481  3  -1    1.806415E+02   2.286E+10
    12   481  3  -1    1.806258E+02   2.324E+10
    13   481  3  -1    1.806237E+02   2.957E+10
     2   482  3  -1    1.830735E+02   2.261E+11   6.721E+13   8.001E+14   1.502E+08   1.430E+11   7.509E+11   1.093E+10   2.514E+10
     3   482  3  -1    1.830652E+02   4.418E+11
     9   482  3  -1    1.806544E+02   1.057E+10
    10   482  3  -1    1.806510E+02   7.692E+09
    13   482  3  -1    1.806308E+02   1.724E+10
    14   482  3  -1    1.806290E+02   4.800E+10
     2   483  3  -1    1.830869E+02   1.859E+10   6.883E+13   8.125E+14   3.141E+11   5.981E+10   8.380E+11   1.789E+09   2.589E+09
     4   483  3  -1    1.826602E+02   6.756E+11
    10   483  3  -1    1.806644E+02   1.448E+09
    12   483  3  -1    1.806464E+02   2.340E+09
    16   483  3  -1    1.802719E+02   3.456E+10
     4   484  3  -1    1.826993E+02   7.144E+12   7.406E+13   7.788E+14   2.443E+08   8.782E+10   2.376E+11   1.362E+10   2.209E+10
     8   484  3  -1    1.808779E+02   1.867E+10
    16   484  3  -1    1.803110E+02   1.523E+10
     1   485  3  -1    1.834546E+02   4.481E+11   6.701E+13   7.715E+14   1.232E+11   1.125E+10   3.511E+09   7.801E+11   2.735E+07
     2   485  3  -1    1.834506E+02   1.153E+11
     3   485  3  -1    1.834423E+02   4.898E+09
     5   485  3  -1    1.812446E+02   2.081E+10
    11   485  3  -1    1.810257E+02   2.329E+10
    12   485  3  -1    1.810100E+02   3.942E+10
    13   485  3  -1    1.810079E+02   7.328E+09
     2   486  3  -1    1.834511E+02   3.348E+11   6.701E+13   7.715E+14   1.229E+11   8.219E+09   6.688E+09   4.935E+11   2.869E+11
     3   486  3  -1    1.834428E+02   7.106E+10
     5   486  3  -1    1.812452E+02   4.389E+09
     6   486  3  -1    1.812402E+02   2.187E+10
    10   486  3  -1    1.810286E+02   2.296E+10
    12   486  3  -1    1.810106E+02   6.661E+09
    13   486  3  -1    1.810084E+02   3.515E+10
    14   486  3  -1    1.810066E+02   5.273E+09
     3   487  3  -1    1.834437E+02   3.803E+11   6.701E+13   7.715E+14   1.225E+11   4.896E+08   1.422E+10   2.459E+07   7.808E+11
     6   487  3  -1    1.812410E+02   3.267E+09
     7   487  3  -1    1.812348E+02   2.479E+10
     9   487  3  -1    1.810329E+02   2.431E+10
    14   487  3  -1    1.810075E+02   4.106E+10
     4   488  3  -1    1.830439E+02   4.963E+11   6.706E+13   7.762E+14   7.286E+10   4.386E+10   9.383E+10   2.727E+11   4.732E+11
     8   488  3  -1    1.812225E+02   2.254E+10
    15   488  3  -1    1.807149E+02   7.495E+10
    16   488  3  -1    1.806556E+02   4.359E+10
     5   489  3  -1    1.827212E+02   6.103E+11   6.824E+13   7.737E+14   2.278E+05   3.161E+08   3.112E+08   3.867E+11   9.724E+10
     6   489  3  -1    1.827162E+02   4.466E+10
     8   489  3  -1    1.826790E+02   8.249E+09
     9   489  3  -1    1.825080E+02   6.211E+09
    10   489  3  -1    1.825047E+02   5.726E+10
    12   489  3  -1    1.824866E+02   1.212E+12
    13   489  3  -1    1.824845E+02   1.216E+11
    14   489  3  -1    1.824827E+02   2.216E+09
     5   490  3  -1    1.827233E+02   5.325E+10   6.828E+13   7.735E+14   3.176E+04   2.533E+08   8.180E+08   2.994E+11   1.863E+11
     6   490  3  -1    1.827183E+02   5.507E+11
     7   490  3  -1    1.827120E+02   3.207E+10
     8   490  3  -1    1.826811E+02   1.232E+11
     9   490  3  -1    1.825101E+02   5.457E+10
    13   490  3  -1    1.824865E+02   1.071E+12
    14   490  3  -1    1.824847E+02   8.871E+10
     6   491  3  -1    1.827223E+02   5.140E+10   6.824E+13   7.736E+14   0.000E+00   1.610E+08   5.656E+08   5.400E+10   4.310E+11
     7   491  3  -1    1.827160E+02   6.021E+11
    14   491  3  -1    1.824887E+02   1.196E+12
     5   492  3  -1    1.827441E+02   7.641E+10   6.972E+13   7.694E+14   1.474E+05   5.363E+09   9.271E+09   1.706E+11   3.883E+11
     6   492  3  -1    1.827391E+02   2.234E+10
     8   492  3  -1    1.827019E+02   4.060E+12
    13   492  3  -1    1.825073E+02   2.144E+10
    15   492  3  -1    1.821943E+02   4.974E+10
     5   494  3  -1    1.827578E+02   4.300E+09   6.661E+13   7.794E+14   6.476E+04   6.009E+05   1.858E+06   4.457E+08   2.052E+08
