SEQ='NA'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85304453.4  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  86007309.9 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    83    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1677091.9*
    73    84    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  1680795.9*
    74    85    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  1681633.9*
    75    86    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1682627.4*
    76    88    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1684803.8*
    77    90    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  1685835.3*
    78    92    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  1686505.2*
    79    93    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1686687.2*
    80    94    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  1687081.2*
    81    95    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  1689703.8*
    82    97    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  1692319.4*
    83    98    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  1693645.0*
    84    99    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  1694641.5*
    85   103    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  1698531.1*
    86   104    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  1699269.4*
    87   105    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1699343.4*
    88   106    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  1701240.5*
    89   107    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1701520.3*
    90   108    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  1703033.5*
    91   109    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  1705287.6*
    92   110    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1708255.0*
    93   111    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  1708995.1*
    94   112    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1709247.8*
    95   113    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1710774.3*
    96   115    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  1711612.9*
    97   116    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  1711788.3*
    98   117    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1712878.4*
    99   118    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1713852.6*
   100   119    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  1718457.2*
   101   120    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1720508.9*
   102   121    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1720787.0*
   103   122    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1720800.5*
   104   123    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1721460.4*
   105   126    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  1744071.9*
   106   127    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1746853.4*
   107   128    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1749692.4*
   108   130    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1753770.5*
   109   131    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1758121.1*
   110   132    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1760051.8*
   111   133    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1798689.6*
   112   134    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1799399.4*
   113   135    1S2 2S2 2P5 3D2     (4)2( 0.5)  1831015.4*
   114   136    1S2 2S2 2P5 3D2     (4)2( 1.5)  1831506.7*
   115   137    1S2 2S2 2P5 3D2     (4)2( 2.5)  1832376.5*
   116   138    1S2 2S2 2P5 3D2     (4)2( 3.5)  1833827.3*
   117   141    1S2 2S2 2P5 3D2     (4)4( 3.5)  1838352.3*
   118   142    1S2 2S2 2P5 3D2     (4)4( 2.5)  1839779.1*
   119   144    1S2 2S2 2P5 3D2     (2)4( 3.5)  1841274.4*
   120   145    1S2 2S2 2P5 3D2     (4)3( 1.5)  1842683.3*
   121   146    1S2 2S2 2P5 3D2     (4)3( 2.5)  1844318.7*
   122   147    1S2 2S2 2P5 3D2     (4)1( 2.5)  1845912.8*
   123   149    1S2 2S2 2P5 3D2     (4)1( 1.5)  1848101.4*
   124   150    1S2 2S2 2P5 3D2     (2)3( 2.5)  1848169.4*
   125   151    1S2 2S2 2P5 3D2     (4)1( 0.5)  1849923.1*
   126   152    1S2 2S2 2P5 3D2     (2)2( 2.5)  1850132.3*
   127   153    1S2 2S2 2P5 3D2     (4)3( 3.5)  1850455.1*
   128   154    1S2 2S2 2P5 3D2     (2)2( 1.5)  1851461.7*
   129   157    1S2 2S2 2P5 3D2     (2)1( 0.5)  1852913.7*
   130   158    1S2 2S2 2P5 3D2     (2)3( 3.5)  1855352.1*
   131   159    1S2 2S2 2P5 3D2     (4)2( 3.5)  1858372.4*
   132   160    1S2 2S2 2P5 3D2     (4)2( 2.5)  1858550.8*
   133   161    1S2 2S2 2P5 3D2     (2)1( 1.5)  1858627.5*
   134   163    1S2 2S2 2P5 3D2     (2)2( 1.5)  1859494.5*
   135   164    1S2 2S2 2P5 3D2     (2)3( 2.5)  1862984.2*
   136   165    1S2 2S1 2P6 3S2     (2)0( 0.5)  1864300.6*
   137   166    1S2 2S2 2P5 3D2     (4)2( 0.5)  1864837.7*
   138   167    1S2 2S2 2P5 3D2     (2)4( 3.5)  1865925.0*
   139   168    1S2 2S2 2P5 3D2     (4)2( 1.5)  1866047.5*
   140   169    1S2 2S2 2P5 3D2     (2)3( 2.5)  1866343.4*
   141   170    1S2 2S2 2P5 3D2     (2)2( 2.5)  1869444.5*
   142   171    1S2 2S2 2P5 3D2     (4)0( 1.5)  1869829.6*
