SEQ='NE'     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  28047372.7  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    87          1S2 2S1 2P5 3D1     (2)1( 0.5)   454203.5 
    88          1S2 2S1 2P5 3D1     (2)3( 2.5)   454478.9 
    89          1S2 2S1 2P5 3D1     (2)1( 1.5)   454560.6 
    90          1S2 2S1 2P5 3D1     (4)2( 3.5)   454855.2 
    91          1S2 2S1 2P5 3D1     (4)2( 2.5)   454962.7 
    92          1S2 2S1 2P5 3D1     (4)2( 1.5)   455136.8 
    93          1S2 2S1 2P5 3D1     (4)2( 0.5)   455150.6 
    94          1S2 2S1 2P5 3D1     (2)2( 2.5)   455294.4 
    95          1S2 2S1 2P5 3D1     (2)2( 1.5)   455506.4 
    96          1S2 2S1 2P5 3S1     (2)1( 1.5)   496932.4 
    97          1S2 2S1 2P5 3S1     (2)1( 0.5)   496981.7 
    98          1S2 2S1 2P5 3P1     (2)2( 1.5)   521788.6 
    99          1S2 2S1 2P5 3P1     (2)2( 2.5)   521851.7 
   100          1S2 2S1 2P5 3P1     (2)1( 0.5)   523578.8 
   101          1S2 2S1 2P5 3P1     (2)1( 1.5)   523608.6 
   102          1S2 2S1 2P5 3P1     (2)0( 0.5)   530539.3 
   103          1S2 2S1 2P5 3D1     (2)1( 1.5)   551701.0 
   104          1S2 2S1 2P5 3D1     (2)1( 0.5)   551701.6 
   105          1S2 2S1 2P5 3D1     (2)3( 2.5)   552272.5 
   106          1S2 2S1 2P5 3D1     (2)3( 3.5)   552275.2 
   107          1S2 2S1 2P5 3D1     (2)2( 1.5)   553029.1 
   108          1S2 2S1 2P5 3D1     (2)2( 2.5)   553031.4 
   109          1S2 2P6 3S1         (2)0( 0.5)   717058.5 
   110          1S2 2P6 3P1         (2)1( 0.5)   740479.8 
   111          1S2 2P6 3P1         (2)1( 1.5)   740558.2 
   112          1S2 2P6 3D1         (2)2( 1.5)   769441.7 
   113          1S2 2P6 3D1         (2)2( 2.5)   769445.1 
   114          1S1 2S2 2P6         (2)0( 0.5)  6899514.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  28095773.1 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)    11675.1 
     3     3    1S2 2S2 2P5 3S1     (3)1( 1.0)    12270.8 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)    12998.4 
     5     5    1S2 2S2 2P5 3S1     (1)1( 1.0)    13915.2 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)    24636.5 
     7     7    1S2 2S2 2P5 3P1     (3)2( 3.0)    25519.2 
     8     8    1S2 2S2 2P5 3P1     (3)2( 2.0)    25765.5 
     9     9    1S2 2S2 2P5 3P1     (1)1( 1.0)    26059.0 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)    26264.7 
    11    11    1S2 2S2 2P5 3P1     (3)2( 1.0)    27045.4 
    12    12    1S2 2S2 2P5 3P1     (3)1( 0.0)    27162.0 
    13    13    1S2 2S2 2P5 3P1     (1)2( 2.0)    27292.3 
    14    14    1S2 2S2 2P5 3P1     (3)1( 1.0)    27326.2 
    15    15    1S2 2S2 2P5 3D1     (3)1( 0.0)    36852.6 
    16    16    1S2 2S2 2P5 3D1     (3)1( 1.0)    36863.4 
    17    17    1S2 2S2 2P5 3D1     (3)3( 4.0)    36913.8 
    18    18    1S2 2S2 2P5 3D1     (1)3( 3.0)    36916.7 
    19    19    1S2 2S2 2P5 3D1     (3)1( 2.0)    36934.9 
    20    20    1S2 2S2 2P5 3D1     (1)1( 1.0)    36951.2 
    21    21    1S2 2S2 2P5 3D1     (1)2( 2.0)    37001.2 
    22    22    1S2 2S2 2P5 3D1     (3)2( 3.0)    37002.1 
    23    23    1S2 2S2 2P5 3D1     (3)3( 2.0)    38264.4 
    24    24    1S2 2S2 2P5 3D1     (3)3( 3.0)    38266.6 
    25    25    1S2 2S2 2P5 3D1     (3)2( 2.0)    38270.1 
    26    26    1S2 2S2 2P5 3D1     (3)2( 1.0)    38281.0 
    27    27    1S2 2S2 2P5 3P1     (1)0( 0.0)    68232.5*
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0)  6909162.0*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0)  6910723.7*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0)  6923431.1*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0)  6923438.4*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0)  6923453.5*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0)  6923895.2*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0)  6934862.7*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0)  6934862.7*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0)  6934863.0*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0)  6934863.0*
  
NE 1     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
                                                                              7           8           9          10          11          12
                                                                             13          14          15          16          17          18
                                                                             19          20          21          22          23          24
                                                                             25          26          27          28          29          30
                                                                             31          32          33          34          35          36
                                                                             37          38          39          40          41          42
                                                                             43          44          45          46          47          48
                                                                             49          50          51          52          53          54
                                                                             55          56          57          58          59          60
                                                                             61          62          63          64          65          66
                                                                             67          68          69          70          71          72
                                                                             73          74          75          76          77          78
                                                                             79          80          81          82          83          84
                                                                             85          86          87          88          89          90
                                                                             91          92          93          94          95          96
                                                                             97          98          99         100         101         102
                                                                            103         104         105         106         107         108
                                                                            109         110         111         112         113         114
     3    27  3  -1    5.099604E-01   7.973E+07   2.263E+09   7.035E+16   4.699E+16   2.336E+16   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
                                                                          0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     5    27  3  -1    4.949749E-01   3.771E+08
    16    27  3  -1    2.858560E-01   6.714E+07
    20    27  3  -1    2.850561E-01   1.449E+08
    26    27  3  -1    2.729374E-01   8.550E+07
     2    28  3  -1    6.285448E+01   2.629E+12   7.885E+12   5.938E+14   1.598E+11   7.961E+10   8.844E+10   1.348E+10   1.372E+10   7.059E+10
                                                                          9.936E+09   5.574E+10   3.709E+10   1.866E+10   1.001E+03   6.348E+08
                                                                          3.433E+08   6.339E+07   2.137E+14   1.425E+14   1.091E+08   1.883E+08
                                                                          4.841E+08   2.392E+08   6.566E+10   1.294E+11   4.261E+13   1.594E+06
                                                                          2.117E+06   8.371E+01   1.919E+08   5.370E+07   1.464E+08   3.346E+06
                                                                          2.041E+07   0.000E+00   5.102E+09   3.207E-01   1.388E+09   1.703E+09
                                                                          6.887E+00   7.363E+08   2.756E+08   7.000E+06   1.396E+08   3.206E+08
                                                                          6.335E+08   4.497E+08   4.113E+10   1.940E+10   1.483E+12   2.382E+10
                                                                          1.209E+10   6.262E+05   1.693E+06   0.000E+00   0.000E+00   1.736E+11
                                                                          1.160E+11   4.686E+07   4.684E-02   8.406E+11   3.772E+10   2.527E+10
                                                                          2.054E+13   1.369E+13   6.849E+12   4.329E+12   2.322E+12   1.244E+06
                                                                          4.738E+05   1.860E+08   8.365E+07   1.957E+05   5.688E+08   2.877E+07
                                                                          1.093E+06   1.739E+10   8.037E+09   4.653E+09   3.627E+07   8.824E+10
                                                                          3.591E+09   6.749E+09   1.773E+00   8.868E+09   7.412E+00   1.434E+08
                                                                          1.468E+01   1.335E+07   1.219E+07   5.189E+08   2.931E+07   2.395E+00
                                                                          1.305E+08   3.032E+08   4.738E+07   5.830E+08   2.350E+07   7.220E+13
                                                                          3.594E+13   1.363E+11   2.050E+11   1.956E+07   4.281E+07   2.576E+11
                                                                          7.408E+10   3.707E+10   6.473E+02   8.617E+02   1.210E+05   2.625E+04
                                                                          3.462E+13   5.623E+10   1.125E+11   1.140E+06   1.727E+06   0.000E+00
     3    28  3  -1    6.284905E+01   2.170E+12
     4    28  3  -1    6.284242E+01   2.627E+12
     5    28  3  -1    6.283406E+01   4.576E+11
     3    29  3  -1    6.286328E+01   4.593E+11   7.903E+12   5.993E+14   2.831E+12   1.416E+12   8.848E+10   1.349E+10   1.369E+10   7.063E+10
                                                                          9.909E+09   1.449E+01   6.374E+07   1.766E+07   2.678E+04   7.406E+03
                                                                          1.204E+07   9.959E+06   2.138E+14   1.425E+14   1.573E+04   1.242E+08
                                                                          2.567E+08   1.495E+06   3.899E+10   7.946E+10   4.259E+13   4.239E+07
                                                                          5.654E+07   0.000E+00   1.905E+08   5.246E+07   1.075E+07   3.415E+06
                                                                          1.274E+04   0.000E+00   5.221E+09   0.000E+00   1.438E+09   1.696E+09
                                                                          0.000E+00   7.576E+08   2.848E+08   7.928E+06   1.405E+08   3.192E+08
                                                                          6.501E+08   4.613E+08   2.895E+10   1.367E+10   1.452E+12   2.241E+10
                                                                          1.267E+10   6.371E+05   1.640E+06   0.000E+00   0.000E+00   1.741E+11
                                                                          1.163E+11   4.718E+07   0.000E+00   8.184E+11   3.787E+10   2.537E+10
                                                                          0.000E+00   1.664E+10   2.999E+09   2.837E+13   1.378E+13   1.319E+01
                                                                          0.000E+00   1.931E+08   8.662E+07   7.508E+04   5.990E+08   3.010E+07
                                                                          1.396E+06   1.838E+10   8.478E+09   4.904E+09   4.028E+07   9.818E+10
                                                                          9.000E+07   4.544E+08   0.000E+00   8.338E+02   1.511E+05   5.761E+04
                                                                          2.990E+05   7.128E+09   1.776E+10   2.208E+05   2.115E+10   4.089E+04
                                                                          1.256E+04   4.370E+08   2.458E+09   7.013E+04   1.232E+10   7.653E+13
                                                                          3.868E+13   1.332E+11   2.004E+11   2.011E+07   4.168E+07   2.538E+11
                                                                          8.316E+10   4.194E+10   6.942E+05   9.172E+05   1.278E+04   1.234E+01
                                                                          3.458E+13   5.994E+10   1.194E+11   1.128E+06   1.709E+06   0.000E+00
     5    29  3  -1    6.284830E+01   2.175E+12
     6    30  3  -1    6.286639E+01   5.057E+11   7.884E+12   5.954E+14   1.301E+12   1.076E+11   4.793E+02   1.933E+10   3.553E+09   7.350E+08
                                                                          3.752E+09   1.623E+10   5.238E+10   2.221E+09   0.000E+00   3.451E+10
                                                                          7.087E+09   9.964E+09   1.165E+06   6.518E+10   9.950E+07   5.817E+09
                                                                          4.571E+07   8.951E+09   4.163E+11   1.913E+13   1.792E+10   1.700E+14
                                                                          0.000E+00   5.031E+00   2.259E+00   1.109E+10   6.789E+13   6.685E+09
                                                                          4.461E+13   0.000E+00   5.071E+01   6.441E+01   1.119E+08   1.121E+08
                                                                          4.854E-01   1.110E+00   1.733E+09   6.376E+08   0.000E+00   9.638E+08
                                                                          3.614E+00   2.168E+07   5.398E+13   3.191E+12   2.913E+11   2.027E+12
                                                                          4.070E+13   7.308E+09   1.519E+10   1.186E+05   0.000E+00   1.099E+03
                                                                          1.556E+10   1.790E+04   1.315E+04   8.862E+10   2.953E+02   4.241E+09
                                                                          4.911E+05   3.379E+08   1.317E+07   2.601E+11   4.208E+10   5.636E+12
                                                                          0.000E+00   9.272E-01   1.538E+13   1.163E+13   3.039E+00   7.637E+12
                                                                          1.363E+12   9.231E+01   2.311E+12   4.619E+11   1.892E+12   4.539E+09
                                                                          6.155E+05   1.640E+05   0.000E+00   6.153E+05   0.000E+00   3.109E+06
                                                                          0.000E+00   7.181E+06   4.499E+07   3.785E+07   2.394E+07   0.000E+00
                                                                          1.423E+06   3.716E+05   2.599E+06   7.659E+05   4.339E+07   5.411E+10
                                                                          8.190E+10   6.167E+13   1.246E+03   2.423E+13   1.109E+13   1.304E+13
                                                                          9.118E+08   1.039E+11   5.805E+10   0.000E+00   6.299E+09   4.136E+09
                                                                          3.206E+10   3.432E+13   6.292E+08   4.020E+10   0.000E+00   0.000E+00
     9    30  3  -1    6.285343E+01   1.463E+12
    11    30  3  -1    6.284444E+01   3.048E+11
    14    30  3  -1    6.284188E+01   3.545E+11
     6    31  3  -1    6.286646E+01   1.118E+12   7.884E+12   5.954E+14   1.132E+12   2.769E+11   8.148E+09   6.037E+09   8.831E+09   2.421E+09
                                                                          2.384E+09   1.874E+10   3.917E+10   3.608E+09   2.116E+10   2.439E+10
                                                                          6.286E+09   7.671E+09   1.881E+10   4.566E+10   5.259E+10   2.135E+10
                                                                          2.458E+10   9.068E+09   3.083E+12   1.575E+13   1.826E+10   1.240E+14
                                                                          4.459E+13   5.962E+00   9.032E+09   3.743E+09   5.845E+13   1.839E+09
                                                                          5.719E+13   1.484E+01   3.407E+07   4.663E+01   1.823E+09   1.278E+09
                                                                          4.906E-01   5.708E+08   1.196E+09   3.631E+07   3.799E+08   5.411E+08
                                                                          1.833E+08   6.868E+08   4.569E+13   1.013E+13   2.907E+11   1.464E+13
                                                                          2.840E+13   1.123E+10   1.137E+10   8.559E+04   3.289E+04   4.238E+09
                                                                          1.163E+10   1.065E+05   1.546E+04   8.872E+10   1.172E+09   3.141E+09
                                                                          1.923E+06   3.068E+08   3.552E+07   2.324E+11   6.971E+10   5.030E+12
                                                                          0.000E+00   1.468E+13   7.230E+12   2.836E+12   2.626E+12   3.504E+12
                                                                          5.460E+12   1.042E+12   2.592E+12   5.854E+11   6.962E+11   1.533E+10
                                                                          1.679E+05   7.062E+05   0.000E+00   3.866E+05   2.099E+06   2.664E+06
                                                                          1.117E+07   1.128E+07   3.974E+07   2.521E+07   3.194E+07   2.694E+06
                                                                          1.846E+06   8.690E+05   2.970E+06   3.409E+06   3.820E+07   7.156E+10
                                                                          6.459E+10   4.430E+13   1.702E+13   1.843E+13   1.739E+13   1.291E+13
                                                                          3.314E+10   7.168E+10   4.253E+10   1.550E+10   5.316E+09   5.145E+09
                                                                          3.211E+10   2.363E+13   1.070E+13   2.894E+10   1.129E+10   0.000E+00
     8    31  3  -1    6.285617E+01   2.059E+12
     9    31  3  -1    6.285350E+01   1.138E+11
    10    31  3  -1    6.285162E+01   5.007E+11
    11    31  3  -1    6.284451E+01   1.216E+12
    12    31  3  -1    6.284345E+01   2.610E+12
    13    31  3  -1    6.284226E+01   7.608E+10
    14    31  3  -1    6.284195E+01   1.734E+11
     6    32  3  -1    6.286660E+01   9.190E+11   7.884E+12   5.955E+14   7.602E+11   6.502E+11   1.579E+10   6.312E+09   9.120E+08   4.739E+09
                                                                          9.494E+08   2.425E+10   9.983E+09   6.683E+09   6.790E+10   2.016E+09
                                                                          4.529E+09   2.606E+09   5.698E+10   6.151E+09   1.685E+11   5.566E+10
                                                                          7.875E+10   9.324E+09   8.972E+12   8.280E+12   1.895E+10   2.226E+13
                                                                          1.430E+14   9.796E+09   1.920E+09   4.292E+08   3.762E+13   6.188E+07
                                                                          8.495E+13   4.888E+01   1.494E+09   3.722E+07   1.550E+08   4.973E+08
                                                                          7.949E+08   2.902E+08   1.510E+09   7.771E+06   1.495E+09   4.829E+07
                                                                          2.351E+09   4.331E+08   2.739E+13   2.545E+13   2.899E+11   4.250E+13
                                                                          1.237E+12   1.893E+10   3.847E+09   1.966E+04   9.872E+04   1.476E+10
                                                                          1.632E+09   2.223E+06   4.318E+06   8.893E+10   4.004E+09   4.342E+08
                                                                          3.848E+06   2.497E+08   7.195E+07   1.713E+11   1.307E+11   4.122E+12
                                                                          1.656E+13   3.588E+12   8.408E+11   1.028E+11   1.055E+13   4.596E+12
                                                                          5.831E+11   2.888E+12   6.402E+10   1.995E+12   3.752E+11   6.288E+07
                                                                          5.531E+04   1.031E+06   2.590E+04   1.418E+05   8.179E+06   7.310E+04
                                                                          3.376E+07   1.794E+07   2.832E+07   1.864E+04   5.340E+07   8.654E+06
                                                                          3.104E+06   1.627E+06   3.219E+06   8.863E+06   2.571E+07   1.101E+11
