SEQ='MG'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 350076065.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   342599.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   383777.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   859545.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   869257.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 355659006.2 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    75   635    2S2 2P5 3S1 3P2     (1)0( 0.0)  9090160.7*
    76   636    2S2 2P5 3S1 3P2     (3)1( 2.0)  9111911.3*
    77   637    2S2 2P5 3S1 3P2     (3)1( 1.0)  9114129.0*
    78   638    2S2 2P5 3S1 3P2     (3)3( 2.0)  9123846.4*
    79   639    2S2 2P5 3S1 3P2     (1)3( 3.0)  9137243.6*
    80   640    2S2 2P5 3S2 3D1     (3)1( 2.0)  9139912.0*
    81   641    2S2 2P5 3S2 3D1     (3)3( 4.0)  9142252.0*
    82   642    2S2 2P5 3S2 3D1     (3)3( 3.0)  9146030.0*
    83   643    2S2 2P5 3S2 3D1     (3)1( 0.0)  9146148.4*
    84   644    2S2 2P5 3S1 3P2     (3)2( 1.0)  9154442.3*
    85   645    2S2 2P5 3S2 3D1     (1)2( 2.0)  9164763.3*
    86   646    2S2 2P5 3S2 3D1     (3)2( 3.0)  9173636.9*
    87   647    2S2 2P5 3S1 3P2     (3)1( 1.0)  9182775.0*
    88   648    2S2 2P5 3S1 3P2     (3)1( 2.0)  9215641.7*
    89   649    2S2 2P5 3S1 3P2     (3)1( 0.0)  9222457.9*
    90   650    2S2 2P5 3S2 3D1     (3)2( 1.0)  9227628.1*
    91   651    2S2 2P5 3S1 3P2     (1)1( 1.0)  9238113.7*
    92   652    2S2 2P5 3S1 3P2     (3)1( 0.0)  9240588.4*
    93   653    2S2 2P5 3S1 3P2     (3)2( 1.0)  9248937.7*
    94    27    2S2 2P5 3P3         (1)1( 1.0)  9254834.9*
    95    28    2S2 2P5 3P3         (3)2( 3.0)  9256654.9*
    96   654    2S2 2P5 3S1 3P2     (3)2( 2.0)  9260217.7*
    97    29    2S2 2P5 3P3         (3)2( 2.0)  9273768.1*
    98    30    2S2 2P5 3P3         (5)1( 3.0)  9276528.7*
    99    31    2S2 2P5 3P3         (3)1( 0.0)  9277602.9*
   100    32    2S2 2P5 3P3         (3)3( 4.0)  9279785.4*
   101    33    2S2 2P5 3P3         (3)1( 1.0)  9279886.5*
   102    34    2S2 2P5 3P3         (5)1( 2.0)  9282618.7*
   103    35    2S2 2P5 3P3         (1)3( 3.0)  9286072.4*
   104    36    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  9292156.2*
   105    37    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  9297539.0*
   106    38    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  9309939.1*
   107    39    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  9327564.3*
   108   655    2S2 2P5 3S1 3P2     (1)1( 1.0)  9330311.2*
   109   656    2S2 2P5 3S2 3D1     (3)3( 2.0)  9331703.5*
   110    40    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  9341845.3*
   111    41    2S2 2P5 3P3         (3)2( 1.0)  9342330.5*
   112    42    2S2 2P5 3P3         (1)2( 2.0)  9343936.7*
   113   657    2S2 2P5 3S2 3D1     (1)3( 3.0)  9347022.9*
   114   658    2S2 2P5 3S2 3D1     (3)2( 2.0)  9347993.3*
   115    43    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  9348112.2*
   116    44    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  9349329.6*
   117    45    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  9353439.2*
   118    47    2S2 2P5 3P3         (3)0( 1.0)  9360089.9*
   119    48    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  9363309.3*
   120    49    2S2 2P5 3P3         (3)2( 3.0)  9369732.0*
   121    50    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  9373489.1*
   122    51    2S2 2P5 3P3         (3)2( 2.0)  9375235.7*
   123    52    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  9383087.3*
   124    53    2S2 2P5 3P3         (3)1( 0.0)  9383327.6*
   125    54    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  9384492.7*
   126    55    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  9386680.3*
   127    56    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  9390535.5*
   128    57    2S2 2P5 3P3         (5)1( 1.0)  9391272.7*
   129    58    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  9394511.2*
   130    59    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  9396696.5*
   131   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  9400225.7*
   132    60    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  9400273.1*
   133    61    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  9400915.9*
   134    62    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  9407148.2*
   135    63    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9407623.1*
   136    64    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  9409783.7*
   137    65    2S2 2P5 3P3         (3)1( 2.0)  9412985.6*
   138    66    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  9417005.9*
   139    67    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9420320.5*
   140    68    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  9421452.4*
   141    69    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  9427194.6*
   142    70    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  9432183.5*
   143    71    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  9435515.2*
   144    72    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  9435555.1*
   145    73    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  9436497.4*
   146    74    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  9437692.6*
   147    75    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  9438213.0*
   148    76    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  9442828.9*
   149    77    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  9445778.6*
   150    78    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  9446174.2*
   151    79    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9447231.4*
   152    80    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  9451233.8*
   153    81    2S2 2P5 3P3         (3)3( 2.0)  9454555.9*
   154    82    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9454571.0*
   155    83    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  9460036.2*
   156    84    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  9462979.0*
   157    85    2S2 2P5 3P3         (1)1( 1.0)  9467026.3*
   158    86    2S2 2P5 3P3         (3)1( 2.0)  9467425.6*
   159    87    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  9467554.1*
   160    88    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9469266.4*
   161    89    2S2 2P5 3P3         (3)3( 3.0)  9471367.4*
   162    90    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  9476294.4*
   163    91    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  9478425.1*
   164    92    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  9479999.2*
   165    93    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9480982.3*
   166    94    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  9482510.8*
   167    95    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9484218.7*
   168    96    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9487991.3*
   169    97    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  9493746.8*
   170    98    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  9496798.9*
   171    99    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  9502295.6*
   172   100    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9505028.8*
   173   101    2S2 2P5 3P3         (3)1( 1.0)  9511266.4*
   174   102    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  9516254.5*
   175   103    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  9522821.7*
   176   104    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  9526448.6*
   177   105    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  9530582.7*
   178   106    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  9541524.5*
   179   107    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  9546288.5*
   180   108    2S2 2P5 3P3         (3)2( 1.0)  9550901.2*
   181   109    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9554522.1*
   182   110    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  9559604.6*
   183   111    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  9565132.7*
   184   112    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  9565774.6*
   185   113    2S2 2P5 3P3         (3)1( 1.0)  9565815.9*
   186   114    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  9569003.3*
   187   115    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  9570176.8*
   188   116    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  9572047.6*
   189   117    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  9574120.3*
   190   118    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  9575254.8*
   191   119    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9582220.7*
   192   120    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  9582344.4*
   193   121    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9582794.0*
   194   122    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  9583442.5*
   195   123    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  9583489.3*
   196   124    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  9586448.4*
   197   125    2S2 2P5 3P3         (1)2( 2.0)  9588524.4*
