SEQ='MG'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 142868335.0  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   173269.9 
     3          2S2 2P6 3P1         (2)1( 1.5)   178218.2 
     4          2S2 2P6 3D1         (2)2( 1.5)   420625.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   421472.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 144375947.0 NLVL=  1116
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   637    2S2 2P5 3S1 3P2     (1)2( 2.0)  3061232.5*
    77   638    2S2 2P5 3S1 3P2     (3)1( 0.0)  3064986.4*
    78   639    2S2 2P5 3S1 3P2     (1)1( 1.0)  3068772.5*
    79   640    2S2 2P5 3S1 3P2     (3)2( 1.0)  3082454.5*
    80   641    2S2 2P5 3S2 3D1     (3)1( 2.0)  3082723.8*
    81   642    2S2 2P5 3S1 3P2     (1)0( 0.0)  3083398.6*
    82   643    2S2 2P5 3S2 3D1     (3)1( 1.0)  3085634.3*
    83   644    2S2 2P5 3S2 3D1     (3)1( 0.0)  3092208.1*
    84   645    2S2 2P5 3S1 3P2     (3)2( 2.0)  3093866.2*
    85   646    2S2 2P5 3S1 3P2     (3)0( 1.0)  3095923.7*
    86   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  3109506.1*
    87   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  3112911.9*
    88   649    2S2 2P5 3S2 3D1     (3)3( 2.0)  3119533.4*
    89   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  3122424.8*
    90   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  3122639.4*
    91   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  3123331.1*
    92   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  3125829.9*
    93   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  3135384.7*
    94   655    2S2 2P5 3S2 3D1     (3)2( 2.0)  3143838.0*
    95   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  3146774.2*
    96    27    2S2 2P5 3P3         (1)1( 1.0)  3148424.9*
    97    28    2S2 2P5 3P3         (3)2( 3.0)  3148427.6*
    98   657    2S2 2P5 3S2 3D1     (1)2( 2.0)  3150533.5*
    99    29    2S2 2P5 3P3         (3)2( 2.0)  3151467.1*
   100    30    2S2 2P5 3P3         (3)3( 4.0)  3154795.6*
   101   658    2S2 2P5 3S1 3P2     (1)1( 1.0)  3155529.7*
   102    31    2S2 2P5 3P3         (3)1( 1.0)  3155942.9*
   103    32    2S2 2P5 3P3         (3)1( 0.0)  3156157.0*
   104    33    2S2 2P5 3P3         (5)1( 3.0)  3156879.1*
   105    34    2S2 2P5 3P3         (1)3( 3.0)  3158994.1*
   106    35    2S2 2P5 3P3         (5)1( 2.0)  3161173.2*
   107    36    2S2 2P5 3P3         (3)2( 1.0)  3171106.8*
   108    37    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  3174950.0*
   109    38    2S2 2P5 3P3         (3)3( 2.0)  3175162.9*
   110    39    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  3176156.2*
   111    40    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  3178608.6*
   112   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  3181274.7*
   113    41    2S2 2P5 3P3         (3)1( 2.0)  3182117.2*
