SEQ='NE'     NUCCHG=11                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  35150581.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    87          1S2 2S1 2P5 3D1     (2)3( 2.5)   698160.7 
    88          1S2 2S1 2P5 3D1     (4)2( 3.5)   698680.9 
    89          1S2 2S1 2P5 3D1     (4)2( 0.5)   698718.4 
    90          1S2 2S1 2P5 3D1     (4)2( 1.5)   698870.7 
    91          1S2 2S1 2P5 3D1     (4)2( 2.5)   698939.5 
    92          1S2 2S1 2P5 3D1     (2)2( 1.5)   699494.1 
    93          1S2 2S1 2P5 3D1     (2)2( 2.5)   699766.4 
    94          1S2 2S1 2P5 3D1     (2)1( 0.5)   699815.8 
    95          1S2 2S1 2P5 3D1     (2)1( 1.5)   700800.0 
    96          1S2 2S1 2P5 3S1     (2)1( 1.5)   718270.2 
    97          1S2 2S1 2P5 3S1     (2)1( 0.5)   718371.1 
    98          1S2 2S1 2P5 3P1     (2)2( 1.5)   756415.1 
    99          1S2 2S1 2P5 3P1     (2)2( 2.5)   756571.6 
   100          1S2 2S1 2P5 3P1     (2)1( 0.5)   759510.8 
   101          1S2 2S1 2P5 3P1     (2)1( 1.5)   759586.2 
   102          1S2 2S1 2P5 3P1     (2)0( 0.5)   771053.0 
   103          1S2 2S1 2P5 3D1     (2)1( 1.5)   806964.8 
   104          1S2 2S1 2P5 3D1     (2)1( 0.5)   806972.5 
   105          1S2 2S1 2P5 3D1     (2)3( 2.5)   807968.9 
   106          1S2 2S1 2P5 3D1     (2)3( 3.5)   807978.3 
   107          1S2 2S1 2P5 3D1     (2)2( 1.5)   809805.0 
   108          1S2 2S1 2P5 3D1     (2)2( 2.5)   809812.8 
   109          1S2 2P6 3S1         (2)0( 0.5)   976284.2 
   110          1S2 2P6 3P1         (2)1( 0.5)  1012356.4 
   111          1S2 2P6 3P1         (2)1( 1.5)  1012545.4 
   112          1S2 2P6 3D1         (2)2( 1.5)  1061317.0 
   113          1S2 2P6 3D1         (2)2( 2.5)  1061330.3 
   114          1S1 2S2 2P6         (2)0( 0.5)  8436878.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  35449999.7 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)   187881.9 
     3     3    1S2 2S2 2P5 3S1     (3)1( 1.0)   188959.4 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)   189939.6 
     5     5    1S2 2S2 2P5 3S1     (1)1( 1.0)   192450.0 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)   215533.6 
     7     7    1S2 2S2 2P5 3P1     (3)2( 3.0)   218415.3 
     8     8    1S2 2S2 2P5 3P1     (3)2( 2.0)   218944.3 
     9     9    1S2 2S2 2P5 3P1     (3)2( 1.0)   219619.1 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)   220612.4 
    11    11    1S2 2S2 2P5 3P1     (1)1( 1.0)   221379.6 
    12    12    1S2 2S2 2P5 3P1     (3)1( 0.0)   221950.1 
    13    13    1S2 2S2 2P5 3P1     (1)2( 2.0)   221992.4 
    14    14    1S2 2S2 2P5 3P1     (3)1( 1.0)   222171.1 
    15    15    1S2 2S2 2P5 3D1     (3)1( 0.0)   251452.4 
    16    16    1S2 2S2 2P5 3D1     (3)1( 1.0)   251571.0 
    17    17    1S2 2S2 2P5 3D1     (3)3( 4.0)   251838.2 
    18    18    1S2 2S2 2P5 3D1     (3)1( 2.0)   251867.7 
    19    19    1S2 2S2 2P5 3D1     (3)3( 3.0)   251907.3 
    20    20    1S2 2S2 2P5 3D1     (1)2( 2.0)   252342.7 
    21    21    1S2 2S2 2P5 3D1     (3)2( 3.0)   252370.7 
    22    22    1S2 2S2 2P5 3D1     (1)1( 1.0)   252428.6 
    23    23    1S2 2S2 2P5 3D1     (3)3( 2.0)   254105.5 
    24    24    1S2 2S2 2P5 3D1     (1)3( 3.0)   254146.7 
    25    25    1S2 2S2 2P5 3D1     (3)2( 2.0)   254203.2 
    26    26    1S2 2S2 2P5 3D1     (3)2( 1.0)   254416.3 
    27    27    1S2 2S2 2P5 3P1     (1)0( 0.0)   254732.7 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0)  8620184.9*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0)  8624200.2*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0)  8651595.0*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0)  8651630.2*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0)  8651705.3*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0)  8653350.8*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0)  8686260.3*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0)  8686260.4*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0)  8686263.8*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0)  8686264.0*
  
NA 2     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
