SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63077169.6  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)    69139.9 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)    69711.6 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   158171.7 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   158213.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  63343080.2 NLVL=   160
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    69   902   +1S1 3S1 3P1 3D1     (3)3( 2.0) 15064767.4*
    70   903   +1S1 3S1 3P1 3D1     (3)3( 3.0) 15065001.8*
    71   904   +1S1 3S1 3P1 3D1     (3)3( 4.0) 15065344.3*
    72   905   +1S1 3S1 3P1 3D1     (1)2( 2.0) 15065996.8*
    73   906   +1S1 3S1 3P1 3D1     (1)3( 3.0) 15069743.3*
    74   907   +1S1 3S1 3P1 3D1     (3)1( 2.0) 15087419.1*
    75   908   +1S1 3S1 3P1 3D1     (3)1( 1.0) 15087466.2*
    76   909   +1S1 3S1 3P1 3D1     (3)1( 0.0) 15087490.0*
    77   910   +1S1 3S1 3P1 3D1     (3)3( 4.0) 15094625.1*
    78   911   +1S1 3S1 3P1 3D1     (3)3( 3.0) 15094707.6*
    79   912   +1S1 3S1 3P1 3D1     (3)3( 2.0) 15094771.8*
    80   913   +1S1 3S1 3P1 3D1     (1)1( 1.0) 15097401.3*
    81   914   +1S1 3S1 3P1 3D1     (1)3( 3.0) 15100188.3*
    82   489    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 15104634.3*
    83   490    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 15104728.7*
    84   491    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 15104898.4*
    85   492    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 15105742.8*
    86   915   +1S1 3S1 3P1 3D1     (3)2( 1.0) 15110695.3*
    87   916   +1S1 3S1 3P1 3D1     (3)2( 2.0) 15110740.7*
    88   917   +1S1 3S1 3P1 3D1     (3)2( 3.0) 15110838.0*
    89   918   +1S1 3S1 3P1 3D1     (1)2( 2.0) 15111609.0*
    90   919   +1S1 3S1 3P1 3D1     (3)1( 0.0) 15112441.6*
    91   920   +1S1 3S1 3P1 3D1     (3)1( 1.0) 15112452.5*
    92   921   +1S1 3S1 3P1 3D1     (3)1( 2.0) 15112485.4*
    93   922   +1S1 3S1 3P1 3D1     (1)1( 1.0) 15113015.4*
    94   498    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 15113714.8*
    95   499    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 15113983.0*
    96   500    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 15114130.1*
    97   501    1S1 2S2 2P6 3P2 3D1 (5)2( 0.0) 15115223.1*
    98   502    1S1 2S2 2P6 3P2 3D1 (5)2( 1.0) 15115228.3*
    99   503    1S1 2S2 2P6 3P2 3D1 (5)2( 2.0) 15115257.2*
   100   505    1S1 2S2 2P6 3P2 3D1 (5)2( 4.0) 15115432.5*
   101   506    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 15117111.8*
   102   507    1S1 2S2 2P6 3P2 3D1 (1)1( 1.0) 15117213.3*
   103   508    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 15117350.1*
   104   509    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 15117667.2*
   105   510    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 15122401.1*
   106   511    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 15122481.4*
   107   512    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 15122620.8*
   108   513    1S1 2S2 2P6 3P2 3D1 (3)4( 3.0) 15123974.1*
   109   514    1S1 2S2 2P6 3P2 3D1 (3)4( 4.0) 15123995.3*
   110   515    1S1 2S2 2P6 3P2 3D1 (3)4( 5.0) 15124020.6*
   111   516    1S1 2S2 2P6 3P2 3D1 (1)4( 4.0) 15125799.0*
   112   517    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 15132358.8*
   113   518    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 15132407.0*
   114   519    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 15132438.4*
   115   520    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 15135110.0*
   116   524    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 15142657.8*
   117   525    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 15142877.5*
   118   526    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 15142984.2*
   119   527    1S1 2S2 2P6 3P2 3D1 (3)0( 1.0) 15147148.3*
   120   528    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 15147469.6*
   121   529    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 15147581.9*
   122   530    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 15147690.1*
   123   531    1S1 2S2 2P6 3P2 3D1 (1)0( 0.0) 15148989.0*
   124   532    1S1 2S2 2P6 3P2 3D1 (1)1( 1.0) 15149584.6*
   125   538    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 15154818.4*
   126   539    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 15154873.8*
   127   540    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 15154951.7*
   128   541    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 15155560.8*
   129   542    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 15155773.9*
   130   543    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 15156145.9*
   131   544    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 15159307.0*
   132   545    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 15159332.4*
   133   546    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 15159359.8*
   134   547    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 15159418.9*
   135   551    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 15161325.8*
   136   552    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 15167618.6*
   137   553    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 15167629.8*
   138   554    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 15167652.0*
   139   555    1S1 2S2 2P6 3S1 3D2 (3)4( 3.0) 15181270.7*
   140   556    1S1 2S2 2P6 3S1 3D2 (3)4( 4.0) 15181274.9*
   141   557    1S1 2S2 2P6 3S1 3D2 (3)4( 5.0) 15181280.3*
   142   558    1S1 2S2 2P6 3S1 3D2 (3)2( 1.0) 15181645.8*
   143   559    1S1 2S2 2P6 3S1 3D2 (3)2( 2.0) 15181653.6*
   144   560    1S1 2S2 2P6 3S1 3D2 (3)2( 3.0) 15181663.3*
   145   561    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 15187120.3*
   146   562    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 15187216.9*
   147   563    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 15187451.4*
   148   564    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 15187466.3*
   149   565    1S1 2S2 2P6 3S1 3D2 (1)4( 4.0) 15189984.9*
   150   566    1S1 2S2 2P6 3S1 3D2 (1)2( 2.0) 15193179.5*
   151   567    1S1 2S2 2P6 3S1 3D2 (3)0( 1.0) 15204905.9*
   152   568    1S1 2S2 2P6 3S1 3D2 (1)3( 3.0) 15206051.4*
   153   569    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 15207939.7*
   154   570    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 15207941.1*
   155   571    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 15207943.2*
   156   572    1S1 2S2 2P6 3S1 3D2 (1)0( 0.0) 15213617.7*
   157   573    1S1 2S2 2P6 3S1 3D2 (1)1( 1.0) 15221949.8*
   158   574    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 15223767.8*
   159   575    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 15223803.3*
   160   576    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 15223870.8*
  
SI 3     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5
     2   472  3  -1    1.355920E+02   1.008E+12   3.897E+13   7.237E+14   2.643E+07   9.711E+10   4.418E+10   5.341E+04   1.854E+05
    10   472  3  -1    1.340930E+02   3.370E+09
    12   472  3  -1    1.340822E+02   3.500E+09
     1   473  3  -1    1.355953E+02   3.090E+12   3.897E+13   7.236E+14   6.216E+07   6.902E+10   7.141E+10   9.524E+06   2.964E+05
     2   473  3  -1    1.355938E+02   7.506E+11
     3   473  3  -1    1.355907E+02   7.479E+11
     9   473  3  -1    1.340963E+02   2.835E+09
    11   473  3  -1    1.340940E+02   7.775E+09
    12   473  3  -1    1.340840E+02   3.783E+09
    13   473  3  -1    1.340833E+02   4.882E+09
     2   474  3  -1    1.355974E+02   1.303E+12   3.897E+13   7.236E+14   1.792E+08   2.393E+10   1.152E+11   1.798E+06   2.852E+07
     3   474  3  -1    1.355943E+02   2.249E+12
     9   474  3  -1    1.340999E+02   4.653E+09
    10   474  3  -1    1.340984E+02   3.020E+09
    13   474  3  -1    1.340869E+02   2.847E+09
    14   474  3  -1    1.340862E+02   7.754E+09
     1   475  3  -1    1.356940E+02   1.437E+12   3.686E+13   7.136E+14   3.781E+11   4.578E+10   7.907E+09   1.010E+11   3.474E+05
     2   475  3  -1    1.356925E+02   3.810E+11
     3   475  3  -1    1.356894E+02   1.702E+10
     5   475  3  -1    1.343379E+02   8.728E+09
    10   475  3  -1    1.341935E+02   1.521E+09
    11   475  3  -1    1.341927E+02   6.794E+09
     2   476  3  -1    1.356926E+02   1.076E+12   3.686E+13   7.136E+14   3.782E+11   2.843E+10   2.531E+10   6.085E+10   4.006E+10
     3   476  3  -1    1.356895E+02   2.429E+11
     5   476  3  -1    1.343380E+02   1.647E+09
     6   476  3  -1    1.343362E+02   9.220E+09
    10   476  3  -1    1.341936E+02   5.293E+09
     3   477  3  -1    1.356896E+02   1.244E+12   3.686E+13   7.136E+14   3.784E+11   7.042E+06   5.367E+10   1.138E+06   1.007E+11
     7   477  3  -1    1.343341E+02   1.034E+10
     9   477  3  -1    1.341952E+02   6.065E+09
     4   478  3  -1    1.354587E+02   1.505E+12   3.686E+13   7.294E+14   3.902E+11   1.436E+11   2.882E+11   5.500E+10   8.280E+10
     8   478  3  -1    1.343877E+02   2.090E+10
    15   478  3  -1    1.340523E+02   9.712E+09
     1   479  3  -1    1.359507E+02   3.530E+11   3.703E+13   7.146E+14   2.064E+11   2.796E+10   3.781E+10   3.056E+05   8.222E+07
     2   479  3  -1    1.359491E+02   3.504E+11
     3   479  3  -1    1.359460E+02   3.445E+11
     9   479  3  -1    1.344516E+02   4.029E+09
    10   479  3  -1    1.344502E+02   3.559E+09
     2   480  3  -1    1.360367E+02   7.427E+10   3.642E+13   7.269E+14   3.520E+10   5.134E+11   1.725E+10   1.360E+10   8.333E+09
     4   480  3  -1    1.357270E+02   5.872E+10
    10   480  3  -1    1.345377E+02   4.968E+09
    12   480  3  -1    1.345269E+02   1.088E+10
    16   480  3  -1    1.342708E+02   3.732E+09
     1   481  3  -1    1.360414E+02   2.382E+11   3.629E+13   7.249E+14   2.045E+08   2.673E+11   2.608E+11   1.366E+10   1.279E+10
     2   481  3  -1    1.360398E+02   5.678E+10
     3   481  3  -1    1.360367E+02   7.486E+10
     4   481  3  -1    1.357302E+02   9.495E+09
     9   481  3  -1    1.345423E+02   5.062E+09
    10   481  3  -1    1.345409E+02   1.802E+09
    11   481  3  -1    1.345400E+02   1.242E+10
    12   481  3  -1    1.345301E+02   1.255E+10
    13   481  3  -1    1.345293E+02   1.807E+10
     2   482  3  -1    1.360429E+02   1.045E+11   3.628E+13   7.251E+14   9.196E+06   8.730E+10   4.434E+11   8.011E+09   1.853E+10
     3   482  3  -1    1.360398E+02   1.936E+11
     9   482  3  -1    1.345453E+02   6.754E+09
    10   482  3  -1    1.345439E+02   4.587E+09
    13   482  3  -1    1.345324E+02   8.838E+09
    14   482  3  -1    1.345317E+02   2.737E+10
     2   483  3  -1    1.360466E+02   1.345E+10   3.691E+13   7.350E+14   1.711E+11   2.026E+10   5.290E+11   2.282E+09   2.305E+09
     4   483  3  -1    1.357369E+02   2.806E+11
    10   483  3  -1    1.345476E+02   1.009E+09
    12   483  3  -1    1.345368E+02   2.214E+09
    16   483  3  -1    1.342807E+02   1.899E+10
     4   484  3  -1    1.357651E+02   3.180E+12   3.916E+13   7.096E+14   4.621E+07   5.310E+10   1.321E+11   1.032E+10   1.640E+10
     8   484  3  -1    1.346941E+02   1.073E+10
    16   484  3  -1    1.343089E+02   9.342E+09
     1   485  3  -1    1.362025E+02   2.958E+11   3.623E+13   7.063E+14   9.564E+10   9.343E+09   2.557E+09   4.808E+11   1.234E+07
     2   485  3  -1    1.362009E+02   7.580E+10
     3   485  3  -1    1.361978E+02   3.187E+09
     5   485  3  -1    1.348463E+02   1.010E+10
    11   485  3  -1    1.347011E+02   1.148E+10
    12   485  3  -1    1.346912E+02   2.049E+10
    13   485  3  -1    1.346904E+02   3.872E+09
     2   486  3  -1    1.362011E+02   2.217E+11   3.623E+13   7.063E+14   9.555E+10   5.894E+09   6.001E+09   2.917E+11   1.893E+11
     3   486  3  -1    1.361979E+02   4.659E+10
     5   486  3  -1    1.348464E+02   2.014E+09
     6   486  3  -1    1.348447E+02   1.063E+10
    10   486  3  -1    1.347021E+02   1.045E+10
    12   486  3  -1    1.346913E+02   4.598E+09
    13   486  3  -1    1.346906E+02   1.865E+10
    14   486  3  -1    1.346899E+02   2.766E+09
     3   487  3  -1    1.361981E+02   2.511E+11   3.623E+13   7.063E+14   9.540E+10   1.744E+08   1.170E+10   1.399E+07   4.812E+11
     6   487  3  -1    1.348449E+02   1.484E+09
     7   487  3  -1    1.348426E+02   1.200E+10
     9   487  3  -1    1.347037E+02   1.144E+10
    13   487  3  -1    1.346908E+02   2.387E+09
    14   487  3  -1    1.346901E+02   2.221E+10
     4   488  3  -1    1.359112E+02   3.547E+11   3.629E+13   7.121E+14   8.500E+10   4.121E+10   8.520E+10   1.747E+11   2.702E+11
     8   488  3  -1    1.348402E+02   9.498E+09
    15   488  3  -1    1.345048E+02   4.681E+10
    16   488  3  -1    1.344550E+02   2.538E+10
     5   489  3  -1    1.358278E+02   2.925E+11   3.669E+13   7.049E+14   4.571E+04   8.264E+07   9.056E+07   2.209E+11   5.549E+10
     6   489  3  -1    1.358260E+02   2.355E+10
    10   489  3  -1    1.356834E+02   9.305E+09
    12   489  3  -1    1.356726E+02   5.082E+11
    13   489  3  -1    1.356719E+02   5.310E+10
     5   490  3  -1    1.358286E+02   3.060E+10   3.670E+13   7.048E+14   1.170E+04   6.471E+07   1.885E+08   1.656E+11   1.114E+11
     6   490  3  -1    1.358268E+02   2.678E+11
     7   490  3  -1    1.358246E+02   1.753E+10
     8   490  3  -1    1.358026E+02   3.663E+10
     9   490  3  -1    1.356857E+02   1.051E+10
    13   490  3  -1    1.356728E+02   4.477E+11
    14   490  3  -1    1.356721E+02   3.798E+10
     6   491  3  -1    1.358284E+02   2.519E+10   3.669E+13   7.049E+14   0.000E+00   4.473E+07   1.455E+08   2.927E+10   2.477E+11
     7   491  3  -1    1.358261E+02   2.967E+11
    14   491  3  -1    1.356736E+02   4.843E+11
     5   492  3  -1    1.358379E+02   1.316E+10   3.723E+13   7.019E+14   3.607E+04   1.312E+09   2.403E+09   9.639E+10   2.101E+11
     6   492  3  -1    1.358361E+02   6.693E+09
     8   492  3  -1    1.358119E+02   1.706E+12
    13   492  3  -1    1.356820E+02   7.179E+09
    15   492  3  -1    1.354765E+02   1.471E+10
     3   498  3  -1    1.372620E+02   2.866E+09   3.650E+13   7.068E+14   6.187E+04   1.126E+06   1.646E+06   4.569E+10   1.109E+11
     9   498  3  -1    1.357676E+02   3.602E+11
