SEQ='MG'     NUCCHG=24                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 214515355.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   241099.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   254448.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   591848.7 
     5          2S2 2P6 3D1         (2)2( 2.5)   594586.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 217352206.6 NLVL=  1119
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   636    2S2 2P5 3S1 3P2     (3)2( 3.0)  5092747.2*
    77   637    2S2 2P5 3S1 3P2     (1)2( 2.0)  5093371.6*
    78   638    2S2 2P5 3S1 3P2     (3)1( 0.0)  5107207.0*
    79   639    2S2 2P5 3S2 3D1     (3)1( 1.0)  5109178.6*
    80   640    2S2 2P5 3S2 3D1     (3)1( 2.0)  5133098.4*
    81   641    2S2 2P5 3S1 3P2     (3)2( 1.0)  5134924.3*
    82   642    2S2 2P5 3S1 3P2     (3)1( 0.0)  5144818.6*
    83   643    2S2 2P5 3S1 3P2     (1)0( 0.0)  5149430.9*
    84   644    2S2 2P5 3S1 3P2     (3)1( 1.0)  5153588.1*
    85   645    2S2 2P5 3S2 3D1     (3)3( 4.0)  5157039.1*
    86   646    2S2 2P5 3S1 3P2     (3)0( 1.0)  5157537.1*
    87   647    2S2 2P5 3S2 3D1     (3)3( 3.0)  5161735.1*
    88   648    2S2 2P5 3S1 3P2     (3)2( 2.0)  5162201.9*
    89   649    2S2 2P5 3S2 3D1     (1)2( 2.0)  5172744.2*
    90   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  5177267.8*
    91   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  5179626.5*
    92   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  5180566.6*
    93   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  5186299.6*
    94   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  5203306.2*
    95    27    2S2 2P5 3P3         (1)1( 1.0)  5222561.5*
    96    28    2S2 2P5 3P3         (3)2( 3.0)  5223292.7*
    97    29    2S2 2P5 3P3         (3)2( 2.0)  5229145.5*
    98   655    2S2 2P5 3S2 3D1     (3)3( 2.0)  5230485.0*
    99    30    2S2 2P5 3P3         (5)1( 3.0)  5233019.7*
   100    31    2S2 2P5 3P3         (3)3( 4.0)  5233433.8*
   101    32    2S2 2P5 3P3         (3)1( 0.0)  5233737.6*
   102    33    2S2 2P5 3P3         (3)1( 1.0)  5234046.7*
   103   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  5237142.5*
   104    34    2S2 2P5 3P3         (1)3( 3.0)  5238974.7*
   105   657    2S2 2P5 3S2 3D1     (3)2( 2.0)  5240287.7*
   106   658    2S2 2P5 3S1 3P2     (1)1( 1.0)  5241004.0*
   107    35    2S2 2P5 3P3         (5)1( 2.0)  5241048.6*
   108    36    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  5255648.8*
   109    37    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  5258255.7*
   110    38    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  5263558.5*
   111    39    2S2 2P5 3P3         (3)2( 1.0)  5267031.9*
   112    40    2S2 2P5 3P3         (3)3( 2.0)  5271342.2*
   113    41    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  5271504.1*
   114    42    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  5281332.7*
   115   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  5281365.5*
   116    44    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  5286451.1*
   117    45    2S2 2P5 3P3         (3)0( 1.0)  5288581.4*
   118    46    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  5289329.4*
   119    47    2S2 2P5 3P3         (3)2( 3.0)  5290230.4*
   120    48    2S2 2P5 3P3         (5)1( 1.0)  5290685.3*
   121    49    2S2 2P5 3P3         (3)1( 2.0)  5291228.0*
   122    50    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  5293139.1*
   123    51    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  5300777.2*
   124    52    2S2 2P5 3P3         (3)2( 2.0)  5305387.7*
   125    53    2S2 2P5 3P3         (3)3( 3.0)  5306365.0*
   126    54    2S2 2P5 3P3         (3)1( 0.0)  5310373.1*
   127    55    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  5313066.2*
   128    56    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  5314549.9*
   129    57    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  5314900.5*
   130    58    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  5316252.5*
