SEQ='NA'     NUCCHG=22                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 174490870.0  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 176834115.0 NLVL=   199
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    78    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  4309272.2*
    73    79    1S2 2S2 2P5 3P1 3D1 (4)4( 2.5)  4313946.6*
    74    81    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  4320127.1*
    75    84    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  4329982.1*
    76    85    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  4331142.8*
    77    86    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  4336246.7*
    78    87    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  4337373.4*
    79    89    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  4340820.9*
    80    90    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  4341453.8*
    81    91    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  4348362.9*
    82    93    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  4351266.4*
    83    94    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  4355008.6*
    84    96    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  4356496.0*
    85    97    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  4358591.1*
    86    99    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  4362013.4*
    87   101    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  4365389.8*
    88   102    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  4366205.6*
    89   103    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  4368283.8*
    90   104    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  4372353.7*
    91   105    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  4373354.2*
    92   108    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  4376793.6*
    93   109    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  4384587.2*
    94   110    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  4388830.1*
    95   111    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  4397038.2*
    96   112    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  4401409.9*
    97   113    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  4406867.2*
    98   114    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  4407909.8*
    99   115    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  4409036.4*
   100   116    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  4409983.7*
   101   118    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  4410455.7*
   102   120    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  4414145.1*
   103   121    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  4422421.2*
   104   122    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  4426900.2*
   105   124    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  4436323.9*
   106   125    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  4439805.0*
   107   126    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  4447633.0*
   108   127    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  4452489.8*
   109   128    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  4465302.9*
   110   130    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  4481678.7*
   111   131    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  4487426.2*
   112   132    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  4494470.5*
   113   133    1S2 2S1 2P6 3S2     (2)0( 0.5)  4510359.4*
   114   134    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  4543531.6*
   115   135    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  4547264.7*
   116   136    1S2 2S2 2P5 3D2     (4)2( 0.5)  4609668.9*
   117   137    1S2 2S2 2P5 3D2     (4)2( 1.5)  4611226.7*
   118   138    1S2 2S2 2P5 3D2     (4)2( 2.5)  4613865.7*
   119   139    1S2 2S2 2P5 3D2     (4)2( 3.5)  4618458.8*
   120   142    1S2 2S2 2P5 3D2     (4)4( 3.5)  4629488.0*
   121   143    1S2 2S2 2P5 3D2     (2)3( 2.5)  4631339.1*
   122   145    1S2 2S2 2P5 3D2     (2)4( 3.5)  4637748.2*
   123   146    1S2 2S2 2P5 3D2     (4)1( 2.5)  4638582.8*
   124   147    1S2 2S2 2P5 3D2     (4)3( 1.5)  4640468.9*
   125   148    1S2 2S2 2P5 3D2     (2)2( 2.5)  4644444.4*
   126   149    1S2 2S1 2P6 3S1 3P1 (4)1( 0.5)  4644582.1*
   127   150    1S2 2S2 2P5 3D2     (4)1( 1.5)  4645635.9*
   128   151    1S2 2S1 2P6 3S1 3P1 (4)1( 1.5)  4647916.4*
   129   152    1S2 2S2 2P5 3D2     (4)1( 0.5)  4651335.9*
   130   153    1S2 2S1 2P6 3S1 3P1 (4)1( 2.5)  4653458.2*
   131   154    1S2 2S2 2P5 3D2     (4)3( 2.5)  4654495.4*
   132   155    1S2 2S2 2P5 3D2     (2)3( 3.5)  4655324.3*
   133   157    1S2 2S2 2P5 3D2     (2)2( 1.5)  4657283.3*
   134   158    1S2 2S2 2P5 3D2     (2)1( 0.5)  4658424.1*
   135   159    1S2 2S2 2P5 3D2     (2)3( 3.5)  4660981.1*
   136   160    1S2 2S2 2P5 3D2     (4)4( 2.5)  4667254.6*
   137   162    1S2 2S2 2P5 3D2     (2)2( 1.5)  4675614.2*
   138   163    1S2 2S2 2P5 3D2     (4)2( 2.5)  4676993.6*
   139   164    1S2 2S2 2P5 3D2     (4)2( 3.5)  4677355.6*
   140   165    1S2 2S2 2P5 3D2     (4)3( 3.5)  4682532.1*
   141   166    1S2 2S2 2P5 3D2     (2)1( 1.5)  4685029.3*
   142   168    1S2 2S2 2P5 3D2     (4)2( 0.5)  4693709.3*
   143   169    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  4699827.6*
   144   170    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  4701302.4*
   145   171    1S2 2S2 2P5 3D2     (2)4( 3.5)  4703194.9*
   146   172    1S2 2S2 2P5 3D2     (2)3( 2.5)  4704105.2*
   147   173    1S2 2S2 2P5 3D2     (4)2( 1.5)  4706179.0*
   148   174    1S2 2S2 2P5 3D2     (2)3( 2.5)  4707926.3*
   149   175    1S2 2S2 2P5 3D2     (2)0( 0.5)  4713846.4*
   150   176    1S2 2S2 2P5 3D2     (4)0( 1.5)  4714422.5*
   151   177    1S2 2S2 2P5 3D2     (2)2( 2.5)  4718280.3*
   152   179    1S2 2S2 2P5 3D2     (2)1( 1.5)  4738218.2*
   153   180    1S2 2S2 2P5 3D2     (2)1( 0.5)  4739419.1*
   154   181    1S2 2S2 2P5 3D2     (2)3( 3.5)  4740064.3*
   155   182    1S2 2S2 2P5 3D2     (2)2( 2.5)  4744927.3*
   156   183    1S2 2S2 2P5 3D2     (2)2( 1.5)  4751512.8*
   157   184    1S2 2S2 2P5 3D2     (2)1( 1.5)  4755825.2*
   158   185    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  4760184.3*
   159   186    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  4767245.7*
   160   187    1S2 2S2 2P5 3D2     (2)1( 0.5)  4794100.2*
   161   188    1S2 2S1 2P6 3P2     (4)1( 0.5)  4883690.0*
   162   189    1S2 2S1 2P6 3P2     (2)2( 2.5)  4885780.6*
   163   190    1S2 2S1 2P6 3P2     (2)2( 1.5)  4886199.7*
   164   191    1S2 2S1 2P6 3P2     (4)1( 1.5)  4888830.2*
   165   192    1S2 2S1 2P6 3P2     (4)1( 2.5)  4895505.1*
   166   193    1S2 2S1 2P6 3P2     (2)1( 0.5)  4907536.3*
   167   194    1S2 2S1 2P6 3P2     (2)1( 1.5)  4915077.5*
   168   199    1S2 2S1 2P6 3P2     (2)0( 0.5)  4970778.5*
   169   200    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  5024206.6*
   170   201    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  5025080.6*
   171   202    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  5064256.9*
   172   203    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  5064852.2*
   173   204    1S2 2S1 2P6 3P1 3D1 (4)3( 1.5)  5141873.2*
   174   205    1S2 2S1 2P6 3P1 3D1 (4)3( 2.5)  5144161.0*
   175   206    1S2 2S1 2P6 3P1 3D1 (4)3( 3.5)  5147619.1*
   176   208    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  5162937.8*
   177   209    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  5164067.0*
   178   210    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  5174240.0*
   179   211    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  5179985.7*
   180   212    1S2 2S1 2P6 3P1 3D1 (4)1( 2.5)  5189688.9*
   181   213    1S2 2S1 2P6 3P1 3D1 (4)2( 1.5)  5189877.2*
   182   214    1S2 2S1 2P6 3P1 3D1 (4)2( 0.5)  5190442.5*
   183   215    1S2 2S1 2P6 3P1 3D1 (4)1( 0.5)  5194660.7*
   184   216    1S2 2S1 2P6 3P1 3D1 (4)1( 1.5)  5195330.7*
   185   217    1S2 2S1 2P6 3P1 3D1 (4)2( 2.5)  5195965.2*
   186   218    1S2 2S1 2P6 3P1 3D1 (4)2( 3.5)  5196158.7*
   187   219    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  5218935.3*
   188   220    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  5222657.3*
   189   221    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  5225014.7*
   190   222    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  5225761.0*
   191   223    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  5270662.2*
   192   224    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  5270984.9*
   193   225    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  5282179.0*
   194   226    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  5282759.4*
   195   236    1S2 2S1 2P6 3D2     (2)2( 1.5)  5502149.4*
   196   237    1S2 2S1 2P6 3D2     (2)2( 2.5)  5502387.1*
   197   240    1S2 2S1 2P6 3D2     (2)1( 0.5)  5525602.0*
   198   241    1S2 2S1 2P6 3D2     (2)1( 1.5)  5526524.3*
   199   242    1S2 2S1 2P6 3D2     (2)0( 0.5)  5575507.5*
  
TI12     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1
     1     6  3  -1    3.311808E+01   4.222E+11   2.120E+11   1.819E+12   1.819E+12
     4     6  3  -1    2.850852E+01   8.524E+07
     5     6  3  -1    2.849247E+01   5.608E+08
     1     7  3  -1    3.358926E+01   2.287E+11   2.297E+11   1.787E+12   1.787E+12
     4     7  3  -1    2.897970E+01   4.711E+08
     2     8  3  -1    3.254355E+01   1.659E+09   3.950E+09   2.198E+07   2.198E+07
     3     8  3  -1    3.245725E+01   3.120E+09
     3     9  3  -1    3.265569E+01   3.468E+10   2.313E+10   8.300E+09   8.300E+09
     2    11  3  -1    3.279228E+01   1.937E+11   9.778E+10   3.579E+10   3.579E+10
     3    11  3  -1    3.270598E+01   9.246E+08
     2    12  3  -1    3.287034E+01   1.062E+11   1.150E+11   4.144E+09   4.144E+09
     3    12  3  -1    3.278404E+01   4.358E+09
     3    13  3  -1    3.282704E+01   1.239E+11   8.260E+10   4.329E+10   4.329E+10
     2    14  3  -1    3.293923E+01   1.286E+11   1.955E+11   7.696E+10   7.696E+10
     3    14  3  -1    3.285293E+01   1.312E+11
     2    15  3  -1    3.304208E+01   8.241E+09   1.549E+11   1.065E+11   1.065E+11
     3    15  3  -1    3.295578E+01   7.286E+10
     2    16  3  -1    3.321861E+01   4.814E+10   1.173E+11   1.220E+11   1.220E+11
     3    16  3  -1    3.313231E+01   3.449E+10
     2    17  3  -1    3.326504E+01   2.306E+11   1.158E+11   4.919E+10   4.919E+10
     3    17  3  -1    3.317874E+01   4.837E+08
     2    18  3  -1    3.331478E+01   1.693E+11   1.915E+11   8.392E+12   8.392E+12
     3    18  3  -1    3.322848E+01   9.696E+09
     2    19  3  -1    3.333800E+01   6.672E+10   1.494E+11   1.013E+08   1.013E+08
     3    19  3  -1    3.325170E+01   1.159E+11
     3    20  3  -1    3.327842E+01   2.563E+11   1.710E+11   6.085E+10   6.085E+10
     3    21  3  -1    3.348637E+01   2.336E+11   1.685E+11   4.462E+11   4.462E+11
     2    22  3  -1    3.367610E+01   2.144E+11   2.217E+11   9.605E+10   9.605E+10
     3    22  3  -1    3.358980E+01   9.993E+10
     2    23  3  -1    3.403274E+01   4.853E+10   2.483E+11   7.913E+12   7.913E+12
     3    23  3  -1    3.394644E+01   9.260E+10
     2    24  3  -1    3.407087E+01   5.057E+10   1.690E+11   2.413E+11   2.413E+11
     3    24  3  -1    3.398457E+01   1.301E+11
     1    25  3  -1    3.659389E+01   4.196E+10   6.671E+10   1.238E+13   1.238E+13
     4    25  3  -1    3.198434E+01   1.062E+10
     1    26  3  -1    3.660631E+01   2.309E+10   2.832E+10   4.838E+12   4.838E+12
     4    26  3  -1    3.199676E+01   3.026E+09
     5    26  3  -1    3.198071E+01   5.146E+09
     4    27  3  -1    3.202537E+01   1.469E+08   1.020E+10   2.544E+09   2.544E+09
     5    27  3  -1    3.200932E+01   8.423E+07
     2    28  3  -1    3.479147E+01   1.738E+11   3.594E+11   3.850E+14   3.850E+14
     3    28  3  -1    3.470517E+01   8.293E+10
     5    29  3  -1    3.209403E+01   2.291E+10   1.910E+10   5.531E+11   5.531E+11
     1    30  3  -1    3.672552E+01   3.334E+10   3.482E+10   6.846E+12   6.846E+12
     4    30  3  -1    3.211596E+01   3.870E+09
     5    30  3  -1    3.209992E+01   4.880E+09
     1    31  3  -1    3.678873E+01   9.049E+09   2.339E+10   4.224E+12   4.224E+12
     4    31  3  -1    3.217918E+01   2.643E+09
     5    32  3  -1    3.222170E+01   2.986E+09   1.348E+10   4.095E+10   4.095E+10
     4    33  3  -1    3.224547E+01   1.604E+10   1.673E+10   1.979E+11   1.979E+11
     5    33  3  -1    3.222943E+01   3.581E+09
     4    34  3  -1    3.225630E+01   1.805E+09   1.149E+10   2.391E+10   2.391E+10
     5    34  3  -1    3.224025E+01   1.155E+08
     1    35  3  -1    3.687121E+01   7.542E+08   1.133E+10   1.582E+10   1.582E+10
     4    35  3  -1    3.226166E+01   8.662E+07
     1    36  3  -1    3.713307E+01   1.108E+10   2.864E+10   9.349E+12   9.349E+12
     4    36  3  -1    3.252352E+01   3.116E+09
     1    37  3  -1    3.718393E+01   1.322E+10   2.256E+10   3.153E+12   3.153E+12
     4    37  3  -1    3.257438E+01   8.933E+09
     1    38  3  -1    3.723226E+01   1.868E+09   1.845E+10   6.399E+12   6.399E+12
     5    38  3  -1    3.260666E+01   5.126E+09
     4    39  3  -1    3.262368E+01   1.051E+10   1.515E+10   3.086E+11   3.086E+11
     5    39  3  -1    3.260763E+01   5.878E+09
     1    40  3  -1    3.729270E+01   1.783E+08   1.152E+10   6.618E+11   6.618E+11
     4    40  3  -1    3.268315E+01   2.488E+08
     1    41  3  -1    3.734680E+01   5.434E+09   2.024E+10   3.295E+12   3.295E+12
     4    41  3  -1    3.273724E+01   1.176E+08
     5    41  3  -1    3.272119E+01   4.343E+09
     1    42  3  -1    3.739296E+01   1.092E+10   2.637E+10   6.973E+10   6.973E+10
     4    42  3  -1    3.278341E+01   3.565E+08
     4    43  3  -1    3.278547E+01   1.434E+09   1.266E+10   2.942E+10   2.942E+10
     5    43  3  -1    3.276942E+01   1.690E+09
     1    44  3  -1    3.743705E+01   4.377E+10   4.066E+10   4.094E+11   4.094E+11
     4    44  3  -1    3.282750E+01   3.694E+09
     5    44  3  -1    3.281145E+01   2.214E+08
     4    45  3  -1    3.290250E+01   1.111E+09   3.105E+10   4.036E+08   4.036E+08
     5    45  3  -1    3.288645E+01   1.588E+10
     1    47  3  -1    3.752663E+01   1.571E+11   9.081E+10   1.076E+12   1.076E+12
     5    47  3  -1    3.290103E+01   1.701E+09
     5    48  3  -1    3.293719E+01   3.454E+10   4.088E+10   1.466E+11   1.466E+11
     4    49  3  -1    3.300764E+01   9.985E+10   9.005E+10   2.284E+11   2.284E+11
     5    49  3  -1    3.299159E+01   8.203E+09
     1    50  3  -1    3.768734E+01   4.887E+10   1.384E+11   6.990E+09   6.990E+09
     4    50  3  -1    3.307778E+01   9.497E+10
     5    50  3  -1    3.306173E+01   2.226E+09
     1    51  3  -1    3.770940E+01   2.803E+09   1.673E+11   3.250E+13   3.250E+13
     4    51  3  -1    3.309984E+01   7.579E+10
     5    52  3  -1    3.309913E+01   1.149E+11   1.016E+11   4.222E+11   4.222E+11
     4    53  3  -1    3.314355E+01   1.484E+11   2.212E+11   5.701E+11   5.701E+11
     5    53  3  -1    3.312751E+01   1.068E+11
     1    54  3  -1    3.785744E+01   1.689E+12   1.070E+12   7.005E+12   7.005E+12
     5    54  3  -1    3.323183E+01   1.409E+11
     1    55  3  -1    3.785906E+01   1.146E+12   1.173E+12   1.832E+13   1.832E+13
     4    55  3  -1    3.324950E+01   5.415E+09
     1    56  3  -1    3.804515E+01   1.336E+11   1.813E+11   6.147E+13   6.147E+13
     4    56  3  -1    3.343559E+01   6.536E+09
     5    56  3  -1    3.341955E+01   6.107E+10
     4    57  3  -1    3.347763E+01   8.015E+10   8.412E+10   2.458E+11   2.458E+11
     5    57  3  -1    3.346159E+01   1.546E+10
     1    58  3  -1    3.810117E+01   8.141E+09   1.520E+11   6.583E+13   6.583E+13
     4    58  3  -1    3.349161E+01   6.470E+10
     1    59  3  -1    3.810387E+01   2.574E+11   3.773E+11   3.563E+13   3.563E+13
     4    59  3  -1    3.349431E+01   2.321E+11
     4    60  3  -1    3.354166E+01   8.103E+10   2.075E+11   2.425E+11   2.425E+11
     5    60  3  -1    3.352562E+01   1.374E+11
     5    61  3  -1    3.353004E+01   1.715E+11   1.440E+11   1.720E+12   1.720E+12
     5    62  3  -1    3.362940E+01   1.646E+11   1.497E+11   5.658E+12   5.658E+12
     4    63  3  -1    3.376192E+01   1.313E+11   2.566E+11   2.446E+12   2.446E+12
     5    63  3  -1    3.374587E+01   1.411E+11
     1    64  3  -1    3.842207E+01   2.254E+12   2.348E+12   2.702E+14   2.702E+14
     4    64  3  -1    3.381251E+01   3.076E+10
     1    65  3  -1    3.843323E+01   1.015E+13   5.193E+12   1.795E+14   1.795E+14
     4    65  3  -1    3.382368E+01   3.305E+10
     5    65  3  -1    3.380763E+01   3.920E+10
     1    66  3  -1    3.855462E+01   1.688E+12   1.052E+12   8.353E+13   8.353E+13
     4    66  3  -1    3.394506E+01   9.246E+10
     5    66  3  -1    3.392901E+01   5.730E+10
     1    67  3  -1    3.868106E+01   6.224E+12   6.334E+12   6.440E+13   6.440E+13
     4    67  3  -1    3.407151E+01   4.424E+10
     4    68  3  -1    3.416015E+01   2.672E+10   1.664E+11   4.342E+12   4.342E+12
     5    68  3  -1    3.414410E+01   1.207E+11
     2    69  3  -1    3.706509E+01   1.728E+08   2.756E+09   2.770E+07   2.770E+07
     1    70  3  -1    3.896771E+01   5.201E+12   2.709E+12   8.254E+13   8.254E+13
     4    70  3  -1    3.435815E+01   7.895E+10
     2    71  3  -1    3.710305E+01   1.685E+10   1.298E+10   3.052E+10   3.052E+10
     3    71  3  -1    3.701675E+01   1.848E+09
     3    72  3  -1    3.707735E+01   2.330E+10   1.875E+10   5.206E+10   5.206E+10
     3    77  3  -1    3.726904E+01   5.496E+10   4.542E+10   6.188E+11   6.188E+11
     2    78  3  -1    3.738726E+01   1.636E+11   1.046E+11   5.004E+11   5.004E+11
     3    78  3  -1    3.730096E+01   1.254E+10
     3    79  3  -1    3.734356E+01   1.997E+09   4.857E+09   4.541E+10   4.541E+10
     2    81  3  -1    3.748618E+01   1.096E+11   1.633E+11   7.789E+08   7.789E+08
     3    81  3  -1    3.739988E+01   1.944E+10
     2    84  3  -1    3.757598E+01   7.601E+09   7.946E+10   3.563E+11   3.563E+11
     3    84  3  -1    3.748968E+01   2.507E+10
     3    85  3  -1    3.750026E+01   4.845E+09   2.582E+10   5.501E+08   5.501E+08
     3    86  3  -1    3.754677E+01   1.600E+10   3.147E+10   3.742E+10   3.742E+10
     2    87  3  -1    3.764334E+01   6.378E+11   3.405E+11   7.752E+11   7.752E+11
     3    87  3  -1    3.755704E+01   1.015E+10
     3    89  3  -1    3.758845E+01   1.504E+11   1.186E+11   3.498E+11   3.498E+11
     2    90  3  -1    3.768052E+01   1.370E+11   2.059E+11   2.494E+11   2.494E+11
     3    90  3  -1    3.759422E+01   1.213E+11
     2    91  3  -1    3.774348E+01   1.055E+10   2.870E+10   2.294E+09   2.294E+09
     3    91  3  -1    3.765718E+01   2.896E+08
     3    93  3  -1    3.768364E+01   3.530E+11   2.471E+11   3.526E+11   3.526E+11
