SEQ='NA'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  62720095.9  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63076909.1 NLVL=   181
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    73    86    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1031408.1*
    74    90    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1033712.3*
    75    91    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1034021.1*
    76    92    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  1037541.7*
    77    93    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  1038187.4*
    78    94    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  1038247.4*
    79    95    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  1039838.3*
    80    97    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  1041122.6*
    81    98    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  1041801.8*
    82    99    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  1042369.8*
    83   100    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1042914.3*
    84   101    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1043102.3*
    85   105    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  1045339.1*
    86   106    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1046235.7*
    87   107    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  1046371.1*
    88   108    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  1046843.8*
    89   109    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  1048485.4*
    90   110    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1050221.5*
    91   111    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  1050624.3*
    92   112    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  1051129.6*
    93   113    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1051373.6*
    94   115    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1052348.2*
    95   116    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  1052887.7*
    96   117    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1053248.6*
    97   118    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1053286.7*
    98   119    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1055969.7*
    99   120    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  1056018.8*
   100   121    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1056751.7*
   101   122    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1059068.0*
   102   123    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1059750.0*
   103   126    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  1077183.3*
   104   127    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1080001.9*
   105   129    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1082721.3*
   106   130    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1083904.6*
   107   131    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  1087160.7*
   108   132    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1088196.8*
   109   133    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1118146.7*
   110   134    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1118458.6*
   111   135    1S2 2S2 2P5 3D2     (4)2( 0.5)  1135704.2*
   112   136    1S2 2S2 2P5 3D2     (4)2( 1.5)  1135979.9*
   113   137    1S2 2S2 2P5 3D2     (4)2( 2.5)  1136472.0*
   114   138    1S2 2S2 2P5 3D2     (4)2( 3.5)  1137283.7*
   115   141    1S2 2S2 2P5 3D2     (4)4( 3.5)  1139388.5*
   116   143    1S2 2S2 2P5 3D2     (4)4( 2.5)  1140322.8*
