SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63076954.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    69764.0 
     3          2S2 2P6 3P1         (2)1( 1.5)    70231.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   158402.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   158438.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63342701.4 NLVL=   981
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   646    2S2 2P5 3S1 3P2     (3)0( 1.0)   926787.9*
    77   647    2S2 2P5 3S2 3D1     (3)3( 4.0)   929114.0*
    78   648    2S2 2P5 3S2 3D1     (3)3( 3.0)   930134.1*
    79   649    2S2 2P5 3S2 3D1     (3)3( 2.0)   931843.7*
    80   650    2S2 2P5 3S2 3D1     (3)2( 3.0)   932732.3*
    81   651    2S2 2P5 3S2 3D1     (3)2( 1.0)   933925.2*
    82   652    2S2 2P5 3S2 3D1     (3)2( 2.0)   935760.9*
    83   653    2S2 2P5 3S2 3D1     (1)3( 3.0)   936812.1*
    84   654    2S2 2P5 3S2 3D1     (1)1( 1.0)   937679.5*
    85   655    2S2 2P5 3S2 3D1     (1)2( 2.0)   937729.1*
    86    27    2S2 2P5 3P3         (3)2( 3.0)   940826.0*
    87    28    2S2 2P5 3P3         (3)2( 2.0)   941570.2*
    88    29    2S2 2P5 3P3         (3)2( 1.0)   941724.1*
    89    30    2S2 2P5 3P3         (3)3( 4.0)   943463.7*
    90   656    2S2 2P5 3S1 3P2     (3)1( 0.0)   943789.4*
    91   657    2S2 2P5 3S1 3P2     (3)1( 1.0)   944453.0*
    92    31    2S2 2P5 3P3         (3)3( 3.0)   945146.3*
    93    32    2S2 2P5 3P3         (1)1( 1.0)   945637.3*
    94   658    2S2 2P5 3S1 3P2     (3)1( 2.0)   945760.2*
    95    33    2S2 2P5 3P3         (3)1( 0.0)   946733.0*
    96    34    2S2 2P5 3P3         (3)3( 2.0)   947567.0*
    97    35    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)   948198.6*
    98    36    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)   948393.3*
    99    37    2S2 2P5 3P3         (3)1( 1.0)   948582.7*
   100    38    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)   948847.6*
   101    39    2S2 2P5 3P3         (3)1( 2.0)   949417.8*
   102    40    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)   949536.2*
   103    41    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)   950504.3*
   104    42    2S2 2P5 3P3         (1)3( 3.0)   951037.0*
   105    45    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)   954150.6*
   106    46    2S2 2P5 3P3         (5)1( 2.0)   954805.7*
   107    47    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)   954885.0*
   108    48    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)   955646.5*
   109    49    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)   956416.4*
   110    50    2S2 2P5 3P3         (5)1( 1.0)   956439.2*
   111    51    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)   960711.3*
   112    52    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)   961273.3*
   113    53    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)   961515.1*
   114    54    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)   961600.0*
   115    55    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)   961767.2*
   116    56    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)   963943.3*
   117    57    2S2 2P5 3P3         (1)2( 2.0)   964947.7*
   118    58    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)   965347.0*
   119    59    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)   966875.5*
   120    60    2S2 2P5 3P3         (3)0( 1.0)   967063.8*
   121   659    2S2 2P5 3S1 3P2     (1)1( 1.0)   967305.7*
   122    61    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)   967825.9*
   123    62    2S2 2P5 3P3         (3)2( 3.0)   967940.9*
   124    63    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   968175.3*
   125    64    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)   968464.4*
   126    65    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   968655.5*
   127    66    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)   968658.4*
   128    67    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   968894.0*
   129    68    2S2 2P5 3P3         (3)1( 0.0)   968983.9*
   130    69    2S2 2P5 3P3         (3)1( 2.0)   969218.4*
   131    70    2S2 2P5 3P3         (3)1( 1.0)   969586.7*
   132    71    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)   969852.8*
