SEQ='NE'     NUCCHG=28                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 283807305.8  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    74          1S2 2S1 2P5 3P1     (4)1( 2.5)  9007566.4 
    75          1S2 2S1 2P5 3P1     (2)2( 1.5)  9012348.4 
    76          1S2 2S1 2P5 3S1     (2)1( 1.5)  9020009.8 
    77          1S2 2S1 2P5 3P1     (4)2( 0.5)  9025471.0 
    78          1S2 2S1 2P5 3S1     (2)1( 0.5)  9038689.0 
    79          1S2 2S1 2P5 3P1     (4)1( 1.5)  9082933.2 
    80          1S2 2S1 2P5 3P1     (2)0( 0.5)  9099627.1 
    81          1S2 2S1 2P5 3D1     (4)1( 0.5)  9233548.5 
    82          1S2 2S1 2P5 3D1     (4)1( 1.5)  9245660.4 
    83          1S2 2S1 2P5 3D1     (4)3( 4.5)  9258470.3 
    84          1S2 2S1 2P5 3D1     (4)1( 2.5)  9264709.8 
    85          1S2 2S1 2P5 3D1     (4)3( 3.5)  9268645.8 
    86          1S2 2S1 2P5 3P1     (2)2( 1.5)  9284816.1 
    87          1S2 2S1 2P5 3D1     (4)3( 2.5)  9295569.4 
    88          1S2 2S1 2P5 3D1     (2)3( 3.5)  9308250.9 
    89          1S2 2S1 2P5 3D1     (4)2( 1.5)  9317588.8 
    90          1S2 2S1 2P5 3P1     (2)2( 2.5)  9320186.2 
    91          1S2 2S1 2P5 3P1     (2)1( 0.5)  9323426.7 
    92          1S2 2S1 2P5 3P1     (2)1( 1.5)  9339082.8 
    93          1S2 2S1 2P5 3D1     (4)2( 0.5)  9353769.5 
    94          1S2 2S1 2P5 3D1     (2)2( 2.5)  9371181.2 
    95          1S2 2S1 2P5 3D1     (4)2( 2.5)  9375435.8 
    96          1S2 2S1 2P5 3D1     (4)2( 3.5)  9376127.6 
    97          1S2 2S1 2P5 3D1     (2)2( 1.5)  9382314.5 
    98          1S2 2S1 2P5 3D1     (4)3( 1.5)  9394748.3 
    99          1S2 2S1 2P5 3P1     (2)0( 0.5)  9399642.0 
   100          1S2 2S1 2P5 3D1     (2)1( 0.5)  9403191.8 
   101          1S2 2S1 2P5 3D1     (2)3( 2.5)  9450733.2 
   102          1S2 2S1 2P5 3D1     (2)1( 1.5)  9493067.4 
   103          1S2 2S1 2P5 3D1     (2)3( 2.5)  9677157.8 
   104          1S2 2S1 2P5 3D1     (2)3( 3.5)  9681477.1 
   105          1S2 2S1 2P5 3D1     (2)1( 1.5)  9694524.8 
   106          1S2 2S1 2P5 3D1     (2)1( 0.5)  9707590.1 
   107          1S2 2S1 2P5 3D1     (2)2( 2.5)  9711051.9 
   108          1S2 2S1 2P5 3D1     (2)2( 1.5)  9711155.3 
   109          1S2 2P6 3S1         (2)0( 0.5) 10033813.5 
   110          1S2 2P6 3P1         (2)1( 0.5) 10281849.0 
   111          1S2 2P6 3P1         (2)1( 1.5) 10318298.0 
   112          1S2 2P6 3D1         (2)2( 1.5) 10662804.7 
   113          1S2 2P6 3D1         (2)2( 2.5) 10672169.5 
   114          1S1 2S2 2P6         (2)0( 0.5) 60719697.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 296207137.1 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)  7119309.1 
     3     3    1S2 2S2 2P5 3S1     (1)1( 1.0)  7136985.7 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)  7271321.9 
     5     5    1S2 2S2 2P5 3S1     (3)1( 1.0)  7281885.0 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)  7399527.6 
     7     7    1S2 2S2 2P5 3P1     (3)2( 2.0)  7420687.4 
     8     8    1S2 2S2 2P5 3P1     (3)2( 3.0)  7443845.7 
     9     9    1S2 2S2 2P5 3P1     (1)1( 1.0)  7451886.7 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)  7469401.4 
    11    11    1S2 2S2 2P5 3P1     (3)1( 0.0)  7534351.7 
