SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86007310.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   104740.3 
     3          2S2 2P6 3P1         (2)1( 1.5)   105995.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   247928.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   248073.7 

   IC RESOLVED LEVEL INDEXING           BWNR=  86586122.6 NLVL=  1096
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   637    2S2 2P5 3S1 3P2     (3)2( 3.0)  1512963.1*
    77   638    2S2 2P5 3S1 3P2     (3)2( 2.0)  1514149.9*
    78   639    2S2 2P5 3S1 3P2     (1)1( 1.0)  1515037.3*
    79   640    2S2 2P5 3S1 3P2     (3)2( 1.0)  1521049.8*
    80   641    2S2 2P5 3S1 3P2     (1)2( 2.0)  1522445.9*
    81   642    2S2 2P5 3S1 3P2     (1)0( 0.0)  1523363.4*
    82   643    2S2 2P5 3S2 3D1     (3)1( 1.0)  1525101.0*
    83   644    2S2 2P5 3S2 3D1     (3)1( 2.0)  1527547.3*
    84   645    2S2 2P5 3S2 3D1     (3)1( 0.0)  1528126.9*
    85   646    2S2 2P5 3S1 3P2     (3)0( 1.0)  1529709.1*
    86   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  1540763.6*
    87   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  1542455.1*
    88   649    2S2 2P5 3S2 3D1     (3)3( 2.0)  1545487.4*
    89   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  1546969.6*
    90   651    2S2 2P5 3S2 3D1     (3)2( 1.0)  1550212.0*
    91   652    2S2 2P5 3S2 3D1     (3)2( 2.0)  1551120.6*
    92   653    2S2 2P5 3S1 3P2     (3)1( 0.0)  1552790.6*
    93   654    2S2 2P5 3S1 3P2     (3)1( 1.0)  1553754.5*
    94   655    2S2 2P5 3S2 3D1     (1)2( 2.0)  1554571.7*
    95   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  1554943.4*
    96    27    2S2 2P5 3P3         (3)2( 3.0)  1559284.4*
    97   657    2S2 2P5 3S2 3D1     (1)1( 1.0)  1559662.5*
    98   658    2S2 2P5 3S1 3P2     (3)1( 2.0)  1559752.5*
    99    28    2S2 2P5 3P3         (3)2( 1.0)  1560001.6*
   100    29    2S2 2P5 3P3         (3)2( 2.0)  1560627.7*
   101    30    2S2 2P5 3P3         (3)3( 4.0)  1563009.4*
   102    31    2S2 2P5 3P3         (3)1( 1.0)  1564790.6*
   103    32    2S2 2P5 3P3         (3)3( 3.0)  1565504.8*
   104    33    2S2 2P5 3P3         (3)1( 0.0)  1565675.0*
   105    35    2S2 2P5 3P3         (3)1( 2.0)  1568745.6*
   106    36    2S2 2P5 3P3         (1)1( 1.0)  1569659.0*
   107    37    2S2 2P5 3P3         (3)3( 2.0)  1571427.0*
   108    39    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1575141.1*
   109    40    2S2 2P5 3P3         (5)1( 2.0)  1575222.5*
   110    41    2S2 2P5 3P3         (1)3( 3.0)  1575243.0*
   111    42    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1576017.6*
   112    43    2S2 2P5 3P3         (5)1( 1.0)  1577164.7*
   113    44    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1577349.5*
   114    45    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1579224.6*
   115   659    2S2 2P5 3S1 3P2     (1)1( 1.0)  1583744.7*
   116    47    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  1584296.1*
   117    48    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  1585518.8*
   118    49    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  1586864.5*
   119    50    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  1588355.5*
   120    51    2S2 2P5 3P3         (3)0( 1.0)  1592010.3*
   121    52    2S2 2P5 3P3         (1)2( 2.0)  1593883.7*
   122    53    2S2 2P5 3P3         (3)2( 3.0)  1593997.1*
