SEQ='NA'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  73568537.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74085637.4 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    83    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1339579.4*
    73    84    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  1341590.1*
    74    85    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  1342044.1*
    75    86    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1342902.1*
    76    89    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1345209.2*
    77    91    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1346176.0*
    78    92    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  1347895.4*
    79    93    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  1348634.7*
    80    94    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  1348830.0*
    81    95    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  1350926.4*
    82    97    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  1352902.5*
    83    98    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  1353891.4*
    84    99    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  1354640.6*
    85   102    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1357266.6*
    86   103    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1357453.7*
    87   105    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  1358443.0*
    88   106    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  1359696.6*
    89   107    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  1359921.2*
    90   108    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  1361009.2*
    91   109    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  1362860.9*
    92   110    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1365379.9*
    93   111    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1365711.3*
    94   112    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  1366214.2*
    95   113    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1366978.7*
    96   115    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  1367994.4*
    97   116    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  1368294.0*
    98   117    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1369039.9*
    99   118    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1369481.0*
   100   119    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  1373252.6*
