SEQ='NA'     NUCCHG=24                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 211425415.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 214515340.3 NLVL=   198
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    78    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  5431094.2*
    73    79    1S2 2S2 2P5 3P1 3D1 (4)4( 2.5)  5438161.2*
    74    81    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  5443691.7*
    75    83    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  5453036.4*
    76    84    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  5455962.2*
    77    86    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  5462961.8*
    78    87    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  5464322.9*
    79    89    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  5467047.8*
    80    90    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  5470290.2*
    81    91    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  5476994.5*
    82    93    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  5482890.3*
    83    95    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  5487144.4*
    84    96    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  5487955.4*
    85    98    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  5496637.1*
    86    99    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  5497570.2*
    87   100    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  5499007.0*
    88   101    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  5499585.1*
    89   102    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  5509471.9*
    90   103    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  5511475.4*
    91   105    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  5512004.4*
    92   106    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  5515866.7*
    93   107    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  5519338.9*
    94   110    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  5531635.3*
    95   111    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  5542470.5*
    96   113    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  5549544.0*
    97   114    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  5554241.3*
    98   115    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  5558386.2*
    99   116    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  5558793.4*
   100   117    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  5562657.8*
   101   118    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  5562716.9*
   102   119    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  5562755.4*
   103   122    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  5570928.0*
   104   123    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  5575410.4*
   105   124    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  5591625.8*
   106   125    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  5591695.6*
   107   126    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  5595465.7*
   108   127    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  5606364.6*
   109   128    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  5622334.8*
   110   130    1S2 2S1 2P6 3S2     (2)0( 0.5)  5643154.0*
   111   131    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  5643993.7*
   112   132    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  5649544.3*
   113   133    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  5663142.7*
   114   134    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  5705785.2*
   115   135    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  5711404.3*
   116   136    1S2 2S2 2P5 3D2     (4)2( 0.5)  5777991.6*
   117   137    1S2 2S2 2P5 3D2     (4)2( 1.5)  5780063.7*
   118   138    1S2 2S2 2P5 3D2     (4)2( 2.5)  5783534.4*
   119   139    1S2 2S2 2P5 3D2     (4)2( 3.5)  5789576.7*
   120   142    1S2 2S1 2P6 3S1 3P1 (4)1( 0.5)  5800258.4*
   121   143    1S2 2S2 2P5 3D2     (4)4( 3.5)  5802139.2*
   122   144    1S2 2S2 2P5 3D2     (2)3( 2.5)  5803617.5*
   123   145    1S2 2S1 2P6 3S1 3P1 (4)1( 1.5)  5804878.8*
   124   147    1S2 2S2 2P5 3D2     (4)1( 2.5)  5811888.6*
   125   148    1S2 2S2 2P5 3D2     (2)4( 3.5)  5812333.8*
   126   149    1S2 2S1 2P6 3S1 3P1 (4)1( 2.5)  5814240.2*
   127   150    1S2 2S2 2P5 3D2     (4)3( 1.5)  5815011.8*
   128   151    1S2 2S2 2P5 3D2     (2)2( 2.5)  5820186.6*
   129   152    1S2 2S2 2P5 3D2     (4)1( 1.5)  5821506.4*
   130   153    1S2 2S2 2P5 3D2     (4)1( 0.5)  5827901.4*
