SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085659.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    87341.3 
     3          2S2 2P6 3P1         (2)1( 1.5)    88138.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   203504.5 
     5          2S2 2P6 3D1         (2)2( 2.5)   203581.9 

   IC RESOLVED LEVEL INDEXING           BWNR=  74495206.5 NLVL=  1082
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   638    2S2 2P5 3S1 3P2     (1)1( 1.0)  1201513.7*
    77   639    2S2 2P5 3S1 3P2     (3)2( 2.0)  1201699.9*
    78   640    2S2 2P5 3S1 3P2     (3)2( 1.0)  1206572.4*
    79   641    2S2 2P5 3S1 3P2     (1)2( 2.0)  1207638.9*
    80   642    2S2 2P5 3S1 3P2     (1)0( 0.0)  1208647.9*
    81   643    2S2 2P5 3S2 3D1     (3)1( 1.0)  1209866.5*
    82   644    2S2 2P5 3S2 3D1     (3)1( 2.0)  1211156.9*
    83   645    2S2 2P5 3S2 3D1     (3)1( 0.0)  1211817.9*
    84   646    2S2 2P5 3S1 3P2     (3)0( 1.0)  1213543.9*
    85   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  1221107.3*
    86   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  1222431.3*
    87   649    2S2 2P5 3S2 3D1     (3)3( 2.0)  1224749.9*
    88   650    2S2 2P5 3S2 3D1     (3)2( 3.0)  1225903.7*
    89   651    2S2 2P5 3S2 3D1     (3)2( 1.0)  1228196.0*
    90   652    2S2 2P5 3S2 3D1     (3)2( 2.0)  1229804.1*
    91   653    2S2 2P5 3S2 3D1     (1)3( 3.0)  1231676.5*
    92   654    2S2 2P5 3S2 3D1     (1)2( 2.0)  1231957.4*
    93   655    2S2 2P5 3S2 3D1     (1)1( 1.0)  1232860.9*
    94   656    2S2 2P5 3S1 3P2     (3)1( 0.0)  1234004.5*
    95    27    2S2 2P5 3P3         (3)2( 3.0)  1235967.1*
    96   657    2S2 2P5 3S1 3P2     (3)1( 1.0)  1236023.9*
    97    28    2S2 2P5 3P3         (3)2( 1.0)  1236817.8*
    98    29    2S2 2P5 3P3         (3)2( 2.0)  1236989.4*
    99   658    2S2 2P5 3S1 3P2     (3)1( 2.0)  1237899.1*
   100    30    2S2 2P5 3P3         (3)3( 4.0)  1239124.4*
   101    31    2S2 2P5 3P3         (1)1( 1.0)  1241045.0*
   102    32    2S2 2P5 3P3         (3)3( 3.0)  1241202.5*
   103    33    2S2 2P5 3P3         (3)1( 0.0)  1242129.7*
   104    34    2S2 2P5 3P3         (3)3( 2.0)  1244450.1*
   105    35    2S2 2P5 3P3         (3)1( 1.0)  1244791.0*
   106    36    2S2 2P5 3P3         (3)1( 2.0)  1245803.4*
   107    39    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1247877.6*
   108    40    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1248505.0*
   109    41    2S2 2P5 3P3         (1)3( 3.0)  1248709.3*
   110    42    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1249481.0*
   111    43    2S2 2P5 3P3         (5)1( 2.0)  1250284.6*
   112    44    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1250851.0*
   113    45    2S2 2P5 3P3         (5)1( 1.0)  1252170.4*
   114    47    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  1255246.4*
   115    48    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  1256211.5*
   116    49    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  1257240.8*
   117    50    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  1258325.5*
   118   659    2S2 2P5 3S1 3P2     (1)1( 1.0)  1260855.8*
   119    51    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  1263954.8*
   120    52    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  1264636.2*
   121    53    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  1265014.2*
   122    54    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  1265049.5*
   123    55    2S2 2P5 3P3         (3)0( 1.0)  1265334.2*
   124    56    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  1265364.6*
   125    57    2S2 2P5 3P3         (1)2( 2.0)  1265599.9*
   126    58    2S2 2P5 3P3         (3)2( 3.0)  1266903.6*
   127    59    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  1267756.0*
   128    60    2S2 2P5 3P3         (3)1( 0.0)  1268938.7*
   129    61    2S2 2P5 3P3         (3)1( 2.0)  1269162.1*
   130    62    2S2 2P5 3P3         (3)1( 1.0)  1269441.0*
   131    63    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  1269708.3*
   132    64    2S2 2P5 3P3         (3)2( 2.0)  1270992.7*
   133    65    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  1271121.7*
   134    66    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  1271845.9*
   135    67    2S2 2P5 3P3         (3)2( 1.0)  1271930.8*
   136    68    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  1272057.2*
   137    69    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  1272220.8*
   138    70    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1273113.5*
   139    71    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1273486.0*
   140    72    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1273663.4*
   141    73    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  1273707.5*
   142    74    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1275676.3*
   143    75    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1275710.5*
   144    76    2S2 2P5 3P3         (1)1( 1.0)  1276178.6*
   145    77    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1276554.2*
