SEQ='NA'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  97930480.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  98844272.0 NLVL=   190
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    84    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  2048899.2*
    73    85    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  2050428.2*
    74    86    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  2051489.8*
    75    87    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  2052159.7*
    76    89    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  2052900.8*
    77    90    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  2053717.9*
    78    91    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  2053975.0*
    79    94    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  2056597.1*
    80    95    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  2057304.6*
    81    97    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  2060450.1*
    82    98    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  2062162.4*
    83    99    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  2063417.3*
    84   102    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  2067779.7*
    85   104    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  2068861.2*
    86   105    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  2069623.7*
    87   106    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  2071373.7*
    88   107    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  2072363.3*
    89   108    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  2073888.2*
    90   109    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  2076825.8*
