SEQ='NE'     NUCCHG=13                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  51820567.8  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    86          1S2 2S1 2P5 3D1     (4)3( 2.5)  1247852.4 
    87          1S2 2S1 2P5 3D1     (4)3( 1.5)  1248880.6 
    88          1S2 2S1 2P5 3D1     (2)3( 3.5)  1251623.2 
    89          1S2 2S1 2P5 3D1     (4)2( 2.5)  1253701.6 
    90          1S2 2S1 2P5 3D1     (4)2( 3.5)  1253707.5 
    91          1S2 2S1 2P5 3D1     (4)2( 0.5)  1254082.4 
    92          1S2 2S1 2P5 3D1     (4)2( 1.5)  1254177.7 
    93          1S2 2S1 2P5 3D1     (2)3( 2.5)  1254357.7 
    94          1S2 2S1 2P5 3D1     (2)2( 1.5)  1257406.2 
    95          1S2 2S1 2P5 3D1     (2)2( 2.5)  1257511.2 
    96          1S2 2S1 2P5 3D1     (2)1( 0.5)  1261705.2 
    97          1S2 2S1 2P5 3D1     (2)1( 1.5)  1263748.6 
    98          1S2 2S1 2P5 3P1     (2)2( 1.5)  1294433.5 
    99          1S2 2S1 2P5 3P1     (2)2( 2.5)  1294971.3 
   100          1S2 2S1 2P5 3P1     (2)1( 0.5)  1300229.6 
   101          1S2 2S1 2P5 3P1     (2)1( 1.5)  1300493.7 
   102          1S2 2S1 2P5 3P1     (2)0( 0.5)  1320753.2 
   103          1S2 2S1 2P5 3D1     (2)1( 1.5)  1385664.0 
   104          1S2 2S1 2P5 3D1     (2)1( 0.5)  1385732.0 
   105          1S2 2S1 2P5 3D1     (2)3( 2.5)  1386640.7 
   106          1S2 2S1 2P5 3D1     (2)3( 3.5)  1386685.1 
   107          1S2 2S1 2P5 3D1     (2)2( 1.5)  1391354.0 
   108          1S2 2S1 2P5 3D1     (2)2( 2.5)  1391391.5 
   109          1S2 2P6 3S1         (2)0( 0.5)  1566275.4 
   110          1S2 2P6 3P1         (2)1( 0.5)  1627535.8 
   111          1S2 2P6 3P1         (2)1( 1.5)  1628164.6 
   112          1S2 2P6 3D1         (2)2( 1.5)  1715278.4 
   113          1S2 2P6 3D1         (2)2( 2.5)  1715354.9 
   114          1S1 2S2 2P6         (2)0( 0.5) 12035058.7 

   IC RESOLVED LEVEL INDEXING           BWNR=  52752387.4 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)   589490.1 
     3     3    1S2 2S2 2P5 3S1     (3)1( 1.0)   591806.3 
