SEQ='NE'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  71808099.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    85          1S2 2S1 2P5 3D1     (4)3( 3.5)  1908077.1 
    86          1S2 2S1 2P5 3D1     (4)3( 2.5)  1910326.5 
    87          1S2 2S1 2P5 3D1     (4)3( 1.5)  1912340.7 
    88          1S2 2S1 2P5 3D1     (4)2( 3.5)  1917452.3 
    89          1S2 2S1 2P5 3D1     (4)2( 2.5)  1920754.3 
    90          1S2 2S1 2P5 3D1     (4)2( 0.5)  1920954.1 
    91          1S2 2S1 2P5 3D1     (2)3( 3.5)  1921084.2 
    92          1S2 2S1 2P5 3D1     (4)2( 1.5)  1921249.8 
    93          1S2 2S1 2P5 3D1     (2)3( 2.5)  1922877.7 
    94          1S2 2S1 2P5 3D1     (2)2( 1.5)  1927809.6 
    95          1S2 2S1 2P5 3D1     (2)2( 2.5)  1928286.3 
    96          1S2 2S1 2P5 3D1     (2)1( 0.5)  1937792.1 
    97          1S2 2S1 2P5 3D1     (2)1( 1.5)  1941918.5 
    98          1S2 2S1 2P5 3P1     (2)2( 1.5)  1946409.9 
    99          1S2 2S1 2P5 3P1     (2)2( 2.5)  1947726.0 
   100          1S2 2S1 2P5 3P1     (2)1( 0.5)  1954957.7 
   101          1S2 2S1 2P5 3P1     (2)1( 1.5)  1955608.7 
   102          1S2 2S1 2P5 3P1     (2)0( 0.5)  1983645.7 
   103          1S2 2S1 2P5 3D1     (2)3( 2.5)  2077020.5 
   104          1S2 2S1 2P5 3D1     (2)3( 3.5)  2077144.9 
   105          1S2 2S1 2P5 3D1     (2)1( 1.5)  2077243.9 
   106          1S2 2S1 2P5 3D1     (2)1( 0.5)  2077488.6 
   107          1S2 2S1 2P5 3D1     (2)2( 1.5)  2084971.9 
   108          1S2 2S1 2P5 3D1     (2)2( 2.5)  2085077.6 
   109          1S2 2P6 3S1         (2)0( 0.5)  2272731.3 
   110          1S2 2P6 3P1         (2)1( 0.5)  2359092.4 
   111          1S2 2P6 3P1         (2)1( 1.5)  2360597.4 
   112          1S2 2P6 3D1         (2)2( 1.5)  2483838.3 
   113          1S2 2P6 3D1         (2)2( 2.5)  2484078.5 
   114          1S1 2S2 2P6         (2)0( 0.5) 16312409.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  73563348.1 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)  1079351.8 
     3     3    1S2 2S2 2P5 3S1     (3)1( 1.0)  1083411.9 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)  1088264.7 
     5     5    1S2 2S2 2P5 3S1     (1)1( 1.0)  1094661.9 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)  1163627.5 
     7     7    1S2 2S2 2P5 3P1     (3)2( 3.0)  1174267.4 
     8     8    1S2 2S2 2P5 3P1     (3)2( 2.0)  1175595.7 
     9     9    1S2 2S2 2P5 3P1     (3)2( 1.0)  1178528.2 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)  1182281.7 
    11    11    1S2 2S2 2P5 3P1     (1)1( 1.0)  1185382.1 
    12    12    1S2 2S2 2P5 3P1     (3)1( 0.0)  1187489.8 
    13    13    1S2 2S2 2P5 3P1     (1)2( 2.0)  1188417.6 
    14    14    1S2 2S2 2P5 3P1     (3)1( 1.0)  1189005.2 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)  1273721.4 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)  1299753.2 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)  1300749.9 
    18    18    1S2 2S2 2P5 3D1     (3)1( 2.0)  1302784.5 
    19    19    1S2 2S2 2P5 3D1     (3)3( 4.0)  1303867.9 
    20    20    1S2 2S2 2P5 3D1     (3)3( 3.0)  1305241.5 
    21    21    1S2 2S2 2P5 3D1     (3)3( 2.0)  1307941.5 
    22    22    1S2 2S2 2P5 3D1     (1)3( 3.0)  1309595.6 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)  1314761.1 
