SEQ='NE'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  71808099.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1    33  3  -1    1.592193E+02   1.264E+13   5.407E+13   7.206E+14   8.377E+12   4.745E+12   2.635E+10   1.114E+08   6.479E+07   6.164E+06
                                                                          8.252E+09   4.626E+09   8.988E+10   4.322E+10   2.599E+11   4.427E+11
                                                                          1.584E+11   8.514E+11   3.358E+11   6.779E+10   5.764E+10   1.611E+10
                                                                          1.041E+12   8.706E+12   4.912E+12   4.138E+12   1.269E+13   4.289E+12
                                                                          7.238E+13   1.255E+14   5.568E+13   8.964E+13   1.846E+13   3.676E+13
                                                                          3.232E+13   1.535E+04   6.735E+08   1.223E+08   3.060E+07   1.390E+13
                                                                          1.338E+05   7.930E+04   1.569E+09   3.851E+08   1.510E+09   7.462E+08
                                                                          4.945E+04   2.918E+09   2.432E+09   1.547E+09   2.112E+10   4.087E+10
                                                                          5.723E+09   1.355E+07   1.846E+07   1.106E+11   1.893E+11   1.603E+10
                                                                          4.613E+06   8.966E+10   1.733E+11   1.139E+11   3.195E+10   2.706E+10
                                                                          2.117E+08   9.914E+09   2.175E+09   1.184E+12   6.678E+11   3.318E+10
                                                                          0.000E+00   9.247E+10   1.592E+11   5.827E+10   3.966E+12   9.504E+11
                                                                          1.152E+13   6.740E+10   9.770E+12   4.700E+12   8.725E+12   1.282E+13
                                                                          2.502E+11   9.427E+10   3.262E+05   2.042E+06   3.844E+05   0.000E+00
                                                                          4.406E+07   3.322E+07   1.103E+07   5.299E+07   2.252E+07   3.518E+07
                                                                          3.008E+08   3.212E+07   4.235E+07   2.862E+08   1.057E+07   1.340E+09
                                                                          2.328E+09   2.548E+13   4.870E+13   1.422E+13   3.271E+13   6.717E+12
                                                                          1.013E+11   1.726E+11   6.134E+11   2.273E+11   1.884E+10   3.111E+10
                                                                          3.953E+11   1.042E+13   2.876E+13   5.758E+10   1.116E+11   0.000E+00
     6    33  3  -1    1.486155E+02   2.539E+11
     8    33  3  -1    1.485065E+02   1.552E+12
     9    33  3  -1    1.484797E+02   3.554E+12
    10    33  3  -1    1.484455E+02   6.619E+12
    11    33  3  -1    1.484173E+02   7.349E+12
    12    33  3  -1    1.483981E+02   2.225E+11
    13    33  3  -1    1.483896E+02   8.285E+12
    14    33  3  -1    1.483843E+02   5.601E+12
    15    33  3  -1    1.476123E+02   1.680E+13
    16    34  3  -1    1.486079E+02   1.645E+13   4.968E+13   7.041E+14   4.173E+11   4.881E+08   1.440E+11   7.377E+07   4.400E+08   1.070E+08
                                                                          1.091E+10   1.023E+10   2.671E+10   7.514E+10   2.935E+08   2.466E+09
                                                                          3.338E+09   1.407E+04   1.244E+09   7.021E+09   5.409E+09   9.954E+10
                                                                          4.337E+08   4.040E+08   5.336E+08   3.973E+08   9.008E+08   2.454E+08
                                                                          8.219E+10   1.925E+05   1.266E+10   3.830E+08   1.319E+09   5.166E+08
                                                                          4.342E+09   7.547E+10   3.628E+11   4.666E+11   1.354E+11   1.356E+10
                                                                          0.000E+00   8.948E+11   1.638E+11   1.583E+11   6.059E+10   2.015E+11
                                                                          1.700E+11   2.471E+10   4.303E+10   2.809E+12   8.417E+12   3.673E+12
                                                                          7.589E+11   1.563E+14   0.000E+00   2.319E+13   2.633E+13   6.184E+13
                                                                          1.498E+13   1.634E+13   6.285E+13   5.037E+13   3.593E+11   4.950E+13
                                                                          1.250E+08   2.009E+09   3.668E+09   1.119E+09   1.576E+09   5.660E+07
                                                                          2.198E+07   2.024E+08   1.056E+08   2.064E+07   4.495E+08   3.158E+08
                                                                          2.575E+09   8.933E+06   5.695E+09   2.036E+09   2.182E+09   4.039E+10
                                                                          8.673E+09   4.054E+10   5.319E+12   3.885E+12   7.673E+11   3.140E+01
