SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085886.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)    86683.0 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)    87642.8 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   203276.5 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   203366.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74496363.9 NLVL=   165
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    69   901   +1S1 3S1 3P1 3D1     (3)2( 1.0) 17580593.1*
    70   902   +1S1 3S1 3P1 3D1     (1)2( 2.0) 17589784.2*
    71   903   +1S1 3S1 3P1 3D1     (3)3( 2.0) 17591385.9*
    72   904   +1S1 3S1 3P1 3D1     (3)3( 3.0) 17591725.9*
    73   905   +1S1 3S1 3P1 3D1     (3)3( 4.0) 17592276.5*
    74   906   +1S1 3S1 3P1 3D1     (1)3( 3.0) 17597228.9*
    75   907   +1S1 3S1 3P1 3D1     (3)1( 2.0) 17616610.1*
    76   908   +1S1 3S1 3P1 3D1     (3)1( 1.0) 17616723.2*
    77   909   +1S1 3S1 3P1 3D1     (3)1( 0.0) 17616781.3*
    78   910   +1S1 3S1 3P1 3D1     (3)3( 4.0) 17625449.2*
    79   911   +1S1 3S1 3P1 3D1     (3)3( 3.0) 17625575.4*
    80   912   +1S1 3S1 3P1 3D1     (3)3( 2.0) 17625673.6*
    81   913   +1S1 3S1 3P1 3D1     (1)1( 1.0) 17629001.9*
    82   914   +1S1 3S1 3P1 3D1     (1)3( 3.0) 17632695.9*
    83   489    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 17641355.9*
    84   490    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 17641509.8*
    85   491    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 17641791.9*
    86   915   +1S1 3S1 3P1 3D1     (3)2( 1.0) 17642951.1*
    87   916   +1S1 3S1 3P1 3D1     (3)2( 2.0) 17643016.4*
    88   492    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 17643139.9*
    89   917   +1S1 3S1 3P1 3D1     (3)2( 3.0) 17643193.6*
    90   918   +1S1 3S1 3P1 3D1     (1)2( 2.0) 17644104.0*
    91   919   +1S1 3S1 3P1 3D1     (3)1( 0.0) 17644363.4*
    92   920   +1S1 3S1 3P1 3D1     (3)1( 1.0) 17644390.1*
    93   921   +1S1 3S1 3P1 3D1     (3)1( 2.0) 17644507.2*
    94   922   +1S1 3S1 3P1 3D1     (1)1( 1.0) 17645032.5*
    95   495    1S1 2S2 2P6 3P2 3D1 (5)3( 3.0) 17646113.2*
    96   496    1S1 2S2 2P6 3P2 3D1 (5)3( 4.0) 17646401.8*
    97   498    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 17651608.1*
    98   499    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 17651926.4*
    99   500    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 17652030.6*
   100   501    1S1 2S2 2P6 3P2 3D1 (5)2( 2.0) 17652596.2*
   101   502    1S1 2S2 2P6 3P2 3D1 (5)2( 1.0) 17652660.0*
   102   503    1S1 2S2 2P6 3P2 3D1 (5)2( 3.0) 17652672.1*
   103   504    1S1 2S2 2P6 3P2 3D1 (5)2( 0.0) 17652788.7*
   104   505    1S1 2S2 2P6 3P2 3D1 (5)2( 4.0) 17652857.2*
   105   506    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 17655181.4*
   106   507    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 17655563.6*
   107   508    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 17656070.8*
   108   509    1S1 2S2 2P6 3P2 3D1 (1)1( 1.0) 17656605.4*
   109   510    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 17661595.5*
   110   511    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 17661718.4*
   111   512    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 17661948.4*
   112   513    1S1 2S2 2P6 3P2 3D1 (3)4( 3.0) 17664709.8*
   113   514    1S1 2S2 2P6 3P2 3D1 (3)4( 4.0) 17664752.3*
   114   515    1S1 2S2 2P6 3P2 3D1 (3)4( 5.0) 17664805.4*
   115   516    1S1 2S2 2P6 3P2 3D1 (1)4( 4.0) 17666517.9*
   116   517    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 17675383.4*
   117   518    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 17675473.3*
   118   519    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 17675526.4*
   119   520    1S1 2S2 2P6 3P2 3D1 (5)1( 3.0) 17677518.0*
   120   523    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 17678160.9*
   121   524    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 17686312.1*
   122   525    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 17686648.3*
   123   526    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 17686814.4*
   124   527    1S1 2S2 2P6 3P2 3D1 (3)0( 1.0) 17692797.3*
   125   528    1S1 2S2 2P6 3P2 3D1 (3)1( 0.0) 17693645.2*
   126   529    1S1 2S2 2P6 3P2 3D1 (3)1( 1.0) 17693809.0*
   127   530    1S1 2S2 2P6 3P2 3D1 (3)1( 2.0) 17694042.3*
   128   531    1S1 2S2 2P6 3P2 3D1 (1)0( 0.0) 17694587.9*
   129   532    1S1 2S2 2P6 3P2 3D1 (1)1( 1.0) 17696556.1*
   130   533    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 17700206.8*
   131   534    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 17700523.2*
   132   535    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 17701125.5*
   133   541    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 17703779.1*
   134   542    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 17703877.0*
   135   543    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 17704009.9*
   136   544    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 17704657.8*
   137   545    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 17710720.8*
   138   546    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 17712190.5*
   139   547    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 17712248.2*
   140   548    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 17712324.7*
   141   552    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 17723649.9*
   142   553    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 17723670.8*
   143   554    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 17723712.4*
   144   555    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 17734019.2*
   145   556    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 17734184.1*
   146   557    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 17734295.0*
   147   558    1S1 2S2 2P6 3S1 3D2 (3)4( 3.0) 17738797.5*
   148   559    1S1 2S2 2P6 3S1 3D2 (3)4( 4.0) 17738804.2*
   149   560    1S1 2S2 2P6 3S1 3D2 (3)4( 5.0) 17738812.7*
   150   561    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 17739993.6*
   151   562    1S1 2S2 2P6 3S1 3D2 (3)2( 3.0) 17741946.2*
   152   563    1S1 2S2 2P6 3S1 3D2 (3)2( 2.0) 17742083.9*
   153   564    1S1 2S2 2P6 3S1 3D2 (3)2( 1.0) 17742156.0*
   154   565    1S1 2S2 2P6 3S1 3D2 (1)4( 4.0) 17749767.7*
   155   566    1S1 2S2 2P6 3S1 3D2 (1)2( 2.0) 17751439.2*
   156   567    1S1 2S2 2P6 3S1 3D2 (1)3( 3.0) 17766543.5*
   157   568    1S1 2S2 2P6 3S1 3D2 (3)0( 1.0) 17767363.9*
   158   569    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 17769182.5*
   159   570    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 17769199.0*
   160   571    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 17769221.2*
   161   572    1S1 2S2 2P6 3S1 3D2 (1)0( 0.0) 17778328.0*
   162   573    1S1 2S2 2P6 3S1 3D2 (1)1( 1.0) 17784807.2*
   163   574    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 17787312.5*
   164   575    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 17787363.8*
   165   576    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 17787461.6*
  
P  4     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5
     2   472  3  -1    1.581423E+02   1.529E+12   5.415E+13   7.605E+14   6.515E+07   1.245E+11   5.466E+10   6.324E+05   7.888E+04
    10   472  3  -1    1.561781E+02   4.412E+09
    12   472  3  -1    1.561626E+02   4.399E+09
     1   473  3  -1    1.581478E+02   4.721E+12   5.416E+13   7.604E+14   1.531E+08   8.666E+10   9.090E+10   1.684E+07   5.108E+05
     2   473  3  -1    1.581452E+02   1.135E+12
     3   473  3  -1    1.581399E+02   1.129E+12
     9   473  3  -1    1.561832E+02   3.719E+09
    11   473  3  -1    1.561795E+02   9.732E+09
    12   473  3  -1    1.561655E+02   5.023E+09
    13   473  3  -1    1.561642E+02   6.208E+09
     2   474  3  -1    1.581508E+02   1.999E+12   5.417E+13   7.603E+14   4.424E+08   3.039E+10   1.449E+11   3.150E+06   5.119E+07
     3   474  3  -1    1.581455E+02   3.398E+12
     9   474  3  -1    1.561888E+02   5.543E+09
    10   474  3  -1    1.561866E+02   3.714E+09
