SEQ='NA'     NUCCHG=28                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 296226882.2  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 301111794.4 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    78    1S2 2S2 2P5 3S1 3D1 (2)1( 1.5)  8051436.8*
    73    79    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  8057263.2*
    74    81    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  8059548.1*
    75    82    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  8070388.6*
    76    84    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  8077038.7*
    77    85    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  8086342.4*
    78    86    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  8086765.6*
    79    88    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  8089517.4*
    80    90    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  8097195.2*
    81    92    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  8107202.2*
    82    93    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  8111127.3*
    83    95    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  8117832.7*
    84    97    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  8123817.9*
    85    98    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  8133629.1*
    86    99    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  8136776.7*
    87   100    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  8141597.5*
    88   101    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  8151692.9*
    89   102    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  8161235.5*
    90   103    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  8161300.9*
    91   104    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  8174343.9*
    92   105    1S2 2S2 2P5 3P1 3D1 (4)4( 2.5)  8175292.2*
    93   108    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  8205425.7*
    94   109    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  8209586.9*
    95   110    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  8215023.6*
    96   111    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  8216005.9*
    97   114    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  8223759.7*
    98   116    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  8233967.4*
    99   117    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  8241273.4*
   100   118    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  8251409.0*
   101   119    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  8255834.3*
   102   120    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  8265486.6*
   103   121    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  8265884.9*
   104   123    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  8270589.6*
   105   124    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  8276881.0*
   106   125    1S2 2S1 2P6 3S2     (2)0( 0.5)  8287073.4*
   107   126    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  8292625.3*
   108   127    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  8298639.1*
   109   128    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  8320442.1*
   110   129    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  8344523.0*
   111   131    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  8362429.8*
   112   132    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  8368127.8*
   113   133    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  8387601.5*
   114   134    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  8417820.9*
   115   135    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  8428858.1*
   116   136    1S2 2S2 2P5 3D2     (4)2( 0.5)  8487052.4*
   117   137    1S2 2S2 2P5 3D2     (4)2( 1.5)  8490409.6*
   118   138    1S2 2S2 2P5 3D2     (4)2( 2.5)  8496119.4*
   119   139    1S2 2S1 2P6 3S1 3P1 (4)1( 0.5)  8498293.6*
   120   140    1S2 2S2 2P5 3D2     (4)2( 3.5)  8505595.7*
   121   141    1S2 2S1 2P6 3S1 3P1 (4)1( 1.5)  8507561.9*
   122   144    1S2 2S2 2P5 3D2     (4)4( 3.5)  8520016.8*
   123   145    1S2 2S2 2P5 3D2     (2)3( 2.5)  8520057.4*
   124   147    1S2 2S2 2P5 3D2     (4)1( 2.5)  8532809.6*
   125   149    1S2 2S2 2P5 3D2     (2)4( 3.5)  8534808.8*
   126   150    1S2 2S2 2P5 3D2     (2)2( 1.5)  8536178.1*
   127   151    1S2 2S2 2P5 3D2     (2)2( 2.5)  8545824.2*
   128   152    1S2 2S2 2P5 3D2     (4)1( 1.5)  8546495.2*
   129   153    1S2 2S2 2P5 3D2     (2)1( 0.5)  8554662.0*
   130   155    1S2 2S2 2P5 3D2     (2)3( 3.5)  8566015.5*
   131   156    1S2 2S2 2P5 3D2     (4)2( 2.5)  8567020.9*
   132   157    1S2 2S2 2P5 3D2     (4)2( 3.5)  8567142.5*
   133   158    1S2 2S2 2P5 3D2     (4)3( 1.5)  8569095.6*
   134   159    1S2 2S2 2P5 3D2     (4)1( 0.5)  8570921.9*
   135   160    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  8582802.3*
   136   162    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  8595700.7*
   137   163    1S2 2S2 2P5 3D2     (4)4( 2.5)  8596009.4*
   138   164    1S2 2S2 2P5 3D2     (2)2( 1.5)  8597507.5*
   139   165    1S2 2S2 2P5 3D2     (2)4( 3.5)  8609298.9*
   140   166    1S2 2S2 2P5 3D2     (4)3( 2.5)  8623824.3*
   141   167    1S2 2S2 2P5 3D2     (4)0( 1.5)  8625406.6*
   142   168    1S2 2S2 2P5 3D2     (4)2( 0.5)  8639948.5*
   143   169    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  8670255.8*
   144   170    1S2 2S2 2P5 3D2     (4)3( 3.5)  8671421.3*
   145   171    1S2 2S2 2P5 3D2     (2)1( 1.5)  8673746.7*
   146   172    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  8681235.2*
   147   174    1S2 2S2 2P5 3D2     (2)3( 2.5)  8685872.3*
   148   175    1S2 2S2 2P5 3D2     (2)3( 3.5)  8693140.2*
   149   176    1S2 2S2 2P5 3D2     (2)3( 2.5)  8698755.1*
   150   177    1S2 2S2 2P5 3D2     (2)1( 1.5)  8705041.1*
   151   178    1S2 2S2 2P5 3D2     (2)0( 0.5)  8711450.1*
   152   179    1S2 2S2 2P5 3D2     (4)2( 1.5)  8722046.9*
   153   180    1S2 2S2 2P5 3D2     (2)2( 2.5)  8727184.5*
   154   182    1S2 2S2 2P5 3D2     (2)1( 0.5)  8749822.0*
   155   183    1S2 2S2 2P5 3D2     (2)3( 3.5)  8763331.5*
   156   184    1S2 2S2 2P5 3D2     (2)2( 2.5)  8764819.3*
   157   185    1S2 2S2 2P5 3D2     (2)2( 1.5)  8772046.8*
   158   186    1S2 2S2 2P5 3D2     (2)1( 1.5)  8786797.4*
   159   187    1S2 2S2 2P5 3D2     (2)1( 0.5)  8835081.0*
   160   188    1S2 2S1 2P6 3P2     (4)1( 0.5)  8855088.0*
   161   189    1S2 2S1 2P6 3P2     (4)1( 1.5)  8868953.4*
   162   190    1S2 2S1 2P6 3P2     (2)2( 2.5)  8869638.0*
   163   191    1S2 2S1 2P6 3P2     (2)2( 1.5)  8876603.7*
   164   192    1S2 2S1 2P6 3P2     (2)1( 0.5)  8896045.3*
   165   193    1S2 2S1 2P6 3P2     (4)1( 2.5)  8899287.7*
   166   194    1S2 2S1 2P6 3P2     (2)1( 1.5)  8923817.0*
   167   199    1S2 2S1 2P6 3P2     (2)0( 0.5)  8999423.1*
   168   200    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  9071893.1*
   169   201    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  9075206.8*
   170   202    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  9118376.4*
   171   203    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  9120739.9*
   172   204    1S2 2S1 2P6 3P1 3D1 (4)3( 1.5)  9243310.2*
   173   205    1S2 2S1 2P6 3P1 3D1 (4)3( 2.5)  9250393.9*
