SEQ='NE'     NUCCHG=29                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 306097362.0  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)   177757.0 
     3          1S2 2S1 2P6         (2)0( 0.5)  1281538.8 
    85          1S2 2S1 2P5 3D1     (4)3( 3.5) 10064543.4 
    86          1S2 2S1 2P5 3P1     (2)2( 1.5) 10084197.4 
    87          1S2 2S1 2P5 3D1     (4)3( 2.5) 10094536.5 
    88          1S2 2S1 2P5 3D1     (2)3( 3.5) 10106989.1 
    89          1S2 2S1 2P5 3D1     (4)2( 1.5) 10118749.6 
    90          1S2 2S1 2P5 3P1     (2)2( 2.5) 10126085.7 
    91          1S2 2S1 2P5 3P1     (2)1( 0.5) 10127377.8 
    92          1S2 2S1 2P5 3P1     (2)1( 1.5) 10145414.1 
    93          1S2 2S1 2P5 3D1     (4)2( 0.5) 10158853.3 
    94          1S2 2S1 2P5 3D1     (2)2( 2.5) 10178789.9 
    95          1S2 2S1 2P5 3D1     (4)2( 2.5) 10184278.3 
    96          1S2 2S1 2P5 3D1     (4)2( 3.5) 10185197.9 
    97          1S2 2S1 2P5 3D1     (2)2( 1.5) 10189403.8 
    98          1S2 2S1 2P5 3P1     (2)0( 0.5) 10206173.5 
    99          1S2 2S1 2P5 3D1     (2)1( 0.5) 10207688.0 
   100          1S2 2S1 2P5 3D1     (4)3( 1.5) 10208563.4 
   101          1S2 2S1 2P5 3D1     (2)3( 2.5) 10273397.3 
   102          1S2 2S1 2P5 3D1     (2)1( 1.5) 10313824.9 
   103          1S2 2S1 2P5 3D1     (2)3( 2.5) 10500425.0 
   104          1S2 2S1 2P5 3D1     (2)3( 3.5) 10505739.8 
   105          1S2 2S1 2P5 3D1     (2)1( 1.5) 10519139.9 
   106          1S2 2S1 2P5 3D1     (2)1( 0.5) 10534478.8 
   107          1S2 2S1 2P5 3D1     (2)2( 2.5) 10536935.6 
   108          1S2 2S1 2P5 3D1     (2)2( 1.5) 10537347.5 
   109          1S2 2P6 3S1         (2)0( 0.5) 10871520.6 
   110          1S2 2P6 3P1         (2)1( 0.5) 11131793.6 
   111          1S2 2P6 3P1         (2)1( 1.5) 11174731.8 
   112          1S2 2P6 3D1         (2)2( 1.5) 11536173.5 
   113          1S2 2P6 3D1         (2)2( 2.5) 11547342.9 
   114          1S1 2S2 2P6         (2)0( 0.5) 65350968.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 319700678.9 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)  7793387.2 
     3     3    1S2 2S2 2P5 3S1     (1)1( 1.0)  7812032.0 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)  7970727.0 
     5     5    1S2 2S2 2P5 3S1     (3)1( 1.0)  7981630.2 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)  8089606.9 
     7     7    1S2 2S2 2P5 3P1     (3)2( 2.0)  8110620.2 
     8     8    1S2 2S2 2P5 3P1     (3)2( 3.0)  8139383.8 
     9     9    1S2 2S2 2P5 3P1     (1)1( 1.0)  8147066.8 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)  8166263.0 
    11    11    1S2 2S2 2P5 3P1     (3)1( 0.0)  8239780.1 
    12    12    1S2 2S2 2P5 3P1     (3)2( 1.0)  8281939.3 
    13    13    1S2 2S2 2P5 3P1     (3)1( 1.0)  8325746.3 
    14    14    1S2 2S2 2P5 3P1     (1)2( 2.0)  8330460.1 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)  8481952.8 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)  8533793.2 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)  8545143.1 
    18    18    1S2 2S2 2P5 3D1     (3)3( 4.0)  8564143.1 
    19    19    1S2 2S2 2P5 3D1     (3)1( 2.0)  8565587.2 
    20    20    1S2 2S2 2P5 3D1     (3)3( 3.0)  8566543.0 
    21    21    1S2 2S2 2P5 3D1     (1)2( 2.0)  8583810.3 
    22    22    1S2 2S2 2P5 3D1     (3)2( 3.0)  8597584.5 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)  8651192.3 
    24    24    1S2 2S2 2P5 3D1     (3)3( 2.0)  8741467.9 
    25    25    1S2 2S2 2P5 3D1     (3)2( 2.0)  8754158.3 
    26    26    1S2 2S2 2P5 3D1     (1)3( 3.0)  8760244.7 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)  8824316.1 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 73050119.8*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 73101005.6*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 73352811.8*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 73359812.9*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 73395505.7*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 73423066.4*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 73866604.5*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 73866902.3*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 73876664.0*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 73877146.4*
  
